date,932084.CSI_open,932084.CSI_high,932084.CSI_low,932084.CSI_close,932084.CSI_change,932084.CSI_amount,932084.CSI_volume
2004-12-31,1000.0,1000.0,1000.0,1000.0,0.0,604.41,81505900
2005-01-04,996.87,996.87,996.87,996.87,-0.0031,567.01,75601600
2005-01-05,1022.25,1022.25,1022.25,1022.25,0.0255,872.53,120145000
2005-01-06,1014.44,1014.44,1014.44,1014.44,-0.0076,557.87,73547800
2005-01-07,1021.54,1021.54,1021.54,1021.54,0.007,853.55,101617800
2005-01-10,1033.13,1033.13,1033.13,1033.13,0.0113,606.32,81274800
2005-01-11,1031.89,1031.89,1031.89,1031.89,-0.0012,640.95,84058300
2005-01-12,1025.38,1025.38,1025.38,1025.38,-0.0063,551.8,76521700
2005-01-13,1032.39,1032.39,1032.39,1032.39,0.0068,942.32,119478100
2005-01-14,1013.25,1013.25,1013.25,1013.25,-0.0185,776.77,100818000
2005-01-17,991.12,991.12,991.12,991.12,-0.0218,627.57,81779300
2005-01-18,1009.56,1009.56,1009.56,1009.56,0.0186,732.38,101147300
2005-01-19,998.15,998.15,998.15,998.15,-0.0113,522.28,74203000
2005-01-20,990.18,990.18,990.18,990.18,-0.008,918.68,121582500
2005-01-21,995.19,995.19,995.19,995.19,0.0051,1405.61,201158100
2005-01-24,1018.85,1018.85,1018.85,1018.85,0.0238,1318.98,180597500
2005-01-25,1008.88,1008.88,1008.88,1008.88,-0.0098,907.07,132057300
2005-01-26,986.04,986.04,986.04,986.04,-0.0226,674.69,96659400
2005-01-27,959.3,959.3,959.3,959.3,-0.0271,739.49,106012200
2005-01-28,946.26,946.26,946.26,946.26,-0.0136,605.86,90436100
2005-01-31,910.18,910.18,910.18,910.18,-0.0381,613.51,98134800
2005-02-01,901.25,901.25,901.25,901.25,-0.0098,469.48,77571400
2005-02-02,966.95,966.95,966.95,966.95,0.0729,1143.52,162547900
2005-02-03,941.56,941.56,941.56,941.56,-0.0263,1138.51,158616000
2005-02-04,959.45,959.45,959.45,959.45,0.019,718.49,104155400
2005-02-16,968.77,968.77,968.77,968.77,0.0097,654.81,92913100
2005-02-17,984.44,984.44,984.44,984.44,0.0162,739.28,103881600
2005-02-18,965.1,965.1,965.1,965.1,-0.0196,583.5,89499200
2005-02-21,977.68,977.68,977.68,977.68,0.013,656.7,90428500
2005-02-22,1007.84,1007.84,1007.84,1007.84,0.0308,1641.82,212698500
2005-02-23,1018.59,1018.59,1018.59,1018.59,0.0107,1593.4,202999500
2005-02-24,1031.86,1031.86,1031.86,1031.86,0.013,1883.54,275952800
2005-02-25,1028.95,1028.95,1028.95,1028.95,-0.0028,1581.81,226049500
2005-02-28,1025.31,1025.31,1025.31,1025.31,-0.0035,1251.93,173803000
2005-03-01,1023.5,1023.5,1023.5,1023.5,-0.0018,1066.95,141550100
2005-03-02,1002.65,1002.65,1002.65,1002.65,-0.0204,1047.46,146179300
2005-03-03,1010.33,1010.33,1010.33,1010.33,0.0077,787.94,111137000
2005-03-04,1001.59,1001.59,1001.59,1001.59,-0.0087,685.25,98807100
2005-03-07,1007.66,1007.66,1007.66,1007.66,0.0061,579.35,77789700
2005-03-08,1033.19,1033.19,1033.19,1033.19,0.0253,1271.84,157565900
2005-03-09,1037.23,1037.23,1037.23,1037.23,0.0039,1237.29,166512400
2005-03-10,1007.22,1007.22,1007.22,1007.22,-0.0289,1163.79,153181600
2005-03-11,1014.73,1014.73,1014.73,1014.73,0.0075,877.85,116001100
2005-03-14,1004.02,1004.02,1004.02,1004.02,-0.0106,1148.88,145683600
2005-03-15,984.71,984.71,984.71,984.71,-0.0192,1081.43,147515700
2005-03-16,975.1,975.1,975.1,975.1,-0.0098,741.6,103302700
2005-03-17,962.43,962.43,962.43,962.43,-0.013,735.68,99711900
2005-03-18,935.16,935.16,935.16,935.16,-0.0283,815.3,120527500
2005-03-21,933.3,933.3,933.3,933.3,-0.002,586.92,83457400
2005-03-22,899.26,899.26,899.26,899.26,-0.0365,731.19,109990600
2005-03-23,898.41,898.41,898.41,898.41,-0.0009,801.82,110633800
2005-03-24,903.03,903.03,903.03,903.03,0.0051,843.41,108764500
2005-03-25,896.5,896.5,896.5,896.5,-0.0072,591.22,81804700
2005-03-28,887.17,887.17,887.17,887.17,-0.0104,680.72,98792800
2005-03-29,875.81,875.81,875.81,875.81,-0.0128,576.89,88544700
2005-03-30,855.33,855.33,855.33,855.33,-0.0234,691.49,103346400
2005-03-31,863.32,863.32,863.32,863.32,0.0093,564.37,86482200
2005-04-01,897.45,897.45,897.45,897.45,0.0395,1053.0,157587400
2005-04-04,869.76,869.76,869.76,869.76,-0.0309,680.12,97727100
2005-04-05,855.86,855.86,855.86,855.86,-0.016,559.47,87320800
2005-04-06,861.66,861.66,861.66,861.66,0.0068,839.81,131454600
2005-04-07,883.47,883.47,883.47,883.47,0.0253,1328.19,196754000
2005-04-08,906.98,906.98,906.98,906.98,0.0266,1050.5,162237500
2005-04-11,915.44,915.44,915.44,915.44,0.0093,1429.37,215046700
2005-04-12,883.08,883.08,883.08,883.08,-0.0353,830.08,124978800
2005-04-13,906.42,906.42,906.42,906.42,0.0264,980.2,150030000
2005-04-14,886.58,886.58,886.58,886.58,-0.0219,876.6,128996600
2005-04-15,861.46,861.46,861.46,861.46,-0.0283,740.08,115804100
2005-04-18,847.68,847.68,847.68,847.68,-0.016,608.34,97235400
2005-04-19,852.38,852.38,852.38,852.38,0.0055,459.74,75737900
2005-04-20,820.09,820.09,820.09,820.09,-0.0379,744.73,119482700
2005-04-21,790.67,790.67,790.67,790.67,-0.0359,847.72,144759200
2005-04-22,788.33,788.33,788.33,788.33,-0.003,669.61,115521000
2005-04-25,770.03,770.03,770.03,770.03,-0.0232,728.31,130154700
2005-04-26,789.0,789.0,789.0,789.0,0.0246,713.18,134117200
2005-04-27,761.99,761.99,761.99,761.99,-0.0342,800.78,136821000
2005-04-28,781.43,781.43,781.43,781.43,0.0255,1167.41,194435200
2005-04-29,762.84,762.84,762.84,762.84,-0.0238,816.85,145062800
2005-05-09,744.5,744.5,744.5,744.5,-0.024,548.9,103387100
2005-05-10,749.62,749.62,749.62,749.62,0.0069,580.74,113598100
2005-05-11,757.39,757.39,757.39,757.39,0.0104,723.16,135383600
2005-05-12,754.06,754.06,754.06,754.06,-0.0044,731.01,131619600
2005-05-13,767.55,767.55,767.55,767.55,0.0179,950.97,160728800
2005-05-16,756.2,756.2,756.2,756.2,-0.0148,791.2,137964700
2005-05-17,763.62,763.62,763.62,763.62,0.0098,546.35,94582900
2005-05-18,771.76,771.76,771.76,771.76,0.0107,555.67,96865700
2005-05-19,767.87,767.87,767.87,767.87,-0.005,511.75,91265700
2005-05-20,754.85,754.85,754.85,754.85,-0.017,480.29,86148300
2005-05-23,734.14,734.14,734.14,734.14,-0.0274,465.89,92500500
2005-05-24,757.0,757.0,757.0,757.0,0.0311,627.73,118481900
2005-05-25,757.84,757.84,757.84,757.84,0.0011,612.25,118473300
2005-05-26,752.7,752.7,752.7,752.7,-0.0068,487.89,101022300
2005-05-27,745.58,745.58,745.58,745.58,-0.0095,562.37,102614800
2005-05-30,751.05,751.05,751.05,751.05,0.0073,445.71,82644800
2005-05-31,746.89,746.89,746.89,746.89,-0.0055,437.97,78162500
2005-06-01,728.19,728.19,728.19,728.19,-0.025,493.29,100594600
2005-06-02,723.7,723.7,723.7,723.7,-0.0062,478.27,102012800
2005-06-03,713.78,713.78,713.78,713.78,-0.0137,597.4,130121000
2005-06-06,725.85,725.85,725.85,725.85,0.0169,520.51,112287500
2005-06-07,732.94,732.94,732.94,732.94,0.0098,1137.95,203722300
2005-06-08,791.06,791.06,791.06,791.06,0.0793,1877.91,343852700
2005-06-09,808.56,808.56,808.56,808.56,0.0221,2141.3,378331900
2005-06-10,792.42,792.42,792.42,792.42,-0.02,1525.11,256562400
2005-06-13,790.1,790.1,790.1,790.1,-0.0029,1124.86,179328500
2005-06-14,778.45,778.45,778.45,778.45,-0.0147,1062.47,170434400
2005-06-15,755.69,755.69,755.69,755.69,-0.0292,873.49,144722300
2005-06-16,761.06,761.06,761.06,761.06,0.0071,793.33,132041500
2005-06-17,750.93,750.93,750.93,750.93,-0.0133,749.82,121732100
2005-06-20,779.92,779.92,779.92,779.92,0.0386,1233.61,194809000
2005-06-21,768.31,768.31,768.31,768.31,-0.0149,981.74,149656400
2005-06-22,772.48,772.48,772.48,772.48,0.0054,823.44,133099100
2005-06-23,757.68,757.68,757.68,757.68,-0.0192,780.52,129962500
2005-06-24,760.41,760.41,760.41,760.41,0.0036,527.48,87959900
2005-06-27,784.54,784.54,784.54,784.54,0.0317,1402.91,212820000
2005-06-28,764.85,764.85,764.85,764.85,-0.0251,862.02,137173500
2005-06-29,762.6,762.6,762.6,762.6,-0.0029,604.83,96830300
2005-06-30,740.75,740.75,740.75,740.75,-0.0287,703.12,117874500
2005-07-01,703.15,703.15,703.15,703.15,-0.0508,827.13,149947900
2005-07-04,690.57,690.57,690.57,690.57,-0.0179,648.25,130825100
2005-07-05,682.96,682.96,682.96,682.96,-0.011,478.72,89186000
2005-07-06,678.37,678.37,678.37,678.37,-0.0067,423.83,81826400
2005-07-07,681.45,681.45,681.45,681.45,0.0045,381.31,73748900
2005-07-08,653.56,653.56,653.56,653.56,-0.0409,545.87,105146900
2005-07-11,648.32,648.32,648.32,648.32,-0.008,615.65,113390300
2005-07-12,680.27,680.27,680.27,680.27,0.0493,917.4,164110700
2005-07-13,679.33,679.33,679.33,679.33,-0.0014,846.07,157383600
2005-07-14,685.0,685.0,685.0,685.0,0.0083,788.14,146302000
2005-07-15,662.96,662.96,662.96,662.96,-0.0322,798.43,153580300
2005-07-18,651.65,651.65,651.65,651.65,-0.0171,571.61,115952800
2005-07-19,656.83,656.83,656.83,656.83,0.0079,499.63,96780200
2005-07-20,657.42,657.42,657.42,657.42,0.0009,458.82,88567700
2005-07-21,661.29,661.29,661.29,661.29,0.0059,571.64,114494100
2005-07-22,675.51,675.51,675.51,675.51,0.0215,1177.8,221115800
2005-07-25,668.72,668.72,668.72,668.72,-0.0101,644.47,126183100
2005-07-26,688.32,688.32,688.32,688.32,0.0293,1091.39,206778500
2005-07-27,709.49,709.49,709.49,709.49,0.0308,1304.87,250376600
2005-07-28,701.19,701.19,701.19,701.19,-0.0117,1159.35,221956900
2005-07-29,701.72,701.72,701.72,701.72,0.0008,761.19,161141200
2005-08-01,705.07,705.07,705.07,705.07,0.0048,638.84,130392600
