date,932086.CSI_open,932086.CSI_high,932086.CSI_low,932086.CSI_close,932086.CSI_change,932086.CSI_amount,932086.CSI_volume
2004-12-31,1000.0,1000.0,1000.0,1000.0,0.0,487.28,69929000
2005-01-04,983.39,983.39,983.39,983.39,-0.0166,383.3,54573700
2005-01-05,990.9,990.9,990.9,990.9,0.0076,358.72,54646000
2005-01-06,977.85,977.85,977.85,977.85,-0.0132,319.22,49133200
2005-01-07,976.13,976.13,976.13,976.13,-0.0018,322.44,50424600
2005-01-10,986.92,986.92,986.92,986.92,0.0111,333.92,51096300
2005-01-11,989.93,989.93,989.93,989.93,0.003,322.24,48761200
2005-01-12,986.84,986.84,986.84,986.84,-0.0031,280.59,45017700
2005-01-13,980.86,980.86,980.86,980.86,-0.0061,331.88,54167900
2005-01-14,971.27,971.27,971.27,971.27,-0.0098,329.79,53031300
2005-01-17,927.05,927.05,927.05,927.05,-0.0455,664.35,106308900
2005-01-18,928.1,928.1,928.1,928.1,0.0011,462.49,76546700
2005-01-19,923.48,923.48,923.48,923.48,-0.005,348.82,56040500
2005-01-20,907.86,907.86,907.86,907.86,-0.0169,568.0,91704900
2005-01-21,936.98,936.98,936.98,936.98,0.0321,718.04,117626000
2005-01-24,951.67,951.67,951.67,951.67,0.0157,841.19,143014600
2005-01-25,943.5,943.5,943.5,943.5,-0.0086,383.6,66182000
2005-01-26,931.47,931.47,931.47,931.47,-0.0128,327.49,55266000
2005-01-27,926.8,926.8,926.8,926.8,-0.005,348.08,56073000
2005-01-28,919.54,919.54,919.54,919.54,-0.0078,312.36,53409500
2005-01-31,914.83,914.83,914.83,914.83,-0.0051,454.35,70540800
2005-02-01,928.44,928.44,928.44,928.44,0.0149,566.82,94927000
2005-02-02,971.04,971.04,971.04,971.04,0.0459,1000.88,157475600
2005-02-03,952.28,952.28,952.28,952.28,-0.0193,1041.44,175145300
2005-02-04,965.61,965.61,965.61,965.61,0.014,721.2,118336900
2005-02-16,972.44,972.44,972.44,972.44,0.0071,561.23,87614500
2005-02-17,967.91,967.91,967.91,967.91,-0.0047,568.05,94310700
2005-02-18,959.07,959.07,959.07,959.07,-0.0091,357.2,58769400
2005-02-21,971.94,971.94,971.94,971.94,0.0134,493.96,78873000
2005-02-22,990.74,990.74,990.74,990.74,0.0193,1093.26,174579100
2005-02-23,991.09,991.09,991.09,991.09,0.0004,1236.94,184480100
2005-02-24,989.74,989.74,989.74,989.74,-0.0014,685.13,103687300
2005-02-25,992.03,992.03,992.03,992.03,0.0023,1158.82,173806400
2005-02-28,982.67,982.67,982.67,982.67,-0.0094,831.36,123502000
2005-03-01,978.59,978.59,978.59,978.59,-0.0042,603.63,94181000
2005-03-02,983.28,983.28,983.28,983.28,0.0048,1453.13,209618500
2005-03-03,989.37,989.37,989.37,989.37,0.0062,448.83,72602300
2005-03-04,994.47,994.47,994.47,994.47,0.0052,908.06,134733400
2005-03-07,994.87,994.87,994.87,994.87,0.0004,445.63,70335100
2005-03-08,1012.04,1012.04,1012.04,1012.04,0.0173,829.14,125201100
2005-03-09,1008.94,1008.94,1008.94,1008.94,-0.0031,875.65,131360200
2005-03-10,988.09,988.09,988.09,988.09,-0.0207,680.39,102129400
2005-03-11,989.73,989.73,989.73,989.73,0.0017,578.53,89353900
2005-03-14,986.01,986.01,986.01,986.01,-0.0038,723.7,105729200
2005-03-15,964.2,964.2,964.2,964.2,-0.0221,636.98,98544700
2005-03-16,951.1,951.1,951.1,951.1,-0.0136,552.01,83125100
2005-03-17,943.94,943.94,943.94,943.94,-0.0075,464.2,70274000
2005-03-18,936.65,936.65,936.65,936.65,-0.0077,346.18,58664800
2005-03-21,934.11,934.11,934.11,934.11,-0.0027,269.53,45067800
2005-03-22,909.89,909.89,909.89,909.89,-0.0259,456.09,80815800
2005-03-23,905.94,905.94,905.94,905.94,-0.0043,394.47,68396400
2005-03-24,914.31,914.31,914.31,914.31,0.0092,391.79,62405800
2005-03-25,915.63,915.63,915.63,915.63,0.0014,310.05,54005700
2005-03-28,912.85,912.85,912.85,912.85,-0.003,246.55,43308600
2005-03-29,907.51,907.51,907.51,907.51,-0.0058,303.69,49697600
2005-03-30,894.54,894.54,894.54,894.54,-0.0143,390.8,68279900
2005-03-31,903.75,903.75,903.75,903.75,0.0103,362.25,62355700
2005-04-01,932.75,932.75,932.75,932.75,0.0321,807.99,129268900
2005-04-04,923.92,923.92,923.92,923.92,-0.0095,616.78,105218800
2005-04-05,912.57,912.57,912.57,912.57,-0.0123,369.26,62951100
2005-04-06,939.1,939.1,939.1,939.1,0.0291,715.69,115987700
2005-04-07,941.99,941.99,941.99,941.99,0.0031,1157.69,180470100
2005-04-08,954.9,954.9,954.9,954.9,0.0137,761.49,126253300
2005-04-11,945.79,945.79,945.79,945.79,-0.0095,573.69,96011700
2005-04-12,929.28,929.28,929.28,929.28,-0.0175,435.27,76245200
2005-04-13,949.92,949.92,949.92,949.92,0.0222,787.79,127470800
2005-04-14,937.72,937.72,937.72,937.72,-0.0128,599.06,95465200
2005-04-15,925.98,925.98,925.98,925.98,-0.0125,534.14,90060100
2005-04-18,907.24,907.24,907.24,907.24,-0.0202,686.87,103574200
2005-04-19,910.44,910.44,910.44,910.44,0.0035,372.51,64276000
2005-04-20,893.85,893.85,893.85,893.85,-0.0182,382.57,72503000
2005-04-21,882.58,882.58,882.58,882.58,-0.0126,473.65,80556400
2005-04-22,880.41,880.41,880.41,880.41,-0.0025,460.9,84913700
2005-04-25,874.05,874.05,874.05,874.05,-0.0072,357.92,70216700
2005-04-26,887.84,887.84,887.84,887.84,0.0158,508.45,91489100
2005-04-27,881.24,881.24,881.24,881.24,-0.0074,405.11,73425000
2005-04-28,897.69,897.69,897.69,897.69,0.0187,521.53,98750400
2005-04-29,894.14,894.14,894.14,894.14,-0.004,427.01,80216200
2005-05-09,884.39,884.39,884.39,884.39,-0.0109,350.03,66373300
2005-05-10,873.53,873.53,873.53,873.53,-0.0123,740.39,115495200
2005-05-11,864.06,864.06,864.06,864.06,-0.0108,391.88,66613300
2005-05-12,846.29,846.29,846.29,846.29,-0.0206,528.44,87991500
2005-05-13,847.06,847.06,847.06,847.06,0.0009,424.3,77941700
2005-05-16,836.25,836.25,836.25,836.25,-0.0128,350.98,63529600
2005-05-17,843.72,843.72,843.72,843.72,0.0089,305.5,58646100
2005-05-18,849.62,849.62,849.62,849.62,0.007,494.93,81304500
2005-05-19,855.3,855.3,855.3,855.3,0.0067,329.64,65792400
2005-05-20,855.23,855.23,855.23,855.23,-0.0001,295.45,57462300
