指标名称,中国:产量:太阳能:当月值,中国:产量:核电:当月值,中国:产量:风电:当月值,中国:产量:水电:当月值,中国:产量:火电:当月值,中国:产量:发电量:当月值,中国:全社会用电量:第一产业:当月值,中国:全社会用电量:第三产业:当月值,中国:全社会用电量:第二产业:当月值,中国:全社会用电量:当月值,中国:发电新增设备容量:太阳能:累计值,中国:规模以上工业增加值:电力、热力的生产和供应业:当月同比,中国:用电量:电力、燃气及水的生产和供应业:当月值,中国:产成品存货:电力、热力生产和供应业,中国:产成品存货:电力、热力生产和供应业:同比,中国:存货:电力、热力生产和供应业:同比,中国:消费量:动力煤:电力行业:当月值
2013-01-31,,89.3,,453.8,3714.6,4341.1,692732.0,5789137.0,32703307.0,45187963.0,,,6330380.0,,,,18209.0
2013-02-28,,65.7,,366.3,2715.2,3232.1,583114.0,4891087.0,22579380.0,33736119.0,46.0,,1966321.0,569404.3,16.4853,-0.7,13300.0
2013-03-31,,73.16,110.5,477.8,3527.0,4194.3,611403.0,4577125.0,31566264.0,42410136.0,65.0,1.4,8867679.0,584352.9,23.6275,-2.5,16286.0
2013-04-30,,71.6,109.2,502.5,3307.6,3994.4,815500.0,4576247.0,31367676.0,41652130.0,75.0,5.5,5175698.0,609780.4,6.7815,-6.6,14882.0
2013-05-31,,76.9,111.7,656.2,3256.4,4104.0,913052.0,4418663.0,32772445.0,42687593.0,103.0,3.1,6287376.0,569213.5,1.5364,-11.2,14468.0
2013-06-30,,89.26,104.8,814.78,3240.09,4252.61,989588.0,4982631.0,33161706.0,43837463.0,138.0,6.2,6212346.0,498076.2,-4.561,-11.1,14252.0
2013-07-31,,99.1,87.1,854.09,3750.95,4794.52,1134642.0,5856605.0,36657803.0,49495678.0,215.0,8.3,8754595.0,480189.8,-1.0732,-12.4,16259.0
2013-08-31,,99.38,91.4,841.69,3951.08,4987.0,1181128.0,6551745.0,35731310.0,51029498.0,247.73,12.2,7357367.0,475235.9,-11.2065,-13.4,17785.0
2013-09-30,,104.91,94.9,782.98,3323.89,4310.36,821049.0,5842965.0,30623453.0,44483976.0,320.7,8.7,3760640.0,331552.4,-35.6008,-9.7,15286.0
2013-10-31,,103.63,105.7,694.33,3397.31,4305.15,792158.0,4858251.0,32749704.0,43751016.0,361.1,6.6,6229002.0,341751.1,-31.2206,-5.8,15629.0
2013-11-30,,95.84,117.7,589.01,3585.33,4391.82,778530.0,4828519.0,34369997.0,44850005.0,402.62,6.1,6737006.0,373198.3,-26.9719,-3.3,16485.0
2013-12-31,,103.37,119.1,543.47,4008.46,4779.63,794892.0,5419618.0,37519790.0,49128819.0,1130.46,5.2,,321330.8,-37.6681,-6.1,18446.0
2014-01-31,,94.0,,492.04,3613.93,4328.15,614733.0,5760020.0,31724351.0,44080594.0,,,5107844.0,,,,
2014-02-28,,78.84,89.7,417.62,3225.16,3833.58,513052.0,5179837.0,26472543.0,38350019.0,29.4,,5069877.0,352342.6,-26.7113,-4.8,
2014-03-31,,92.43,113.8,534.0,3754.8,4527.7,610000.0,5390000.0,33120000.0,45440000.0,35.0,4.1,7553731.0,353751.7,-25.7477,-2.4,16894.0
2014-04-30,,72.63,114.1,619.7,3411.9,4250.2,800887.0,4831754.0,32652791.0,43562732.0,40.6,2.5,4927048.0,409926.0,-19.4882,0.0,15350.0
2014-05-31,,104.77,137.4,740.0,3402.7,4415.9,832425.0,4749075.0,34446156.0,44920395.0,62.0,3.5,6393733.0,442360.4,-11.3527,4.0,15310.0
2014-06-30,,106.31,108.5,874.6,3460.6,4580.7,984706.0,5471180.0,34821201.0,46385023.0,94.0,3.4,6125062.0,421938.0,-10.3263,5.9,15579.0
2014-07-31,,118.79,102.4,1132.0,3664.0,5047.94,1211911.0,6162865.0,37688196.0,50969616.0,104.0,0.9,8537844.0,417209.0,-15.3599,9.3,16491.0
2014-08-31,,131.47,89.1,1178.0,3528.0,4959.0,1303976.0,6620460.0,35169650.0,50253374.0,124.0,-1.7,6198560.0,454547.1,-11.5031,15.2,16491.0
2014-09-30,,129.43,90.8,1144.07,3146.46,4541.72,968977.0,6116163.0,32213013.0,45697348.0,166.01,1.6,4376882.0,463593.2,25.7964,11.8,14154.0
2014-10-31,,118.63,121.2,967.0,3206.0,4446.0,688430.0,5296035.0,33686989.0,45083995.0,196.35,2.0,6234954.0,481709.4,28.5217,14.0,14431.0
2014-11-30,,121.1,133.2,746.0,3455.0,4487.0,717052.0,5164488.0,35311885.0,46322373.0,221.1,2.0,6900859.0,453460.7,11.5527,12.0,16938.0
