date,000933.CSI_open,000933.CSI_high,000933.CSI_low,000933.CSI_close,000933.CSI_change,000933.CSI_amount,000933.CSI_volume
12/31/2004,1000,1000,1000,1000,0,0,0
1/4/2005,999.23,999.23,983.3,984.11,-0.0159,132.8,21797500
1/5/2005,983.9,998.65,982.23,996.53,0.0126,136.82,23527900
1/6/2005,997.08,997.08,988.11,991.03,-0.0055,138.75,20580500
1/7/2005,990.29,1000.53,984.99,988.16,-0.0029,153.27,23402900
1/10/2005,985.92,1000.27,983.57,1000.27,0.0123,203.5,29807800
1/11/2005,1001.55,1004.25,994.61,999.73,-0.0005,212.84,33418300
1/12/2005,996.64,997.51,991.24,997.51,-0.0022,157.54,23965400
1/13/2005,998.77,999.86,994.2,999.1,0.0016,204.59,30610000
1/14/2005,995.58,1003.6,994.26,995.26,-0.0038,288.14,41582900
1/17/2005,990.72,990.72,972.85,974.88,-0.0205,279.68,49088700
1/18/2005,975.87,983.68,970.92,983.68,0.009,262.37,48909600
1/19/2005,983.37,983.37,975.35,977.48,-0.0063,255.18,48664200
1/20/2005,974.84,974.84,959.4,962.92,-0.0149,275.87,45571400
1/21/2005,961.47,979.75,949.54,979.75,0.0175,287.55,51171300
1/24/2005,991.53,997.92,987.85,997.78,0.0184,518.13,92082300
1/25/2005,995.51,995.51,981.57,994.42,-0.0034,333.42,59080200
1/26/2005,989.9,991.44,985.27,986.58,-0.0079,266.37,49203300
1/27/2005,985.63,985.63,977.94,978.34,-0.0084,295.26,56930800
1/28/2005,978.34,978.34,958.67,961.27,-0.0174,224.67,42628500
1/31/2005,958.37,958.37,934.31,937.4,-0.0248,209.69,40408300
2/1/2005,934.73,940.19,927.85,928.99,-0.009,249.08,49294400
2/2/2005,928.58,972.6,928.58,972.6,0.0469,419.06,77959700
2/3/2005,973,979.82,961.17,962.79,-0.0101,433.64,78598900
2/4/2005,962.27,979.27,959.19,976.63,0.0144,319.59,56739900
2/16/2005,981.33,986.47,978.81,983.03,0.0066,249.46,44049100
2/17/2005,981.8,985.87,975.21,985.87,0.0029,253.59,46990300
2/18/2005,984.48,984.48,972.64,973.15,-0.0129,189.3,33902000
2/21/2005,973,985.55,973,985.55,0.0127,218.44,37684500
2/22/2005,986.2,1008.79,985.41,1008.79,0.0236,511.69,82862300
2/23/2005,1008.39,1011.64,998.69,1008.97,0.0002,454.14,74572700
2/24/2005,1008.12,1011.25,1001.33,1011.25,0.0023,425.83,75757000
2/25/2005,1012.14,1024.56,1012.14,1013.09,0.0018,490.96,79945800
2/28/2005,1013.71,1014.66,1005.38,1008.26,-0.0048,452.14,66871600
3/1/2005,1006.45,1007.16,999.95,1006.8,-0.0014,287.32,49034200
3/2/2005,1006.75,1014.39,997.14,997.5,-0.0092,324.95,54699200
3/3/2005,996.69,1000.91,989.85,1000.91,0.0034,297.79,51244300
3/4/2005,1001.05,1005.13,996.8,999.36,-0.0015,258.03,44520900
3/7/2005,998.92,1002.44,996.54,1001.99,0.0026,239.12,36285500
3/8/2005,1001.69,1028.42,1001.69,1028.42,0.0264,583.02,82130600
3/9/2005,1030.63,1035.71,1024.25,1029.15,0.0007,591.34,90528000
3/10/2005,1028.47,1030.49,1006.97,1010.29,-0.0183,446.72,69954100
3/11/2005,1008.66,1018.01,1004.33,1017.73,0.0074,450.36,68208600
3/14/2005,1016.86,1032.73,1004.61,1025.06,0.0072,634.45,84114600
3/15/2005,1025.65,1025.65,1011.88,1013.07,-0.0117,454.17,61594800
3/16/2005,1012.82,1012.82,992.49,999.66,-0.0132,374.71,52201100
3/17/2005,999.16,1003.22,989.27,991.79,-0.0079,290.58,45420900
3/18/2005,990.3,992.56,965.05,967.8,-0.0242,317.61,52962700
3/21/2005,964.74,972.67,960.57,971.57,0.0039,256.35,40319100
3/22/2005,970.96,971.2,952.34,959.51,-0.0124,364.62,55755700
3/23/2005,957.66,973.15,950.09,957.74,-0.0018,379.78,59121900
3/24/2005,954.42,961.83,943.05,961.83,0.0043,325.07,48797000
3/25/2005,961.17,961.17,954.13,957.59,-0.0044,213.45,41433900
3/28/2005,955.07,955.07,939.29,951.66,-0.0062,210.53,35408700
3/29/2005,951.95,956.66,942.82,942.91,-0.0092,374.77,60405900
3/30/2005,940.05,940.05,918.1,918.37,-0.026,301,50408900
3/31/2005,915.62,920.03,907.37,919.96,0.0017,218.18,39715800
4/1/2005,919.34,957.98,910.89,953.31,0.0363,361,61177600
4/4/2005,945.77,945.77,933.56,935.92,-0.0182,297.99,47951100
4/5/2005,935.42,937.82,931.53,933.44,-0.0026,298.39,53830700
4/6/2005,933.44,953.5,929.07,952.59,0.0205,372.49,60058400
4/7/2005,956.89,980.27,956.24,967.58,0.0157,601.47,100925800
4/8/2005,968.9,983.52,965.46,983.52,0.0165,621.51,114676400
4/11/2005,988.78,988.93,978.44,981.01,-0.0026,800.93,130391100
4/12/2005,979.79,979.79,960.12,960.59,-0.0208,486.11,84900100
4/13/2005,964.25,980.21,964.25,976.89,0.017,613.73,108088600
4/14/2005,981.12,981.12,963.2,965.02,-0.0122,544.42,91869800
4/15/2005,961.94,961.94,945.89,948.89,-0.0167,480.63,83205800
4/18/2005,945.4,945.4,932.56,937.37,-0.0121,283.16,54478700
4/19/2005,935.96,938.73,929.05,934.03,-0.0036,262.33,49643500
4/20/2005,932.91,932.91,916.43,918.2,-0.0169,304.16,58991000
4/21/2005,915.89,926.14,911.99,916.77,-0.0016,362.86,59440300
4/22/2005,917.47,923.33,904.1,906.76,-0.0109,343.54,65242800
4/25/2005,897.94,901.38,891.18,901.34,-0.006,356.59,63702700
4/26/2005,902.27,918.5,898.7,916.37,0.0167,390.61,77969600
4/27/2005,918.95,918.95,902.73,903.28,-0.0143,328.09,57442100
4/28/2005,901.36,923.97,897.93,922.4,0.0212,433.51,77060400
4/29/2005,922.61,922.61,909.6,910.02,-0.0134,315.67,62628800
5/9/2005,912.8,912.8,886.95,887.02,-0.0253,274.36,46045500
5/10/2005,884.32,885.64,862.22,885.55,-0.0017,294.81,49292900
5/11/2005,883.3,889.26,869.26,870.43,-0.0171,283.54,46188600
5/12/2005,865.93,865.93,851.58,860.52,-0.0114,275.02,45496700
5/13/2005,857.92,867.15,852.8,867.15,0.0077,225.12,39537400
5/16/2005,865.66,865.66,856.76,861.97,-0.006,214.83,38840400
5/17/2005,861.37,884.05,861.37,883.07,0.0245,446.89,83034600
5/18/2005,878.95,885.57,872.23,884.56,0.0017,290.42,55075600
5/19/2005,882.53,885.12,872.63,882.97,-0.0018,230.05,43352300
5/20/2005,882.95,886.38,878.84,882.87,-0.0001,218.76,42591000
5/23/2005,881.08,881.08,863.33,865.17,-0.02,203.38,40723300
5/24/2005,861.62,870.13,857.3,867.14,0.0023,258.91,47908000
5/25/2005,866.08,866.08,852.97,858.71,-0.0097,356.35,58654900
5/26/2005,856.51,856.51,831.59,837.57,-0.0246,291.41,54013300
5/27/2005,835.25,838.09,825.37,826.86,-0.0128,176.52,32062800
5/30/2005,825.3,830.67,816.93,830.12,0.0039,181.94,31150300
5/31/2005,830.62,835.35,828.13,832.12,0.0024,173.68,38278300
6/1/2005,830,830.45,814.8,816.5,-0.0188,166.76,32689600
6/2/2005,815.52,815.52,787.31,795,-0.0263,259.97,42936000
6/3/2005,788.18,794.68,780.68,794.68,-0.0004,162.5,34074300
6/6/2005,789.13,813.17,780.84,813.17,0.0233,198.84,41047300
6/7/2005,813.58,828.75,807.34,809.96,-0.0039,332.91,64502600
6/8/2005,811.61,875.22,811.61,871.78,0.0763,819.71,157935700
6/9/2005,869.34,882.04,861.35,872.17,0.0004,891.32,164682300
6/10/2005,871.47,871.47,842.88,844.93,-0.0312,458.37,89228500
6/13/2005,846.13,849.78,833.06,848.57,0.0043,294.95,62570800
6/14/2005,849.06,857.32,830.41,830.41,-0.0214,414.09,87026300
6/15/2005,825.9,825.9,807.31,807.88,-0.0271,248.74,48470000
6/16/2005,807.02,817.97,798.76,817.97,0.0125,278.99,53994400
6/17/2005,821.2,821.2,808.4,811.16,-0.0083,280.68,57610000
6/20/2005,809.63,832.95,802.95,832.95,0.0269,315.66,62563100
6/21/2005,829.84,829.84,819.08,822.88,-0.0121,423.24,78682700
6/22/2005,821.48,828.04,818.36,828.04,0.0063,290.18,55031900
6/23/2005,827.12,831.01,821.08,821.66,-0.0077,302.12,56087700
6/24/2005,820.51,824.77,813.12,824.77,0.0038,297.69,56802300
6/27/2005,831.11,848.91,831.11,846.65,0.0265,517.91,99696000
6/28/2005,844.6,844.6,833.24,836.25,-0.0123,393.16,70148900
6/29/2005,836.46,837.8,831.03,831.4,-0.0058,299.44,55491500
6/30/2005,830.59,830.59,811.99,812.76,-0.0224,310.85,57231900
7/1/2005,809.5,809.5,788.65,788.65,-0.0297,321.99,63736900
7/4/2005,786.45,786.45,765.29,778.82,-0.0125,238.32,52144700
7/5/2005,778.11,781.7,771.25,777.14,-0.0022,164.02,32651800
7/6/2005,775.37,782.42,770.77,774.73,-0.0031,173.4,33081500
7/7/2005,774.73,776.8,769.15,775.47,0.001,175.88,38130400
7/8/2005,774.88,774.88,755.39,755.73,-0.0255,195.94,45073800
7/11/2005,757.09,773.81,750.89,750.89,-0.0064,208.88,43659900
7/12/2005,748.83,767.47,740.84,767.47,0.0221,321.47,63862800
7/13/2005,765.98,765.98,758.05,758.7,-0.0114,205.31,43921800
7/14/2005,758.38,763.72,755.51,761.24,0.0033,209.36,42052400
7/15/2005,761.95,766.66,744.79,745.67,-0.0205,226.71,53781000
7/18/2005,743.06,743.06,729.18,730.92,-0.0198,174.52,43878900
7/19/2005,730.37,737.13,727.58,733.12,0.003,131.77,30721000
7/20/2005,734.66,742.82,733.49,740.29,0.0098,148.74,31952100
7/21/2005,739.77,740.88,733.12,739.27,-0.0014,138.16,30296200
7/22/2005,738.93,757.83,738.87,754.15,0.0201,326.79,71495400
7/25/2005,754.02,755.19,748.84,755.19,0.0014,211.65,44146900
7/26/2005,754.61,768.73,754.61,767.82,0.0167,319.65,70129500
7/27/2005,769.51,782.07,765.56,782.07,0.0186,390.16,76579800
7/28/2005,782.34,786.59,775.86,778.44,-0.0046,465.52,96707900
7/29/2005,779.35,779.35,769.79,774.3,-0.0053,284.76,63889500
8/1/2005,773.56,781.64,772.83,779.52,0.0067,230.2,50889600
8/2/2005,780.4,790.67,777.05,790.67,0.0143,317.42,68111900
8/3/2005,792.16,804.47,792.16,797.19,0.0082,588.56,131495900
8/4/2005,798.57,799.63,792.77,794.97,-0.0028,549.59,103487300
8/5/2005,795,813.02,795,813.02,0.0227,676.74,121693500
8/8/2005,815.29,819.97,812.56,814.98,0.0024,864.05,150039100
8/9/2005,814.54,820.46,809.72,820.46,0.0067,716.55,130004500
8/10/2005,821.51,835.35,814.53,835.35,0.0181,880.67,171044200
8/11/2005,836.07,848.85,835.97,848.85,0.0162,987.12,175874300
8/12/2005,850.29,852.27,828.44,829.26,-0.0231,985.17,184226100
8/15/2005,828.87,852.31,828.87,852.31,0.0278,792.62,146181600
8/16/2005,853.64,858.16,844.34,850.3,-0.0024,874.08,161856800
8/17/2005,847.47,859.02,834.28,858.94,0.0102,740.88,142862600
8/18/2005,858.8,863.83,827.23,827.23,-0.0369,1021,188044900
8/19/2005,824.21,831,808.48,819.89,-0.0089,631.74,112708100
8/22/2005,819.2,833.62,816.6,833.62,0.0167,404.08,90526500
8/23/2005,834.09,834.09,821.04,827.52,-0.0073,449.71,99968800
8/24/2005,828.12,838.11,828.12,836.23,0.0105,579.5,135090200
8/25/2005,836.64,839.22,828.71,839.22,0.0036,501.31,116036300
8/26/2005,839.62,842.91,835.98,842.47,0.0039,550.41,122210500
8/29/2005,842.49,842.49,828.49,831.36,-0.0132,528.58,120588700
8/30/2005,830.23,830.23,824.34,826.13,-0.0063,422.96,87642600
8/31/2005,826.12,850.14,826.12,850.14,0.0291,622.66,119836300
