date,932080.CSI_open,932080.CSI_high,932080.CSI_low,932080.CSI_close,932080.CSI_change,932080.CSI_amount,932080.CSI_volume
2004-12-31,1000.0,1000.0,1000.0,1000.0,0.0,1170.53,221527000
2005-01-04,987.34,987.34,987.34,987.34,-0.0127,967.05,183552500
2005-01-05,1004.33,1004.33,1004.33,1004.33,0.0172,1508.91,251278400
2005-01-06,997.5,997.5,997.5,997.5,-0.0068,1083.69,194078700
2005-01-07,1003.38,1003.38,1003.38,1003.38,0.0059,1241.44,216056200
2005-01-10,1014.06,1014.06,1014.06,1014.06,0.0106,980.78,172799000
2005-01-11,1019.19,1019.19,1019.19,1019.19,0.0051,1153.93,215164200
2005-01-12,1016.42,1016.42,1016.42,1016.42,-0.0027,1103.96,223180400
2005-01-13,1018.29,1018.29,1018.29,1018.29,0.0018,1319.4,247453800
2005-01-14,1007.05,1007.05,1007.05,1007.05,-0.011,1250.42,240851600
2005-01-17,987.97,987.97,987.97,987.97,-0.0189,1166.92,228869100
2005-01-18,1001.05,1001.05,1001.05,1001.05,0.0132,1214.66,232039900
2005-01-19,997.84,997.84,997.84,997.84,-0.0032,1108.33,216619300
2005-01-20,987.04,987.04,987.04,987.04,-0.0108,1258.59,234424400
2005-01-21,1005.37,1005.37,1005.37,1005.37,0.0186,1917.46,365843400
2005-01-24,1020.62,1020.62,1020.62,1020.62,0.0152,1903.98,367333000
2005-01-25,1014.68,1014.68,1014.68,1014.68,-0.0058,1287.09,244277100
2005-01-26,1004.95,1004.95,1004.95,1004.95,-0.0096,1187.04,222900400
2005-01-27,986.18,986.18,986.18,986.18,-0.0187,1195.06,217356500
2005-01-28,972.23,972.23,972.23,972.23,-0.0141,966.08,195755100
2005-01-31,940.91,940.91,940.91,940.91,-0.0322,1101.36,222752000
2005-02-01,930.39,930.39,930.39,930.39,-0.0112,1049.08,235257500
2005-02-02,986.14,986.14,986.14,986.14,0.0599,2134.04,424568600
2005-02-03,968.93,968.93,968.93,968.93,-0.0175,2379.13,476341800
2005-02-04,989.62,989.62,989.62,989.62,0.0214,1970.59,382743100
2005-02-16,997.33,997.33,997.33,997.33,0.0078,1558.93,300938700
2005-02-17,1001.17,1001.17,1001.17,1001.17,0.0039,1357.54,266685500
2005-02-18,987.32,987.32,987.32,987.32,-0.0138,1126.61,217589100
2005-02-21,1004.63,1004.63,1004.63,1004.63,0.0175,1282.21,247567200
2005-02-22,1031.22,1031.22,1031.22,1031.22,0.0265,2796.9,555347900
2005-02-23,1041.55,1041.55,1041.55,1041.55,0.01,3495.34,693254900
2005-02-24,1045.67,1045.67,1045.67,1045.67,0.004,3148.03,590544300
2005-02-25,1045.29,1045.29,1045.29,1045.29,-0.0004,3540.78,646498000
2005-02-28,1042.29,1042.29,1042.29,1042.29,-0.0029,2430.36,447734700
2005-03-01,1039.84,1039.84,1039.84,1039.84,-0.0024,1822.35,338742100
2005-03-02,1022.08,1022.08,1022.08,1022.08,-0.0171,2135.91,388884500
2005-03-03,1024.42,1024.42,1024.42,1024.42,0.0023,1607.09,295210400
2005-03-04,1018.25,1018.25,1018.25,1018.25,-0.006,1364.45,251971500
2005-03-07,1022.2,1022.2,1022.2,1022.2,0.0039,1356.35,249320900
2005-03-08,1041.75,1041.75,1041.75,1041.75,0.0191,2363.41,402136700
2005-03-09,1044.56,1044.56,1044.56,1044.56,0.0027,2554.08,437828300
2005-03-10,1017.91,1017.91,1017.91,1017.91,-0.0255,2136.14,376854600
2005-03-11,1024.59,1024.59,1024.59,1024.59,0.0066,2110.6,362047600
2005-03-14,1019.94,1019.94,1019.94,1019.94,-0.0045,2413.25,414005300
2005-03-15,1005.07,1005.07,1005.07,1005.07,-0.0146,1885.58,340812800
2005-03-16,996.48,996.48,996.48,996.48,-0.0085,1924.86,347643700
2005-03-17,980.23,980.23,980.23,980.23,-0.0163,1938.66,340105100
2005-03-18,960.03,960.03,960.03,960.03,-0.0206,1745.11,300410000
2005-03-21,956.17,956.17,956.17,956.17,-0.004,1205.29,224359900
2005-03-22,927.25,927.25,927.25,927.25,-0.0302,1623.75,326085700
2005-03-23,927.21,927.21,927.21,927.21,0.0,1492.3,288676400
2005-03-24,937.8,937.8,937.8,937.8,0.0114,1227.86,229636700
2005-03-25,934.91,934.91,934.91,934.91,-0.0031,1023.09,202535100
2005-03-28,927.94,927.94,927.94,927.94,-0.0075,1134.77,218204300
2005-03-29,920.54,920.54,920.54,920.54,-0.008,1062.84,214595300
2005-03-30,897.85,897.85,897.85,897.85,-0.0246,1183.08,253481300
2005-03-31,904.97,904.97,904.97,904.97,0.0079,1003.47,227929800
2005-04-01,934.03,934.03,934.03,934.03,0.0321,2019.66,414868200
2005-04-04,913.76,913.76,913.76,913.76,-0.0217,1419.4,288375000
2005-04-05,906.02,906.02,906.02,906.02,-0.0085,1332.12,268499800
2005-04-06,914.79,914.79,914.79,914.79,0.0097,1843.73,353028400
2005-04-07,933.15,933.15,933.15,933.15,0.0201,2935.67,578113400
2005-04-08,950.48,950.48,950.48,950.48,0.0186,2243.04,464407400
2005-04-11,948.76,948.76,948.76,948.76,-0.0018,2465.99,504614500
2005-04-12,929.19,929.19,929.19,929.19,-0.0206,1633.72,335660200
2005-04-13,956.3,956.3,956.3,956.3,0.0292,2421.26,501278000
2005-04-14,943.87,943.87,943.87,943.87,-0.013,2449.45,510330600
2005-04-15,922.63,922.63,922.63,922.63,-0.0225,1900.95,404204700
2005-04-18,908.26,908.26,908.26,908.26,-0.0156,1438.32,320767700
2005-04-19,909.05,909.05,909.05,909.05,0.0009,1301.38,298196200
2005-04-20,894.26,894.26,894.26,894.26,-0.0163,1446.65,321466800
2005-04-21,877.77,877.77,877.77,877.77,-0.0184,1564.91,341932100
2005-04-22,865.5,865.5,865.5,865.5,-0.014,1701.86,370128000
2005-04-25,856.03,856.03,856.03,856.03,-0.0109,1299.53,315137600
2005-04-26,873.7,873.7,873.7,873.7,0.0206,1424.86,342745700
2005-04-27,859.65,859.65,859.65,859.65,-0.0161,1365.82,300179600
2005-04-28,875.08,875.08,875.08,875.08,0.0179,1946.13,423016700
2005-04-29,862.55,862.55,862.55,862.55,-0.0143,1350.46,322822600
2005-05-09,837.53,837.53,837.53,837.53,-0.029,1047.49,247138300
2005-05-10,839.65,839.65,839.65,839.65,0.0025,1260.97,304573400
2005-05-11,832.9,832.9,832.9,832.9,-0.008,1209.88,295394300
2005-05-12,828.74,828.74,828.74,828.74,-0.005,1095.79,257461800
2005-05-13,835.39,835.39,835.39,835.39,0.008,1285.75,301135400
2005-05-16,830.33,830.33,830.33,830.33,-0.0061,1046.36,249634700
2005-05-17,839.0,839.0,839.0,839.0,0.0104,1198.83,306677200
2005-05-18,844.9,844.9,844.9,844.9,0.007,1102.49,261523500
2005-05-19,844.16,844.16,844.16,844.16,-0.0009,983.45,235950900
2005-05-20,836.74,836.74,836.74,836.74,-0.0088,957.81,226775600
2005-05-23,813.07,813.07,813.07,813.07,-0.0283,1100.46,293482700
2005-05-24,828.29,828.29,828.29,828.29,0.0187,1158.56,298011500
2005-05-25,834.1,834.1,834.1,834.1,0.007,1200.91,319300800
2005-05-26,826.15,826.15,826.15,826.15,-0.0095,1018.58,252173200
2005-05-27,819.85,819.85,819.85,819.85,-0.0076,1028.97,248471800
2005-05-30,826.54,826.54,826.54,826.54,0.0082,1006.6,254624000
2005-05-31,825.74,825.74,825.74,825.74,-0.001,1189.84,324324700
2005-06-01,810.86,810.86,810.86,810.86,-0.018,1035.03,272155100
2005-06-02,799.6,799.6,799.6,799.6,-0.0139,1061.8,266245600
2005-06-03,793.74,793.74,793.74,793.74,-0.0073,910.47,230745600
2005-06-06,806.11,806.11,806.11,806.11,0.0156,1004.8,258389200
2005-06-07,809.01,809.01,809.01,809.01,0.0036,1491.09,377199700
2005-06-08,871.27,871.27,871.27,871.27,0.077,3530.47,878407300
2005-06-09,880.33,880.33,880.33,880.33,0.0104,3715.07,905196800
2005-06-10,863.06,863.06,863.06,863.06,-0.0196,2513.77,638698100
2005-06-13,870.6,870.6,870.6,870.6,0.0087,2243.29,585527300
2005-06-14,853.09,853.09,853.09,853.09,-0.0201,1795.58,445356500
2005-06-15,829.14,829.14,829.14,829.14,-0.0281,1300.33,353143400
2005-06-16,838.73,838.73,838.73,838.73,0.0116,1171.53,285769500
2005-06-17,839.38,839.38,839.38,839.38,0.0008,1294.6,304058700
2005-06-20,861.34,861.34,861.34,861.34,0.0262,1836.93,420045700
2005-06-21,853.09,853.09,853.09,853.09,-0.0096,1381.87,327310800
2005-06-22,853.94,853.94,853.94,853.94,0.001,1148.52,268218300
2005-06-23,843.29,843.29,843.29,843.29,-0.0125,1076.87,257528500
2005-06-24,846.23,846.23,846.23,846.23,0.0035,960.59,244419500
2005-06-27,868.31,868.31,868.31,868.31,0.0261,2214.69,530468000
2005-06-28,853.92,853.92,853.92,853.92,-0.0166,1283.13,308968600
2005-06-29,850.06,850.06,850.06,850.06,-0.0045,1018.24,244279400
2005-06-30,826.81,826.81,826.81,826.81,-0.0274,1220.8,303595200
2005-07-01,800.5,800.5,800.5,800.5,-0.0318,1424.73,354866300
2005-07-04,791.54,791.54,791.54,791.54,-0.0112,1102.6,313982000
2005-07-05,787.23,787.23,787.23,787.23,-0.0054,921.1,208790100
2005-07-06,783.13,783.13,783.13,783.13,-0.0052,798.81,202591900
2005-07-07,786.67,786.67,786.67,786.67,0.0045,773.38,203615700
2005-07-08,768.54,768.54,768.54,768.54,-0.023,962.19,275460300
2005-07-11,763.02,763.02,763.02,763.02,-0.0072,992.85,268273200
2005-07-12,789.59,789.59,789.59,789.59,0.0348,1404.49,370646800
2005-07-13,783.94,783.94,783.94,783.94,-0.0072,1157.69,295333400
2005-07-14,783.27,783.27,783.27,783.27,-0.0009,1014.36,255876500
2005-07-15,768.49,768.49,768.49,768.49,-0.0189,1010.24,259018900
2005-07-18,752.17,752.17,752.17,752.17,-0.0212,904.06,259143600
2005-07-19,752.8,752.8,752.8,752.8,0.0008,772.03,218296600
2005-07-20,756.9,756.9,756.9,756.9,0.0054,767.9,216264900
2005-07-21,754.11,754.11,754.11,754.11,-0.0037,781.48,221127600
2005-07-22,770.17,770.17,770.17,770.17,0.0213,1838.41,477060000
2005-07-25,764.59,764.59,764.59,764.59,-0.0072,1196.73,309914000
2005-07-26,782.45,782.45,782.45,782.45,0.0234,1861.14,499166900
2005-07-27,803.2,803.2,803.2,803.2,0.0265,2062.18,547525400
2005-07-28,801.51,801.51,801.51,801.51,-0.0021,2198.92,589525900
2005-07-29,797.95,797.95,797.95,797.95,-0.0044,1467.13,411352800
2005-08-01,803.39,803.39,803.39,803.39,0.0068,1115.5,288652400
2005-08-02,816.14,816.14,816.14,816.14,0.0159,1533.52,430194800
2005-08-03,824.21,824.21,824.21,824.21,0.0099,2724.94,769798900
2005-08-04,815.99,815.99,815.99,815.99,-0.01,1542.95,417302800
2005-08-05,840.71,840.71,840.71,840.71,0.0303,2916.85,645626200
2005-08-08,850.72,850.72,850.72,850.72,0.0119,3218.33,764882500
2005-08-09,859.88,859.88,859.88,859.88,0.0108,2874.66,721799500
2005-08-10,865.87,865.87,865.87,865.87,0.007,3125.11,765477600
2005-08-11,874.41,874.41,874.41,874.41,0.0099,3732.59,874483800
2005-08-12,861.64,861.64,861.64,861.64,-0.0146,4133.93,979506000
2005-08-15,878.86,878.86,878.86,878.86,0.02,3186.18,697408000
2005-08-16,878.3,878.3,878.3,878.3,-0.0006,3699.82,829875900
2005-08-17,891.99,891.99,891.99,891.99,0.0156,3694.99,859613500
2005-08-18,862.98,862.98,862.98,862.98,-0.0325,5036.7,1183864300
2005-08-19,864.73,864.73,864.73,864.73,0.002,3151.44,776772000
2005-08-22,871.91,871.91,871.91,871.91,0.0083,1981.47,477217600
