,中国:产量:新能源汽车:累计同比,中国:产量:新能源汽车:当月同比,中国:产量:新能源汽车:当月值,中国:产量:新能源汽车:当月同比.1,中国:产量:汽车:累计同比,中国:产量:汽车:当月值,中国:产量:汽车:当月同比,中国:销量:新能源汽车:当月值,中国:销量:汽车:当月值,中国:销量:乘用车:当月值,中国:销量:新能源乘用车:当月值,中国:出口金额:人民币:汽车(包括底盘):累计同比,中国:规模以上工业增加值:汽车制造业:当月同比,中国:出口金额:人民币:汽车(包括底盘):当月同比,中国:出口金额:人民币:汽车(包括底盘):当月值,中国:规模以上工业增加值:汽车制造业:累计同比,中国:PPI:汽车制造业:当月同比,中国:库存量:汽车,中国:库存系数:汽车经销商,中国:限额以上企业商品零售额:汽车类:累计同比,中国:限额以上企业商品零售额:汽车类:当月同比,中国:限额以上企业商品零售额:汽车类:当月值,中国:产成品存货:汽车制造,库存系数:汽车经销商:当月值
2013-01-31,,,,,47.5,205.5,51.18,,2034488.0,1725525.0,,,,,,,,68.98,1.1,,,,,1.1
2013-02-28,,,,,12.4,144.5,-16.25,,1354619.0,1111892.0,,,,,,11.2,,66.62,2.01,6.9,6.9,,17501900.4,2.01
2013-03-31,,,,,13.5,229.0,10.88,,2035171.0,1585451.0,,,10.2,,,10.8,,72.1,1.63,6.4,5.5,2188.7,18159094.1,1.63
2013-04-30,,,,,15.4,203.2,15.29,,1841975.0,1441400.0,,,12.9,,,11.4,,78.04,1.68,8.1,13.0,2184.4,18384255.9,1.68
2013-05-31,,,,,15.3469,192.6895,13.52,,1761758.0,1397111.0,,,13.3,,,11.9,,80.12,1.58,8.4,9.7,2332.9,18663669.2,1.58
2013-06-30,,,,,15.1113,185.112,9.33,,1754119.0,1403516.0,,,10.6,,,11.7,,74.18,1.53,8.8,11.4,2408.3,18239448.3,1.53
2013-07-31,,,,,15.1549,170.7946,10.18,,1516619.0,1237625.0,,,14.1,,,12.0,,81.28,1.46,9.0,9.1,2250.9,18627846.8,1.46
2013-08-31,,,,,15.1087,179.5011,11.7,,1648902.0,1353235.0,,,13.9,,,12.2,-0.7,83.88,1.35,8.7,7.0,2306.5,18933059.8,1.35
2013-09-30,,,,,15.3239,207.1361,15.96,,1935820.0,1593512.0,,,17.7,,,12.9,-0.7,83.02,1.19,9.3,13.2,2567.4,18815069.4,1.19
2013-10-31,,,,,17.23,208.3368,20.74,,1932684.0,1605748.0,,,18.2,,,13.5,-1.0,81.23,1.29,9.8,14.2,2497.9,18680094.7,1.29
2013-11-30,,,,,18.1112,228.3711,21.17,,2043892.0,1696278.0,,,20.3,,,14.3,-1.0,89.98,1.38,10.0,11.6,2695.5,19326815.2,1.38
2013-12-31,,,,,18.4041,229.9736,19.78,,2134182.0,1776937.0,,,20.8,,,14.9,-1.0,90.23,1.0,10.4,13.4,3295.7,19808596.8,1.0
2014-01-31,,,,,,,4.44,,2156355.0,1846846.0,,,,,,,-1.0,,0.97,,,,,0.97
2014-02-28,,,,,12.5252,,21.53,,1596414.0,1312197.0,,,,,,15.5,-0.8,83.31,2.33,11.47,11.47,,19634342.7,2.33
2014-03-31,,,,,10.8,236.3,5.59,,2169085.0,1710067.0,,,11.7,,,14.0,-0.7,86.11,1.38,12.3,14.0,2669.3,20585304.3,1.38
2014-04-30,,,,,8.3572,220.5548,8.84,,2004253.0,1609035.0,,,11.5,,,13.3,-0.6326,91.92,1.52,12.3,12.3,2619.4,20845683.5,1.52
2014-05-31,,,,,10.7851,212.3403,10.97,,1911203.0,1590354.0,,,13.4,,,13.3,-0.5029,98.63,1.53,11.3,7.6,2602.5,21224230.5,1.53
2014-06-30,,,,,10.9014,203.3922,10.83,,1845847.0,1564117.0,,,13.6,,,13.4,-0.5,99.58,1.69,10.5,6.9,2769.4,21101239.7,1.69
2014-07-31,,,,,10.8474,185.4787,8.64,,1618144.0,1357948.0,,,12.8,,,13.4,-0.4,109.94,1.62,10.1,8.1,2610.2,22285821.7,1.62
2014-08-31,,,,,9.925,184.5352,2.22,,1715563.0,1468166.0,,,8.5,,,12.8,-0.4,110.27,1.56,9.5,5.3,2526.9,22742488.7,1.56
2014-09-30,,,,,9.2957,214.9914,4.18,,1983589.0,1696001.0,,0.7,10.7,,60.9281,12.5,-0.4,113.44,1.42,9.1,6.7,2918.7,23249155.8,1.42
2014-10-31,,,,,9.0,219.3,6.69,,1987178.0,1708861.0,,1.2,12.6,,59.2044,12.5,-0.4,119.09,1.48,8.6,4.5,2820.5,23802623.8,1.48
2014-11-30,,,,,8.4,232.7,1.24,,2090883.0,1775320.0,,-0.4,9.0,,62.2256,12.1,-0.4,126.01,1.83,7.9,2.0,2834.7,24405063.7,1.83
2014-12-31,,,,,7.1,225.3,7.05,21819.0,2410089.0,2061044.0,,3.6,8.5,,95.2286,11.8,-0.4,114.69,1.53,7.7,6.1,3745.7,23356943.0,1.53
2015-01-31,,,,,,,11.47,6395.0,2319611.0,2038003.0,4000.0,-14.7,,,61.6812,,-0.5,111.72,1.2,,,,,1.2
2015-02-28,,,,,4.6,176.6,-0.38,6045.0,1593301.0,1396733.0,4000.0,14.6,,,57.6435,8.4,-0.5,114.09,1.89,10.8088,10.8088,,23541064.1,1.89
2015-03-31,,,,,4.7,245.1,3.72,14122.0,2240556.0,1870357.0,11000.0,2.7,6.3,,48.3814,7.6,-0.6,121.74,1.77,6.5464,-1.3,2683.9719,24957335.7,1.77
2015-04-30,,,,,3.2,209.6,0.59,10000.0,1994507.0,1668824.0,8000.0,-0.2,5.0,,60.9414,6.9,-0.8,130.4,1.67,5.2718,1.6,2732.4965,25222383.1,1.67
