,中国:日均销量(厂家零售):乘用车
2015-03-06,38595.0
2015-03-09,38595.0
2015-03-10,38595.0
2015-03-11,38595.0
2015-03-12,38595.0
2015-03-13,40050.0
2015-03-16,40050.0
2015-03-17,40050.0
2015-03-18,40050.0
2015-03-19,40050.0
2015-03-20,44909.0
2015-03-23,44909.0
2015-03-24,44909.0
2015-03-25,44909.0
2015-03-26,44909.0
2015-03-27,44909.0
2015-03-30,44909.0
2015-03-31,59710.0
2015-04-01,59710.0
2015-04-02,59710.0
2015-04-03,40219.0
2015-04-07,40219.0
2015-04-08,40219.0
2015-04-09,40219.0
2015-04-10,30325.0
2015-04-13,30325.0
2015-04-14,30325.0
2015-04-15,30325.0
2015-04-16,30325.0
2015-04-17,38475.0
2015-04-20,38475.0
2015-04-21,38475.0
2015-04-22,38475.0
2015-04-23,38475.0
2015-04-24,44930.0
2015-04-27,44930.0
2015-04-28,44930.0
2015-04-29,44930.0
2015-04-30,44930.0
2015-05-04,44930.0
2015-05-05,44930.0
2015-05-06,44930.0
2015-05-07,44930.0
2015-05-08,36323.0
2015-05-11,36323.0
2015-05-12,36323.0
2015-05-13,36323.0
2015-05-14,36323.0
2015-05-15,36983.0
2015-05-18,36983.0
2015-05-19,36983.0
2015-05-20,36983.0
2015-05-21,36983.0
2015-05-22,38518.0
2015-05-25,38518.0
2015-05-26,38518.0
2015-05-27,38518.0
2015-05-28,38518.0
2015-05-29,38518.0
2015-06-01,38518.0
2015-06-02,38518.0
2015-06-03,38518.0
2015-06-04,38518.0
2015-06-05,33583.0
2015-06-08,33583.0
2015-06-09,33583.0
2015-06-10,33583.0
2015-06-11,33583.0
2015-06-12,30722.0
2015-06-15,30722.0
2015-06-16,30722.0
2015-06-17,30722.0
2015-06-18,30722.0
2015-06-19,36463.0
2015-06-23,36463.0
2015-06-24,36463.0
2015-06-25,36463.0
2015-06-26,36463.0
2015-06-29,36463.0
2015-06-30,55573.0
2015-07-01,55573.0
2015-07-02,55573.0
2015-07-03,55573.0
2015-07-06,55573.0
2015-07-07,55573.0
2015-07-08,55573.0
2015-07-09,55573.0
2015-07-10,29391.0
2015-07-13,29391.0
2015-07-14,29391.0
2015-07-15,29391.0
2015-07-16,29391.0
2015-07-17,32610.0
2015-07-20,32610.0
2015-07-21,32610.0
2015-07-22,32610.0
2015-07-23,32610.0
2015-07-24,38232.0
2015-07-27,38232.0
2015-07-28,38232.0
2015-07-29,38232.0
2015-07-30,38232.0
2015-07-31,53439.0
2015-08-03,53439.0
2015-08-04,53439.0
2015-08-05,53439.0
2015-08-06,53439.0
2015-08-07,31639.0
2015-08-10,31639.0
2015-08-11,31639.0
2015-08-12,31639.0
2015-08-13,31639.0
2015-08-14,36906.0
2015-08-17,36906.0
2015-08-18,36906.0
2015-08-19,36906.0
2015-08-20,36906.0
2015-08-21,39117.0
2015-08-24,39117.0
2015-08-25,39117.0
2015-08-26,39117.0
2015-08-27,39117.0
2015-08-28,39117.0
2015-08-31,52088.0
2015-09-01,52088.0
2015-09-02,52088.0
2015-09-07,52088.0
2015-09-08,52088.0
2015-09-09,52088.0
2015-09-10,52088.0
2015-09-11,38130.0
2015-09-14,38130.0
2015-09-15,38130.0
2015-09-16,38130.0
2015-09-17,38130.0
2015-09-18,46925.0
2015-09-21,46925.0
2015-09-22,46925.0
2015-09-23,46925.0
2015-09-24,46925.0
2015-09-25,51678.0
2015-09-28,51678.0
2015-09-29,51678.0
2015-09-30,80821.0
2015-10-08,80821.0
2015-10-09,80821.0
2015-10-12,32118.0
2015-10-13,32118.0
2015-10-14,32118.0
2015-10-15,32118.0
2015-10-16,60357.0
2015-10-19,60357.0
2015-10-20,60357.0
2015-10-21,60357.0
2015-10-22,60357.0
2015-10-23,53340.0
2015-10-26,53340.0
2015-10-27,53340.0
2015-10-28,53340.0
2015-10-29,53340.0
2015-10-30,53340.0
2015-11-02,68915.0
2015-11-03,68915.0
2015-11-04,68915.0
2015-11-05,68915.0
2015-11-06,26875.0
2015-11-09,26875.0
2015-11-10,26875.0
2015-11-11,26875.0
2015-11-12,26875.0
2015-11-13,49841.0
2015-11-16,49841.0
2015-11-17,49841.0
2015-11-18,49841.0
2015-11-19,49841.0
2015-11-20,54940.0
2015-11-23,54940.0
2015-11-24,54940.0
2015-11-25,54940.0
2015-11-26,54940.0
2015-11-27,54940.0
2015-11-30,76026.0
2015-12-01,76026.0
2015-12-02,76026.0
2015-12-03,76026.0
2015-12-04,50339.0
2015-12-07,50339.0
2015-12-08,50339.0
2015-12-09,50339.0
2015-12-10,50339.0
2015-12-11,52965.0
2015-12-14,52965.0
2015-12-15,52965.0
2015-12-16,52965.0
2015-12-17,52965.0
2015-12-18,65603.0
2015-12-21,65603.0
2015-12-22,65603.0
2015-12-23,65603.0
2015-12-24,65603.0
2015-12-25,70870.0
2015-12-28,70870.0
2015-12-29,70870.0
2015-12-30,70870.0
2015-12-31,91268.0
2016-01-04,91268.0
2016-01-05,91268.0
2016-01-06,91268.0
2016-01-07,91268.0
2016-01-08,57834.0
2016-01-11,57834.0
2016-01-12,57834.0
2016-01-13,57834.0
2016-01-14,57834.0
2016-01-15,61396.0
2016-01-18,61396.0
2016-01-19,61396.0
2016-01-20,61396.0
2016-01-21,61396.0
2016-01-22,70391.0
2016-01-25,70391.0
2016-01-26,70391.0
2016-01-27,70391.0
2016-01-28,70391.0
2016-01-29,70391.0
2016-02-01,76161.0
2016-02-02,76161.0
2016-02-03,76161.0
2016-02-04,76161.0
2016-02-05,76161.0
2016-02-15,57130.0
2016-02-16,57130.0
2016-02-17,57130.0
2016-02-18,57130.0
2016-02-19,46061.0
2016-02-22,46061.0
2016-02-23,46061.0
2016-02-24,46061.0
2016-02-25,46061.0
2016-02-26,46061.0
2016-02-29,56283.0
2016-03-01,56283.0
2016-03-02,56283.0
2016-03-03,56283.0
2016-03-04,52164.0
2016-03-07,52164.0
2016-03-08,52164.0
2016-03-09,52164.0
2016-03-10,52164.0
2016-03-11,42836.0
2016-03-14,42836.0
2016-03-15,42836.0
2016-03-16,42836.0
2016-03-17,42836.0
2016-03-18,47165.0
2016-03-21,47165.0
2016-03-22,47165.0
2016-03-23,47165.0
2016-03-24,47165.0
2016-03-25,53321.0
2016-03-28,53321.0
2016-03-29,53321.0
2016-03-30,53321.0
2016-03-31,75536.0
