,中国:36大中城市日用工业消费品平均价格:空调机(1.5匹冷暖),中国:36大中城市日用工业消费品平均价格:冰箱(210-250立升),中国:36大中城市日用工业消费品平均价格:洗衣机(波轮式,中国:36大中城市日用工业消费品平均价格:彩电(液晶42寸),中国:36大中城市日用工业消费品平均价格:洗衣机(滚筒式,中国:36大中城市日用工业消费品平均价格:燃气灶具(嵌入式燃气灶),中国:限额以上企业商品零售额:家用电器和音像器材类:当月同比,中国:产量:空调:当月值,中国:产量:空调:当月同比,中国:产量:家用电冰箱:当月值,中国:产量:家用电冰箱:当月同比,中国:产量:家用洗衣机:当月值,中国:产量:家用洗衣机:当月同比,中国:产量:彩电:当月值,中国:产量:彩电:当月同比,大家电:冰箱:库存:当月值,大家电:冰箱:总计:出货量:当月值,大家电:冰箱:推总:零售量:当月值,大家电:冰箱:推总:零售量同比:当月值,大家电:冰箱:推总:零售额:当月值,大家电:冰箱:推总:零售额同比:当月值,大家电:空调:库存:当月值,大家电:空调:总计:出货量:当月值,大家电:空调:总计:出货量同比:当月值,大家电:空调:推总:零售量:当月值,大家电:空调:推总:零售量同比:当月值,白电推总:零售量同比增速:当月同比,白电推总:零售额同比增速:当月同比,中国:产量:新能源汽车:累计同比,中国:产量:新能源汽车:当月同比,中国:产量:新能源汽车:当月值,中国:产量:新能源汽车:当月同比.1,中国:产量:汽车:累计同比,中国:产量:汽车:当月值,中国:产量:汽车:当月同比,中国:销量:新能源汽车:当月值,中国:销量:汽车:当月值,中国:销量:乘用车:当月值,中国:销量:新能源乘用车:当月值,中国:出口金额:人民币:汽车(包括底盘):累计同比,中国:规模以上工业增加值:汽车制造业:当月同比,中国:出口金额:人民币:汽车(包括底盘):当月同比,中国:出口金额:人民币:汽车(包括底盘):当月值,中国:规模以上工业增加值:汽车制造业:累计同比,中国:PPI:汽车制造业:当月同比,中国:库存量:汽车,中国:库存系数:汽车经销商,中国:限额以上企业商品零售额:汽车类:累计同比,中国:限额以上企业商品零售额:汽车类:当月同比,中国:限额以上企业商品零售额:汽车类:当月值,中国:产成品存货:汽车制造,库存系数:汽车经销商:当月值
2013-01-31,3563.0,3115.0,1417.0,4190.0,2671.0,1722.0,,,,736.0,15.7,594.9,49.0,,,350.7,530.5,,,,,757.68,897.6,29.2,,,,,,,,,47.5,205.5,51.18,,2034488.0,1725525.0,,,,,,,,68.98,1.1,,,,,1.1
2013-02-28,3579.0,3108.0,1418.0,4215.0,2684.0,1736.0,16.7,769.0,-33.04,515.9,-2.2,374.7,-26.2,,,258.56,542.1,,,,,708.37,713.2,-16.6,,,,,,,,,12.4,144.5,-16.25,,1354619.0,1111892.0,,,,,,11.2,,66.62,2.01,6.9,6.9,,17501900.4,2.01
2013-03-31,3583.0,3128.0,1426.0,4252.0,2728.0,1743.0,16.6,1605.7,24.3,898.8,13.8,653.1,14.5,1119.3,3.1,247.96,760.2,,,,,652.57,1311.6,6.3,,,,,,,,,13.5,229.0,10.88,,2035171.0,1585451.0,,,10.2,,,10.8,,72.1,1.63,6.4,5.5,2188.7,18159094.1,1.63
2013-04-30,,,,,,,15.3,1592.1,3.8,964.5,12.6,584.1,5.6,1173.2,1.4,252.58,773.4,,,,,668.47,1304.6,9.3,,,,,,,,,15.4,203.2,15.29,,1841975.0,1441400.0,,,12.9,,,11.4,,78.04,1.68,8.1,13.0,2184.4,18384255.9,1.68
2013-05-31,,,,,,,21.5,1532.6167,-13.5717,981.7281,28.5175,567.1465,3.4462,995.549,5.4252,262.72,765.9,,,,,640.92,1248.7,0.0,,,,,,,,,15.3469,192.6895,13.52,,1761758.0,1397111.0,,,13.3,,,11.9,,80.12,1.58,8.4,9.7,2332.9,18663669.2,1.58
2013-06-30,3562.0,3213.0,1481.0,4171.0,2758.0,1730.0,11.7,1316.2599,15.9165,920.4991,6.1183,559.0605,15.2156,974.57,4.0814,234.7,737.5,,,,,563.22,1043.9,0.2,,,,,,,,,15.1113,185.112,9.33,,1754119.0,1403516.0,,,10.6,,,11.7,,74.18,1.53,8.8,11.4,2408.3,18239448.3,1.53
2013-07-31,,,,,,,7.5,1191.1378,26.6603,872.1956,3.4248,531.0863,4.0862,969.7669,-9.9799,222.18,717.5,,,,,634.97,901.6,8.3,,,,,,,,,15.1549,170.7946,10.18,,1516619.0,1237625.0,,,14.1,,,12.0,,81.28,1.46,9.0,9.1,2250.9,18627846.8,1.46
2013-08-31,3545.0,3181.0,1503.0,4131.0,2716.0,1714.0,12.8,1018.3811,24.5941,793.1137,3.3513,629.4567,15.2296,1278.2087,2.332,233.73,694.4,,,,,520.46,818.8,16.3,,,,,,,,,15.1087,179.5011,11.7,,1648902.0,1353235.0,,,13.9,,,12.2,-0.7,83.88,1.35,8.7,7.0,2306.5,18933059.8,1.35
2013-09-30,,,,,,,14.2,1121.7461,9.1915,783.6761,9.457,697.2233,8.7613,1511.7616,-4.5437,267.58,613.1,,,,,490.31,816.6,16.0,,,,,,,,,15.3239,207.1361,15.96,,1935820.0,1593512.0,,,17.7,,,12.9,-0.7,83.02,1.19,9.3,13.2,2567.4,18815069.4,1.19
2013-10-31,3560.0,3192.0,1514.0,4125.0,2753.0,1721.0,12.5,1066.3751,11.8311,698.7611,13.1244,633.9615,3.0322,1303.5711,-12.9553,266.13,500.0,,,,,538.68,645.1,8.3,,,,,,,,,17.23,208.3368,20.74,,1932684.0,1605748.0,,,18.2,,,13.5,-1.0,81.23,1.29,9.8,14.2,2497.9,18680094.7,1.29
