date,中国:日均销量(厂家零售):乘用车
2013-01-04,
2013-01-11,
2013-01-18,
2013-01-25,
2013-02-01,
2013-02-08,
2013-02-22,
2013-03-01,
2013-03-08,
2013-03-15,
2013-03-22,
2013-03-29,
2013-04-03,
2013-04-12,
2013-04-19,
2013-04-26,
2013-05-03,
2013-05-10,
2013-05-17,
2013-05-24,
2013-05-31,
2013-06-07,
2013-06-14,
2013-06-21,
2013-06-28,
2013-07-05,
2013-07-12,
2013-07-19,
2013-07-26,
2013-08-02,
2013-08-09,
2013-08-16,
2013-08-23,
2013-08-30,
2013-09-06,
2013-09-13,
2013-09-18,
2013-09-27,
2013-09-30,
2013-10-11,
2013-10-18,
2013-10-25,
2013-11-01,
2013-11-08,
2013-11-15,
2013-11-22,
2013-11-29,
2013-12-06,
2013-12-13,
2013-12-20,
2013-12-27,
2014-01-03,
2014-01-10,
2014-01-17,
2014-01-24,
2014-01-30,
2014-02-07,
2014-02-14,
2014-02-21,
2014-02-28,
2014-03-07,
2014-03-14,
2014-03-21,
2014-03-28,
2014-04-04,
2014-04-11,
2014-04-18,
2014-04-25,
2014-04-30,
2014-05-09,
2014-05-16,
2014-05-23,
2014-05-30,
2014-06-06,
2014-06-13,
2014-06-20,
2014-06-27,
2014-07-04,
2014-07-11,
2014-07-18,
2014-07-25,
2014-08-01,
2014-08-08,
2014-08-15,
2014-08-22,
2014-08-29,
2014-09-05,
2014-09-12,
2014-09-19,
2014-09-26,
2014-09-30,
2014-10-10,
2014-10-17,
2014-10-24,
2014-10-31,
2014-11-07,
2014-11-14,
2014-11-21,
2014-11-28,
2014-12-05,
2014-12-12,
2014-12-19,
2014-12-26,
2014-12-31,
2015-01-09,
2015-01-16,
2015-01-23,
2015-01-30,
2015-02-06,
2015-02-13,
2015-02-17,
2015-02-27,
2015-03-06,38595.0
2015-03-13,40050.0
2015-03-20,44909.0
2015-03-27,44909.0
2015-04-03,40219.0
2015-04-10,30325.0
2015-04-17,38475.0
2015-04-24,44930.0
2015-04-30,44930.0
2015-05-08,36323.0
2015-05-15,36983.0
2015-05-22,38518.0
2015-05-29,38518.0
2015-06-05,33583.0
2015-06-12,30722.0
2015-06-19,36463.0
2015-06-26,36463.0
2015-07-03,55573.0
2015-07-10,29391.0
2015-07-17,32610.0
2015-07-24,38232.0
2015-07-31,53439.0
2015-08-07,31639.0
2015-08-14,36906.0
2015-08-21,39117.0
2015-08-28,39117.0
2015-09-02,52088.0
2015-09-11,38130.0
2015-09-18,46925.0
2015-09-25,51678.0
2015-09-30,80821.0
2015-10-09,32118.0
2015-10-16,60357.0
2015-10-23,53340.0
2015-10-30,68915.0
2015-11-06,26875.0
2015-11-13,49841.0
2015-11-20,54940.0
2015-11-27,54940.0
2015-12-04,50339.0
2015-12-11,52965.0
2015-12-18,65603.0
2015-12-25,70870.0
2015-12-31,91268.0
2016-01-08,57834.0
2016-01-15,61396.0
2016-01-22,70391.0
2016-01-29,76161.0
2016-02-05,57130.0
2016-02-19,46061.0
2016-02-26,56283.0
2016-03-04,52164.0
2016-03-11,42836.0
2016-03-18,47165.0
2016-03-25,53321.0
2016-04-01,75536.0
2016-04-08,33691.0
2016-04-15,42747.0
2016-04-22,48559.0
2016-04-29,71630.0
2016-05-06,42201.0
2016-05-13,47679.0
2016-05-20,46577.0
2016-05-27,46577.0
2016-06-03,58427.0
2016-06-08,51590.0
2016-06-17,38263.0
2016-06-24,53797.0
2016-07-01,53797.0
2016-07-08,33825.0
2016-07-15,42891.0
2016-07-22,46516.0
2016-07-29,58028.0
2016-08-05,46626.0
2016-08-12,41362.0
2016-08-19,51284.0
2016-08-26,54148.0
2016-09-02,66112.0
2016-09-09,55430.0
2016-09-14,57145.0
2016-09-23,65483.0
2016-09-30,85714.0
2016-10-14,85330.0
2016-10-21,66798.0
2016-10-28,66798.0
2016-11-04,69822.0
2016-11-11,53808.0
2016-11-18,71491.0
2016-11-25,73109.0
2016-12-02,95552.0
2016-12-09,69007.0
2016-12-16,77004.0
2016-12-23,77298.0
2016-12-30,86885.0
2017-01-06,65870.0
2017-01-13,62890.0
2017-01-20,68651.0
2017-01-26,68651.0
2017-02-03,68651.0
2017-02-10,33461.0
2017-02-17,42681.0
2017-02-24,48674.0
2017-03-03,47804.0
2017-03-10,39766.0
2017-03-17,45909.0
2017-03-24,49323.0
2017-03-31,83170.0
2017-04-07,30525.0
2017-04-14,43235.0
2017-04-21,48451.0
2017-04-28,48451.0
2017-05-05,45555.0
2017-05-12,46252.0
2017-05-19,44480.0
2017-05-26,44480.0
2017-06-02,58932.0
2017-06-09,38313.0
2017-06-16,42223.0
2017-06-23,49226.0
2017-06-30,80958.0
2017-07-07,35823.0
2017-07-14,40050.0
2017-07-21,49810.0
2017-07-28,49810.0
2017-08-04,53330.0
2017-08-11,43690.0
2017-08-18,50010.0
2017-08-25,56431.0
2017-09-01,73377.0
2017-09-08,52557.0
2017-09-15,57610.0
2017-09-22,63954.0
2017-09-29,103197.0
2017-10-13,83107.0
2017-10-20,67057.0
2017-10-27,67057.0
2017-11-03,60790.0
2017-11-10,57767.0
2017-11-17,68000.0
2017-11-24,71678.0
2017-12-01,104007.0
2017-12-08,59719.0
2017-12-15,75083.0
2017-12-22,88136.0
2017-12-29,90698.0
2018-01-05,61184.0
2018-01-12,53125.0
2018-01-19,63607.0
2018-01-26,68747.0
2018-02-02,81487.0
2018-02-09,63040.0
2018-02-14,63040.0
2018-02-23,19124.0
2018-03-02,57264.0
2018-03-09,46258.0
2018-03-16,47366.0
2018-03-23,55058.0
2018-03-30,76948.0
2018-04-04,32561.0
2018-04-13,52258.0
2018-04-20,50693.0
2018-04-27,50693.0
2018-05-04,19595.0
2018-05-11,58653.0
2018-05-18,44316.0
2018-05-25,48974.0
2018-06-01,65351.0
2018-06-08,32199.0
2018-06-15,39585.0
2018-06-22,45275.0
2018-06-29,84628.0
2018-07-06,29874.0
2018-07-13,36585.0
2018-07-20,43091.0
2018-07-27,43091.0
2018-08-03,43487.0
2018-08-10,37423.0
2018-08-17,42225.0
2018-08-24,49833.0
2018-08-31,79637.0
2018-09-07,37161.0
2018-09-14,44011.0
2018-09-21,51410.0
2018-09-28,78482.0
2018-10-12,63411.0
2018-10-19,53163.0
2018-10-26,56559.0
2018-11-02,100670.0
2018-11-09,34952.0
2018-11-16,51657.0
2018-11-23,53671.0
2018-11-30,105140.0
2018-12-07,35173.0
2018-12-14,52152.0
2018-12-21,55623.0
2018-12-28,55623.0
2019-01-04,50810.0
2019-01-11,55961.0
2019-01-18,64639.0
2019-01-25,67532.0
2019-02-01,74453.0
2019-02-15,49795.0
2019-02-22,39926.0
2019-03-01,73331.0
2019-03-08,34244.0
2019-03-15,40029.0
2019-03-22,44666.0
2019-03-29,75110.0
2019-04-04,35321.0
2019-04-12,29333.0
2019-04-19,37244.0
2019-04-26,46993.0
2019-04-30,90658.0
2019-05-10,33517.0
2019-05-17,39648.0
2019-05-24,44146.0
2019-05-31,77129.0
2019-06-06,25074.0
2019-06-14,50594.0
2019-06-21,55208.0
2019-06-28,90831.0
2019-07-05,28784.0
2019-07-12,34839.0
2019-07-19,36186.0
2019-07-26,41998.0
2019-08-02,119666.0
2019-08-09,27235.0
2019-08-16,38112.0
2019-08-23,44365.0
2019-08-30,100391.0
2019-09-06,30169.0
2019-09-12,39980.0
2019-09-20,45458.0
2019-09-27,45458.0
2019-09-30,94281.0
2019-10-11,32113.0
2019-10-18,47673.0
2019-10-25,51357.0
2019-11-01,136475.0
2019-11-08,21695.0
2019-11-15,48783.0
2019-11-22,49058.0
2019-11-29,125539.0
2019-12-06,30200.0
2019-12-13,49484.0
2019-12-20,55974.0
2019-12-27,55974.0
2020-01-03,111421.0
2020-01-10,49227.0
2020-01-17,86372.0
2020-01-23,86372.0
2020-02-07,811.0
2020-02-14,4098.0
2020-02-21,5411.0
2020-02-28,16500.0
2020-03-06,16325.0
2020-03-13,21696.0
2020-03-20,25842.0
2020-03-27,25842.0
2020-04-03,53897.0
2020-04-10,33438.0
2020-04-17,36964.0
2020-04-24,48794.0
2020-04-30,48794.0
2020-05-08,32006.0
2020-05-15,39118.0
2020-05-22,41267.0
2020-05-29,100140.0
2020-06-05,25725.0
2020-06-12,36600.0
2020-06-19,43899.0
2020-06-24,51627.0
2020-07-03,24884.0
2020-07-10,31347.0
2020-07-17,38390.0
2020-07-24,48486.0
2020-07-31,94598.0
2020-08-07,29815.0
2020-08-14,39095.0
2020-08-21,44849.0
2020-08-28,44849.0
2020-09-04,30333.0
2020-09-11,42500.0
2020-09-18,46582.0
2020-09-25,66694.0
2020-09-30,136287.0
2020-10-09,63535.0
2020-10-16,53138.0
2020-10-23,53412.0
2020-10-30,106828.0
2020-11-06,35094.0
2020-11-13,49854.0
2020-11-20,52501.0
2020-11-27,52501.0
2020-12-04,38366.0
2020-12-11,53414.0
2020-12-18,68522.0
2020-12-25,77421.0
2020-12-31,122080.0
2021-01-08,47157.0
2021-01-15,57954.0
2021-01-22,62744.0
2021-01-29,105234.0
2021-02-05,54344.0
2021-02-10,54344.0
2021-02-19,29674.0
2021-02-26,67321.0
2021-03-05,35082.0
2021-03-12,39829.0
2021-03-19,45772.0
2021-03-26,52326.0
2021-04-02,74889.0
2021-04-09,30459.0
2021-04-16,42083.0
2021-04-23,55737.0
2021-04-30,39961.0
2021-05-07,34266.0
2021-05-14,38151.0
2021-05-21,42013.0
2021-05-28,42013.0
2021-06-04,25365.0
2021-06-11,25365.0
2021-06-18,41899.0
2021-06-25,49038.0
2021-07-02,74584.0
2021-07-09,30752.0
2021-07-16,37144.0
2021-07-23,47074.0
2021-07-30,89810.0
2021-08-06,30819.0
2021-08-13,36158.0
2021-08-20,37574.0
2021-08-27,37574.0
2021-09-03,29491.0
2021-09-10,35961.0
2021-09-17,35961.0
2021-09-24,61284.0
2021-09-30,112686.0
2021-10-08,35347.0
2021-10-15,45654.0
2021-10-22,52419.0
2021-10-29,94395.0
2021-11-05,32707.0
2021-11-12,46288.0
2021-11-19,49224.0
2021-11-26,49224.0
2021-12-03,39643.0
2021-12-10,51801.0
2021-12-17,66855.0
2021-12-24,82196.0
2021-12-31,109162.0
2022-01-07,57835.0
2022-01-14,62638.0
2022-01-21,85741.0
2022-01-28,85741.0
2022-02-11,26097.0
2022-02-18,46965.0
2022-02-25,46965.0
2022-03-04,37125.0
2022-03-11,45745.0
2022-03-18,35041.0
2022-03-25,39146.0
2022-04-01,109566.0
2022-04-08,24588.0
2022-04-15,26709.0
2022-04-22,29553.0
2022-04-29,63096.0
2022-05-06,31759.0
2022-05-13,32811.0
2022-05-20,42342.0
2022-05-27,42342.0
2022-06-02,33611.0
2022-06-10,49822.0
2022-06-17,59372.0
2022-06-24,69594.0
2022-07-01,126187.0
2022-07-08,39589.0
2022-07-15,47909.0
2022-07-22,60653.0
2022-07-29,87501.0
2022-08-05,40645.0
2022-08-12,47268.0
2022-08-19,58416.0
2022-08-26,65135.0
2022-09-02,85471.0
2022-09-09,85471.0
2022-09-16,55188.0
2022-09-23,66432.0
2022-09-30,129811.0
2022-10-14,52993.0
2022-10-21,52885.0
2022-10-28,52885.0
2022-11-04,35590.0
2022-11-11,39652.0
2022-11-18,52485.0
2022-11-25,52877.0
2022-12-02,30237.0
2022-12-09,53886.0
2022-12-16,77429.0
2022-12-23,90447.0
2022-12-30,124670.0
2023-01-06,44987.0
2023-01-13,51737.0
2023-01-20,51737.0
2023-02-03,36806.0
2023-02-10,40000.0
2023-02-17,37983.0
2023-02-24,37983.0
2023-03-03,31482.0
2023-03-10,36701.0
2023-03-17,40778.0
2023-03-24,45905.0
2023-03-31,114787.0
2023-04-07,36474.0
2023-04-14,47904.0
2023-04-21,56634.0
2023-04-28,80653.0
2023-05-05,53509.0
2023-05-12,47348.0
2023-05-19,48276.0
2023-05-26,50053.0
2023-06-02,31130.0
2023-06-09,42913.0
2023-06-16,57521.0
2023-06-21,75142.0
2023-06-30,108454.0
2023-07-07,36825.0
2023-07-14,50604.0
2023-07-21,62326.0
2023-07-28,62326.0
2023-08-04,40150.0
2023-08-11,48044.0
2023-08-18,51869.0
2023-08-25,58369.0
2023-09-01,136568.0
2023-09-08,43885.0
2023-09-15,52228.0
2023-09-22,64492.0
2023-09-28,128619.0
2023-10-13,53648.0
2023-10-20,59600.0
2023-10-27,59600.0
2023-11-03,37875.0
2023-11-10,49845.0
2023-11-17,62291.0
2023-11-24,59276.0
2023-12-01,168133.0
2023-12-08,47475.0
2023-12-15,66770.0
2023-12-22,83244.0
2023-12-29,119441.0
2024-01-05,54012.0
2024-01-12,58513.0
2024-01-19,62827.0
2024-01-26,68599.0
2024-02-02,54289.0
2024-02-08,54289.0
2024-02-23,38862.0
2024-03-01,57845.0
2024-03-08,35490.0
2024-03-15,49045.0
2024-03-22,47128.0
2024-03-29,95829.0
2024-04-03,34273.0
2024-04-12,38825.0
2024-04-19,48033.0
2024-04-26,48033.0
2024-04-30,81568.0
2024-05-10,46584.0
2024-05-17,48658.0
2024-05-24,48340.0
2024-05-31,95507.0
2024-06-07,95507.0
2024-06-14,45707.0
2024-06-21,64632.0
2024-06-28,95403.0
