date,932079.CSI_open,932079.CSI_high,932079.CSI_low,932079.CSI_close,932079.CSI_change,932079.CSI_amount,932079.CSI_volume
2004-12-31,1000.0,1000.0,1000.0,1000.0,0.0,1256.52,191796000
2005-01-04,986.12,986.12,986.12,986.12,-0.0139,1027.63,161666500
2005-01-05,999.06,999.06,999.06,999.06,0.0131,1169.33,193808500
2005-01-06,993.0,993.0,993.0,993.0,-0.0061,1117.04,182292000
2005-01-07,994.62,994.62,994.62,994.62,0.0016,1471.52,225721700
2005-01-10,1001.36,1001.36,1001.36,1001.36,0.0068,1258.56,197587700
2005-01-11,1006.5,1006.5,1006.5,1006.5,0.0051,1299.87,202284500
2005-01-12,1007.91,1007.91,1007.91,1007.91,0.0014,1163.6,182451600
2005-01-13,1008.14,1008.14,1008.14,1008.14,0.0002,1359.62,213577100
2005-01-14,997.58,997.58,997.58,997.58,-0.0105,1264.57,208444400
2005-01-17,977.96,977.96,977.96,977.96,-0.0197,1205.43,204174300
2005-01-18,984.75,984.75,984.75,984.75,0.0069,1224.09,213837000
2005-01-19,976.63,976.63,976.63,976.63,-0.0082,1252.93,225424300
2005-01-20,962.06,962.06,962.06,962.06,-0.0149,1240.48,219546100
2005-01-21,979.4,979.4,979.4,979.4,0.018,2064.71,363543300
2005-01-24,995.11,995.11,995.11,995.11,0.016,2467.64,433140100
2005-01-25,993.92,993.92,993.92,993.92,-0.0012,1896.19,308951000
2005-01-26,985.58,985.58,985.58,985.58,-0.0084,1335.6,226955500
2005-01-27,970.95,970.95,970.95,970.95,-0.0148,1178.57,204864100
2005-01-28,958.66,958.66,958.66,958.66,-0.0127,1169.89,208189600
2005-01-31,936.58,936.58,936.58,936.58,-0.023,1201.65,226381500
2005-02-01,929.6,929.6,929.6,929.6,-0.0075,1426.81,258373600
2005-02-02,976.7,976.7,976.7,976.7,0.0507,2516.21,413549300
2005-02-03,963.45,963.45,963.45,963.45,-0.0136,2705.21,447764000
2005-02-04,981.48,981.48,981.48,981.48,0.0187,2271.58,372165300
2005-02-16,989.59,989.59,989.59,989.59,0.0083,2010.83,336119800
2005-02-17,989.63,989.63,989.63,989.63,0.0,1498.25,275604500
2005-02-18,977.04,977.04,977.04,977.04,-0.0127,1573.43,295662700
2005-02-21,996.14,996.14,996.14,996.14,0.0195,1962.25,331164100
2005-02-22,1020.19,1020.19,1020.19,1020.19,0.0241,4027.86,686539400
2005-02-23,1022.26,1022.26,1022.26,1022.26,0.002,3667.46,617740100
2005-02-24,1023.95,1023.95,1023.95,1023.95,0.0017,2959.45,506729800
2005-02-25,1024.41,1024.41,1024.41,1024.41,0.0004,3826.38,616385700
2005-02-28,1020.49,1020.49,1020.49,1020.49,-0.0038,2678.46,457373500
2005-03-01,1016.85,1016.85,1016.85,1016.85,-0.0036,2424.56,424990300
2005-03-02,1001.88,1001.88,1001.88,1001.88,-0.0147,2780.05,458333200
2005-03-03,1008.48,1008.48,1008.48,1008.48,0.0066,1904.28,330155500
2005-03-04,1004.52,1004.52,1004.52,1004.52,-0.0039,1776.78,305034700
2005-03-07,1010.71,1010.71,1010.71,1010.71,0.0062,2040.85,348966700
2005-03-08,1030.84,1030.84,1030.84,1030.84,0.0199,3494.81,509894900
2005-03-09,1033.64,1033.64,1033.64,1033.64,0.0027,3639.13,531502000
2005-03-10,1010.58,1010.58,1010.58,1010.58,-0.0223,3119.95,474713000
2005-03-11,1021.06,1021.06,1021.06,1021.06,0.0104,2723.87,406929900
2005-03-14,1030.1,1030.1,1030.1,1030.1,0.0089,4045.72,562148900
2005-03-15,1017.22,1017.22,1017.22,1017.22,-0.0125,3554.51,517525300
2005-03-16,1005.16,1005.16,1005.16,1005.16,-0.0119,2795.21,426406800
2005-03-17,994.04,994.04,994.04,994.04,-0.0111,2560.3,387273000
2005-03-18,975.75,975.75,975.75,975.75,-0.0184,2463.87,379144800
2005-03-21,981.71,981.71,981.71,981.71,0.0061,2088.77,315874600
2005-03-22,972.34,972.34,972.34,972.34,-0.0095,2950.45,442239400
2005-03-23,965.36,965.36,965.36,965.36,-0.0072,2979.94,446113100
2005-03-24,970.31,970.31,970.31,970.31,0.0051,2522.15,364370200
2005-03-25,968.55,968.55,968.55,968.55,-0.0018,1778.47,300492000
2005-03-28,965.77,965.77,965.77,965.77,-0.0029,1552.86,261521300
2005-03-29,960.14,960.14,960.14,960.14,-0.0058,1812.59,280118600
2005-03-30,932.57,932.57,932.57,932.57,-0.0287,2088.22,351158500
