date,931775.CSI_open,931775.CSI_high,931775.CSI_low,931775.CSI_close,931775.CSI_change,931775.CSI_amount,931775.CSI_volume
2004-12-31,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0
2005-01-04,995.35,995.35,987.84,991.73,-0.0083,213.7,38403500
2005-01-05,990.81,1015.72,990.81,1014.43,0.0229,426.4,69968400
2005-01-06,1015.17,1019.55,1009.03,1014.55,0.0001,534.93,83005300
2005-01-07,1013.33,1044.0,1011.26,1030.58,0.0158,719.18,114304400
2005-01-10,1029.45,1040.08,1029.45,1040.0,0.0091,462.87,75902300
2005-01-11,1040.48,1041.43,1031.6,1041.06,0.001,373.38,60363400
2005-01-12,1039.99,1041.11,1030.43,1040.03,-0.001,379.39,60948200
2005-01-13,1038.81,1048.56,1036.69,1048.56,0.0082,528.32,83444600
2005-01-14,1047.83,1051.61,1031.81,1032.61,-0.0152,418.28,66962100
2005-01-17,1021.84,1026.11,1015.51,1017.84,-0.0143,452.57,72909900
2005-01-18,1018.86,1032.61,1017.74,1032.61,0.0145,413.39,66187900
2005-01-19,1032.37,1032.37,1020.79,1023.2,-0.0091,447.52,73443400
2005-01-20,1020.3,1020.36,1005.44,1010.54,-0.0124,370.34,62813500
2005-01-21,1010.6,1031.84,998.05,1031.84,0.0211,590.01,102672500
2005-01-24,1044.31,1056.43,1042.19,1054.0,0.0215,692.23,121851000
2005-01-25,1052.95,1052.95,1038.84,1050.51,-0.0033,550.12,89693400
2005-01-26,1046.15,1050.04,1039.22,1041.8,-0.0083,494.87,83433200
2005-01-27,1039.83,1048.3,1034.17,1034.6,-0.0069,586.92,105152700
2005-01-28,1034.6,1035.71,1010.04,1012.67,-0.0212,437.23,77572300
2005-01-31,1009.65,1009.65,986.38,986.98,-0.0254,374.43,74937600
2005-02-01,988.23,1000.61,982.47,984.5,-0.0025,372.15,74087400
2005-02-02,986.13,1042.92,986.13,1042.92,0.0593,709.65,126131700
2005-02-03,1043.22,1059.13,1030.95,1035.13,-0.0075,945.91,161282500
2005-02-04,1034.99,1065.03,1034.99,1063.02,0.0269,884.6,150426200
2005-02-16,1071.27,1079.34,1064.52,1067.69,0.0044,661.54,111737700
2005-02-17,1068.53,1071.24,1059.72,1071.24,0.0033,582.52,98348200
2005-02-18,1069.94,1069.94,1051.11,1051.19,-0.0187,502.98,83310200
2005-02-21,1052.1,1070.8,1052.1,1070.8,0.0187,513.86,87072600
2005-02-22,1071.23,1093.94,1069.59,1092.8,0.0205,977.17,163939300
2005-02-23,1093.49,1098.92,1084.83,1094.55,0.0016,983.79,168851600
2005-02-24,1091.46,1091.82,1078.34,1090.01,-0.0041,875.11,144837200
