,300城宅地成交:全部城市:成交建面:当月值,300城宅地成交:全部城市:成交金额:当月值,中国:国房景气指数,中国:房地产开发投资完成额:累计同比,中国:商品房销售面积:累计值,中国:商品房销售额:累计值,中国:商品房销售面积:累计同比,中国:商品房销售面积:住宅:累计值,中国:房屋新开工面积:累计同比,中国:商品房销售额:累计同比,中国:房屋竣工面积:累计同比,中国:房屋施工面积:累计同比,中国:房屋销售价格指数:新建商品住宅:70个大中城市:当月同比,中国:房屋销售价格指数:二手住宅:70个大中城市:当月同比,中国:个人住房公积金贷款利率:5年以下(含5年),中国:金融机构:新增人民币贷款:居民户:中长期:当月值,北京:二手房成交均价,天津:二手房成交均价,广州:二手房成交均价,统计局口径房企开发投资:全国:个人按揭贷款:当月同比,统计局口径房企开发投资:全国:到位资金额:当月同比,统计局口径房企开发投资:全国:国内贷款:当月同比
2013-01-31,,,,,,,,,,,,,0.7,0.2,4.0,2683.0,30807.0,14263.0,18801.0,,,
2013-02-28,,,97.92,22.8,10471.1444,7361.3331,49.5,9493.673,14.7,77.6,34.0,15.3,1.9,1.0,4.0,1383.0,46522.05,14433.0,19176.0,58.75,33.74,26.36
2013-03-31,,,97.56,20.2,20897.9819,13991.6282,37.1,18901.0642,-2.7,61.3,8.9,17.0,3.3,1.8,4.0,1718.0,45877.55,14615.0,19711.0,65.0,20.02,2.69
2013-04-30,,,97.35,21.1,29760.5245,19847.1857,38.0,26834.2008,1.9,59.8,6.6,17.2,4.5,2.5,4.0,2311.0,45850.27,14751.0,19979.0,88.72,48.43,60.3
2013-05-31,,,97.26,20.6,39118.1284,25863.9777,35.6,35165.9442,1.0,52.8,5.3,16.0,5.7,3.0,4.0,2292.0,46526.45,14659.0,20283.0,40.02,26.79,33.19
2013-06-30,,,97.29,20.3,51433.3314,33376.4064,28.7,46089.6639,3.8,43.2,6.3,15.5,6.5,3.3,4.0,1913.0,47801.46,14694.0,20810.0,55.73,32.23,42.82
2013-07-31,,,97.39,20.5,61133.2821,39548.8426,25.8,54747.9766,8.4,37.8,7.9,16.2,7.1,3.6,4.0,1951.0,48932.66,14805.0,21283.0,34.51,28.02,35.43
2013-08-31,,,97.29,19.3,70841.9029,45723.9843,23.4,63406.5257,4.0,34.4,4.6,14.4,7.9,3.8,4.0,1908.0,49444.08,15054.0,21700.0,20.27,14.05,24.68
2013-09-30,,,97.25,19.7,84383.3073,54028.1312,23.3,75433.5578,7.3,33.9,4.2,15.0,8.7,4.2,4.0,1841.0,50062.18,15262.0,22321.0,18.57,27.59,50.12
2013-10-31,,,96.88,19.2,95930.9868,61237.6326,21.8,85721.2187,6.5,32.3,1.8,14.6,9.3,4.7,4.0,1535.0,50901.04,15355.0,22730.0,7.06,14.7,27.62
2013-11-30,,,96.38,19.5,110806.7986,69945.9955,20.8,98871.4977,11.5,30.7,2.5,16.1,9.6,5.0,4.0,1818.0,50730.74,15579.0,22990.0,6.51,30.59,54.09
2013-12-31,,33650027.98,97.21,19.8,130550.5927,81428.2842,17.3,115722.6883,13.5,26.3,2.0,16.1,9.7,5.2,4.0,1147.0,50729.9,15748.0,23020.0,10.18,17.81,27.71
2014-01-31,13705.59,25200014.58,,,,,,,,,,,9.5,5.2,4.0,3121.0,50255.41,15856.0,23074.0,,,
2014-02-28,7915.1,14504653.98,96.91,19.3,10465.6186,7090.4207,-0.1,9377.0992,-27.4,-3.7,-8.2,16.3,8.6,4.7,4.0,1238.0,51163.96,16093.0,23259.0,2.89,12.36,24.77
2014-03-31,5593.09,9637326.92,96.4,16.8,20111.1797,13262.9601,-3.8,17824.6865,-25.2,-5.2,-4.9,14.2,7.7,4.2,4.0,1928.0,50348.69,,23547.0,-5.06,-7.09,6.37
2014-04-30,7415.12,13466920.85,95.79,16.4,27709.257,18306.5638,-6.9,24514.5466,-22.1,-7.8,-0.3,12.8,6.8,3.7,4.0,1901.0,50287.47,,23615.0,-11.43,-1.97,2.54
2014-05-31,5625.49,9992177.81,95.02,14.7,36069.6001,23673.6424,-7.8,31946.3486,-18.6,-8.5,6.8,12.0,5.6,3.1,4.0,2021.0,48969.8,,23483.0,7.04,0.15,16.52
2014-06-30,7354.52,12191161.11,94.84,14.1,48365.2319,31132.8129,-6.0,42487.1941,-16.4,-6.7,8.1,11.3,4.3,2.4,4.0,1991.0,48638.03,16246.0,23132.0,-13.89,0.62,3.47
2014-07-31,6239.57,10480482.96,94.82,13.7,56479.5886,36315.1373,-7.6,49592.0009,-12.8,-8.2,4.5,11.3,2.6,1.3,4.0,1803.0,48226.9,16457.0,23045.0,-3.65,4.87,18.7
2014-08-31,5823.76,8812520.12,94.79,13.2,64987.4988,41661.0082,-8.3,57094.4177,-10.5,-8.9,6.7,11.5,0.5,0.1,4.0,1890.0,48356.6,16525.0,23753.0,-9.58,-0.54,7.05
2014-09-30,4683.78,10185763.95,94.72,12.5,77131.8194,49227.0054,-8.6,67668.6113,-9.3,-8.9,7.2,11.5,-1.2,-1.3,4.0,1707.0,47778.73,16200.0,23202.0,-8.21,-0.56,-3.57
