date,932078.CSI_open,932078.CSI_high,932078.CSI_low,932078.CSI_close,932078.CSI_change,932078.CSI_amount,932078.CSI_volume
2004-12-31,1000.0,1000.0,1000.0,1000.0,0.0,1589.28,275614500
2005-01-04,976.04,976.04,976.04,976.04,-0.024,1806.27,309711000
2005-01-05,984.71,984.71,984.71,984.71,0.0089,1531.48,271525700
2005-01-06,970.29,970.29,970.29,970.29,-0.0146,1390.49,245101000
2005-01-07,965.78,965.78,965.78,965.78,-0.0046,1670.23,289136200
2005-01-10,974.2,974.2,974.2,974.2,0.0087,1225.9,217005800
2005-01-11,975.9,975.9,975.9,975.9,0.0017,1243.13,222561900
2005-01-12,980.55,980.55,980.55,980.55,0.0048,1252.87,223772400
2005-01-13,982.67,982.67,982.67,982.67,0.0022,1471.74,260242800
2005-01-14,972.54,972.54,972.54,972.54,-0.0103,1289.68,232763400
2005-01-17,951.18,951.18,951.18,951.18,-0.022,1504.34,270863200
2005-01-18,959.29,959.29,959.29,959.29,0.0085,1481.26,278132700
2005-01-19,952.8,952.8,952.8,952.8,-0.0068,1341.18,255746600
2005-01-20,941.26,941.26,941.26,941.26,-0.0121,1646.9,312989300
2005-01-21,968.5,968.5,968.5,968.5,0.0289,2759.19,517055500
2005-01-24,986.5,986.5,986.5,986.5,0.0186,3218.2,575400100
2005-01-25,989.06,989.06,989.06,989.06,0.0026,2473.39,404936700
2005-01-26,982.63,982.63,982.63,982.63,-0.0065,1901.32,328576100
2005-01-27,968.83,968.83,968.83,968.83,-0.014,1347.43,241485000
2005-01-28,960.56,960.56,960.56,960.56,-0.0085,1459.95,281529900
2005-01-31,949.44,949.44,949.44,949.44,-0.0116,1587.04,297410900
2005-02-01,948.29,948.29,948.29,948.29,-0.0012,1801.08,319812700
2005-02-02,999.38,999.38,999.38,999.38,0.0539,4015.27,679604000
2005-02-03,985.38,985.38,985.38,985.38,-0.014,3584.96,599544900
2005-02-04,1007.77,1007.77,1007.77,1007.77,0.0227,3641.91,596411400
2005-02-16,1018.29,1018.29,1018.29,1018.29,0.0104,3209.46,534281400
2005-02-17,1014.04,1014.04,1014.04,1014.04,-0.0042,1989.24,339993600
2005-02-18,1000.23,1000.23,1000.23,1000.23,-0.0136,2045.27,360283800
2005-02-21,1020.44,1020.44,1020.44,1020.44,0.0202,2680.87,451724200
2005-02-22,1043.86,1043.86,1043.86,1043.86,0.023,4410.48,737955800
2005-02-23,1044.04,1044.04,1044.04,1044.04,0.0002,5047.36,879511800
2005-02-24,1046.7,1046.7,1046.7,1046.7,0.0025,3605.89,629299700
2005-02-25,1048.96,1048.96,1048.96,1048.96,0.0022,4664.06,761891700
2005-02-28,1047.23,1047.23,1047.23,1047.23,-0.0016,3300.4,528111500
2005-03-01,1043.66,1043.66,1043.66,1043.66,-0.0034,3003.02,493611200
2005-03-02,1021.35,1021.35,1021.35,1021.35,-0.0214,4191.66,721199100
2005-03-03,1029.58,1029.58,1029.58,1029.58,0.0081,2674.6,464688700
2005-03-04,1020.94,1020.94,1020.94,1020.94,-0.0084,2270.12,341989200
2005-03-07,1028.95,1028.95,1028.95,1028.95,0.0078,2403.12,355040100
2005-03-08,1051.19,1051.19,1051.19,1051.19,0.0216,3873.33,557562100
2005-03-09,1051.67,1051.67,1051.67,1051.67,0.0005,3934.5,603111700
2005-03-10,1023.47,1023.47,1023.47,1023.47,-0.0268,3439.34,522707200
2005-03-11,1027.65,1027.65,1027.65,1027.65,0.0041,3466.97,502715500
2005-03-14,1034.86,1034.86,1034.86,1034.86,0.007,4503.83,629539600
2005-03-15,1019.27,1019.27,1019.27,1019.27,-0.0151,3386.21,495703600
2005-03-16,1007.41,1007.41,1007.41,1007.41,-0.0116,3074.41,450058300
2005-03-17,994.96,994.96,994.96,994.96,-0.0124,2607.97,413741900
2005-03-18,978.09,978.09,978.09,978.09,-0.017,2612.36,407411100
2005-03-21,984.53,984.53,984.53,984.53,0.0066,1888.73,308306600
2005-03-22,964.4,964.4,964.4,964.4,-0.0204,2850.56,460627600
2005-03-23,957.87,957.87,957.87,957.87,-0.0068,2873.36,435942100
2005-03-24,965.38,965.38,965.38,965.38,0.0078,2504.38,335209100
2005-03-25,964.43,964.43,964.43,964.43,-0.001,1870.45,300041000
2005-03-28,963.53,963.53,963.53,963.53,-0.0009,1727.97,278341000
2005-03-29,960.53,960.53,960.53,960.53,-0.0031,1899.01,300763100
2005-03-30,940.36,940.36,940.36,940.36,-0.021,2206.31,350929600
2005-03-31,943.41,943.41,943.41,943.41,0.0032,1839.35,324887400
2005-04-01,982.81,982.81,982.81,982.81,0.0418,4456.88,721367700
2005-04-04,968.47,968.47,968.47,968.47,-0.0146,3237.74,510791700
2005-04-05,960.12,960.12,960.12,960.12,-0.0086,2654.04,425765500
2005-04-06,975.19,975.19,975.19,975.19,0.0157,4620.62,667249300
2005-04-07,982.79,982.79,982.79,982.79,0.0078,5358.95,835645800
2005-04-08,1002.7,1002.7,1002.7,1002.7,0.0203,3621.8,590331100
2005-04-11,995.07,995.07,995.07,995.07,-0.0076,4253.71,695459600
2005-04-12,981.28,981.28,981.28,981.28,-0.0139,2951.37,494486300
2005-04-13,1005.11,1005.11,1005.11,1005.11,0.0243,4607.82,729283100
2005-04-14,994.74,994.74,994.74,994.74,-0.0103,3265.02,534334700
2005-04-15,980.81,980.81,980.81,980.81,-0.014,3255.26,523662200
2005-04-18,973.06,973.06,973.06,973.06,-0.0079,2545.21,430108200
2005-04-19,971.63,971.63,971.63,971.63,-0.0015,2921.41,453594800
2005-04-20,962.37,962.37,962.37,962.37,-0.0095,2330.39,394382500
2005-04-21,952.17,952.17,952.17,952.17,-0.0106,2558.1,426555400
2005-04-22,942.55,942.55,942.55,942.55,-0.0101,2811.15,476679500
2005-04-25,923.53,923.53,923.53,923.53,-0.0202,3093.04,505232600
2005-04-26,925.17,925.17,925.17,925.17,0.0018,3220.43,523721100
2005-04-27,909.37,909.37,909.37,909.37,-0.0171,2995.9,512270600
2005-04-28,923.75,923.75,923.75,923.75,0.0158,3591.27,625382900
2005-04-29,908.32,908.32,908.32,908.32,-0.0167,2830.2,459705900
2005-05-09,879.36,879.36,879.36,879.36,-0.0319,2079.05,353308700
2005-05-10,881.56,881.56,881.56,881.56,0.0025,2272.99,390317500
2005-05-11,866.88,866.88,866.88,866.88,-0.0167,1821.73,305777200
2005-05-12,850.61,850.61,850.61,850.61,-0.0188,2386.47,440183500
2005-05-13,855.51,855.51,855.51,855.51,0.0058,2379.22,489816000
2005-05-16,839.24,839.24,839.24,839.24,-0.019,2100.46,403927600
2005-05-17,845.15,845.15,845.15,845.15,0.007,2134.05,407450200
2005-05-18,846.02,846.02,846.02,846.02,0.001,1949.75,373809100
2005-05-19,844.85,844.85,844.85,844.85,-0.0014,1905.01,387891300
2005-05-20,844.78,844.78,844.78,844.78,-0.0001,1797.64,369842500
2005-05-23,819.01,819.01,819.01,819.01,-0.0305,1586.77,321719100
2005-05-24,820.64,820.64,820.64,820.64,0.002,2149.13,436999200
2005-05-25,820.29,820.29,820.29,820.29,-0.0004,1528.75,326325500
2005-05-26,812.59,812.59,812.59,812.59,-0.0094,1574.65,326272300
2005-05-27,804.51,804.51,804.51,804.51,-0.0099,1597.29,318252100
2005-05-30,811.29,811.29,811.29,811.29,0.0084,1436.62,294154900
2005-05-31,812.02,812.02,812.02,812.02,0.0009,1378.65,282506200
2005-06-01,792.21,792.21,792.21,792.21,-0.0244,2015.51,400989900
2005-06-02,779.01,779.01,779.01,779.01,-0.0167,2170.35,420249900
2005-06-03,776.21,776.21,776.21,776.21,-0.0036,1707.5,339192000
2005-06-06,794.77,794.77,794.77,794.77,0.0239,2063.38,406856200
2005-06-07,792.84,792.84,792.84,792.84,-0.0024,3276.52,587282100
2005-06-08,859.26,859.26,859.26,859.26,0.0838,7568.12,1465150100
2005-06-09,866.88,866.88,866.88,866.88,0.0089,7810.04,1471273100
2005-06-10,844.82,844.82,844.82,844.82,-0.0254,4649.82,883675300
2005-06-13,833.94,833.94,833.94,833.94,-0.0129,3033.05,607360200
2005-06-14,824.22,824.22,824.22,824.22,-0.0117,3153.24,638896200
2005-06-15,807.78,807.78,807.78,807.78,-0.0199,2577.32,511678200
2005-06-16,816.38,816.38,816.38,816.38,0.0106,2250.31,461373700
2005-06-17,814.8,814.8,814.8,814.8,-0.0019,3567.07,676050900
2005-06-20,837.99,837.99,837.99,837.99,0.0285,4115.4,771283500
2005-06-21,829.29,829.29,829.29,829.29,-0.0104,2938.29,558213300
2005-06-22,828.71,828.71,828.71,828.71,-0.0007,2636.9,482925200
2005-06-23,824.36,824.36,824.36,824.36,-0.0052,2607.86,449034100
2005-06-24,827.83,827.83,827.83,827.83,0.0042,1856.25,351284700
2005-06-27,842.78,842.78,842.78,842.78,0.0181,3582.79,676028400
2005-06-28,829.48,829.48,829.48,829.48,-0.0158,2310.16,446419900
2005-06-29,828.37,828.37,828.37,828.37,-0.0013,3458.24,660509500
2005-06-30,805.6,805.6,805.6,805.6,-0.0275,2744.06,544281700
2005-07-01,788.0,788.0,788.0,788.0,-0.0218,2203.79,474257800
2005-07-04,782.65,782.65,782.65,782.65,-0.0068,1846.73,408786400
2005-07-05,772.14,772.14,772.14,772.14,-0.0134,1575.91,328659500
2005-07-06,768.28,768.28,768.28,768.28,-0.005,1492.39,311505000
2005-07-07,771.98,771.98,771.98,771.98,0.0048,1168.78,252220600
2005-07-08,753.9,753.9,753.9,753.9,-0.0234,1383.71,314706500
2005-07-11,747.91,747.91,747.91,747.91,-0.0079,1806.77,385469500
2005-07-12,771.4,771.4,771.4,771.4,0.0314,2761.92,587965600
2005-07-13,766.15,766.15,766.15,766.15,-0.0068,1962.83,415153300
2005-07-14,768.44,768.44,768.44,768.44,0.003,1793.47,383264400
2005-07-15,758.79,758.79,758.79,758.79,-0.0126,1698.23,382976200
2005-07-18,749.18,749.18,749.18,749.18,-0.0127,1565.9,360443000
2005-07-19,751.62,751.62,751.62,751.62,0.0033,1446.7,320401100
2005-07-20,758.0,758.0,758.0,758.0,0.0085,1593.53,364856500
2005-07-21,757.84,757.84,757.84,757.84,-0.0002,2154.04,483907400
2005-07-22,766.49,766.49,766.49,766.49,0.0114,3628.39,807073700
2005-07-25,761.7,761.7,761.7,761.7,-0.0062,2044.82,446851600
2005-07-26,778.56,778.56,778.56,778.56,0.0221,3511.66,773021800
2005-07-27,796.68,796.68,796.68,796.68,0.0233,3951.98,896170400
2005-07-28,797.12,797.12,797.12,797.12,0.0006,4527.14,934645500
2005-07-29,794.87,794.87,794.87,794.87,-0.0028,2907.57,679009900
2005-08-01,801.33,801.33,801.33,801.33,0.0081,2408.59,561742100
2005-08-02,812.18,812.18,812.18,812.18,0.0135,2868.11,672481000
2005-08-03,820.19,820.19,820.19,820.19,0.0099,5219.61,1198762700
2005-08-04,814.85,814.85,814.85,814.85,-0.0065,3024.78,696708100
2005-08-05,834.88,834.88,834.88,834.88,0.0246,4433.74,953164300
2005-08-08,843.43,843.43,843.43,843.43,0.0102,4801.92,1052675600
2005-08-09,851.14,851.14,851.14,851.14,0.0091,4155.87,932799800
2005-08-10,856.71,856.71,856.71,856.71,0.0065,4528.13,1024926300
2005-08-11,866.43,866.43,866.43,866.43,0.0113,5526.67,1148923000
2005-08-12,852.57,852.57,852.57,852.57,-0.016,5754.63,1181172900
2005-08-15,870.67,870.67,870.67,870.67,0.0212,4016.04,818377600
2005-08-16,867.71,867.71,867.71,867.71,-0.0034,5131.04,1064409200
2005-08-17,874.38,874.38,874.38,874.38,0.0077,4708.27,1015438800
2005-08-18,850.85,850.85,850.85,850.85,-0.0269,8395.91,1853735300
2005-08-19,851.74,851.74,851.74,851.74,0.001,4524.36,1020538000
2005-08-22,861.63,861.63,861.63,861.63,0.0116,3231.45,721074100
2005-08-23,850.93,850.93,850.93,850.93,-0.0124,3058.26,704214600
2005-08-24,857.27,857.27,857.27,857.27,0.0075,2970.78,664135000
2005-08-25,857.02,857.02,857.02,857.02,-0.0003,3185.42,736385500
2005-08-26,857.24,857.24,857.24,857.24,0.0003,3209.2,775081300
2005-08-29,844.55,844.55,844.55,844.55,-0.0148,3006.93,722118500
2005-08-30,841.91,841.91,841.91,841.91,-0.0031,2818.79,656699900
2005-08-31,853.64,853.64,853.64,853.64,0.0139,2561.55,600200100
2005-09-01,870.06,870.06,870.06,870.06,0.0192,3992.42,933516500
2005-09-02,869.91,869.91,869.91,869.91,-0.0002,3323.85,782074100
2005-09-05,877.54,877.54,877.54,877.54,0.0088,3285.0,747038300
2005-09-06,863.66,863.66,863.66,863.66,-0.0158,4611.64,1021867100
2005-09-07,881.66,881.66,881.66,881.66,0.0208,4021.47,887853200
2005-09-08,885.0,885.0,885.0,885.0,0.0038,4760.86,1026270900
2005-09-09,879.59,879.59,879.59,879.59,-0.0061,3332.22,736487900
2005-09-12,882.38,882.38,882.38,882.38,0.0032,2385.15,546439900
2005-09-13,897.47,897.47,897.47,897.47,0.0171,3888.93,862918000
2005-09-14,902.93,902.93,902.93,902.93,0.0061,4381.16,970535800
2005-09-15,904.49,904.49,904.49,904.49,0.0017,3620.02,792280400
2005-09-16,903.66,903.66,903.66,903.66,-0.0009,3038.96,659646000
2005-09-19,909.14,909.14,909.14,909.14,0.0061,3324.59,743228600
2005-09-20,901.55,901.55,901.55,901.55,-0.0083,4435.14,978752900
2005-09-21,886.59,886.59,886.59,886.59,-0.0166,4008.6,906194300
2005-09-22,860.98,860.98,860.98,860.98,-0.0289,3564.0,820376100
2005-09-23,853.06,853.06,853.06,853.06,-0.0092,2359.72,516559000
