date,932081.CSI_open,932081.CSI_high,932081.CSI_low,932081.CSI_close,932081.CSI_change,932081.CSI_amount,932081.CSI_volume
2004-12-31,1000.0,1000.0,1000.0,1000.0,0.0,330.94,54024600
2005-01-04,984.82,984.82,984.82,984.82,-0.0152,212.88,35633400
2005-01-05,997.91,997.91,997.91,997.91,0.0133,318.12,55437300
2005-01-06,988.53,988.53,988.53,988.53,-0.0094,300.72,49448700
2005-01-07,992.61,992.61,992.61,992.61,0.0041,283.66,51271700
2005-01-10,1004.46,1004.46,1004.46,1004.46,0.0119,327.92,48915100
2005-01-11,1006.44,1006.44,1006.44,1006.44,0.002,329.83,53498800
2005-01-12,1006.01,1006.01,1006.01,1006.01,-0.0004,315.9,54985200
2005-01-13,1005.95,1005.95,1005.95,1005.95,-0.0001,369.07,61340100
2005-01-14,998.68,998.68,998.68,998.68,-0.0072,383.34,62249200
2005-01-17,977.35,977.35,977.35,977.35,-0.0214,331.73,58449100
2005-01-18,990.46,990.46,990.46,990.46,0.0134,307.38,55064800
2005-01-19,985.48,985.48,985.48,985.48,-0.005,238.19,44376100
2005-01-20,973.0,973.0,973.0,973.0,-0.0127,308.66,55920700
2005-01-21,989.66,989.66,989.66,989.66,0.0171,511.08,90069300
2005-01-24,1005.35,1005.35,1005.35,1005.35,0.0159,559.32,100589900
2005-01-25,1005.29,1005.29,1005.29,1005.29,-0.0001,397.87,68592000
2005-01-26,996.21,996.21,996.21,996.21,-0.009,396.64,62305100
2005-01-27,979.42,979.42,979.42,979.42,-0.0169,339.48,56570000
2005-01-28,971.63,971.63,971.63,971.63,-0.008,337.89,63367100
2005-01-31,952.71,952.71,952.71,952.71,-0.0195,435.12,75209000
2005-02-01,946.54,946.54,946.54,946.54,-0.0065,424.38,77161100
2005-02-02,990.67,990.67,990.67,990.67,0.0466,710.44,124105800
2005-02-03,975.86,975.86,975.86,975.86,-0.0149,616.79,118654400
2005-02-04,992.01,992.01,992.01,992.01,0.0165,616.85,103501300
2005-02-16,999.53,999.53,999.53,999.53,0.0076,491.34,88643000
2005-02-17,1000.83,1000.83,1000.83,1000.83,0.0013,429.91,70651400
2005-02-18,988.17,988.17,988.17,988.17,-0.0126,427.9,78564000
2005-02-21,1004.88,1004.88,1004.88,1004.88,0.0169,432.99,78400400
2005-02-22,1027.53,1027.53,1027.53,1027.53,0.0225,795.4,143880300
2005-02-23,1031.53,1031.53,1031.53,1031.53,0.0039,735.35,132079300
2005-02-24,1037.28,1037.28,1037.28,1037.28,0.0056,825.02,148392800
2005-02-25,1040.5,1040.5,1040.5,1040.5,0.0031,1211.61,204619900
2005-02-28,1039.39,1039.39,1039.39,1039.39,-0.0011,793.25,131792000
2005-03-01,1044.5,1044.5,1044.5,1044.5,0.0049,806.09,152866200
2005-03-02,1027.62,1027.62,1027.62,1027.62,-0.0162,799.22,147960200
2005-03-03,1031.88,1031.88,1031.88,1031.88,0.0041,492.25,91424300
2005-03-04,1027.21,1027.21,1027.21,1027.21,-0.0045,504.71,89824800
2005-03-07,1032.83,1032.83,1032.83,1032.83,0.0055,655.09,101060600
2005-03-08,1050.22,1050.22,1050.22,1050.22,0.0168,1037.29,159001700
2005-03-09,1053.37,1053.37,1053.37,1053.37,0.003,769.96,124672600
2005-03-10,1033.09,1033.09,1033.09,1033.09,-0.0193,725.37,119703200
2005-03-11,1032.34,1032.34,1032.34,1032.34,-0.0007,670.63,104179400
2005-03-14,1039.52,1039.52,1039.52,1039.52,0.007,1029.39,143623200
2005-03-15,1028.85,1028.85,1028.85,1028.85,-0.0103,696.56,106528900
2005-03-16,1023.99,1023.99,1023.99,1023.99,-0.0047,580.9,92726000
2005-03-17,1016.66,1016.66,1016.66,1016.66,-0.0072,524.59,81631900
2005-03-18,999.46,999.46,999.46,999.46,-0.0169,523.32,85255900
2005-03-21,1004.97,1004.97,1004.97,1004.97,0.0055,407.12,63562900
2005-03-22,992.13,992.13,992.13,992.13,-0.0128,677.19,108848300
2005-03-23,994.1,994.1,994.1,994.1,0.002,825.49,119471800
2005-03-24,998.67,998.67,998.67,998.67,0.0046,691.47,101553600
2005-03-25,997.98,997.98,997.98,997.98,-0.0007,511.02,93332800
2005-03-28,1003.27,1003.27,1003.27,1003.27,0.0053,605.58,113359600
2005-03-29,995.11,995.11,995.11,995.11,-0.0081,569.94,96439600
2005-03-30,969.69,969.69,969.69,969.69,-0.0255,576.82,104596300
2005-03-31,974.25,974.25,974.25,974.25,0.0047,520.63,95477800
2005-04-01,1004.19,1004.19,1004.19,1004.19,0.0307,854.62,145480500
2005-04-04,990.45,990.45,990.45,990.45,-0.0137,681.51,103335700
2005-04-05,982.98,982.98,982.98,982.98,-0.0075,612.71,94537700
2005-04-06,995.43,995.43,995.43,995.43,0.0127,966.7,144543800
2005-04-07,1009.29,1009.29,1009.29,1009.29,0.0139,1201.33,194763000
2005-04-08,1026.26,1026.26,1026.26,1026.26,0.0168,983.77,164893300
2005-04-11,1020.2,1020.2,1020.2,1020.2,-0.0059,945.01,154283100
2005-04-12,1002.13,1002.13,1002.13,1002.13,-0.0177,648.15,109643500
2005-04-13,1020.31,1020.31,1020.31,1020.31,0.0181,907.82,152857300
2005-04-14,1005.39,1005.39,1005.39,1005.39,-0.0146,672.22,120230600
2005-04-15,991.35,991.35,991.35,991.35,-0.014,582.07,111624200
2005-04-18,977.51,977.51,977.51,977.51,-0.014,483.65,88935600
2005-04-19,975.49,975.49,975.49,975.49,-0.0021,475.02,83646600
2005-04-20,961.4,961.4,961.4,961.4,-0.0144,594.0,107746800
2005-04-21,942.82,942.82,942.82,942.82,-0.0193,709.2,131429400
2005-04-22,942.66,942.66,942.66,942.66,-0.0002,696.63,129006600
2005-04-25,946.41,946.41,946.41,946.41,0.004,797.5,134528000
2005-04-26,960.4,960.4,960.4,960.4,0.0148,750.36,125454200
2005-04-27,953.36,953.36,953.36,953.36,-0.0073,674.4,111599700
2005-04-28,977.05,977.05,977.05,977.05,0.0248,891.01,152240700
2005-04-29,968.45,968.45,968.45,968.45,-0.0088,570.96,110584500
2005-05-09,942.48,942.48,942.48,942.48,-0.0268,507.7,91507200
2005-05-10,943.71,943.71,943.71,943.71,0.0013,562.43,106385700
2005-05-11,934.24,934.24,934.24,934.24,-0.01,538.68,97993100
2005-05-12,923.93,923.93,923.93,923.93,-0.011,676.94,103189400
2005-05-13,922.87,922.87,922.87,922.87,-0.0011,651.22,106912100
2005-05-16,921.86,921.86,921.86,921.86,-0.0011,357.89,65576600
2005-05-17,931.83,931.83,931.83,931.83,0.0108,489.78,92835100
2005-05-18,931.23,931.23,931.23,931.23,-0.0006,457.88,79018500
2005-05-19,932.42,932.42,932.42,932.42,0.0013,404.53,80438900
2005-05-20,930.3,930.3,930.3,930.3,-0.0023,396.37,73730200
2005-05-23,906.86,906.86,906.86,906.86,-0.0252,358.53,71283200
2005-05-24,917.74,917.74,917.74,917.74,0.012,356.33,71975100
2005-05-25,914.37,914.37,914.37,914.37,-0.0037,427.78,85683700
2005-05-26,898.37,898.37,898.37,898.37,-0.0175,432.42,76819900
2005-05-27,883.56,883.56,883.56,883.56,-0.0165,513.85,81582000
2005-05-30,895.48,895.48,895.48,895.48,0.0135,369.91,67887100
2005-05-31,895.96,895.96,895.96,895.96,0.0005,355.9,60567800
2005-06-01,879.2,879.2,879.2,879.2,-0.0187,386.1,74182300
2005-06-02,856.21,856.21,856.21,856.21,-0.0261,509.56,83268200
2005-06-03,852.23,852.23,852.23,852.23,-0.0046,372.52,72717100
2005-06-06,874.77,874.77,874.77,874.77,0.0264,367.61,75370300
2005-06-07,876.48,876.48,876.48,876.48,0.002,580.32,109249700
2005-06-08,949.68,949.68,949.68,949.68,0.0835,1388.15,263803500
2005-06-09,948.52,948.52,948.52,948.52,-0.0012,1285.96,254488500
2005-06-10,928.15,928.15,928.15,928.15,-0.0215,913.66,182928300
2005-06-13,928.8,928.8,928.8,928.8,0.0007,607.04,108372800
2005-06-14,916.51,916.51,916.51,916.51,-0.0132,537.39,108111100
2005-06-15,897.65,897.65,897.65,897.65,-0.0206,586.02,118056700
2005-06-16,907.53,907.53,907.53,907.53,0.011,469.25,96659000
2005-06-17,906.03,906.03,906.03,906.03,-0.0017,509.15,112477200
2005-06-20,938.06,938.06,938.06,938.06,0.0354,1039.96,180129900
2005-06-21,929.3,929.3,929.3,929.3,-0.0093,648.25,124354900
2005-06-22,936.45,936.45,936.45,936.45,0.0077,515.34,95769200
2005-06-23,930.03,930.03,930.03,930.03,-0.0069,443.06,82962100
2005-06-24,935.04,935.04,935.04,935.04,0.0054,367.03,69882500
2005-06-27,957.53,957.53,957.53,957.53,0.0241,1082.97,180805800
2005-06-28,943.88,943.88,943.88,943.88,-0.0143,623.2,111355700
2005-06-29,941.39,941.39,941.39,941.39,-0.0026,472.57,92070900
2005-06-30,921.1,921.1,921.1,921.1,-0.0216,598.9,98801900
2005-07-01,896.89,896.89,896.89,896.89,-0.0263,548.59,111671100
2005-07-04,891.99,891.99,891.99,891.99,-0.0055,436.17,98012400
2005-07-05,884.59,884.59,884.59,884.59,-0.0083,345.2,77445600
2005-07-06,878.53,878.53,878.53,878.53,-0.0069,306.25,65142200
2005-07-07,880.6,880.6,880.6,880.6,0.0024,282.61,57122700
2005-07-08,870.23,870.23,870.23,870.23,-0.0118,427.83,87587700
2005-07-11,865.42,865.42,865.42,865.42,-0.0055,425.84,89027300
2005-07-12,891.32,891.32,891.32,891.32,0.0299,594.71,126708800
2005-07-13,876.79,876.79,876.79,876.79,-0.0163,461.03,102374100
2005-07-14,875.62,875.62,875.62,875.62,-0.0013,350.37,76416000
2005-07-15,865.59,865.59,865.59,865.59,-0.0115,330.08,80963000
