date,（停止）能繁母猪:中国:农业部:存栏量:当月值
2024-05-31,2786.81205618236
2024-04-30,2779.83805203776
2024-03-31,2784.02245452452
2024-02-29,2818.89247524753
2024-01-31,2836.32748560903
2023-12-31,2888.63251669353
2023-11-30,2899.79092332489
2023-10-31,2936.05574487681
2023-09-30,2956.97775731062
2023-08-31,2957.67515772508
2023-07-31,2978.59717015888
2023-06-30,2996.03218052038
2023-05-31,2969.5309647709
2023-04-30,2987.66337554686
2023-03-31,3002.30878425052
2023-02-28,3028.81
2023-01-31,3047.09
2022-12-31,3062.4
2022-11-30,3044.14
2022-10-31,3038.06
2022-09-30,3025.96
2022-08-31,2998.96
2022-07-31,2981.08
2022-06-30,2966.25
2022-05-31,2910.94
2022-04-30,2899.34
2022-03-31,2905.15
2022-02-28,2934.5
2022-01-31,2949.54
2021-12-31,2976.33
2021-11-30,2985.28
2021-10-31,3021.54
2021-09-30,3099.02
2021-08-31,3155.82
2021-07-31,3184.48
2021-06-30,3200.48
2021-05-31,3200.48
2021-04-30,3175.08
2021-03-31,3140.54
2021-02-28,3091.08
2021-01-31,3060.48
2020-12-31,3027.18
2020-11-30,2941.86
2020-10-31,2834.16
2020-09-30,2748.95
2020-08-31,2650.86
2020-07-31,2561.22
2020-06-30,2462.71
2020-05-31,2361.18
2020-04-30,2272.55
2020-03-31,2164.34
2020-02-29,2105.39
2020-01-31,2070.19
2019-12-31,2045.64
2019-11-30,2001.61
2019-10-31,1924.62
2019-09-30,1913.15
2019-08-31,1968.26
2019-07-31,2165.3
2019-06-30,2376.84
2019-05-31,2501.93
2019-04-30,2608.9
2019-03-31,2675.79
2019-02-28,2738.79
2019-01-31,2882.93
2018-12-31,2990.59
2018-11-30,3061.0
2018-10-31,3101.31
2018-09-30,3138.98
2018-08-31,3148.43
2018-07-31,3183.44
2018-06-30,3245.1
2018-05-31,3287.84
2018-04-30,3372.15
2018-03-31,3420.03
2018-02-28,3416.61
2018-01-31,3416.61
2017-12-31,3426.89
2017-11-30,3468.51
2017-10-31,3489.45
2017-09-30,3499.95
2017-08-31,3524.62
2017-07-31,3556.63
2017-06-30,3588.93
2017-05-31,3606.97
2017-04-30,3636.06
2017-03-31,3636.06
2017-02-28,3636.06
2017-01-31,3654.33
2016-12-31,3669.0
2016-11-30,3687.44
2016-10-31,3705.97
2016-09-30,3713.4
2016-08-31,3732.06
2016-07-31,3754.59
2016-06-30,3762.11
2016-05-31,3762.11
2016-04-30,3773.43
2016-03-31,3762.14
2016-02-29,3762.14
2016-01-31,3784.85
2015-12-31,3800.05
2015-11-30,3826.84
2015-10-31,3849.94
2015-09-30,3853.79
2015-08-31,3861.52
2015-07-31,3877.03
2015-06-30,3900.43
2015-05-31,3923.97
2015-04-30,3971.63
2015-03-31,4040.32
2015-02-28,4110.19
2015-01-31,4189.8
2014-12-31,4288.43
2014-11-30,4367.04
2014-10-31,4420.08
2014-09-30,4478.3
2014-08-31,4500.8
2014-07-31,4537.1
2014-06-30,4592.2
2014-05-31,4638.59
2014-04-30,4685.44
2014-03-31,4790.84
2014-02-28,4868.74
2014-01-31,4908.01
2013-12-31,4937.63
2013-11-30,4972.44
2013-10-31,4997.43
2013-09-30,5007.44
2013-08-31,5012.45
2013-07-31,4997.46
2013-06-30,5007.48
2013-05-31,5012.49
2013-04-30,5012.49
2013-03-31,5032.62
2013-02-28,5057.91
2013-01-31,5068.04
2012-12-31,5068.04
2012-11-30,5062.98
2012-10-31,5078.22
2012-09-30,5063.03
2012-08-31,4958.89
2012-07-31,4939.13
2012-06-30,4954.0
2012-05-31,4949.05
2012-04-30,4954.0
2012-03-31,4954.0
2012-02-29,4949.0
