date,932077.CSI_open,932077.CSI_high,932077.CSI_low,932077.CSI_close,932077.CSI_change,932077.CSI_amount,932077.CSI_volume
2004-12-31,1000.0,1000.0,1000.0,1000.0,0.0,231.17,37836200
2005-01-04,965.42,965.42,965.42,965.42,-0.0346,354.65,74899100
2005-01-05,965.74,965.74,965.74,965.74,0.0003,193.33,41644200
2005-01-06,947.93,947.93,947.93,947.93,-0.0184,176.96,36163900
2005-01-07,952.06,952.06,952.06,952.06,0.0044,159.39,29286900
2005-01-10,943.55,943.55,943.55,943.55,-0.0089,135.32,27034100
2005-01-11,944.98,944.98,944.98,944.98,0.0015,173.01,32259500
2005-01-12,938.7,938.7,938.7,938.7,-0.0066,159.17,32018700
2005-01-13,927.25,927.25,927.25,927.25,-0.0122,112.49,22282900
2005-01-14,914.04,914.04,914.04,914.04,-0.0142,251.3,53764200
2005-01-17,885.44,885.44,885.44,885.44,-0.0313,519.59,134524600
2005-01-18,880.44,880.44,880.44,880.44,-0.0056,356.16,91267000
2005-01-19,876.84,876.84,876.84,876.84,-0.0041,226.29,56983300
2005-01-20,870.83,870.83,870.83,870.83,-0.0069,248.81,55341500
2005-01-21,895.16,895.16,895.16,895.16,0.0279,399.17,97218000
2005-01-24,913.62,913.62,913.62,913.62,0.0206,500.71,117779700
2005-01-25,914.55,914.55,914.55,914.55,0.001,280.91,60166600
2005-01-26,912.31,912.31,912.31,912.31,-0.0024,264.31,52262900
2005-01-27,897.93,897.93,897.93,897.93,-0.0158,207.02,44857000
2005-01-28,888.84,888.84,888.84,888.84,-0.0101,140.8,31153000
2005-01-31,871.23,871.23,871.23,871.23,-0.0198,186.57,40163100
2005-02-01,866.75,866.75,866.75,866.75,-0.0051,258.64,51535800
2005-02-02,919.03,919.03,919.03,919.03,0.0603,551.91,117297000
2005-02-03,917.74,917.74,917.74,917.74,-0.0014,585.88,121541400
2005-02-04,938.24,938.24,938.24,938.24,0.0223,519.98,108190400
2005-02-16,949.75,949.75,949.75,949.75,0.0123,447.62,92091400
2005-02-17,942.97,942.97,942.97,942.97,-0.0071,242.28,52274900
2005-02-18,934.71,934.71,934.71,934.71,-0.0088,304.97,64207000
2005-02-21,959.2,959.2,959.2,959.2,0.0262,304.02,61631400
2005-02-22,975.12,975.12,975.12,975.12,0.0166,542.97,113760300
2005-02-23,979.77,979.77,979.77,979.77,0.0048,585.92,116703900
2005-02-24,975.69,975.69,975.69,975.69,-0.0042,352.06,71073800
2005-02-25,980.33,980.33,980.33,980.33,0.0048,557.27,111445300
2005-02-28,985.75,985.75,985.75,985.75,0.0055,553.16,113334100
2005-03-01,988.19,988.19,988.19,988.19,0.0025,446.69,90953600
2005-03-02,978.32,978.32,978.32,978.32,-0.01,604.67,117946300
2005-03-03,981.49,981.49,981.49,981.49,0.0032,371.79,77667800
2005-03-04,977.23,977.23,977.23,977.23,-0.0043,325.94,58677500
2005-03-07,987.02,987.02,987.02,987.02,0.01,295.26,51980700
2005-03-08,1002.43,1002.43,1002.43,1002.43,0.0156,553.99,99086600
2005-03-09,1002.32,1002.32,1002.32,1002.32,-0.0001,404.03,77172200
2005-03-10,975.13,975.13,975.13,975.13,-0.0271,341.62,63328100
2005-03-11,973.15,973.15,973.15,973.15,-0.002,286.11,54055700
2005-03-14,969.44,969.44,969.44,969.44,-0.0038,405.52,70517300
2005-03-15,950.21,950.21,950.21,950.21,-0.0198,409.51,79302200
2005-03-16,939.79,939.79,939.79,939.79,-0.011,308.22,52279300
2005-03-17,941.02,941.02,941.02,941.02,0.0013,281.8,47225300
2005-03-18,939.17,939.17,939.17,939.17,-0.002,344.94,63317300
2005-03-21,940.27,940.27,940.27,940.27,0.0012,261.65,47582300
2005-03-22,926.93,926.93,926.93,926.93,-0.0142,322.2,64715300
