指标名称,中国:产量:动力煤:当月值,中国:产量:炼焦煤:当月值,中国:产量:原煤:当月值,中国:产量:原煤:当月同比,中国:产成品存货:石油和天然气开采业
2013-01-31,23555.0,4301.0,31000.0,21.1,
2013-02-28,20134.0,3403.75,24000.0,-7.34,879515.2
2013-03-31,23206.0,5036.51,29000.0,-1.69,850226.3
2013-04-30,22415.0,5588.27,30500.0,-4.83,840940.0
2013-05-31,22721.0,4538.07,30700.0,-6.34,872883.3
2013-06-30,22705.0,4892.79,30400.0,-6.3,932176.9
2013-07-31,23806.0,5088.48,30000.0,-3.2,934291.9
2013-08-31,24266.0,4775.15,30000.0,-2.3,991865.6
2013-09-30,24239.0,4870.48,31500.0,0.0,955155.8
2013-10-31,24326.0,4986.42,32000.0,1.6,1037834.2
2013-11-30,25086.0,4768.42,33000.0,2.5,1085660.7
2013-12-31,25847.0,4886.89,,,1112107.7
2014-01-31,,4049.02,29000.0,-6.5,
2014-02-28,,4721.88,24500.0,2.1,997333.3
2014-03-31,23174.0,5716.34,30500.0,3.4,934519.3
2014-04-30,22871.0,4454.28,30100.0,-1.3,950468.6
2014-05-31,22493.0,4447.22,30000.0,-2.3,1024076.0
2014-06-30,22044.0,4444.65,29800.0,-2.0,976618.0
2014-07-31,22279.0,4913.89,30100.0,-1.6,1121375.4
2014-08-31,22354.0,4922.42,30200.0,-0.98,1159593.1
2014-09-30,21603.0,4810.38,29200.0,-7.0,1197858.4
2014-10-31,21529.0,4868.81,29100.0,-8.5,1149426.3
2014-11-30,25905.0,3815.04,33000.0,-4.9,1163353.4
2014-12-31,28722.0,4361.5,,,1073946.1
2015-01-31,23996.4,3380.0,29000.0,0.0,
2015-02-28,19999.0,2957.5,24000.0,-7.7,997739.4
2015-03-31,25037.0,4754.0,30559.2,-7.6,931512.2
2015-04-30,24888.0,3845.96,29801.7,-7.4,991079.9
2015-05-31,25183.0,4401.6,30938.5,-6.1,986294.0
2015-06-30,26750.0,4530.14,32671.9,-4.9,973906.0
2015-07-31,26555.0,3823.5,30665.9,-3.1,1053879.6
2015-08-31,25199.0,4120.5,30862.9,-2.6,1098081.9
2015-09-30,25702.0,4015.0,31268.1,-2.2,1086386.6
2015-10-31,26018.3,4146.5,31694.6,-1.2,1030717.0
2015-11-30,26287.0,4184.5,32022.9,-2.7,966000.0
2015-12-31,27094.0,4064.0,31658.9,-0.3,954000.0
2016-01-31,23672.0,3629.5,,,
2016-02-29,18346.0,2594.0,,,1037000.0
2016-03-31,23959.0,4420.5,29379.7776,-4.54,1051000.0
2016-04-30,22103.0,3204.5,26803.2,-11.0,1029000.0
2016-05-31,21665.0,3467.5,26375.1,-15.5,1149000.0
2016-06-30,22776.0,3652.5,27754.3,-16.6,1118000.0
2016-07-31,22227.0,3479.5,27000.7,-13.1,989000.0
2016-08-31,22976.0,3589.5,27808.9,-11.0,1025000.0
