date,932085.CSI_open,932085.CSI_high,932085.CSI_low,932085.CSI_close,932085.CSI_change,932085.CSI_amount,932085.CSI_volume
2004-12-31,1000.0,1000.0,1000.0,1000.0,0.0,372.52,83791500
2005-01-04,991.24,991.24,991.24,991.24,-0.0088,311.0,72498000
2005-01-05,1006.67,1006.67,1006.67,1006.67,0.0156,390.91,85517400
2005-01-06,989.25,989.25,989.25,989.25,-0.0173,302.56,64855200
2005-01-07,991.46,991.46,991.46,991.46,0.0022,326.41,67978000
2005-01-10,999.43,999.43,999.43,999.43,0.008,352.59,60273300
2005-01-11,996.94,996.94,996.94,996.94,-0.0025,270.62,49470900
2005-01-12,997.72,997.72,997.72,997.72,0.0008,282.69,50198000
2005-01-13,1009.24,1009.24,1009.24,1009.24,0.0115,809.97,135660600
2005-01-14,1006.35,1006.35,1006.35,1006.35,-0.0029,964.14,220239100
2005-01-17,1010.31,1010.31,1010.31,1010.31,0.0039,794.22,156940300
2005-01-18,1035.26,1035.26,1035.26,1035.26,0.0247,940.43,195875300
2005-01-19,1030.31,1030.31,1030.31,1030.31,-0.0048,822.16,189951000
2005-01-20,1022.78,1022.78,1022.78,1022.78,-0.0073,793.3,172512200
2005-01-21,1036.59,1036.59,1036.59,1036.59,0.0135,1153.32,256025000
2005-01-24,1052.98,1052.98,1052.98,1052.98,0.0158,1016.94,211929900
2005-01-25,1048.57,1048.57,1048.57,1048.57,-0.0042,782.56,138187800
2005-01-26,1039.63,1039.63,1039.63,1039.63,-0.0085,556.89,109563000
2005-01-27,1009.66,1009.66,1009.66,1009.66,-0.0288,686.63,151071400
2005-01-28,1006.23,1006.23,1006.23,1006.23,-0.0034,370.6,85903800
2005-01-31,985.72,985.72,985.72,985.72,-0.0204,367.09,81864200
2005-02-01,985.9,985.9,985.9,985.9,0.0002,332.89,70748000
2005-02-02,1032.14,1032.14,1032.14,1032.14,0.0469,935.5,211144400
2005-02-03,1005.96,1005.96,1005.96,1005.96,-0.0254,728.27,166913200
2005-02-04,1020.63,1020.63,1020.63,1020.63,0.0146,608.27,135905000
2005-02-16,1035.83,1035.83,1035.83,1035.83,0.0149,565.59,114272300
2005-02-17,1035.05,1035.05,1035.05,1035.05,-0.0008,524.31,107682400
2005-02-18,1018.31,1018.31,1018.31,1018.31,-0.0162,382.99,80335600
2005-02-21,1039.24,1039.24,1039.24,1039.24,0.0206,453.81,105417800
2005-02-22,1058.69,1058.69,1058.69,1058.69,0.0187,919.43,193428900
2005-02-23,1058.87,1058.87,1058.87,1058.87,0.0002,913.09,180231100
2005-02-24,1056.99,1056.99,1056.99,1056.99,-0.0018,557.75,98019900
2005-02-25,1056.58,1056.58,1056.58,1056.58,-0.0004,741.28,149336700
2005-02-28,1060.6,1060.6,1060.6,1060.6,0.0038,539.46,104627600
2005-03-01,1056.45,1056.45,1056.45,1056.45,-0.0039,469.22,93273700
2005-03-02,1047.08,1047.08,1047.08,1047.08,-0.0089,571.17,106103200
2005-03-03,1048.58,1048.58,1048.58,1048.58,0.0014,435.68,82762700
2005-03-04,1042.57,1042.57,1042.57,1042.57,-0.0057,383.42,72521500
2005-03-07,1048.12,1048.12,1048.12,1048.12,0.0053,367.42,63427700
2005-03-08,1063.15,1063.15,1063.15,1063.15,0.0143,684.98,142119500
2005-03-09,1050.82,1050.82,1050.82,1050.82,-0.0116,1191.82,294117100
2005-03-10,1024.21,1024.21,1024.21,1024.21,-0.0253,1085.24,265491700
2005-03-11,1031.59,1031.59,1031.59,1031.59,0.0072,690.24,131468400
2005-03-14,1020.09,1020.09,1020.09,1020.09,-0.0111,810.21,162021700
2005-03-15,1004.91,1004.91,1004.91,1004.91,-0.0149,758.78,150806100
2005-03-16,1001.85,1001.85,1001.85,1001.85,-0.003,595.13,108727000
2005-03-17,999.04,999.04,999.04,999.04,-0.0028,654.2,113102800
2005-03-18,973.4,973.4,973.4,973.4,-0.0257,631.55,117697400
2005-03-21,968.79,968.79,968.79,968.79,-0.0047,438.56,78622700
2005-03-22,928.04,928.04,928.04,928.04,-0.0421,681.17,164470800
2005-03-23,920.68,920.68,920.68,920.68,-0.0079,503.31,116408400
2005-03-24,931.52,931.52,931.52,931.52,0.0118,541.53,125958300
2005-03-25,931.98,931.98,931.98,931.98,0.0005,375.97,86490200
2005-03-28,925.62,925.62,925.62,925.62,-0.0068,294.09,60153900
2005-03-29,917.2,917.2,917.2,917.2,-0.0091,308.44,60785800
2005-03-30,897.12,897.12,897.12,897.12,-0.0219,374.51,84585200
2005-03-31,898.93,898.93,898.93,898.93,0.002,370.17,88694200
2005-04-01,935.08,935.08,935.08,935.08,0.0402,680.66,165540200
2005-04-04,916.0,916.0,916.0,916.0,-0.0204,410.97,94256300
2005-04-05,911.56,911.56,911.56,911.56,-0.0048,317.01,68841700
2005-04-06,921.63,921.63,921.63,921.63,0.011,472.3,100039200
2005-04-07,928.31,928.31,928.31,928.31,0.0072,697.09,150466900
