date,932083.CSI_open,932083.CSI_high,932083.CSI_low,932083.CSI_close,932083.CSI_change,932083.CSI_amount,932083.CSI_volume
2004-12-31,1000.0,1000.0,1000.0,1000.0,0.0,201.7,31376200
2005-01-04,984.61,984.61,984.61,984.61,-0.0154,222.58,34330000
2005-01-05,987.25,987.25,987.25,987.25,0.0027,273.49,42187300
2005-01-06,981.64,981.64,981.64,981.64,-0.0057,284.56,44728000
2005-01-07,985.46,985.46,985.46,985.46,0.0039,159.53,27114800
2005-01-10,1002.07,1002.07,1002.07,1002.07,0.0169,234.94,36596400
2005-01-11,1003.28,1003.28,1003.28,1003.28,0.0012,197.15,32180500
2005-01-12,994.77,994.77,994.77,994.77,-0.0085,106.48,17850900
2005-01-13,989.86,989.86,989.86,989.86,-0.0049,119.24,19161600
2005-01-14,978.27,978.27,978.27,978.27,-0.0117,154.85,24635900
2005-01-17,948.64,948.64,948.64,948.64,-0.0303,268.89,46062800
2005-01-18,949.81,949.81,949.81,949.81,0.0012,231.15,38554400
2005-01-19,938.25,938.25,938.25,938.25,-0.0122,106.88,19258800
2005-01-20,923.94,923.94,923.94,923.94,-0.0153,193.36,33466300
2005-01-21,974.48,974.48,974.48,974.48,0.0547,1010.47,160527200
2005-01-24,989.85,989.85,989.85,989.85,0.0158,893.81,134081400
2005-01-25,973.91,973.91,973.91,973.91,-0.0161,452.33,69360200
2005-01-26,969.67,969.67,969.67,969.67,-0.0044,449.51,66770000
2005-01-27,950.32,950.32,950.32,950.32,-0.02,228.46,36524500
2005-01-28,944.24,944.24,944.24,944.24,-0.0064,216.55,36045400
2005-01-31,919.17,919.17,919.17,919.17,-0.0266,205.86,34498700
2005-02-01,925.29,925.29,925.29,925.29,0.0067,284.53,46248600
2005-02-02,979.73,979.73,979.73,979.73,0.0588,870.58,134445200
2005-02-03,959.79,959.79,959.79,959.79,-0.0204,550.96,89281100
2005-02-04,998.04,998.04,998.04,998.04,0.0399,1173.45,178407600
2005-02-16,994.18,994.18,994.18,994.18,-0.0039,589.95,92666700
