,中国:社会融资规模:新增人民币贷款:当月值,中国:社会融资规模:新增未贴现银行承兑汇票:当月值,中国:社会融资规模存量:人民币贷款,中国:金融机构:新增人民币贷款:居民户:中长期:当月值,中国:金融机构:新增人民币贷款:居民户:短期:当月值,中国:金融机构:新增人民币贷款:非银行业金融机构:当月值,中国:金融机构:新增人民币贷款:当月值,中国:金融机构:各项贷款余额:人民币:同比,中国:金融机构:新增人民币贷款:居民户:当月值,中国:金融机构:新增人民币存款:居民户:当月值,中国:金融机构:新增人民币存款:当月值,中国:金融机构:新增人民币存款:非金融企业:当月值,中国:金融机构:各项存款余额:人民币:同比,商业银行:总负债增速:月度累计,商业银行:总资产增速:月度累计,城市商业银行:总负债增速:月度累计,城市商业银行:总资产增速:月度累计,大型商业银行:总负债增速:月度累计,大型商业银行:总资产增速:月度累计,股份制商业银行:总负债增速:月度累计,股份制商业银行:总资产增速:月度累计
2013-01-31,10721.0,5798.0,,2683.0,2031.0,,10721.0,15.4,4714.0,7499.0,11100.0,1179.0,16.0,,,27.83,27.33,10.31,10.69,33.62,32.86
2013-02-28,6200.0,-1823.0,,1383.0,-170.0,,6199.999999999999,15.0,1213.0,17700.0,7737.0,-9391.0,14.6,,,26.23,25.85,8.99,9.46,30.14,29.59
2013-03-31,10625.0,2731.0,,1718.0,2106.0,,10625.0,14.9,3824.0,11801.0,42200.0,24312.0,15.6,,,25.59,25.18,8.41,8.95,29.18,28.76
2013-04-30,7923.0,2218.0,,2311.0,1406.0,,7923.0,14.9,3717.0,-9341.0,-1001.0,3107.0,16.2,,,25.31,24.87,8.18,8.74,30.68,30.13
2013-05-31,6694.0,-1141.0,,2292.0,1531.0,,6694.000000000001,14.5,3823.0,2768.0,14800.0,3853.0,16.2,,,21.62,21.33,8.92,9.38,28.46,28.03
2013-06-30,8628.0,-2615.0,,1913.0,1554.0,,8628.0,14.2,3409.0,10873.0,16000.0,140.0,14.3,,,18.03,18.06,6.75,7.33,22.2,22.16
2013-07-31,6997.0,-1777.0,,1951.0,1116.0,,6997.000000000001,14.3,3067.0,-3935.0,-2573.0,-5925.0,14.6,,,18.22,18.36,8.35,8.79,22.29,22.13
2013-08-31,7128.0,3049.0,,1908.0,1479.0,,7128.0,14.1,3387.0,862.0,8052.0,3441.0,14.9,,,20.04,20.12,8.47,8.76,22.7,22.48
2013-09-30,7870.0,-79.0,,1841.0,1647.0,,7870.0,14.3,3546.0,11673.0,16300.0,3084.0,14.6,,,21.89,21.96,8.21,8.55,18.35,18.58
2013-10-31,5060.0,-345.0,,1535.0,514.0,,5060.0,14.2,2049.0,-8967.0,-4027.0,-2068.0,14.5,,,22.8,22.75,8.75,9.01,19.3,19.42
2013-11-30,6246.0,60.0,,1818.0,797.0,,6246.0,14.2,2615.0,940.0,5472.0,3877.0,14.5,,,24.75,24.62,9.0,9.21,19.02,19.12
2013-12-31,4824.0,1679.0,,1147.0,589.0,,4824.0,14.1,1736.0,13027.0,11500.0,9391.0,13.8,,,22.89,22.93,7.88,8.16,13.66,14.08
2014-01-31,13190.0,4902.0,,3121.0,1798.0,,13190.000000000002,14.3,4919.0,18100.0,-9402.0,-24400.0,11.3,,,22.83,22.89,7.26,7.61,15.02,15.37
2014-02-28,6448.0,-1419.0,,1238.0,-746.0,,6447.999999999999,14.2,492.0,891.0,19900.0,9736.0,12.5,,,25.5,25.48,8.78,9.03,15.72,16.05
2014-03-31,10497.0,2252.0,,1928.0,1954.0,,10497.0,13.9,3882.0,13909.0,36700.0,17863.0,11.4,,,22.76,22.87,7.77,8.09,13.41,13.84
2014-04-30,7745.0,789.0,,1901.0,906.0,,7745.0,13.7,2807.0,-12300.0,-6546.0,1715.0,10.9,,,22.89,23.04,8.89,9.15,12.34,12.79
2014-05-31,8708.0,-94.0,,2021.0,1104.0,,8708.0,13.9,3125.0,1690.0,13700.0,5479.0,10.6,,,23.98,24.08,8.89,9.18,14.0,14.45
2014-06-30,10793.0,1445.0,,1991.0,1585.0,,10793.0,14.0,3575.0,18210.0,37900.0,14707.0,12.6,,,23.29,23.41,9.73,9.8,16.76,17.03
2014-07-31,3852.0,-4157.0,,1803.0,259.0,,3852.0,13.4,2062.0,-10800.0,-19800.0,-13500.0,10.9,,,22.81,23.01,9.41,9.67,16.1,16.42
2014-08-31,7025.0,-1116.0,,1890.0,839.0,,7025.0,13.3,2729.0,-2305.0,1080.0,341.0,10.1,,,22.95,23.07,9.33,9.62,15.77,16.14
2014-09-30,8572.0,-1410.0,,1707.0,1290.0,,8572.0,13.2,3009.0,9405.0,9243.0,-1041.0,9.3,,,22.36,22.53,7.39,7.84,13.85,14.2
2014-10-31,5483.0,-2411.0,,1195.0,390.0,,5483.0,13.2,1585.0,-5395.0,-1866.0,-4482.0,9.5,,,21.21,21.57,8.18,8.72,15.38,15.7
2014-11-30,8527.0,-668.0,,1830.0,656.0,,8527.0,13.4,2486.0,649.0,6711.0,4352.0,9.6,,,19.96,20.39,8.37,9.07,14.32,14.76
2014-12-31,6973.0,601.0,,1675.0,565.0,,6972.999999999999,13.6,2229.0,9346.0,7229.0,8930.0,9.1,,,18.74,19.15,6.53,7.41,16.01,16.26
