指标名称,中国:CPI:食品:环比,中国:CPI:非食品:环比,中国:CPI:不包括食品和能源(核心CPI):环比_x,中国:CPI:消费品:环比,中国:CPI:服务:环比,中国:CPI:食品烟酒:环比,中国:CPI:食品烟酒:粮食:环比,中国:CPI:食品烟酒:食用油:环比,中国:CPI:食品烟酒:鲜菜:环比,中国:CPI:食品烟酒:畜肉类:环比,中国:CPI:食品烟酒:畜肉类:猪肉:环比,中国:CPI:食品烟酒:畜肉类:牛肉:环比,中国:CPI:食品烟酒:畜肉类:羊肉:环比,中国:CPI:食品烟酒:水产品:环比,中国:CPI:食品烟酒:蛋类:环比,中国:CPI:食品烟酒:奶类:环比,中国:CPI:食品烟酒:鲜果:环比,中国:CPI:食品烟酒:卷烟:环比,中国:CPI:食品烟酒:酒类:环比,中国:CPI:衣着:环比,中国:CPI:衣着:服装:环比,中国:CPI:衣着:鞋类:环比,中国:CPI:居住:环比,中国:CPI:居住:租赁房房租:环比,中国:CPI:居住:水电燃料:环比,中国:CPI:生活用品及服务:环比,中国:CPI:生活用品及服务:家用器具:环比,中国:CPI:生活用品及服务:家庭服务:环比,中国:CPI:交通和通信:环比,中国:CPI:交通和通信:交通工具:环比,中国:CPI:交通和通信:交通工具用燃料:环比,中国:CPI:交通和通信:交通工具使用和维修:环比,中国:CPI:交通和通信:通信工具:环比,中国:CPI:交通和通信:通信服务:环比,中国:CPI:交通和通信:邮递服务:环比,中国:CPI:教育文化和娱乐:环比,中国:CPI:教育文化和娱乐:教育服务:环比,中国:CPI:教育文化和娱乐:旅游:环比,中国:CPI:医疗保健:环比,中国:CPI:医疗保健:中药:环比,中国:CPI:医疗保健:西药:环比,中国:CPI:医疗保健:医疗服务:环比,中国:CPI:其他用品和服务:环比,中国:CPI:交通和通信:交通工具使用和维修:环比.1,中国:CPI:食品:当月同比,中国:CPI:非食品:当月同比,中国:CPI:不包括食品和能源(核心CPI):当月同比_x,中国:CPI:消费品:当月同比,中国:CPI:服务:当月同比,中国:CPI:食品烟酒:当月同比,中国:CPI:食品烟酒:粮食:当月同比,中国:CPI:食品烟酒:食用油:当月同比,中国:CPI:食品烟酒:鲜菜:当月同比,中国:CPI:食品烟酒:畜肉类:当月同比,中国:CPI:食品烟酒:畜肉类:猪肉:当月同比,中国:CPI:食品烟酒:畜肉类:牛肉:当月同比,中国:CPI:食品烟酒:畜肉类:羊肉:当月同比,中国:CPI:食品烟酒:水产品:当月同比,中国:CPI:食品烟酒:蛋类:当月同比,中国:CPI:食品烟酒:奶类:当月同比,中国:CPI:食品烟酒:鲜果:当月同比,中国:CPI:食品烟酒:烟草:当月同比,中国:CPI:食品烟酒:酒类:当月同比,中国:CPI:衣着:当月同比,中国:CPI:衣着:服装:当月同比,中国:CPI:衣着:鞋类:当月同比,中国:CPI:居住:当月同比,中国:CPI:居住:租赁房房租:当月同比,中国:CPI:居住:水电燃料:当月同比,中国:CPI:生活用品及服务:当月同比,中国:CPI:生活用品及服务:家用器具:当月同比,中国:CPI:生活用品及服务:家庭服务:当月同比,中国:CPI:交通和通信:当月同比,中国:CPI:交通和通信:交通工具:当月同比,中国:CPI:交通和通信:交通工具用燃料:当月同比,中国:CPI:交通和通信:交通工具使用和维修:当月同比,中国:CPI:交通和通信:通信工具:当月同比,中国:CPI:交通和通信:通信服务:当月同比,中国:CPI:交通和通信:邮递服务:当月同比,中国:CPI:教育文化和娱乐:当月同比,中国:CPI:教育文化和娱乐:教育服务:当月同比,中国:CPI:教育文化和娱乐:旅游:当月同比,中国:CPI:医疗保健:当月同比,中国:CPI:医疗保健:中药:当月同比,中国:CPI:医疗保健:西药:当月同比,中国:CPI:医疗保健:医疗服务:当月同比,中国:CPI:其他用品和服务:当月同比,中国:PPI:煤炭开采和洗选业:当月同比,中国:PPI:石油和天然气开采业:当月同比,中国:PPI:黑色金属矿采选业:当月同比,中国:PPI:有色金属矿采选业:当月同比,中国:PPI:非金属矿采选业:当月同比,中国:PPI:农副食品加工业:当月同比,中国:PPI:食品制造业:当月同比,中国:PPI:酒、饮料和精制茶制造业:当月同比,中国:PPI:烟草制品业:当月同比,中国:PPI:纺织业:当月同比,中国:PPI:纺织服装、服饰业:当月同比,中国:PPI:皮革、毛皮、羽毛及其制品和制鞋业:当月同比,中国:PPI:木材加工及木、竹、藤、棕、草制品业:当月同比,中国:PPI:家具制造业:当月同比,中国:PPI:造纸及纸制品业:当月同比,中国:PPI:印刷业和记录媒介的复制:当月同比,中国:PPI:文教、工美、体育和娱乐用品制造业:当月同比,中国:PPI:石油、煤炭及其他燃料加工业:当月同比,中国:PPI:化学原料及化学制品制造业:当月同比,中国:PPI:医药制造业:当月同比,中国:PPI:化学纤维制造业:当月同比,中国:PPI:橡胶和塑料制品业:当月同比,中国:PPI:非金属矿物制品业:当月同比,中国:PPI:黑色金属冶炼及压延加工业:当月同比,中国:PPI:有色金属冶炼及压延加工业:当月同比,中国:PPI:金属制品业:当月同比,中国:PPI:通用设备制造业:当月同比,中国:PPI:专用设备制造业:当月同比,中国:PPI:汽车制造业:当月同比,中国:PPI:铁路、船舶、航空航天和其他运输设备制造业:当月同比,中国:PPI:电气机械及器材制造业:当月同比,中国:PPI:计算机、通信和其他电子设备制造业:当月同比,中国:PPI:仪器仪表制造业:当月同比,中国:PPI:其他制造业:当月同比,中国:PPI:废弃资源综合利用业:当月同比,中国:PPI:金属制品、机械和设备修理业:当月同比,中国:PPI:电力、热力的生产和供应业:当月同比,中国:PPI:燃气生产和供应业:当月同比,中国:PPI:水的生产和供应业:当月同比,中国:PPI:煤炭开采和洗选业:环比,中国:PPI:石油和天然气开采业:环比,中国:PPI:黑色金属矿采选业:环比,中国:PPI:有色金属矿采选业:环比,中国:PPI:非金属矿采选业:环比,中国:PPI:农副食品加工业:环比,中国:PPI:食品制造业:环比,中国:PPI:酒、饮料和精制茶制造业:环比,中国:PPI:烟草制品业:环比,中国:PPI:纺织业:环比,中国:PPI:纺织服装、服饰业:环比,中国:PPI:木材加工及木、竹、藤、棕、草制品业:环比,中国:PPI:造纸及纸制品业:环比,中国:PPI:印刷业和记录媒介的复制:环比,中国:PPI:石油、煤炭及其他燃料加工业:环比,中国:PPI:化学原料及化学制品制造业:环比,中国:PPI:医药制造业:环比,中国:PPI:化学纤维制造业:环比,中国:PPI:橡胶和塑料制品业:环比,中国:PPI:非金属矿物制品业:环比,中国:PPI:黑色金属冶炼及压延加工业:环比,中国:PPI:有色金属冶炼及压延加工业:环比,中国:PPI:金属制品业:环比,中国:PPI:通用设备制造业:环比,中国:PPI:专用设备制造业:环比,中国:PPI:汽车制造业:环比,中国:PPI:铁路、船舶、航空航天和其他运输设备制造业:环比,中国:PPI:电气机械及器材制造业:环比,中国:PPI:计算机、通信和其他电子设备制造业:环比,中国:PPI:电力、热力的生产和供应业:环比,中国:PPI:燃气生产和供应业:环比,中国:PPI:水的生产和供应业:环比,中国:CPI:当月同比,中国:CPI:环比,中国:CPI:不包括食品和能源(核心CPI):当月同比_y,中国:CPI:不包括食品和能源(核心CPI):环比_y,万得一致预测:中国:CPI:当月同比,万得一致预测:中国:核心CPI:当月同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:环比,万得一致预测:中国:PPI:当月同比,中国:制造业PMI:生产,中国:制造业PMI:新订单,中国:制造业PMI:出厂价格,中国:制造业PMI:大型企业,中国:制造业PMI:中型企业,中国:制造业PMI:小型企业,中国:制造业PMI,中国:非制造业PMI:建筑业,中国:非制造业PMI:服务业,中国:非制造业PMI:商务活动,中国:M1:同比,中国:M2:同比,中国:社会融资规模存量:同比,中国:社会融资规模:当月值,中国:出口金额:当月同比,中国:规模以上工业增加值:当月同比,中国:社会消费品零售总额:当月同比,中国:金融机构:新增人民币贷款:居民户:中长期:当月值,中国:金融机构:新增人民币贷款:企(事)业单位:中长期:当月值,中国:金融机构:新增人民币贷款:当月值,中国:社会融资规模:新增人民币贷款:当月值,中国:城镇调查失业率,中国:31个大城市:城镇调查失业率
2013-01-31,2.8031,0.1353,0.1,1.2492,0.4165,,0.8841,0.2732,12.6944,3.2434,5.1638,3.9,2.3,3.5155,1.3616,0.6171,4.324,0.0179,-0.02,-0.3895,-0.503,-0.2233,0.1581,0.0978,0.1203,0.292,0.0212,2.484,0.1039,-0.0024,0.2019,,-0.4087,-0.0227,,0.503,0.2629,2.5219,0.1095,0.0749,-0.3068,0.3535,,,2.8839,1.6082,1.5,1.9801,2.1571,,4.6625,4.6159,2.5639,1.4434,-5.0152,30.0,10.8,2.5151,11.0098,3.7451,-6.7456,0.6363,2.4722,2.5068,2.6427,1.8827,2.9226,3.0775,3.533,1.4942,0.3129,7.2142,-0.2617,-1.0671,2.7943,4.4,-10.3089,-0.0673,,0.5213,2.795,-2.9157,1.7561,2.4334,0.2177,1.2841,,-11.12,-0.69,-7.19,-0.98,0.78,3.22,1.1,0.42,1.59,-1.03,1.53,2.04,1.37,1.09,-2.12,0.05,1.14,-0.23,-3.2,0.17,-6.54,,-1.92,-8.39,-2.04,-2.13,-1.26,-0.01,,-0.57,-1.53,-2.05,-0.06,0.76,-8.66,,1.04,2.23,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0305,1.0103,1.5,0.1,1.92,,-1.64,0.24,-1.67,51.3,51.6,,51.3,49.7,46.2,50.4,61.6,54.9,56.2,15.3,15.9,,25446.0,24.97,17.7,,2683.0,3098.0,10721.0,10721.0,,
2013-02-28,2.6709,0.2473,0.3,1.16,0.7966,,0.6007,0.1601,6.9482,2.3759,1.4917,4.9,3.4,5.9378,-0.9096,0.9024,10.9994,0.0034,-0.2067,-0.6941,-0.8542,-0.4176,0.3117,0.5346,-0.0337,0.2272,-0.0221,2.4277,0.5458,-0.0247,0.4615,,-0.5481,0.0306,,0.6325,0.1167,3.3829,0.2894,0.398,0.0591,0.1792,,,5.9872,1.8549,1.8,3.2544,3.1326,,5.0867,4.6823,10.0192,5.275,-1.0449,34.6,14.5,7.7409,19.67,4.2503,3.728,0.5955,1.8398,2.1489,2.3602,1.1621,2.8006,2.7203,3.1639,1.589,0.097,10.8862,0.2258,-1.0273,1.0724,7.1,-10.0729,-0.0545,,1.9658,2.5416,7.0489,1.7899,2.4398,0.2003,1.4216,,-10.94,-2.07,-6.48,-1.65,0.42,3.5,1.24,0.18,1.67,-1.16,1.31,2.35,1.24,0.95,-2.56,-0.34,0.85,-1.15,-3.32,0.59,-6.51,,-2.13,-6.44,-3.29,-1.91,-1.23,0.05,,-0.46,-1.61,-2.13,-0.13,0.18,-7.95,,0.47,1.06,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2198,1.0564,1.8,0.3,2.93,,-1.63,0.15,-1.62,51.2,50.1,,51.3,48.8,46.0,50.1,58.0,53.6,54.5,9.5,15.2,,10705.0,21.76,2.2,12.2999,1383.0,2826.0,6199.999999999999,6200.0,,
2013-03-31,-2.9164,0.1148,0.1,-1.2751,-0.0027,,0.2805,-0.1021,-13.4453,-4.6666,-9.1354,-1.3,-0.4,-4.519,-6.7107,0.4618,0.453,-0.0083,0.145,0.5781,0.5067,0.9502,0.5214,1.1837,0.065,0.01,0.0488,-0.7516,-0.2964,-0.1425,1.807,,-0.631,-0.0161,,-0.3529,0.4419,-3.8149,-0.0251,0.3157,0.1269,0.1025,,,2.6775,1.7697,1.9,1.6689,3.0789,,5.1814,4.7243,-10.2838,2.9077,-5.5352,33.0,14.8,1.5523,13.8964,4.5209,5.0492,0.5429,1.6152,2.2851,2.3905,1.6849,2.9187,3.6652,2.1707,1.6209,0.1764,9.9206,-0.2641,-1.1554,-0.1539,5.4,-9.7616,-0.0485,,1.7207,2.8793,3.7735,1.6873,2.4602,0.1372,1.499,,-10.83,-3.08,-5.83,-2.39,0.71,2.99,1.44,0.18,0.31,-0.92,1.25,2.34,1.17,0.96,-2.59,-0.44,0.75,-3.15,-3.59,0.43,-5.43,,-2.17,-6.79,-4.63,-1.8,-1.27,0.2,,-0.5,-1.97,-2.49,-0.55,0.24,-7.05,,0.33,-0.96,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0696,-0.9132,1.9,0.1,2.41,,-1.92,-0.03,-1.85,52.7,52.3,,51.4,50.3,49.3,50.9,62.5,53.9,55.6,11.9,15.7,,25503.0,9.98,8.9,12.6003,1718.0,2530.0,10625.0,10625.0,,
2013-04-30,0.4014,0.1524,0.2,0.2008,0.3205,,0.1543,-0.3471,11.194,-3.6219,-6.0603,-0.2,0.4,1.2073,-2.8467,0.2459,0.324,-0.0183,-0.0813,0.6501,0.7814,0.3572,0.2016,0.4492,-0.1767,0.1132,0.027,0.1182,-0.4494,-0.1388,-2.9591,,-1.02,0.0186,,0.4219,0.1171,2.0953,0.0259,0.7069,0.0015,-0.0014,,,4.0474,1.5769,1.8,2.1632,2.9432,,5.1838,3.7828,5.9198,1.4992,-6.543,30.9,15.6,1.9702,12.2568,4.387,5.2957,0.4861,1.1811,2.4866,2.6656,1.7536,2.8892,4.1175,1.5506,1.5749,0.1357,9.5434,-1.1015,-1.0965,-5.8054,5.0,-9.3782,-0.039,,1.5046,2.9007,2.0519,1.496,2.7587,-0.0202,1.626,,-12.17,-9.57,-6.66,-3.8,0.31,1.7,1.6,-0.24,0.12,-0.56,1.23,2.25,1.21,0.9,-2.77,-0.4,0.77,-8.33,-4.4,0.46,-5.16,,-2.0,-8.34,-5.8,-2.17,-1.31,0.12,,-0.43,-2.03,-2.59,-0.31,-0.38,-7.63,,0.19,-1.57,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3861,0.2351,1.8,0.2,2.27,,-2.62,-0.55,-2.25,52.6,51.7,,51.0,50.7,47.6,50.6,62.4,52.5,54.5,11.9,16.1,,17629.0,14.59,9.3,12.8,2311.0,1750.0,7923.0,7923.0,,
2013-05-31,-1.5627,-0.0593,0.0,-0.7877,0.0061,,0.1173,-1.2948,-13.7655,-1.2472,-1.3599,0.4,0.5,0.6552,-0.3824,0.3334,0.9102,0.0252,-0.2769,0.1076,0.1706,-0.1162,0.0625,0.2951,-0.3071,0.1075,0.0739,0.342,-0.3818,-0.2407,-2.1801,,-1.1341,-0.0678,,-0.2647,0.0647,-1.9718,0.0676,0.4636,0.0966,0.1798,,,3.225,1.5534,1.8,1.8083,2.8187,,5.1372,1.762,-1.8625,1.6159,-4.9187,29.1,15.4,2.2292,11.501,4.3894,6.5078,0.4397,0.5564,2.5208,2.7221,1.7169,2.9973,4.2582,1.925,1.5657,0.1301,9.635,-1.187,-1.197,-5.9551,4.7,-9.1725,-0.0996,,1.3171,2.877,0.3491,1.4912,2.8215,0.0364,1.8924,,-13.42,-10.53,-6.03,-4.44,0.45,1.15,1.39,-0.38,0.15,-0.62,1.26,2.53,0.97,0.64,-2.76,-0.56,0.21,-9.78,-4.53,0.69,-5.05,,-1.65,-9.26,-6.05,-2.21,-1.44,0.1,,-0.61,-1.81,-2.83,-0.68,-0.56,-8.44,,0.17,0.26,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0981,-0.5597,1.8,0.0,2.44,,-2.87,-0.62,-2.47,53.3,51.8,,51.1,51.4,47.3,50.8,62.2,52.3,54.3,11.3,15.8,,11871.0,0.91,9.2,12.8922,2292.0,1455.0,6694.000000000001,6694.0,,
2013-06-30,0.0058,0.0045,0.0,-0.0628,0.1718,,0.1135,-0.8995,-5.2053,2.4854,4.5745,0.8,0.8,0.3235,0.2334,0.3774,-2.0086,0.0366,-0.2955,-0.2748,-0.1861,-0.6926,0.0857,0.3147,-0.2482,0.078,0.1396,0.2612,0.0202,-0.2966,-0.202,,-0.1083,-0.0121,,0.0335,0.0712,0.2996,0.032,0.5269,0.0585,0.0251,,,4.9261,1.5942,1.7,2.6472,2.7205,,5.1347,0.5848,9.6935,4.771,1.0566,27.9,14.7,3.0596,0.3367,4.6872,11.3913,0.4236,0.0437,2.2628,2.4823,1.3417,3.0718,4.0703,2.5767,1.4953,0.144,9.3854,-0.7161,-1.3789,-2.0528,3.4,-8.4387,-0.1201,,1.3554,2.8104,0.8573,1.3797,3.1383,0.1067,1.8456,,-14.24,-7.82,-6.45,-4.85,0.41,0.63,1.55,0.33,0.11,-0.27,1.07,2.35,0.47,0.5,-2.52,-0.71,-0.02,-6.69,-3.67,0.71,-1.98,,-1.46,-10.27,-5.32,-2.25,-1.45,0.17,,-0.67,-1.6,-3.15,-0.83,-0.97,-6.24,,0.03,2.22,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6684,0.0049,1.7,0.0,2.47,,-2.7,-0.55,-2.61,52.0,50.4,,50.4,49.8,48.9,50.1,59.3,52.6,53.9,9.1,14.0,,10375.0,-3.11,8.9,13.3125,1913.0,1941.0,8628.0,8628.0,,
2013-07-31,-0.0388,0.1736,0.2,-0.0859,0.569,,0.1626,-0.5037,2.1816,1.0708,1.6786,0.8,0.3,-0.5824,-1.3808,0.289,-6.5107,0.0065,-0.109,-0.5976,-0.6693,-0.5426,0.2507,0.518,-0.0496,0.1269,0.1053,0.3974,0.2602,-0.1178,1.0058,,0.0718,0.0013,,0.7857,0.1626,4.8753,-0.0335,0.3152,0.0855,0.0856,,,5.0158,1.5636,1.6,2.654,2.7233,,5.1203,-0.2916,11.8085,5.8762,3.0161,27.3,13.9,3.0699,1.2904,4.8367,7.2669,0.4355,-0.1953,2.1835,2.3452,1.5345,2.765,4.4414,1.1424,1.386,0.2547,8.3421,-0.0549,-1.3594,2.7505,3.2,-7.4246,-0.1259,,1.3205,2.743,0.7368,1.2199,3.3141,0.1593,1.7512,,-13.72,-0.47,-5.55,-5.94,0.48,0.44,1.61,0.2,0.17,0.14,1.04,2.29,0.4,0.4,-2.4,-0.74,-0.25,-2.51,-3.34,0.78,-1.41,,-1.15,-9.14,-6.61,-1.93,-1.35,0.11,,-0.64,-1.65,-3.0,-0.91,-1.21,-5.88,,0.09,3.44,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6741,0.1036,1.6,0.2,2.75,,-2.27,-0.33,-2.22,52.4,50.6,,50.8,49.6,49.4,50.3,58.5,53.0,54.1,9.7,14.5,,8191.0,5.09,9.7,13.2123,1951.0,2431.0,6997.000000000001,6997.0,,
2013-08-31,1.2338,0.088,0.1,0.5887,0.1631,,0.2321,-0.4175,7.6076,2.283,4.4554,0.8,0.4,-0.4804,7.0607,0.4816,-3.0145,0.0157,-0.0626,-0.1705,-0.195,-0.1665,0.2177,0.3303,0.1046,0.051,0.031,0.4721,0.1653,-0.0096,1.7222,0.3,-0.5289,0.0007,,-0.0039,0.06,-0.1315,0.1375,0.3101,0.055,0.0055,,0.3,4.7285,1.5272,1.6,2.5168,2.6889,,4.7244,-1.379,5.2182,7.1686,6.0275,25.5,13.7,4.3121,0.2555,4.9854,7.5297,0.3856,-0.4582,2.2479,2.4073,1.6405,2.6224,4.4116,0.6626,1.391,0.3788,8.132,0.0493,-1.2435,2.9212,3.2,-7.1817,-0.1306,,1.2297,2.6714,0.3969,1.2219,3.5042,0.2184,1.6192,,-12.41,1.91,-2.0,-4.57,0.78,0.21,1.84,0.27,0.16,0.34,1.04,2.43,0.62,0.25,-2.17,-0.64,-0.31,-0.9,-3.22,0.63,-3.22,-1.1,-0.44,-4.76,-5.12,-1.39,-1.19,0.18,-0.7,-0.69,-1.38,-2.95,-0.95,-0.88,-4.98,,0.19,2.31,1.19,-1.5,2.3,1.4,0.8,0.1,0.2,0.1,0.1,0.0,0.1,0.0,0.1,-0.2,0.1,1.1,-0.1,-0.1,0.3,0.0,0.1,0.8,0.6,-0.1,0.0,,-0.1,-0.1,,-0.1,0.1,0.4,0.1,2.5666,0.465,1.6,0.1,2.6,,-1.62,0.14,-1.75,52.6,52.4,,51.8,49.6,49.2,51.0,59.5,52.5,53.9,9.9,14.7,,15841.0,7.1,10.4,13.3701,1908.0,2312.0,7128.0,7128.0,,
2013-09-30,1.5456,0.4494,0.4,0.9298,0.5264,,0.2993,-0.6475,6.7437,1.3519,2.1782,1.1,0.6,-0.1183,7.0559,1.2943,5.3866,-0.0153,-0.338,1.1693,1.1664,1.484,0.2766,0.326,0.36,0.01,-0.1442,0.2453,0.2095,-0.1024,2.3643,0.2,-0.5023,-0.0022,,1.0038,1.289,2.7873,0.1779,0.4912,0.0435,-0.029,,0.2,6.0988,1.5891,1.7,3.0944,2.9473,,3.9858,-3.0856,18.9421,6.6301,5.8577,21.9,13.3,5.9132,1.3494,6.0095,12.4844,0.3098,-0.8265,2.2891,2.4723,1.6441,2.622,4.4269,0.6788,1.3763,0.3344,7.9118,-0.1717,-1.1733,0.9423,3.0,-6.9765,-0.1296,,1.9135,2.7974,4.9216,1.1034,3.8982,0.2357,1.5709,,-10.14,-1.73,3.81,-4.7,0.76,-0.28,1.98,0.24,0.16,0.3,0.97,2.39,0.63,0.07,-2.12,-0.65,-0.27,-1.38,-3.04,0.6,-4.06,-1.0,-0.23,-0.58,-6.23,-1.03,-0.94,0.32,-0.7,-0.74,-1.37,-3.09,-1.17,-1.4,-3.77,,0.15,3.42,1.3,-0.2,2.1,0.8,1.1,0.0,0.5,0.5,0.0,0.0,0.0,0.2,0.1,-0.3,-0.1,2.3,0.3,0.0,0.2,0.0,0.2,0.4,0.4,0.0,0.0,,-0.1,0.0,,-0.2,0.0,1.7,0.2,3.0519,0.8128,1.7,0.4,2.88,,-1.34,0.23,-1.43,52.9,52.8,,52.1,49.7,48.8,51.1,61.5,53.9,55.4,8.9,14.2,,14120.0,-0.43,10.2,13.3143,1841.0,2457.0,7870.0,7870.0,,
2013-10-31,-0.4092,0.2913,0.3,-0.0788,0.3923,,0.309,-0.0083,-2.7769,0.0319,-0.4183,0.9,0.6,-0.9342,-5.8802,1.5252,-0.9474,0.0241,0.0535,0.9932,1.0801,0.9043,0.1893,0.2186,0.2178,0.1465,0.0049,0.4923,-0.3163,-0.0381,-1.6612,0.2,-0.4811,0.0011,,0.7971,0.0857,4.8538,0.069,0.2278,0.0953,0.0479,,0.2,6.5486,1.6185,1.8,3.2471,3.105,,3.8127,-3.4703,31.5402,5.83,5.1539,18.8,12.5,6.3616,-0.7385,7.5386,8.8255,0.2995,-0.9306,2.4024,2.5287,1.9809,2.5968,4.4511,0.6052,1.5244,0.5449,8.0025,-0.611,-1.2707,-2.1934,3.1,-6.6366,-0.1035,,2.4867,2.8063,8.3924,0.9731,4.1605,0.2806,1.3512,,-8.49,-2.48,3.37,-5.95,0.55,0.2,1.73,0.08,0.13,0.57,1.14,2.56,0.49,0.12,-1.82,-0.49,-0.64,-3.61,-2.75,0.56,-4.74,-1.0,-0.3,-2.4,-6.8,-1.2,-0.6,0.31,-1.0,-0.7,-1.33,-2.87,-1.26,-1.82,-3.06,,-0.05,3.17,1.94,0.4,2.5,-0.1,-0.5,0.1,0.3,0.2,0.0,0.0,0.1,0.3,0.1,-0.1,0.0,-0.6,0.3,0.0,-0.7,0.0,0.3,-0.7,0.1,-0.2,0.0,,0.0,-0.1,,-0.1,-0.1,0.6,0.6,3.2058,0.0574,1.8,0.3,3.29,,-1.51,0.0,-1.39,54.4,52.5,,52.3,50.2,48.5,51.4,62.0,54.8,56.3,8.9,14.3,,8645.0,5.57,10.3,13.3202,1535.0,1440.0,5060.0,5060.0,,
