,中国:产量:智能手机:累计值,中国:产量:智能手机:当月值,中国:产量:智能手机:当月同比,中国:出货量:智能手机:当月值,中国:出货量:手机:当月值,中国:36个大中城市:日用工业消费品平均价格:手机(彩屏带摄像头),半导体:销售额:合计:当月同比,半导体:销售额:合计:当月值,半导体:销售额:中国:当月同比,半导体:销售额:中国:当月值,全球:数字芯片:销售额:当月值,全球:数字芯片:销售额:当月同比,全球:汽车类数字芯片:单价:当月值,全球:汽车类数字芯片:销量:当月值,全球:消费类数字芯片:单价:当月值,全球:消费类数字芯片:销量:当月值,全球:计算机及周边数字芯片:单价:当月值,全球:计算机及周边数字芯片:销量:当月值,半导体制造:联发科:营业收入:当月值,中国:产量:太阳能:当月值,中国:产量:核电:当月值,中国:产量:风电:当月值,中国:产量:水电:当月值,中国:产量:火电:当月值,中国:产量:发电量:当月值,中国:全社会用电量:第一产业:当月值,中国:全社会用电量:第三产业:当月值,中国:全社会用电量:第二产业:当月值,中国:全社会用电量:当月值,中国:发电新增设备容量:太阳能:累计值,中国:规模以上工业增加值:电力、热力的生产和供应业:当月同比,中国:用电量:电力、燃气及水的生产和供应业:当月值,中国:产成品存货:电力、热力生产和供应业,中国:产成品存货:电力、热力生产和供应业:同比,中国:存货:电力、热力生产和供应业:同比,中国:消费量:动力煤:电力行业:当月值
2013-01-31,,,,3436.8,4764.6,1410.0,3.8,26.13,,,6648786.0,-1.66,1.27,98904.0,5.69,128176.0,5.4,241163.0,84.53,,89.3,,453.8,3714.6,4341.1,692732.0,5789137.0,32703307.0,45187963.0,,,6330380.0,,,,18209.0
2013-02-28,,,,1643.5,2079.2,1403.0,1.4,25.14,,,5836935.0,-12.21,1.3,88489.0,5.58,136573.0,5.34,208239.0,60.92,,65.7,,366.3,2715.2,3232.1,583114.0,4891087.0,22579380.0,33736119.0,46.0,,1966321.0,569404.3,16.4853,-0.7,13300.0
2013-03-31,,,,4705.8,6394.2,1396.0,0.9,25.42,,,7344430.0,25.83,1.41,95659.0,5.24,173298.0,6.29,243325.0,94.3,,73.16,110.5,477.8,3527.0,4194.3,611403.0,4577125.0,31566264.0,42410136.0,65.0,1.4,8867679.0,584352.9,23.6275,-2.5,16286.0
2013-04-30,,,,4036.5,5545.9,,-1.8,25.57,,,6475378.0,-11.83,1.15,112637.0,4.64,149354.0,5.0,252678.0,125.72,,71.6,109.2,502.5,3307.6,3994.4,815500.0,4576247.0,31367676.0,41652130.0,75.0,5.5,5175698.0,609780.4,6.7815,-6.6,14882.0
2013-05-31,,,,4521.5,5908.1,,1.3,26.75,,,6660569.0,2.86,1.22,108211.0,4.74,144988.0,4.93,252750.0,109.31,,76.9,111.7,656.2,3256.4,4104.0,913052.0,4418663.0,32772445.0,42687593.0,103.0,3.1,6287376.0,569213.5,1.5364,-11.2,14468.0
2013-06-30,,,,3006.5,4248.8,1404.0,2.1,26.96,,,7113687.0,6.8,1.33,109052.0,4.52,171270.0,5.19,287836.0,97.73,,89.26,104.8,814.78,3240.09,4252.61,989588.0,4982631.0,33161706.0,43837463.0,138.0,6.2,6212346.0,498076.2,-4.561,-11.1,14252.0
2013-07-31,,,,3621.1,5420.8,,5.1,27.66,,,7095803.0,-0.25,1.28,109204.0,4.34,181853.0,4.55,300150.0,132.18,,99.1,87.1,854.09,3750.95,4794.52,1134642.0,5856605.0,36657803.0,49495678.0,215.0,8.3,8754595.0,480189.8,-1.0732,-12.4,16259.0
2013-08-31,,,,3522.7,5078.2,1380.0,6.4,28.02,,,7060864.0,-0.49,1.31,104729.0,4.24,166949.0,4.9,286224.0,127.48,,99.38,91.4,841.69,3951.08,4987.0,1181128.0,6551745.0,35731310.0,51029498.0,247.73,12.2,7357367.0,475235.9,-11.2065,-13.4,17785.0
2013-09-30,,,,3252.5,4371.9,,8.7,28.94,,,8472820.0,20.0,1.4,105308.0,4.18,192549.0,5.13,304607.0,130.42,,104.91,94.9,782.98,3323.89,4310.36,821049.0,5842965.0,30623453.0,44483976.0,320.7,8.7,3760640.0,331552.4,-35.6008,-9.7,15286.0
2013-10-31,,,,2949.2,3997.3,1389.0,7.2,29.17,,,7447603.0,-12.1,1.36,103480.0,3.93,174708.0,4.79,286993.0,138.88,,103.63,105.7,694.33,3397.31,4305.15,792158.0,4858251.0,32749704.0,43751016.0,361.1,6.6,6229002.0,341751.1,-31.2206,-5.8,15629.0
2013-11-30,,,,3372.0,4567.1,1372.0,6.8,29.35,,,7509244.0,0.83,1.45,98416.0,3.98,173175.0,4.94,289670.0,128.22,,95.84,117.7,589.01,3585.33,4391.82,778530.0,4828519.0,34369997.0,44850005.0,402.62,6.1,6737006.0,373198.3,-26.9719,-3.3,16485.0
