指标名称,中关村电子产品价格指数:手机通讯,光伏行业综合价格指数(SPI):硅片_x,现货价(周平均价):多晶硅片(156mm×156mm),光伏行业综合价格指数(SPI),光伏行业综合价格指数(SPI):多晶硅,光伏行业综合价格指数(SPI):硅片_y,光伏经理人指数(SMI):全行业
2013-01-02,,,0.807,,,,
2013-01-09,,,0.807,,,,
2013-01-16,,,0.808,,,,
2013-01-23,,,0.819,,,,
2013-01-30,,,0.822,,,,
2013-02-06,,,0.837,,,,
2013-02-13,,,0.84,,,,
2013-02-20,,,0.849,,,,
2013-02-27,,,0.851,,,,
2013-03-06,,,0.859,,,,
2013-03-13,,,0.861,,,,
2013-03-20,,,0.862,,,,
2013-03-27,,,0.862,,,,
2013-04-03,,,0.862,,,,
2013-04-10,,,0.862,,,,
2013-04-17,,,0.852,,,,
2013-04-23,,,,,,,
2013-04-24,,,0.845,,,,
2013-04-30,,,,,,,
2013-05-01,,,0.842,,,,
2013-05-07,,,,,,,
2013-05-08,,,0.842,,,,
2013-05-14,,,,,,,
2013-05-15,,,0.842,,,,
2013-05-21,,,,,,,
2013-05-22,,,0.842,,,,
2013-05-28,,,,,,,
2013-05-29,,,0.842,,,,
2013-06-04,,,,,,,
2013-06-05,,,0.842,,,,
2013-06-12,,,0.842,,,,
2013-06-18,,,,,,,
2013-06-19,,,0.842,,,,
2013-06-25,,,,,,,
2013-06-26,,,0.843,,,,
2013-07-02,,,,,,,
2013-07-03,,,0.844,,,,
2013-07-09,,,,,,,
2013-07-10,,,0.844,,,,
2013-07-16,,,,,,,
2013-07-17,,,0.844,,,,
2013-07-23,,,,,,,
2013-07-24,,,0.84,,,,
2013-07-30,,,,,,,
2013-07-31,,,0.839,,,,
2013-08-06,,,,,,,
2013-08-07,,,0.838,,,,
2013-08-13,,,,,,,
2013-08-14,,,0.838,,,,
2013-08-20,,,,,,,
2013-08-21,,,0.837,,,,
2013-08-24,67.86,,,,,,
2013-08-27,,,,,,,
2013-08-28,,,0.835,,,,
2013-08-31,67.86,,,,,,
2013-09-03,,,,,,,
2013-09-04,,,0.84,,,,
2013-09-07,67.17,,,,,,
2013-09-10,,,,,,,
2013-09-11,,,0.847,,,,
2013-09-14,67.56,,,,,,
2013-09-17,,,,,,,
2013-09-18,,,0.847,,,,
2013-09-21,67.55,,,,,,
2013-09-24,,,,,,,
2013-09-25,,,0.85,,,,
2013-09-28,67.07,,,,,,
2013-10-02,,,0.85,,,,
2013-10-05,67.07,,,,,,
2013-10-08,,,,,,,
2013-10-09,,,0.86,,,,
2013-10-12,67.07,,,,,,
2013-10-15,,,,,,,
2013-10-16,,,0.866,,,,
2013-10-19,67.07,,,,,,
2013-10-22,,,,,,,
2013-10-23,,,0.866,,,,
2013-10-26,67.56,,,,,,
2013-10-29,,,,,,,
2013-10-30,,,0.873,,,,
2013-11-02,67.55,,,,,,
2013-11-05,,,,,,,
2013-11-06,,,0.873,,,,
2013-11-09,67.55,,,,,,
2013-11-12,,,,,,,
2013-11-13,,,0.874,,,,
2013-11-16,67.55,,,,,,
2013-11-19,,,,,,,
2013-11-20,,,0.874,,,,
2013-11-23,67.55,,,,,,
2013-11-26,,,,,,,
2013-11-27,,,0.874,,,,
2013-11-30,67.55,,,,,,
2013-12-03,,,,,,,
2013-12-04,,,0.881,,,,
2013-12-07,67.55,,,,,,
2013-12-10,,,,,,,
2013-12-11,,,0.9,,,,
2013-12-14,67.55,,,,,,
2013-12-17,,,,,,,
2013-12-18,,,0.902,,,,
2013-12-21,67.55,,,,,,
2013-12-24,,,,,,,
2013-12-25,,,0.921,,,,
2013-12-28,67.55,,,,,,
2013-12-31,,,,,,,
2014-01-01,,,0.926,,,,
2014-01-03,,,,,,,126.08
2014-01-04,67.55,,,,,,
2014-01-07,,,,,,,
2014-01-08,,,0.932,,,,
2014-01-10,,,,,,,125.98
2014-01-11,67.55,,,,,,
2014-01-14,,,,,,,
2014-01-15,,,0.939,,,,
2014-01-17,,,,,,,128.14
2014-01-18,67.55,,,,,,
2014-01-21,,,,,,,
2014-01-22,,,0.94,,,,
2014-01-24,,,,,,,125.3
2014-01-25,67.55,,,,,,
2014-01-28,,,,,,,
2014-01-29,,,0.941,,,,
2014-01-30,,,,,,,126.47
2014-01-31,,,,,,,127.7
2014-02-01,67.55,,,,,,
2014-02-05,,,0.941,,,,
2014-02-07,,,,,,,127.14
2014-02-08,67.55,,,,,,
2014-02-11,,,,,,,
2014-02-12,,,0.941,,,,
2014-02-14,,,,,,,127.42
2014-02-15,67.55,,,,,,
2014-02-18,,,,,,,
2014-02-19,,,0.941,,,,
2014-02-21,,,,,,,129.84
2014-02-22,67.55,,,,,,
2014-02-25,,,,,,,
2014-02-26,,,0.941,,,,
2014-02-28,,,,,,,131.87
2014-03-01,67.55,,,,,,
2014-03-04,,,,,,,
2014-03-05,,,0.941,,,,
2014-03-07,,,,,,,137.25
2014-03-08,67.55,,,,,,
2014-03-11,,,,,,,
2014-03-12,,,0.939,,,,
2014-03-14,,,,,,,138.09
2014-03-15,67.55,,,,,,
2014-03-18,,,,,,,
2014-03-19,,,0.935,,,,
2014-03-21,,,,,,,143.53
