date,week
2000-01-07,1
2000-01-14,2
2000-01-21,3
2000-01-28,4
2000-02-18,7
2000-02-25,8
2000-03-03,9
2000-03-10,10
2000-03-17,11
2000-03-24,12
2000-03-31,13
2000-04-07,14
2000-04-14,15
2000-04-21,16
2000-04-28,17
2000-05-12,19
2000-05-19,20
2000-05-26,21
2000-06-02,22
2000-06-09,23
2000-06-16,24
2000-06-23,25
2000-06-30,26
2000-07-07,27
2000-07-14,28
2000-07-21,29
2000-07-28,30
2000-08-04,31
2000-08-11,32
2000-08-18,33
2000-08-25,34
2000-09-01,35
2000-09-08,36
2000-09-15,37
2000-09-22,38
2000-09-29,39
2000-10-13,41
2000-10-20,42
2000-10-27,43
2000-11-03,44
2000-11-10,45
2000-11-17,46
2000-11-24,47
2000-12-01,48
2000-12-08,49
2000-12-15,50
2000-12-22,51
2000-12-29,52
2001-01-05,1
2001-01-12,2
2001-01-19,3
2001-02-09,6
2001-02-16,7
2001-02-23,8
2001-03-02,9
2001-03-09,10
2001-03-16,11
2001-03-23,12
2001-03-30,13
2001-04-06,14
2001-04-13,15
2001-04-20,16
2001-04-27,17
2001-04-30,18
2001-05-11,19
2001-05-18,20
2001-05-25,21
2001-06-01,22
2001-06-08,23
2001-06-15,24
2001-06-22,25
2001-06-29,26
2001-07-06,27
2001-07-13,28
2001-07-20,29
2001-07-27,30
2001-08-03,31
2001-08-10,32
2001-08-17,33
2001-08-24,34
2001-08-31,35
2001-09-07,36
2001-09-14,37
2001-09-21,38
2001-09-28,39
2001-10-12,41
2001-10-19,42
2001-10-26,43
2001-11-02,44
2001-11-09,45
2001-11-16,46
2001-11-23,47
2001-11-30,48
2001-12-07,49
2001-12-14,50
2001-12-21,51
2001-12-28,52
2002-01-04,1
2002-01-11,2
2002-01-18,3
2002-01-25,4
2002-02-01,5
2002-02-08,6
2002-03-01,9
2002-03-08,10
2002-03-15,11
2002-03-22,12
2002-03-29,13
2002-04-05,14
2002-04-12,15
2002-04-19,16
2002-04-26,17
2002-04-30,18
2002-05-10,19
2002-05-17,20
2002-05-24,21
2002-05-31,22
2002-06-07,23
2002-06-14,24
2002-06-21,25
2002-06-28,26
2002-07-05,27
2002-07-12,28
2002-07-19,29
2002-07-26,30
2002-08-02,31
2002-08-09,32
2002-08-16,33
2002-08-23,34
2002-08-30,35
2002-09-06,36
2002-09-13,37
2002-09-20,38
2002-09-27,39
2002-10-11,41
2002-10-18,42
2002-10-25,43
2002-11-01,44
2002-11-08,45
2002-11-15,46
2002-11-22,47
2002-11-29,48
2002-12-06,49
2002-12-13,50
2002-12-20,51
2002-12-27,52
2003-01-03,1
2003-01-10,2
2003-01-17,3
2003-01-24,4
2003-01-29,5
2003-02-14,7
2003-02-21,8
2003-02-28,9
2003-03-07,10
2003-03-14,11
2003-03-21,12
2003-03-28,13
2003-04-04,14
2003-04-11,15
2003-04-18,16
2003-04-25,17
2003-04-30,18
2003-05-16,20
2003-05-23,21
2003-05-30,22
2003-06-06,23
2003-06-13,24
2003-06-20,25
2003-06-27,26
2003-07-04,27
2003-07-11,28
2003-07-18,29
2003-07-25,30
2003-08-01,31
2003-08-08,32
2003-08-15,33
2003-08-22,34
2003-08-29,35
2003-09-05,36
2003-09-12,37
2003-09-19,38
2003-09-26,39
2003-09-30,40
2003-10-10,41
2003-10-17,42
2003-10-24,43
2003-10-31,44
2003-11-07,45
2003-11-14,46
2003-11-21,47
2003-11-28,48
2003-12-05,49
2003-12-12,50
2003-12-19,51
2003-12-26,52
2004-01-02,1
2004-01-09,2
2004-01-16,3
2004-01-30,5
2004-02-06,6
2004-02-13,7
2004-02-20,8
2004-02-27,9
2004-03-05,10
2004-03-12,11
2004-03-19,12
