,V.DCE_open,V.DCE_high,V.DCE_low,V.DCE_close,V.DCE_volume
2012-01-04,6980.0,6980.0,6905.0,6910.0,34212.0
2012-01-05,6900.0,6965.0,6900.0,6950.0,36696.0
2012-01-06,6920.0,6955.0,6920.0,6940.0,21422.0
2012-01-09,6940.0,7035.0,6930.0,6960.0,72538.0
2012-01-10,6960.0,6980.0,6935.0,6970.0,37574.0
2012-01-11,6970.0,6975.0,6930.0,6950.0,23584.0
2012-01-12,6930.0,6980.0,6930.0,6955.0,25792.0
2012-01-13,6930.0,6955.0,6920.0,6925.0,27772.0
2012-01-16,6900.0,6925.0,6850.0,6850.0,32120.0
2012-01-17,6865.0,7005.0,6850.0,6985.0,62452.0
2012-01-18,6990.0,7030.0,6980.0,6990.0,67076.0
2012-01-19,7000.0,7050.0,6935.0,6965.0,55076.0
2012-01-20,6985.0,7075.0,6960.0,7050.0,45744.0
2012-01-30,7050.0,7125.0,7040.0,7045.0,81626.0
2012-01-31,7045.0,7070.0,7010.0,7045.0,58218.0
2012-02-01,7025.0,7075.0,7015.0,7025.0,67476.0
2012-02-02,7045.0,7065.0,7010.0,7045.0,41276.0
2012-02-03,7040.0,7200.0,7030.0,7180.0,231202.0
2012-02-06,7220.0,7240.0,7145.0,7175.0,162082.0
2012-02-07,7175.0,7190.0,7070.0,7095.0,141342.0
2012-02-08,7130.0,7175.0,7090.0,7170.0,114034.0
2012-02-09,7150.0,7160.0,7055.0,7065.0,114174.0
2012-02-10,7070.0,7085.0,7025.0,7050.0,79754.0
2012-02-13,7035.0,7115.0,7030.0,7090.0,110028.0
2012-02-14,7095.0,7105.0,7020.0,7025.0,75066.0
2012-02-15,7040.0,7050.0,6950.0,6955.0,150122.0
2012-02-16,7000.0,7000.0,6855.0,6875.0,139810.0
2012-02-17,6905.0,6925.0,6870.0,6885.0,70062.0
2012-02-20,6940.0,6945.0,6820.0,6845.0,108012.0
2012-02-21,6845.0,6930.0,6830.0,6920.0,101536.0
2012-02-22,6940.0,6970.0,6915.0,6945.0,96324.0
2012-02-23,6900.0,6950.0,6885.0,6905.0,86600.0
2012-02-24,6920.0,6940.0,6870.0,6885.0,92114.0
2012-02-27,6905.0,6970.0,6900.0,6935.0,111852.0
2012-02-28,6935.0,6985.0,6925.0,6980.0,97904.0
2012-02-29,6965.0,6980.0,6945.0,6965.0,60994.0
2012-03-01,6935.0,7070.0,6930.0,7005.0,174702.0
2012-03-02,7050.0,7085.0,7020.0,7075.0,105992.0
2012-03-05,7060.0,7105.0,7015.0,7040.0,80804.0
2012-03-06,7050.0,7070.0,7005.0,7015.0,85020.0
2012-03-07,6945.0,6975.0,6920.0,6935.0,71856.0
2012-03-08,6950.0,6980.0,6935.0,6945.0,47162.0
2012-03-09,6955.0,7020.0,6950.0,7015.0,84476.0
2012-03-12,7020.0,7040.0,6995.0,7010.0,48106.0
2012-03-13,7010.0,7045.0,7010.0,7040.0,47494.0
2012-03-14,7050.0,7060.0,6960.0,6970.0,67920.0
2012-03-15,6960.0,6975.0,6885.0,6920.0,67628.0
2012-03-16,6935.0,6945.0,6830.0,6865.0,71822.0
2012-03-19,6880.0,6895.0,6785.0,6810.0,39924.0
2012-03-20,6830.0,6860.0,6815.0,6830.0,26648.0
2012-03-21,6805.0,6850.0,6800.0,6845.0,12504.0
2012-03-22,6870.0,6870.0,6810.0,6825.0,9722.0
2012-03-23,6810.0,6840.0,6800.0,6805.0,9840.0
2012-03-26,6825.0,6830.0,6790.0,6800.0,12568.0
2012-03-27,6805.0,6825.0,6770.0,6775.0,9848.0
2012-03-28,7065.0,7075.0,6970.0,6990.0,112272.0
2012-03-29,6980.0,7005.0,6930.0,6955.0,95490.0
2012-03-30,6960.0,6975.0,6905.0,6920.0,45490.0
2012-04-05,6885.0,7025.0,6860.0,7025.0,72866.0
2012-04-06,7045.0,7055.0,6985.0,7050.0,72646.0
2012-04-09,7040.0,7075.0,6990.0,7005.0,77484.0
2012-04-10,7005.0,7065.0,7000.0,7035.0,81170.0
2012-04-11,6995.0,7030.0,6970.0,7005.0,64010.0
2012-04-12,7020.0,7085.0,7020.0,7070.0,75652.0
2012-04-13,7100.0,7100.0,7020.0,7020.0,70254.0
2012-04-16,6990.0,7025.0,6970.0,7020.0,49600.0
2012-04-17,7045.0,7045.0,6970.0,6975.0,52048.0
2012-04-18,7000.0,7045.0,6990.0,7030.0,74598.0
2012-04-19,7015.0,7035.0,6990.0,7030.0,44778.0
2012-04-20,7025.0,7065.0,7020.0,7035.0,87372.0
2012-04-23,7045.0,7050.0,6985.0,6985.0,55260.0
2012-04-24,6995.0,7010.0,6950.0,6975.0,53462.0
2012-04-25,6985.0,6990.0,6960.0,6965.0,28346.0
2012-04-26,6970.0,7015.0,6965.0,7010.0,36184.0
2012-04-27,7045.0,7045.0,6990.0,6995.0,30568.0
2012-05-02,7015.0,7030.0,7010.0,7020.0,21582.0
2012-05-03,7005.0,7015.0,6940.0,6960.0,52318.0
2012-05-04,6945.0,6970.0,6920.0,6960.0,34566.0
2012-05-07,6900.0,6930.0,6855.0,6905.0,74992.0
2012-05-08,6915.0,6920.0,6865.0,6870.0,27948.0
2012-05-09,6850.0,6880.0,6840.0,6855.0,32342.0
2012-05-10,6855.0,6885.0,6845.0,6875.0,25516.0
2012-05-11,6865.0,6880.0,6755.0,6755.0,51268.0
2012-05-14,6780.0,6785.0,6685.0,6695.0,57474.0
2012-05-15,6670.0,6740.0,6645.0,6735.0,50612.0
2012-05-16,6710.0,6720.0,6670.0,6670.0,31640.0
2012-05-17,6695.0,6730.0,6685.0,6730.0,33618.0
2012-05-18,6690.0,6705.0,6580.0,6625.0,57476.0
2012-05-21,6650.0,6695.0,6615.0,6670.0,45078.0
2012-05-22,6690.0,6710.0,6630.0,6660.0,34712.0
2012-05-23,6610.0,6625.0,6540.0,6590.0,45268.0
2012-05-24,6575.0,6610.0,6550.0,6605.0,35056.0
2012-05-25,6605.0,6605.0,6550.0,6590.0,31570.0
2012-05-28,6595.0,6640.0,6565.0,6630.0,42258.0
2012-05-29,6610.0,6685.0,6600.0,6680.0,40054.0
2012-05-30,6650.0,6685.0,6645.0,6675.0,29746.0
2012-05-31,6625.0,6655.0,6595.0,6635.0,31840.0
2012-06-01,6620.0,6645.0,6600.0,6605.0,33110.0
2012-06-04,6520.0,6535.0,6360.0,6360.0,125940.0
2012-06-05,6410.0,6480.0,6400.0,6415.0,44826.0
2012-06-06,6410.0,6465.0,6360.0,6405.0,42198.0
2012-06-07,6450.0,6465.0,6390.0,6415.0,44070.0
2012-06-08,6390.0,6425.0,6330.0,6370.0,49118.0
2012-06-11,6445.0,6540.0,6430.0,6465.0,57786.0
2012-06-12,6400.0,6435.0,6385.0,6425.0,45900.0
2012-06-13,6430.0,6485.0,6415.0,6480.0,29936.0
2012-06-14,6465.0,6550.0,6450.0,6515.0,56120.0
2012-06-15,6550.0,6565.0,6515.0,6560.0,40526.0
2012-06-18,6590.0,6615.0,6560.0,6575.0,37162.0
2012-06-19,6570.0,6590.0,6525.0,6525.0,27786.0
2012-06-20,6545.0,6560.0,6500.0,6550.0,35438.0
2012-06-21,6500.0,6505.0,6425.0,6430.0,38474.0
2012-06-25,6410.0,6475.0,6345.0,6435.0,26606.0
