,L.DCE_open,L.DCE_high,L.DCE_low,L.DCE_close,L.DCE_volume
2012-01-04,9705.0,9725.0,9595.0,9620.0,514366.0
2012-01-05,9630.0,9795.0,9615.0,9735.0,903976.0
2012-01-06,9695.0,9740.0,9635.0,9725.0,721244.0
2012-01-09,9685.0,9820.0,9680.0,9810.0,648310.0
2012-01-10,9820.0,9845.0,9690.0,9785.0,638160.0
2012-01-11,9790.0,9795.0,9685.0,9755.0,674632.0
2012-01-12,9735.0,9830.0,9710.0,9760.0,689450.0
2012-01-13,9730.0,9805.0,9720.0,9780.0,580928.0
2012-01-16,9710.0,9745.0,9650.0,9665.0,710482.0
2012-01-17,9700.0,9970.0,9670.0,9885.0,992924.0
2012-01-18,9885.0,10060.0,9850.0,9980.0,962650.0
2012-01-19,10020.0,10060.0,9905.0,9985.0,540948.0
2012-01-20,10000.0,10170.0,9920.0,10135.0,606530.0
2012-01-30,10085.0,10355.0,10065.0,10210.0,632874.0
2012-01-31,10285.0,10310.0,10185.0,10295.0,620966.0
2012-02-01,10280.0,10295.0,10210.0,10240.0,512548.0
2012-02-02,10250.0,10325.0,10150.0,10240.0,749480.0
2012-02-03,10210.0,10310.0,10160.0,10305.0,535448.0
2012-02-06,10390.0,10455.0,10335.0,10365.0,577688.0
2012-02-07,10385.0,10420.0,10240.0,10285.0,631274.0
2012-02-08,10340.0,10465.0,10315.0,10450.0,631956.0
2012-02-09,10405.0,10425.0,10265.0,10290.0,699108.0
2012-02-10,10330.0,10340.0,10220.0,10225.0,601784.0
2012-02-13,10240.0,10270.0,10180.0,10235.0,513038.0
2012-02-14,10235.0,10285.0,10180.0,10190.0,425002.0
2012-02-15,10220.0,10265.0,10125.0,10170.0,681638.0
2012-02-16,10160.0,10160.0,9935.0,9985.0,770378.0
2012-02-17,10080.0,10105.0,10005.0,10085.0,495240.0
2012-02-20,10200.0,10235.0,10125.0,10140.0,474496.0
2012-02-21,10130.0,10280.0,10120.0,10275.0,579840.0
2012-02-22,10310.0,10330.0,10235.0,10265.0,394674.0
2012-02-23,10250.0,10265.0,10180.0,10240.0,431912.0
2012-02-24,10280.0,10310.0,10220.0,10275.0,450354.0
2012-02-27,10350.0,10425.0,10305.0,10380.0,541166.0
2012-02-28,10360.0,10395.0,10325.0,10395.0,390310.0
2012-02-29,10360.0,10395.0,10325.0,10385.0,326608.0
2012-03-01,10310.0,10505.0,10295.0,10370.0,743854.0
2012-03-02,10435.0,10545.0,10425.0,10525.0,633646.0
2012-03-05,10520.0,10535.0,10440.0,10465.0,425638.0
2012-03-06,10475.0,10580.0,10465.0,10500.0,736860.0
2012-03-07,10380.0,10450.0,10320.0,10330.0,581684.0
2012-03-08,10375.0,10395.0,10310.0,10325.0,437850.0
2012-03-09,10370.0,10535.0,10355.0,10530.0,521228.0
2012-03-12,10540.0,10580.0,10500.0,10575.0,403382.0
2012-03-13,10600.0,10720.0,10555.0,10700.0,390724.0
2012-03-14,10740.0,10745.0,10595.0,10635.0,333336.0
2012-03-15,10675.0,10715.0,10580.0,10665.0,212352.0
2012-03-16,11055.0,11105.0,10830.0,10870.0,966282.0
2012-03-19,10900.0,10955.0,10785.0,10840.0,653220.0
2012-03-20,10870.0,10890.0,10740.0,10805.0,736968.0
2012-03-21,10750.0,10845.0,10745.0,10840.0,603676.0
2012-03-22,10855.0,10910.0,10770.0,10790.0,925472.0
2012-03-23,10800.0,10820.0,10685.0,10765.0,717318.0
2012-03-26,10830.0,10890.0,10790.0,10845.0,634832.0
2012-03-27,10900.0,10970.0,10885.0,10935.0,561312.0
2012-03-28,10900.0,10915.0,10805.0,10810.0,476998.0
2012-03-29,10755.0,10790.0,10610.0,10660.0,682030.0
2012-03-30,10660.0,10695.0,10600.0,10615.0,530878.0
2012-04-05,10570.0,10685.0,10485.0,10670.0,645872.0
2012-04-06,10705.0,10780.0,10660.0,10775.0,721292.0
2012-04-09,10720.0,10740.0,10580.0,10585.0,732724.0
2012-04-10,10615.0,10640.0,10515.0,10575.0,808434.0
2012-04-11,10450.0,10510.0,10410.0,10485.0,645878.0
2012-04-12,10520.0,10565.0,10490.0,10555.0,449092.0
2012-04-13,10605.0,10615.0,10490.0,10495.0,496944.0
2012-04-16,10400.0,10505.0,10390.0,10490.0,426742.0
2012-04-17,10500.0,10530.0,10445.0,10445.0,369784.0
2012-04-18,10510.0,10590.0,10460.0,10565.0,552722.0
2012-04-19,10500.0,10540.0,10500.0,10535.0,354960.0
2012-04-20,10530.0,10650.0,10505.0,10615.0,593712.0
2012-04-23,10630.0,10630.0,10550.0,10555.0,427762.0
2012-04-24,10560.0,10570.0,10430.0,10455.0,726028.0
2012-04-25,10460.0,10475.0,10380.0,10390.0,463048.0
2012-04-26,10415.0,10485.0,10375.0,10475.0,341610.0
2012-04-27,10505.0,10505.0,10380.0,10390.0,375046.0
2012-05-02,10430.0,10495.0,10420.0,10455.0,349600.0
2012-05-03,10440.0,10440.0,10305.0,10320.0,549426.0
2012-05-04,10250.0,10315.0,10250.0,10310.0,327656.0
2012-05-07,10150.0,10190.0,9955.0,10055.0,712436.0
2012-05-08,10055.0,10095.0,10010.0,10015.0,445818.0
2012-05-09,9965.0,10040.0,9945.0,10010.0,591050.0
2012-05-10,10050.0,10065.0,9980.0,10040.0,453458.0
2012-05-11,10010.0,10035.0,9850.0,9890.0,561834.0
2012-05-14,9975.0,9975.0,9765.0,9860.0,669178.0
2012-05-15,9780.0,9800.0,9670.0,9790.0,586698.0
2012-05-16,9725.0,9765.0,9640.0,9650.0,448998.0
2012-05-17,9700.0,9815.0,9685.0,9780.0,386430.0
2012-05-18,9740.0,9750.0,9640.0,9680.0,524428.0
2012-05-21,9750.0,9845.0,9740.0,9830.0,343396.0
2012-05-22,9850.0,9895.0,9815.0,9850.0,387870.0
2012-05-23,9700.0,9740.0,9645.0,9715.0,455594.0
2012-05-24,9700.0,9760.0,9635.0,9740.0,457242.0
2012-05-25,9750.0,9795.0,9690.0,9785.0,374068.0
2012-05-28,9810.0,9890.0,9780.0,9875.0,408720.0
2012-05-29,9835.0,9965.0,9825.0,9950.0,377036.0
2012-05-30,9900.0,9935.0,9850.0,9890.0,522242.0
2012-05-31,9750.0,9765.0,9685.0,9720.0,483430.0
2012-06-01,9680.0,9735.0,9665.0,9690.0,392780.0
2012-06-04,9450.0,9490.0,9310.0,9310.0,354178.0
2012-06-05,9315.0,9435.0,9310.0,9355.0,597734.0
2012-06-06,9365.0,9440.0,9125.0,9180.0,887150.0
2012-06-07,9275.0,9330.0,9110.0,9190.0,1185120.0
2012-06-08,9160.0,9200.0,9065.0,9135.0,902102.0
2012-06-11,9295.0,9500.0,9280.0,9360.0,798774.0
2012-06-12,9155.0,9240.0,9130.0,9225.0,609306.0
2012-06-13,9230.0,9345.0,9215.0,9325.0,634476.0
2012-06-14,9300.0,9400.0,9230.0,9280.0,715194.0
