,RU.SHF_open,RU.SHF_high,RU.SHF_low,RU.SHF_close,RU.SHF_volume
2012-01-04,24550.0,24750.0,23640.0,23655.0,1041404.0
2012-01-05,23510.0,24460.0,23450.0,24420.0,1379086.0
2012-01-06,24305.0,24630.0,24175.0,24610.0,1079326.0
2012-01-09,24515.0,24695.0,24350.0,24590.0,802694.0
2012-01-10,24625.0,25140.0,24320.0,24940.0,1148338.0
2012-01-11,25000.0,25300.0,24810.0,25275.0,892958.0
2012-01-12,25175.0,25495.0,25135.0,25315.0,764826.0
2012-01-13,25290.0,25385.0,24905.0,25050.0,905794.0
2012-01-16,24710.0,25675.0,24640.0,25580.0,994962.0
2012-01-17,25780.0,26680.0,25745.0,26250.0,987238.0
2012-01-18,26230.0,26730.0,26150.0,26555.0,904424.0
2012-01-19,26730.0,26950.0,26550.0,26945.0,691746.0
2012-01-20,27000.0,27960.0,26935.0,27940.0,813664.0
2012-01-30,27650.0,27720.0,27035.0,27200.0,709538.0
2012-01-31,27360.0,27755.0,27175.0,27680.0,902154.0
2012-02-01,27550.0,27650.0,27250.0,27280.0,839718.0
2012-02-02,27460.0,27565.0,27050.0,27335.0,948060.0
2012-02-03,27145.0,27805.0,27140.0,27730.0,907510.0
2012-02-06,28100.0,28660.0,28060.0,28605.0,732270.0
2012-02-07,28600.0,28660.0,28050.0,28350.0,923590.0
2012-02-08,28545.0,29185.0,28535.0,29170.0,908670.0
2012-02-09,28995.0,29340.0,28585.0,28795.0,1193292.0
2012-02-10,28980.0,28990.0,28290.0,28315.0,1280318.0
2012-02-13,28300.0,28560.0,28155.0,28395.0,1035634.0
2012-02-14,28380.0,28450.0,28105.0,28255.0,841280.0
2012-02-15,28500.0,28990.0,28450.0,28665.0,962208.0
2012-02-16,28440.0,28480.0,27450.0,27630.0,1177450.0
2012-02-17,28095.0,28155.0,27785.0,27860.0,1107382.0
2012-02-20,28480.0,28480.0,28115.0,28230.0,820810.0
2012-02-21,28280.0,28925.0,28240.0,28910.0,1037500.0
2012-02-22,29385.0,29460.0,28960.0,29100.0,812664.0
2012-02-23,29000.0,29250.0,28860.0,29235.0,896040.0
2012-02-24,29270.0,29530.0,29105.0,29215.0,1188410.0
2012-02-27,29355.0,29440.0,28880.0,28910.0,943974.0
2012-02-28,28815.0,29320.0,28750.0,29315.0,919798.0
2012-02-29,29170.0,29435.0,29100.0,29430.0,911940.0
2012-03-01,29250.0,29580.0,28950.0,29035.0,1153982.0
2012-03-02,29340.0,29480.0,29165.0,29350.0,992222.0
2012-03-05,29340.0,29450.0,28820.0,28920.0,898460.0
2012-03-06,28920.0,28980.0,28495.0,28530.0,762548.0
2012-03-07,28000.0,28265.0,27910.0,28085.0,579940.0
2012-03-08,28275.0,28330.0,27930.0,28005.0,719672.0
2012-03-09,28215.0,28805.0,28160.0,28760.0,881416.0
2012-03-12,28800.0,28900.0,28475.0,28795.0,782348.0
2012-03-13,28790.0,29160.0,28735.0,29090.0,692742.0
2012-03-14,29235.0,29370.0,28725.0,28875.0,828712.0
2012-03-15,28800.0,28935.0,28525.0,28570.0,787794.0
2012-03-16,28800.0,28940.0,28365.0,28490.0,864470.0
