指标名称,中国:产成品存货:化学原料和化学制品制造业,中国:产成品存货:化学纤维制造业,中国:产成品存货:橡胶和塑料制品业
1999-02-28,3966090.9,660874.0,
1999-03-31,4288253.5,702998.3,
1999-04-30,4421354.0,698410.9,
1999-05-31,4436943.8,719332.0,
1999-06-30,4426686.9,716486.7,
1999-07-31,4358713.7,747468.8,
1999-08-31,4415398.9,698334.6,
1999-09-30,4433341.7,715861.5,
1999-10-31,4472373.8,688532.2,
1999-11-30,4583130.4,707352.1,
1999-12-31,4446332.9,684777.0,
2000-02-29,4509226.2,839123.4,
2000-03-31,4580030.8,657038.3,
2000-04-30,4678586.7,657742.6,
2000-05-31,4716453.9,643454.6,
2000-06-30,4656781.1,625606.3,
2000-07-31,4680148.1,648932.8,
2000-08-31,4761921.0,665845.9,
2000-09-30,4807823.0,674696.7,
2000-10-31,4889409.4,703577.8,
2000-11-30,4899902.9,719342.2,
2000-12-31,4625440.4,744174.4,
2001-02-28,4769493.0,798884.8,
2001-03-31,4904679.6,862276.3,
2001-04-30,4865801.4,828108.6,
2001-05-31,4923490.8,806696.4,
2001-06-30,5021956.7,810169.2,
2001-07-31,4941798.9,852959.0,
2001-08-31,4863928.9,817364.4,
2001-09-30,4875728.3,784147.1,
2001-10-31,4937267.8,803886.3,
2001-11-30,4923689.7,770613.4,
2001-12-31,4650064.7,701065.4,
2002-02-28,4630065.7,699047.4,
2002-03-31,4793412.7,625950.0,
2002-04-30,4948136.0,611343.5,
2002-05-31,5036129.3,632562.8,
2002-06-30,5044374.1,662499.1,
2002-07-31,5036737.3,648644.4,
2002-08-31,5124369.2,618523.9,
2002-09-30,5154619.9,624704.8,
2002-10-31,5154757.5,625315.9,
2002-11-30,5214914.8,651773.8,
2002-12-31,4981545.2,629934.3,
2003-02-28,5114009.9,631257.3,
2003-03-31,5340784.7,691652.7,
2003-04-30,5490872.4,711196.8,
2003-05-31,5549575.7,669690.4,
2003-06-30,5530467.1,652437.6,
2003-07-31,5570428.5,657580.0,
2003-08-31,5600000.5,668820.7,
2003-09-30,5601545.8,663882.7,
2003-10-31,5644538.7,681087.6,
2003-11-30,5758347.0,706566.6,
2003-12-31,5460615.6,664114.3,
2004-02-29,5749804.3,836061.1,
2004-03-31,5905684.4,934853.6,
