,TA.CZC_open,TA.CZC_high,TA.CZC_low,TA.CZC_close,TA.CZC_volume,FG.CZC_open,FG.CZC_high,FG.CZC_low,FG.CZC_close,FG.CZC_volume,MA.CZC_open,MA.CZC_high,MA.CZC_low,MA.CZC_close,MA.CZC_volume,V.DCE_open,V.DCE_high,V.DCE_low,V.DCE_close,V.DCE_volume,L.DCE_open,L.DCE_high,L.DCE_low,L.DCE_close,L.DCE_volume,PP.DCE_open,PP.DCE_high,PP.DCE_low,PP.DCE_close,PP.DCE_volume,EB.DCE_open,EB.DCE_high,EB.DCE_low,EB.DCE_close,EB.DCE_volume,RU.SHF_open,RU.SHF_high,RU.SHF_low,RU.SHF_close,RU.SHF_volume,开工率:涤纶长丝:江浙地区:当日,开工率:聚酯切片:国内,现货价(中间价):丙烯:CFR中国,现货价(中间价):乙烯:CFR东北亚
2013-01-04,8602.0,8620.0,8520.0,8568.0,507934.0,1371.0,1425.0,1367.0,1425.0,1001748.0,2729.0,2842.0,2715.0,2819.0,46794.0,6630.0,6740.0,6630.0,6690.0,76066.0,10900.0,10950.0,10830.0,10880.0,232104.0,,,,,,,,,,,26530.0,26700.0,26300.0,26350.0,253494.0,,,,
2013-01-07,8596.0,8736.0,8572.0,8686.0,887378.0,1440.0,1468.0,1433.0,1445.0,1558552.0,2822.0,2847.0,2819.0,2826.0,21788.0,6695.0,6755.0,6695.0,6705.0,78732.0,10895.0,11180.0,10880.0,10930.0,597098.0,,,,,,,,,,,26400.0,26490.0,25975.0,26075.0,378260.0,,,,
2013-01-08,8696.0,8728.0,8638.0,8670.0,950086.0,1438.0,1470.0,1427.0,1457.0,2761400.0,2820.0,2882.0,2820.0,2830.0,41610.0,6715.0,6720.0,6680.0,6685.0,34692.0,10965.0,10985.0,10750.0,10755.0,532374.0,,,,,,,,,,,26150.0,26365.0,25820.0,26180.0,358170.0,,,,
2013-01-09,8670.0,8676.0,8550.0,8574.0,887866.0,1459.0,1476.0,1452.0,1476.0,2100312.0,2834.0,2837.0,2810.0,2811.0,13488.0,6685.0,6730.0,6655.0,6700.0,59306.0,10770.0,10795.0,10660.0,10715.0,448678.0,,,,,,,,,,,26260.0,26320.0,25970.0,26035.0,310256.0,,,,
2013-01-10,8576.0,8596.0,8540.0,8566.0,483108.0,1479.0,1484.0,1456.0,1463.0,2311352.0,2815.0,2853.0,2813.0,2826.0,16798.0,6710.0,6745.0,6675.0,6705.0,41620.0,10760.0,10775.0,10690.0,10735.0,263232.0,,,,,,,,,,,26210.0,26280.0,26055.0,26205.0,280448.0,,,,
2013-01-11,8600.0,8634.0,8440.0,8442.0,727624.0,1462.0,1465.0,1428.0,1439.0,1916270.0,2835.0,2840.0,2787.0,2795.0,17196.0,6715.0,6725.0,6640.0,6645.0,38106.0,10790.0,10790.0,10570.0,10570.0,474256.0,,,,,,,,,,,26400.0,26565.0,25710.0,25710.0,400080.0,,,,
2013-01-14,8450.0,8562.0,8424.0,8526.0,619756.0,1438.0,1502.0,1438.0,1502.0,1878770.0,2798.0,2828.0,2788.0,2808.0,21322.0,6655.0,6690.0,6615.0,6670.0,36394.0,10620.0,10725.0,10555.0,10650.0,455536.0,,,,,,,,,,,25780.0,26045.0,25560.0,25840.0,349848.0,,,,
2013-01-15,8516.0,8530.0,8358.0,8376.0,1021918.0,1520.0,1527.0,1490.0,1497.0,3006350.0,2803.0,2817.0,2793.0,2794.0,12486.0,6670.0,6685.0,6630.0,6635.0,26042.0,10650.0,10770.0,10590.0,10645.0,889802.0,,,,,,,,,,,25820.0,26010.0,25460.0,25480.0,427780.0,,,,
2013-01-16,8378.0,8438.0,8336.0,8392.0,633116.0,1499.0,1515.0,1455.0,1500.0,4239926.0,2798.0,2798.0,2780.0,2786.0,8844.0,6630.0,6640.0,6595.0,6620.0,34716.0,10630.0,10735.0,10580.0,10635.0,746406.0,,,,,,,,,,,25480.0,25630.0,25230.0,25495.0,350832.0,,,,
2013-01-17,8410.0,8430.0,8382.0,8412.0,555608.0,1503.0,1512.0,1491.0,1506.0,3961892.0,2792.0,2834.0,2790.0,2823.0,31006.0,6630.0,6640.0,6605.0,6620.0,16168.0,10670.0,10685.0,10620.0,10650.0,281162.0,,,,,,,,,,,25560.0,25660.0,25395.0,25585.0,272300.0,,,,
2013-01-18,8466.0,8580.0,8458.0,8560.0,774086.0,1520.0,1521.0,1488.0,1496.0,3867610.0,2872.0,2934.0,2852.0,2934.0,28766.0,6635.0,6690.0,6630.0,6680.0,45142.0,10715.0,10785.0,10680.0,10780.0,456838.0,,,,,,,,,,,25800.0,26000.0,25760.0,25960.0,282882.0,,,,
2013-01-21,8558.0,8568.0,8490.0,8504.0,378472.0,1495.0,1518.0,1484.0,1501.0,3225458.0,2954.0,2989.0,2921.0,2922.0,53326.0,6680.0,6700.0,6660.0,6670.0,22932.0,10755.0,10775.0,10700.0,10710.0,200854.0,,,,,,,,,,,25900.0,25900.0,25680.0,25765.0,202064.0,,,,
2013-01-22,8514.0,8550.0,8400.0,8440.0,817626.0,1505.0,1508.0,1475.0,1490.0,3070314.0,2930.0,2940.0,2902.0,2917.0,37432.0,6675.0,6685.0,6655.0,6675.0,15478.0,10725.0,10765.0,10705.0,10755.0,253650.0,,,,,,,,,,,25790.0,26195.0,25765.0,26110.0,297090.0,,,,
2013-01-23,8468.0,8476.0,8422.0,8456.0,474190.0,1492.0,1496.0,1472.0,1481.0,2053414.0,2922.0,2953.0,2920.0,2943.0,61882.0,6685.0,6690.0,6655.0,6680.0,18292.0,10780.0,10800.0,10740.0,10770.0,196750.0,,,,,,,,,,,26190.0,26230.0,25970.0,26085.0,166216.0,,,,
2013-01-24,8436.0,8504.0,8350.0,8488.0,1002706.0,1479.0,1489.0,1458.0,1467.0,2346462.0,2935.0,2948.0,2900.0,2913.0,36616.0,6670.0,6735.0,6655.0,6665.0,75046.0,10745.0,10750.0,10635.0,10700.0,368240.0,,,,,,,,,,,26050.0,26110.0,25505.0,25640.0,298740.0,,,,
2013-01-25,8508.0,8572.0,8502.0,8542.0,852760.0,1470.0,1472.0,1459.0,1469.0,1305300.0,2923.0,2930.0,2911.0,2926.0,19426.0,6680.0,6710.0,6665.0,6690.0,30608.0,10705.0,10780.0,10705.0,10740.0,185574.0,,,,,,,,,,,25715.0,25810.0,25560.0,25565.0,186352.0,,,,
2013-01-28,8546.0,8630.0,8512.0,8626.0,652808.0,1471.0,1496.0,1468.0,1491.0,1274788.0,2928.0,2948.0,2921.0,2923.0,26390.0,6690.0,6715.0,6680.0,6710.0,34608.0,10750.0,10890.0,10735.0,10885.0,338786.0,,,,,,,,,,,25585.0,25695.0,25380.0,25595.0,214772.0,,,,
