,中国:产成品存货:化学原料和化学制品制造业,中国:产成品存货:化学纤维制造业,中国:产成品存货:橡胶和塑料制品业,中国涤纶长丝月度产量,中国涤纶短纤月度产量,产量:乙烯:当月值,产量:低密度聚乙烯树酯(LDPE):当月值,产量:石脑油:当月值,产量:线型低密度聚乙烯树酯(LLDPE):当月值,产量:高密度聚乙烯树酯(HDPE):当月值
2013-01-31,,,,,,139.0,,,,
2013-02-28,23222018.8,4224076.0,8378520.4,,,132.4,,,,
2013-03-31,24095336.9,4467573.7,8525444.1,,,135.6,,,,
2013-04-30,24094462.4,4204363.4,8784981.7,,,125.3,11.7,,30.1,21.2
2013-05-31,23980200.7,4157487.8,9024428.5,,,133.2,15.1,,31.6,26.1
2013-06-30,24184130.1,4063731.0,8983827.0,,,131.63,16.6,,30.7,24.5
2013-07-31,23780092.2,4090825.0,9001653.4,,,132.4,17.4,,30.0,26.4
2013-08-31,23846931.9,4036287.8,9022619.1,,,125.81,17.2,,31.3,27.2
2013-09-30,23799129.2,4087410.6,9222634.1,,,126.53,16.5,,31.4,24.3
2013-10-31,24309565.6,4112341.6,9342554.2,,,148.84,17.1,,29.6,22.6
2013-11-30,24224039.5,4065384.0,9388239.1,,,150.43,17.6,,31.4,22.9
2013-12-31,24247475.5,3935363.8,9532782.9,,,153.26,18.0,,36.9,22.2
2014-01-31,,,,1540.0,310.0,,,,,
2014-02-28,25838499.9,4216186.9,9398451.7,1355.0,280.0,,,,,
2014-03-31,26697793.1,3941621.0,9896076.6,1805.0,330.0,144.9,12.4,,35.8,24.3
2014-04-30,26354014.0,3808685.6,10173595.0,1905.0,332.0,134.23,13.3,,30.9,24.4
2014-05-31,26587234.9,3860752.7,10294997.8,1990.0,334.0,139.95,16.1,,36.6,32.0
2014-06-30,26484657.2,3760518.6,10440192.2,1840.0,341.0,140.59,16.3,,37.6,30.1
2014-07-31,27054950.8,4134311.7,10561783.3,1755.0,328.0,149.27,16.0,,38.1,29.5
2014-08-31,27223669.3,4055905.5,10763589.8,1732.0,312.0,146.76,16.7,,37.4,30.7
2014-09-30,27198689.5,4055511.4,10815109.4,1765.0,312.0,149.98,17.3,,37.7,26.9
2014-10-31,27760951.0,3897138.8,11062421.8,1835.0,316.0,152.0,19.9,,38.4,29.7
2014-11-30,27877817.2,3805936.2,11240939.5,1858.0,301.1,147.0,18.4,,34.9,35.9
2014-12-31,27417519.0,3768930.1,11222189.8,1880.0,355.5,149.3,18.3,,35.6,35.2
2015-01-31,,,,1860.0,338.42,,,,,
2015-02-28,27664481.5,3825421.0,10599445.9,1424.5,305.6,142.3,,,,
2015-03-31,27924960.3,3763026.0,10672658.1,1760.0,389.6,146.0,15.2,,43.7,31.4
2015-04-30,28051764.5,3695961.8,10912573.4,1980.0,385.4,123.0,15.0,,42.7,31.5
2015-05-31,28222527.9,3894405.5,11129753.2,2065.0,381.9,129.0,18.6,,42.1,35.7
2015-06-30,28591233.9,4074152.2,11275468.3,1950.0,357.1,143.0,18.7,,48.0,35.9
2015-07-31,28991758.8,4112070.0,11495172.0,1930.0,322.16,146.0,19.8,,45.1,36.1
2015-08-31,27955809.0,3987555.5,11644869.8,1970.0,325.12,151.0,20.6,,45.1,34.3
2015-09-30,27803482.4,4008766.7,11598191.5,2032.0,367.9,155.0,20.1,,47.9,38.2
2015-10-31,28342393.0,4000829.4,11698245.9,2073.0,357.7,156.48,20.2,,46.0,36.8
2015-11-30,28942000.0,4066000.0,11866000.0,2040.0,362.1,145.9,21.2,,41.0,35.2
2015-12-31,28311000.0,3957000.0,11829000.0,2020.0,372.6,154.1,21.1,,47.1,35.1
2016-01-31,,,,1745.0,304.9,,16.5,,47.2,
2016-02-29,28066000.0,3765000.0,11007000.0,1375.0,280.1,,21.3,,55.6,
2016-03-31,27595000.0,3751000.0,11274000.0,2015.0,351.1,161.5,19.9,,47.1,34.5
2016-04-30,27149000.0,3735000.0,11233000.0,2035.0,380.5,146.8,19.1,,47.7,28.8
2016-05-31,27283000.0,3904000.0,11252000.0,2130.0,367.3,150.3,22.3,,44.0,32.1
2016-06-30,27320000.0,3915000.0,11329000.0,2045.0,372.7,139.0,18.2,,45.1,34.3
2016-07-31,27375000.0,3836000.0,11441000.0,2110.0,389.9,146.1,22.4,2832000.0,45.1,37.9
2016-08-31,27258000.0,3765000.0,11622000.0,1900.0,403.0,138.7,23.5,2567000.0,43.2,33.7
2016-09-30,27575000.0,3676000.0,11594000.0,1810.0,398.3,132.3,22.4,2557000.0,40.9,31.3
2016-10-31,27690000.0,3706000.0,11685000.0,2150.0,412.7,146.6,24.9,2820000.0,49.3,36.1
2016-11-30,27937000.0,3601000.0,11933000.0,2125.0,398.6,145.3,24.9,2771000.0,48.2,35.2
2016-12-31,27909000.0,3455000.0,12004000.0,2225.0,393.7,152.41,26.1,2852000.0,47.9,37.3
2017-01-31,,,,1972.0,382.8,,,,,
2017-02-28,28486000.0,3866000.0,11124000.0,1768.0,379.61,,,,,
2017-03-31,29508000.0,4208000.0,11565000.0,2152.47,416.2,158.8,24.7,2921000.0,49.8,37.4
2017-04-30,30033000.0,4275000.0,11942000.0,2108.05,413.8,149.6,23.7,2727000.0,46.8,34.4
2017-05-31,29839000.0,4189000.0,12188000.0,2178.46,413.8,148.1,21.1,2804000.0,47.0,34.2
2017-06-30,29123000.0,4017000.0,12251000.0,2146.58,412.7,135.0,24.4,2651000.0,42.2,32.1
2017-07-31,29056000.0,4005000.0,12451000.0,2241.44,417.0,148.3,26.3,2701000.0,46.3,34.2
