date,产量:PTA:国内,开工率:PTA:国内,开工率:PX:国内
2016-07-31,43.63,69.31,
2016-08-03,,,67.02
2016-08-07,43.64,69.33,
2016-08-09,,,66.37
2016-08-10,,,67.32
2016-08-14,42.26,67.14,
2016-08-16,,,67.32
2016-08-21,41.7,66.25,
2016-08-22,,,63.95
2016-08-23,,,63.95
2016-08-24,,,63.78
2016-08-28,40.68,64.63,
2016-08-30,,,64.06
2016-09-01,,,64.06
2016-09-04,42.33,67.25,
2016-09-05,,,63.49
2016-09-07,,,63.49
2016-09-08,,,63.49
2016-09-09,,,63.49
2016-09-11,39.0,62.0,
2016-09-12,,,63.49
2016-09-14,,,63.49
2016-09-19,,,66.69
2016-09-21,,,67.77
2016-09-25,40.19,63.84,
2016-09-26,,,70.57
2016-09-27,,,71.58
2016-10-02,44.0,69.89,
2016-10-08,,,71.58
2016-10-10,,,71.58
2016-10-11,,,71.58
2016-10-14,,,70.72
2016-10-16,38.13,60.57,
2016-10-18,,,70.3
2016-10-20,,,70.3
2016-10-23,39.34,62.5,
2016-10-24,,,70.3
2016-10-25,,,70.3
2016-10-27,,,70.31
2016-10-30,42.88,68.12,
2016-11-02,,,70.07
2016-11-06,43.68,69.39,
2016-11-09,,,70.89
2016-11-10,,,70.89
2016-11-11,,,70.89
2016-11-13,43.5,69.0,
2016-11-14,,,70.89
2016-11-18,,,72.9
2016-11-20,45.15,71.74,
2016-11-23,,,71.9
2016-11-27,46.32,73.58,
2016-11-29,,,71.9
2016-12-01,,,71.9
2016-12-11,44.8,71.19,
2016-12-14,,,71.85
2016-12-18,43.94,69.8,
2016-12-23,,,72.71
2016-12-25,43.94,69.8,
2016-12-26,,,72.71
2016-12-28,,,72.15
2016-12-30,,,72.15
2017-01-01,47.63,75.68,
2017-01-04,,,73.44
2017-01-08,47.58,79.21,
2017-01-09,,,73.76
2017-01-15,48.27,80.35,
2017-01-22,48.27,80.35,
2017-02-05,,,73.76
2017-02-10,,,74.13
2017-02-12,45.25,75.33,
2017-02-14,,,74.13
2017-02-15,,,76.27
2017-02-19,47.58,79.21,
2017-02-20,,,76.27
2017-02-26,48.4,80.58,
2017-02-28,,,75.55
2017-03-05,47.45,79.5,
2017-03-07,,,76.71
2017-03-12,47.0,79.22,
2017-03-15,,,76.71
2017-03-16,,,76.71
2017-03-19,48.54,80.81,
2017-03-20,,,71.68
2017-03-26,49.36,82.18,
2017-03-27,,,71.68
2017-03-31,,,71.07
2017-04-01,,,71.4
2017-04-02,46.0,76.54,
2017-04-05,,,71.4
2017-04-06,,,71.4
2017-04-07,,,71.4
2017-04-09,44.0,73.0,
2017-04-10,,,71.4
2017-04-11,,,71.35
2017-04-13,,,67.04
2017-04-14,,,67.04
2017-04-16,41.64,69.32,
2017-04-18,,,67.04
2017-04-20,,,67.04
2017-04-23,43.79,72.9,
2017-04-25,,,66.77
2017-04-27,,,66.77
2017-04-30,43.79,72.9,
2017-05-02,,,66.77
2017-05-07,45.8,76.24,
2017-05-08,,,72.88
2017-05-12,,,72.88
2017-05-14,43.38,72.22,
2017-05-16,,,75.69
2017-05-21,43.2,71.9,
2017-05-22,,,75.69
2017-05-23,,,75.69
2017-05-24,,,76.88
2017-05-28,42.3,68.46,
2017-05-31,,,71.69
2017-06-02,,,71.69
2017-06-04,41.0,68.18,
2017-06-07,,,70.62
2017-06-11,43.13,71.79,
2017-06-12,,,70.62
2017-06-14,,,69.38
2017-06-16,,,69.38
2017-06-18,44.12,73.45,
2017-06-20,,,69.38
2017-06-22,,,70.53
2017-06-23,,,70.53
2017-06-25,41.47,69.04,
2017-06-28,,,69.27
2017-06-30,,,60.22
2017-07-02,38.25,63.69,
2017-07-04,,,60.72
2017-07-06,,,60.72
2017-07-09,39.13,65.15,
2017-07-10,,,60.72
2017-07-12,,,61.83
2017-07-14,,,61.83
2017-07-16,38.0,63.3,
2017-07-18,,,61.83
2017-07-19,,,61.73
2017-07-23,41.86,69.69,
2017-07-24,,,64.68
2017-07-30,43.17,73.56,
2017-08-01,,,65.07
2017-08-06,43.1,71.76,
2017-08-07,,,65.07
2017-08-08,,,65.07
2017-08-10,,,67.69
2017-08-13,45.0,75.0,
2017-08-16,,,67.69
2017-08-17,,,67.56
2017-08-18,,,67.56
2017-08-20,44.52,74.12,
2017-08-25,,,67.56
2017-08-27,44.69,74.0,
2017-09-01,,,77.86
2017-09-03,44.6,74.25,
2017-09-07,,,77.24
2017-09-10,36.97,76.94,
2017-09-14,,,77.24
2017-09-17,46.47,77.37,
2017-09-21,,,77.16
2017-09-24,47.6,79.26,
2017-09-25,,,65.73
2017-09-30,,,65.73
2017-10-01,49.2,82.0,
2017-10-10,,,65.47
2017-10-11,,,66.31
2017-10-15,66.42,78.99,
2017-10-20,,,66.31
2017-10-22,65.51,77.9,
2017-10-24,,,66.65
2017-10-29,65.51,77.9,
2017-10-30,,,66.65
2017-11-01,,,66.65
2017-11-03,,,66.65
2017-11-05,66.96,79.62,
2017-11-06,,,66.65
2017-11-08,,,65.35
2017-11-12,65.9,78.37,
2017-11-14,,,66.12
2017-11-16,,,66.17
2017-11-19,67.04,79.76,
2017-11-20,,,66.17
2017-11-21,,,61.07
2017-11-22,,,60.34
2017-11-26,67.85,80.69,
2017-11-27,,,60.34
2017-11-29,,,72.89
2017-12-03,70.76,84.14,
2017-12-04,,,72.89
2017-12-08,,,69.46
2017-12-10,70.13,83.0,
2017-12-11,,,69.46
2017-12-14,,,71.74
2017-12-17,70.32,83.62,
2017-12-18,,,71.74
2017-12-24,67.42,80.17,
2017-12-25,,,71.74
2017-12-29,,,71.74
2017-12-31,68.17,81.07,
2018-01-02,,,71.74
2018-01-04,,,72.89
2018-01-07,68.69,81.69,
2018-01-11,,,72.89
2018-01-12,,,72.89
2018-01-14,67.22,79.93,
2018-01-15,,,72.89
2018-01-16,,,72.89
2018-01-18,,,72.89
2018-01-21,68.59,81.56,
2018-01-24,,,72.89
2018-01-26,,,77.18
2018-01-28,72.51,82.11,
2018-01-29,,,77.18
2018-01-30,,,77.18
2018-01-31,,,78.61
2018-02-04,74.78,84.68,
2018-02-07,,,78.61
2018-02-09,,,78.61
2018-02-11,74.39,84.24,
2018-02-22,,,78.61
2018-02-25,73.5,83.23,
2018-02-27,,,78.61
2018-03-02,,,78.61
2018-03-04,74.56,84.43,
2018-03-05,,,78.61
2018-03-11,77.34,87.58,
2018-03-16,,,78.61
2018-03-18,76.0,86.0,
2018-03-19,,,78.61
2018-03-25,75.64,85.65,
2018-03-30,,,76.82
2018-04-01,77.47,87.73,
2018-04-03,,,76.82
2018-04-04,,,76.82
2018-04-08,77.42,87.66,76.82
2018-04-10,,,72.64
2018-04-15,77.31,87.54,
2018-04-16,,,72.64
2018-04-17,,,72.64
2018-04-20,,,72.64
2018-04-22,72.84,82.47,
2018-04-23,,,72.64
2018-04-26,,,72.64
2018-04-29,74.25,84.07,
2018-05-02,,,72.64
2018-05-06,77.66,87.93,
2018-05-08,,,72.64
2018-05-13,77.19,87.4,
2018-05-14,,,72.64
2018-05-16,,,72.64
2018-05-20,73.53,83.26,
2018-05-24,,,72.64
2018-05-27,67.15,76.04,
2018-05-29,,,74.42
2018-05-30,,,74.42
2018-05-31,,,74.42
2018-06-03,63.07,71.75,
2018-06-04,,,74.42
2018-06-06,,,74.42
2018-06-07,,,74.42
2018-06-10,64.79,73.36,
2018-06-13,,,74.42
2018-06-14,,,74.42
2018-06-15,,,74.42
2018-06-17,73.9,83.67,
2018-06-19,,,74.42
2018-06-24,75.4,85.37,
2018-06-29,,,74.55
2018-07-01,76.28,86.38,
2018-07-06,,,78.61
2018-07-08,72.83,82.47,
2018-07-13,,,74.12
2018-07-15,72.78,82.41,
2018-07-16,,,74.12
2018-07-20,,,74.12
2018-07-22,76.17,86.26,
2018-07-27,,,78.61
2018-07-29,78.34,88.71,
2018-08-02,,,78.61
2018-08-05,45.8,86.66,
2018-08-06,,,78.61
2018-08-07,,,78.61
2018-08-09,,,78.61
2018-08-12,72.42,82.0,
2018-08-17,,,78.61
2018-08-19,78.25,88.61,
2018-08-24,,,79.62
2018-08-26,80.07,90.66,
2018-08-31,,,79.88
2018-09-02,80.07,90.66,
2018-09-03,,,79.88
2018-09-06,,,79.88
2018-09-09,80.85,92.07,
2018-09-10,,,79.31
2018-09-13,,,79.31
2018-09-16,78.03,88.35,
2018-09-20,,,79.31
2018-09-23,76.49,83.82,
2018-09-27,,,79.8
2018-09-30,77.26,87.49,
2018-10-08,,,79.8
2018-10-09,,,79.8
2018-10-12,,,79.8
2018-10-14,73.12,82.8,
2018-10-16,,,79.8
2018-10-18,,,79.8
2018-10-21,68.0,77.0,
2018-10-22,,,79.8
2018-10-24,,,79.8
2018-10-28,68.71,77.81,
2018-10-29,,,79.8
2018-10-31,,,79.8
2018-11-01,,,75.23
2018-11-02,,,75.23
2018-11-04,68.85,77.96,
2018-11-05,,,75.23
2018-11-09,,,70.16
2018-11-11,69.96,79.22,
2018-11-12,,,70.16
2018-11-15,,,70.16
2018-11-18,68.01,77.01,
2018-11-19,,,70.16
2018-11-22,,,70.16
2018-11-25,70.22,79.51,
2018-11-26,,,70.16
2018-11-28,,,70.16
2018-12-02,73.64,83.38,
2018-12-07,,,73.82
2018-12-09,74.58,84.45,
2018-12-13,,,73.82
2018-12-16,76.04,86.1,
2018-12-20,,,73.82
2018-12-23,76.81,86.97,
2018-12-25,,,73.82
2018-12-28,,,76.63
2018-12-30,75.49,85.48,
2019-01-04,,,76.63
2019-01-06,74.5,84.36,
2019-01-08,,,76.63
2019-01-11,,,76.63
2019-01-13,74.18,83.99,
2019-01-15,,,76.63
2019-01-16,,,84.58
2019-01-18,,,85.51
2019-01-20,72.67,82.29,
2019-01-21,,,85.51
2019-01-25,,,82.69
2019-01-27,79.48,80.62,
2019-01-28,,,86.17
2019-01-29,,,86.17
2019-02-01,,,86.17
2019-02-03,81.38,82.55,
2019-02-11,,,86.17
2019-02-12,,,86.17
2019-02-13,,,86.17
2019-02-14,,,86.17
2019-02-15,,,86.17
2019-02-17,59.54,84.56,
2019-02-18,,,86.17
2019-02-19,,,79.48
2019-02-21,,,79.48
2019-02-24,84.77,85.99,
2019-02-25,,,79.48
2019-02-27,,,79.48
2019-03-01,,,79.16
2019-03-03,85.18,86.41,
2019-03-05,,,79.16
2019-03-06,,,79.16
2019-03-10,83.64,84.84,
2019-03-11,,,79.16
2019-03-15,,,79.16
2019-03-17,85.58,86.81,
2019-03-19,,,83.17
2019-03-24,86.1,87.34,
2019-03-25,,,91.27
2019-03-26,,,91.27
2019-03-28,,,91.27
2019-03-31,82.9,84.1,
2019-04-01,,,90.71
2019-04-02,,,90.71
2019-04-03,,,90.71
2019-04-04,,,90.71
2019-04-07,66.76,79.01,
2019-04-08,,,90.71
2019-04-09,,,90.71
2019-04-10,,,90.71
2019-04-11,,,90.71
2019-04-12,,,90.71
2019-04-14,80.52,81.68,
2019-04-15,,,87.4
2019-04-16,,,87.4
2019-04-17,,,87.4
2019-04-18,,,87.4
2019-04-19,,,87.4
2019-04-21,81.36,82.53,
2019-04-22,,,80.41
2019-04-23,,,80.41
2019-04-24,,,81.65
2019-04-25,,,81.65
2019-04-26,,,81.65
2019-04-28,78.94,80.08,88.34
2019-04-29,,,88.34
2019-04-30,,,88.34
2019-05-05,46.63,82.77,88.34
2019-05-06,,,88.34
2019-05-07,,,88.34
2019-05-08,,,88.34
2019-05-09,,,88.34
2019-05-10,,,88.34
2019-05-12,70.65,83.61,
2019-05-13,,,88.34
2019-05-14,,,88.34
2019-05-15,,,88.34
2019-05-16,,,88.34
2019-05-17,,,88.34
2019-05-19,85.12,86.34,
2019-05-20,,,88.34
2019-05-21,,,88.34
2019-05-22,,,91.62
2019-05-23,,,91.65
2019-05-24,,,91.65
2019-05-26,86.49,87.73,
2019-05-27,,,91.65
2019-05-28,,,91.65
2019-05-29,,,91.65
2019-05-30,,,72.57
2019-05-31,,,72.57
2019-06-02,85.75,86.98,
2019-06-03,,,72.57
2019-06-04,,,69.93
2019-06-05,,,69.93
2019-06-06,,,87.74
2019-06-09,70.69,82.0,
2019-06-10,,,87.74
2019-06-11,,,80.69
2019-06-12,,,80.69
2019-06-13,,,80.69
2019-06-14,,,80.69
2019-06-16,92.8,80.73,
2019-06-17,,,87.74
2019-06-18,,,87.74
2019-06-19,,,87.74
2019-06-20,,,86.94
2019-06-21,,,86.94
2019-06-23,82.33,81.85,
2019-06-24,,,89.88
2019-06-25,,,89.88
2019-06-26,,,82.18
2019-06-27,,,82.18
2019-06-28,,,82.18
2019-06-30,85.37,84.88,
2019-07-01,,,82.18
2019-07-02,,,82.18
2019-07-03,,,82.18
2019-07-04,,,82.18
2019-07-05,,,82.18
2019-07-07,88.67,88.15,
2019-07-08,,,82.18
2019-07-09,,,82.18
2019-07-10,,,82.18
2019-07-11,,,82.18
2019-07-12,,,83.33
2019-07-14,85.73,85.24,
2019-07-15,,,83.33
2019-07-16,,,83.33
2019-07-17,,,83.33
2019-07-18,,,83.33
2019-07-19,,,83.33
2019-07-21,82.65,82.57,
2019-07-22,,,83.22
2019-07-23,,,83.22
2019-07-24,,,83.22
2019-07-25,,,83.22
2019-07-26,,,83.22
2019-07-28,82.89,81.49,
2019-07-29,,,83.22
2019-07-30,,,83.22
2019-07-31,,,83.22
2019-08-01,,,83.22
2019-08-02,,,83.22
2019-08-04,79.03,78.57,
2019-08-05,,,78.89
2019-08-06,,,78.89
2019-08-07,,,78.89
2019-08-08,,,78.89
2019-08-09,,,78.89
2019-08-11,85.18,84.35,
2019-08-12,,,78.89
2019-08-13,,,78.74
2019-08-14,,,78.74
2019-08-15,,,78.74
2019-08-16,,,78.74
2019-08-18,82.96,83.43,
2019-08-19,,,78.74
2019-08-20,,,78.74
2019-08-21,,,84.26
2019-08-22,,,84.26
2019-08-23,,,84.26
2019-08-25,83.41,82.93,
2019-08-26,,,84.26
2019-08-27,,,84.26
2019-08-28,,,85.38
2019-08-29,,,85.38
2019-08-30,,,85.38
2019-09-01,87.0,86.5,
2019-09-02,,,85.38
2019-09-03,,,85.38
2019-09-04,,,85.38
2019-09-05,,,88.65
2019-09-06,,,88.65
2019-09-08,87.52,87.01,
2019-09-09,,,87.89
2019-09-10,,,87.89
2019-09-11,,,87.89
2019-09-12,,,87.89
2019-09-13,,,87.89
2019-09-15,90.0,89.48,
2019-09-16,,,87.89
2019-09-17,,,87.89
2019-09-18,,,87.89
2019-09-19,,,87.89
2019-09-20,,,87.89
2019-09-22,88.88,89.4,
2019-09-23,,,87.89
2019-09-24,,,87.89
2019-09-25,,,87.89
2019-09-26,,,87.89
2019-09-27,,,87.89
2019-09-29,83.99,84.48,87.89
2019-09-30,,,87.89
2019-10-07,,,87.89
2019-10-08,,,87.89
2019-10-09,,,84.52
2019-10-10,,,81.32
2019-10-11,,,81.32
2019-10-12,,,81.32
2019-10-13,85.94,86.44,
2019-10-14,,,76.26
2019-10-15,,,76.26
2019-10-16,,,76.26
2019-10-17,,,76.26
2019-10-18,,,76.26
2019-10-20,81.08,80.61,
2019-10-21,,,77.48
2019-10-22,,,77.48
2019-10-23,,,79.04
2019-10-24,,,79.04
2019-10-25,,,79.04
2019-10-27,81.99,81.52,
2019-10-28,,,79.04
2019-10-29,,,79.04
2019-10-30,,,79.04
2019-10-31,,,79.04
2019-11-01,,,79.04
2019-11-03,79.95,78.61,
2019-11-04,,,75.87
2019-11-05,,,75.87
2019-11-06,,,75.87
2019-11-07,,,75.87
2019-11-08,,,75.87
2019-11-10,84.44,80.43,
2019-11-11,,,75.87
2019-11-12,,,75.87
2019-11-13,,,75.87
2019-11-14,,,74.32
2019-11-15,,,74.32
2019-11-17,87.39,83.24,
2019-11-18,,,74.32
2019-11-19,,,74.32
2019-11-20,,,74.32
2019-11-21,,,74.32
2019-11-22,,,74.32
2019-11-24,85.24,81.2,
2019-11-25,,,74.32
2019-11-26,,,74.32
2019-11-27,,,74.32
2019-11-28,,,74.32
2019-11-29,,,74.32
2019-12-01,86.12,82.03,
2019-12-02,,,78.64
2019-12-03,,,78.64
2019-12-04,,,78.64
2019-12-05,,,78.64
2019-12-06,,,78.26
2019-12-08,89.73,85.48,
2019-12-09,,,78.26
2019-12-10,,,78.8
2019-12-11,,,78.8
2019-12-12,,,78.8
2019-12-13,,,78.8
2019-12-15,90.48,86.18,
2019-12-16,,,77.07
2019-12-17,,,76.34
2019-12-18,,,76.34
2019-12-19,,,76.34
2019-12-20,,,76.34
2019-12-22,89.68,85.43,
2019-12-23,,,76.34
2019-12-24,,,77.51
2019-12-25,,,77.51
2019-12-26,,,77.51
2019-12-27,,,77.51
2019-12-29,89.27,85.03,
2019-12-30,,,77.51
2019-12-31,,,77.51
2020-01-02,,,77.51
2020-01-03,,,77.51
2020-01-05,83.42,,
2020-01-06,,,81.29
2020-01-07,,,81.29
2020-01-08,,,81.29
2020-01-09,,,81.29
2020-01-10,,,81.29
2020-01-12,83.28,83.46,
2020-01-13,,,81.29
2020-01-14,,,81.29
2020-01-15,,,77.88
2020-01-16,,,77.88
2020-01-17,,,77.88
2020-01-19,85.21,85.39,77.88
2020-01-20,,,77.88
2020-01-21,,,77.88
2020-01-22,,,77.88
2020-01-23,,,77.88
2020-01-26,88.0,88.19,
2020-01-31,,,77.88
2020-02-02,89.96,90.15,
2020-02-03,,,77.88
2020-02-04,,,77.88
2020-02-05,,,77.88
2020-02-06,,,77.88
2020-02-07,,,77.88
2020-02-09,92.02,87.21,
2020-02-10,,,77.88
2020-02-11,,,77.88
2020-02-12,,,77.88
2020-02-13,,,74.88
2020-02-14,,,74.88
2020-02-16,86.34,82.59,
2020-02-17,,,72.19
2020-02-18,,,72.19
2020-02-19,,,72.19
2020-02-20,,,72.19
2020-02-21,,,72.19
2020-02-23,85.54,81.64,
2020-02-24,,,74.88
2020-02-25,,,74.88
2020-02-26,,,74.88
2020-02-27,,,74.88
2020-02-28,,,74.88
2020-03-01,84.79,80.92,
2020-03-02,,,74.88
2020-03-03,,,78.14
2020-03-04,,,79.77
2020-03-05,,,79.77
2020-03-06,,,83.03
2020-03-08,85.46,81.56,
2020-03-09,,,85.15
2020-03-10,,,85.15
2020-03-11,,,85.15
2020-03-12,,,85.15
2020-03-13,,,85.15
2020-03-15,86.18,82.25,
2020-03-16,,,85.15
2020-03-17,,,85.15
2020-03-18,,,85.15
2020-03-19,,,85.15
2020-03-20,,,85.81
2020-03-22,74.45,71.05,
2020-03-23,,,85.81
2020-03-24,,,85.81
2020-03-25,,,85.81
2020-03-26,,,85.81
2020-03-27,,,85.81
2020-03-29,74.05,70.67,
2020-03-30,,,85.81
2020-03-31,,,85.81
2020-04-01,,,85.81
2020-04-02,,,85.81
2020-04-03,,,85.81
2020-04-05,83.51,79.7,
2020-04-07,,,82.91
2020-04-08,,,82.07
2020-04-09,,,82.07
2020-04-10,,,82.07
2020-04-12,91.48,87.3,
2020-04-13,,,90.68
2020-04-14,,,90.68
2020-04-15,,,90.68
2020-04-16,,,90.68
2020-04-17,,,90.68
2020-04-19,94.45,90.14,
2020-04-20,,,90.68
2020-04-21,,,91.9
2020-04-22,,,91.9
2020-04-23,,,91.9
2020-04-24,,,91.9
2020-04-26,92.82,88.58,91.9
2020-04-27,,,91.9
2020-04-28,,,91.9
2020-04-29,,,91.9
2020-05-03,95.66,91.3,
2020-05-05,,,91.9
2020-05-06,,,90.68
2020-05-07,,,91.9
2020-05-08,,,91.9
2020-05-09,,,91.9
2020-05-10,96.3,91.9,
2020-05-11,,,91.9
2020-05-12,,,91.9
2020-05-13,,,91.9
2020-05-14,,,87.4
2020-05-15,,,87.4
2020-05-17,94.53,90.21,
2020-05-18,,,87.4
2020-05-19,,,87.4
2020-05-20,,,86.9
2020-05-21,,,86.9
2020-05-22,,,86.9
2020-05-24,93.01,88.77,
2020-05-25,,,86.9
2020-05-26,,,86.9
2020-05-27,,,86.9
2020-05-28,,,84.46
2020-05-29,,,84.46
2020-05-31,90.36,86.24,
2020-06-01,,,84.46
2020-06-02,,,84.46
2020-06-03,,,84.12
2020-06-04,,,84.12
2020-06-05,,,84.12
2020-06-07,90.2,86.08,
2020-06-08,,,84.12
2020-06-09,,,84.12
2020-06-10,,,84.12
2020-06-11,,,84.12
2020-06-12,,,84.12
2020-06-14,88.01,84.0,
2020-06-15,,,84.12
2020-06-16,,,84.12
2020-06-17,,,84.12
2020-06-18,,,84.12
2020-06-19,,,84.12
2020-06-21,90.37,86.24,
2020-06-22,,,82.05
2020-06-23,,,82.05
2020-06-24,,,82.05
2020-06-28,92.89,88.65,82.05
2020-06-29,,,82.05
2020-06-30,,,82.05
2020-07-01,,,82.05
2020-07-02,,,82.05
2020-07-03,,,83.99
2020-07-05,95.38,88.63,
2020-07-06,,,83.99
2020-07-07,,,85.21
2020-07-08,,,85.21
2020-07-09,,,85.21
2020-07-10,,,85.21
2020-07-12,98.21,89.46,
2020-07-13,,,85.21
2020-07-14,,,85.21
2020-07-15,,,85.15
2020-07-16,,,85.15
2020-07-17,,,85.15
2020-07-19,96.56,87.96,
2020-07-20,,,85.15
2020-07-21,,,85.15
2020-07-22,,,85.15
2020-07-23,,,85.41
2020-07-24,,,85.41
2020-07-26,96.48,87.88,
2020-07-27,,,85.41
2020-07-28,,,85.41
2020-07-29,,,82.15
2020-07-30,,,82.15
2020-07-31,,,82.15
2020-08-02,96.2,87.63,
2020-08-03,,,78.94
2020-08-04,,,78.94
2020-08-05,,,81.95
2020-08-06,,,81.95
2020-08-07,,,81.95
2020-08-09,94.04,85.66,
2020-08-10,,,81.95
2020-08-11,,,81.95
2020-08-12,,,81.95
2020-08-13,,,80.81
2020-08-14,,,80.81
2020-08-16,91.33,83.19,
2020-08-17,,,80.81
2020-08-18,,,80.81
2020-08-19,,,80.81
2020-08-20,,,80.81
2020-08-21,,,80.81
2020-08-23,92.1,84.44,
2020-08-24,,,80.66
2020-08-25,,,80.66
2020-08-26,,,80.66
2020-08-27,,,80.74
2020-08-28,,,80.74
2020-08-30,96.22,87.65,
2020-08-31,,,80.74
2020-09-01,,,80.74
2020-09-02,,,80.74
2020-09-03,,,80.81
2020-09-04,,,80.81
2020-09-06,94.86,86.41,
2020-09-07,,,83.9
2020-09-08,,,83.9
2020-09-09,,,83.9
2020-09-10,,,83.9
2020-09-11,,,83.38
2020-09-13,94.18,85.79,
2020-09-14,,,83.38
2020-09-15,,,83.38
2020-09-16,,,83.38
2020-09-17,,,83.38
2020-09-18,,,83.38
2020-09-20,94.97,86.51,
2020-09-21,,,83.38
2020-09-22,,,83.38
2020-09-23,,,83.38
2020-09-24,,,83.38
2020-09-25,,,83.38
2020-09-27,98.23,89.48,83.38
2020-09-28,,,83.38
2020-09-29,,,83.38
2020-09-30,,,86.31
