指标名称,中国:贷款市场报价利率(LPR):1年,中期借贷便利(MLF):利率:1年,中国:中债国债到期收益率:1年,银行间质押式回购加权利率:7天,中国:中间价:美元兑人民币,美元指数
1971-01-04,,,,,,120.53
1971-01-05,,,,,,120.52
1971-01-06,,,,,,120.49
1971-01-07,,,,,,120.55
1971-01-08,,,,,,120.53
1971-01-11,,,,,,120.53
1971-01-12,,,,,,120.49
1971-01-13,,,,,,120.47
1971-01-14,,,,,,120.44000000000001
1971-01-15,,,,,,120.44000000000001
1971-01-18,,,,,,120.41
1971-01-19,,,,,,120.37
1971-01-20,,,,,,120.33999999999999
1971-01-21,,,,,,120.33
1971-01-22,,,,,,120.31
1971-01-25,,,,,,120.27
1971-01-26,,,,,,120.25999999999999
1971-01-27,,,,,,120.25
1971-01-28,,,,,,120.25
1971-01-29,,,,,,120.24
1971-02-01,,,,,,120.25999999999999
1971-02-02,,,,,,120.28000000000002
1971-02-03,,,,,,120.24
1971-02-04,,,,,,120.24
1971-02-05,,,,,,120.25999999999999
1971-02-08,,,,,,120.25999999999999
1971-02-09,,,,,,120.25
1971-02-10,,,,,,120.28000000000002
1971-02-11,,,,,,120.29
1971-02-16,,,,,,120.22
1971-02-17,,,,,,120.21000000000001
1971-02-18,,,,,,120.21000000000001
1971-02-19,,,,,,120.17999999999999
1971-02-22,,,,,,120.14
1971-02-23,,,,,,120.12
1971-02-24,,,,,,120.17999999999999
1971-02-25,,,,,,120.19999999999999
1971-02-26,,,,,,120.25999999999999
1971-03-01,,,,,,120.25
1971-03-02,,,,,,120.21000000000001
1971-03-03,,,,,,120.19
1971-03-04,,,,,,120.19999999999999
1971-03-05,,,,,,120.17
1971-03-08,,,,,,120.13000000000001
1971-03-09,,,,,,120.14
1971-03-10,,,,,,120.14
1971-03-11,,,,,,120.16
1971-03-12,,,,,,120.17999999999999
1971-03-15,,,,,,120.19
1971-03-16,,,,,,120.19
1971-03-17,,,,,,120.16
1971-03-18,,,,,,120.17999999999999
1971-03-19,,,,,,120.17999999999999
1971-03-22,,,,,,120.17999999999999
1971-03-23,,,,,,120.17
1971-03-24,,,,,,120.16
1971-03-25,,,,,,120.17
1971-03-26,,,,,,120.17
1971-03-29,,,,,,120.17999999999999
1971-03-30,,,,,,120.17999999999999
1971-03-31,,,,,,120.17
1971-04-01,,,,,,120.17999999999999
1971-04-02,,,,,,120.17999999999999
1971-04-05,,,,,,120.19
1971-04-06,,,,,,120.16
1971-04-07,,,,,,120.19999999999999
1971-04-08,,,,,,120.22
1971-04-12,,,,,,120.22
1971-04-13,,,,,,120.31
1971-04-14,,,,,,120.29
1971-04-15,,,,,,120.23
1971-04-16,,,,,,120.23
1971-04-19,,,,,,120.29
1971-04-20,,,,,,120.27
1971-04-21,,,,,,120.23
1971-04-22,,,,,,120.23
1971-04-23,,,,,,120.27
1971-04-26,,,,,,120.27
1971-04-27,,,,,,120.25
1971-04-28,,,,,,120.17999999999999
1971-04-29,,,,,,120.17999999999999
1971-04-30,,,,,,120.19
1971-05-03,,,,,,120.17
1971-05-04,,,,,,120.16
1971-05-05,,,,,,119.65
1971-05-06,,,,,,119.61999999999999
1971-05-07,,,,,,119.44
1971-05-10,,,,,,119.12
1971-05-11,,,,,,119.55999999999999
1971-05-12,,,,,,119.46
1971-05-13,,,,,,119.27
1971-05-14,,,,,,119.34
1971-05-17,,,,,,119.33000000000001
1971-05-18,,,,,,119.30999999999999
1971-05-19,,,,,,119.2
1971-05-20,,,,,,118.99
1971-05-21,,,,,,118.91
1971-05-24,,,,,,118.97999999999999
1971-05-25,,,,,,119.26
1971-05-26,,,,,,119.33000000000001
1971-05-27,,,,,,119.35000000000001
1971-05-28,,,,,,119.43
1971-06-01,,,,,,119.69
1971-06-02,,,,,,119.5
1971-06-03,,,,,,119.32000000000001
1971-06-04,,,,,,119.27
1971-06-07,,,,,,119.22999999999999
1971-06-08,,,,,,119.25000000000001
1971-06-09,,,,,,119.19
1971-06-10,,,,,,119.24
1971-06-11,,,,,,119.24
1971-06-14,,,,,,119.28999999999999
1971-06-15,,,,,,119.34
1971-06-16,,,,,,119.30999999999999
1971-06-17,,,,,,119.32000000000001
1971-06-18,,,,,,119.28999999999999
1971-06-21,,,,,,119.32000000000001
1971-06-22,,,,,,119.28
1971-06-23,,,,,,119.16000000000001
1971-06-24,,,,,,119.19
1971-06-25,,,,,,119.21
1971-06-28,,,,,,119.25000000000001
1971-06-29,,,,,,119.21
1971-06-30,,,,,,119.16000000000001
1971-07-01,,,,,,119.17
1971-07-02,,,,,,119.16000000000001
1971-07-06,,,,,,119.21
1971-07-07,,,,,,119.18
1971-07-08,,,,,,119.18
1971-07-09,,,,,,119.17
1971-07-12,,,,,,119.17
1971-07-13,,,,,,119.16000000000001
1971-07-14,,,,,,119.05
1971-07-15,,,,,,119.01
1971-07-16,,,,,,118.91999999999999
1971-07-19,,,,,,118.91999999999999
1971-07-20,,,,,,118.91
1971-07-21,,,,,,118.85000000000001
1971-07-22,,,,,,118.79
1971-07-23,,,,,,118.75999999999999
1971-07-26,,,,,,118.8
1971-07-27,,,,,,118.81
1971-07-28,,,,,,118.83
1971-07-29,,,,,,118.79
1971-07-30,,,,,,118.75999999999999
1971-08-02,,,,,,118.79
1971-08-03,,,,,,118.81
1971-08-04,,,,,,118.61000000000001
1971-08-05,,,,,,118.54
1971-08-06,,,,,,118.58
1971-08-09,,,,,,118.02999999999999
1971-08-10,,,,,,118.1
1971-08-11,,,,,,118.04
1971-08-12,,,,,,117.82000000000001
1971-08-13,,,,,,117.84
1971-08-16,,,,,,117.84
1971-08-17,,,,,,117.84
1971-08-18,,,,,,117.84
1971-08-19,,,,,,117.84
1971-08-20,,,,,,117.84
1971-08-23,,,,,,117.84
1971-08-24,,,,,,117.84
1971-08-25,,,,,,117.84
1971-08-26,,,,,,117.84
1971-08-27,,,,,,117.84
1971-08-30,,,,,,117.84
1971-08-31,,,,,,116.47
1971-09-01,,,,,,116.58
1971-09-02,,,,,,116.35
1971-09-03,,,,,,116.38000000000001
1971-09-07,,,,,,116.42
1971-09-08,,,,,,116.42
1971-09-09,,,,,,116.39
1971-09-10,,,,,,116.32
1971-09-13,,,,,,116.29
1971-09-14,,,,,,116.02999999999999
1971-09-15,,,,,,115.94999999999999
1971-09-16,,,,,,115.92999999999999
1971-09-17,,,,,,115.91
1971-09-20,,,,,,115.52
1971-09-21,,,,,,115.55999999999999
1971-09-22,,,,,,115.42
1971-09-23,,,,,,115.03
1971-09-24,,,,,,114.96
1971-09-27,,,,,,115.03
1971-09-28,,,,,,115.05999999999999
1971-09-29,,,,,,114.93
1971-09-30,,,,,,114.93
1971-10-01,,,,,,114.81
1971-10-04,,,,,,114.84
1971-10-05,,,,,,114.83
1971-10-06,,,,,,114.74
1971-10-07,,,,,,114.71000000000001
1971-10-08,,,,,,114.7
1971-10-12,,,,,,114.66
1971-10-13,,,,,,114.75999999999999
1971-10-14,,,,,,114.88
1971-10-15,,,,,,114.82
1971-10-18,,,,,,114.64
1971-10-19,,,,,,114.66
1971-10-20,,,,,,114.62
1971-10-21,,,,,,114.58
1971-10-22,,,,,,114.6
1971-10-26,,,,,,114.53
1971-10-27,,,,,,114.64
1971-10-28,,,,,,114.6
1971-10-29,,,,,,114.64999999999999
1971-11-01,,,,,,114.63000000000001
1971-11-03,,,,,,114.62
1971-11-04,,,,,,114.68
1971-11-05,,,,,,114.57
1971-11-08,,,,,,114.62
1971-11-09,,,,,,114.64
1971-11-10,,,,,,114.68
1971-11-11,,,,,,114.64
1971-11-12,,,,,,114.58999999999999
1971-11-15,,,,,,114.54
1971-11-16,,,,,,114.54
1971-11-17,,,,,,114.54
1971-11-18,,,,,,114.58
1971-11-19,,,,,,114.37
1971-11-22,,,,,,114.31
1971-11-23,,,,,,114.19
1971-11-24,,,,,,113.98
1971-11-26,,,,,,113.92999999999999
1971-11-29,,,,,,113.92999999999999
1971-11-30,,,,,,114.00999999999999
1971-12-01,,,,,,113.86
1971-12-02,,,,,,113.58
1971-12-03,,,,,,113.25000000000001
1971-12-06,,,,,,113.11
1971-12-07,,,,,,113.13
1971-12-08,,,,,,113.04
1971-12-09,,,,,,112.97
1971-12-10,,,,,,112.94000000000001
1971-12-13,,,,,,112.93
1971-12-14,,,,,,112.69000000000001
1971-12-15,,,,,,112.55
1971-12-16,,,,,,112.53
1971-12-17,,,,,,112.38000000000001
1971-12-21,,,,,,111.16000000000001
1971-12-22,,,,,,111.18
1971-12-23,,,,,,111.27
1971-12-24,,,,,,111.28999999999999
1971-12-27,,,,,,111.38999999999999
1971-12-28,,,,,,111.45
1971-12-29,,,,,,111.47
1971-12-30,,,,,,111.21
1972-01-03,,,,,,111.19
1972-01-04,,,,,,111.27
1972-01-05,,,,,,111.22
1972-01-06,,,,,,111.02000000000001
1972-01-07,,,,,,111.04
1972-01-10,,,,,,110.94000000000001
1972-01-11,,,,,,110.97
1972-01-12,,,,,,110.68
1972-01-13,,,,,,110.43999999999998
1972-01-14,,,,,,110.02999999999999
1972-01-17,,,,,,109.86
1972-01-18,,,,,,110.02
1972-01-19,,,,,,109.94
1972-01-20,,,,,,109.97000000000001
1972-01-21,,,,,,110.04
1972-01-24,,,,,,109.86
1972-01-25,,,,,,109.69
1972-01-26,,,,,,109.71
1972-01-27,,,,,,109.65
1972-01-28,,,,,,109.65
1972-01-31,,,,,,109.6
1972-02-01,,,,,,109.43
1972-02-02,,,,,,109.01
1972-02-03,,,,,,109.14
1972-02-04,,,,,,109.35000000000001
1972-02-07,,,,,,109.2
1972-02-08,,,,,,109.17
1972-02-09,,,,,,108.93
1972-02-10,,,,,,108.89
1972-02-11,,,,,,108.89999999999999
1972-02-14,,,,,,108.94000000000001
1972-02-15,,,,,,108.93
1972-02-16,,,,,,108.56
1972-02-17,,,,,,108.66
1972-02-18,,,,,,108.60000000000001
1972-02-22,,,,,,108.66999999999999
1972-02-23,,,,,,108.62
1972-02-24,,,,,,108.57
1972-02-25,,,,,,108.77000000000001
1972-02-28,,,,,,108.8
1972-02-29,,,,,,108.67999999999999
