指标名称,中国:CPI:食品:环比,中国:CPI:非食品:环比,中国:CPI:不包括食品和能源(核心CPI):环比,中国:CPI:消费品:环比,中国:CPI:服务:环比,中国:CPI:食品烟酒:环比,中国:CPI:食品烟酒:粮食:环比,中国:CPI:食品烟酒:食用油:环比,中国:CPI:食品烟酒:鲜菜:环比,中国:CPI:食品烟酒:畜肉类:环比,中国:CPI:食品烟酒:畜肉类:猪肉:环比,中国:CPI:食品烟酒:畜肉类:牛肉:环比,中国:CPI:食品烟酒:畜肉类:羊肉:环比,中国:CPI:食品烟酒:水产品:环比,中国:CPI:食品烟酒:蛋类:环比,中国:CPI:食品烟酒:奶类:环比,中国:CPI:食品烟酒:鲜果:环比,中国:CPI:食品烟酒:卷烟:环比,中国:CPI:食品烟酒:酒类:环比,中国:CPI:衣着:环比,中国:CPI:衣着:服装:环比,中国:CPI:衣着:鞋类:环比,中国:CPI:居住:环比,中国:CPI:居住:租赁房房租:环比,中国:CPI:居住:水电燃料:环比,中国:CPI:生活用品及服务:环比,中国:CPI:生活用品及服务:家用器具:环比,中国:CPI:生活用品及服务:家庭服务:环比,中国:CPI:交通和通信:环比,中国:CPI:交通和通信:交通工具:环比,中国:CPI:交通和通信:交通工具用燃料:环比,中国:CPI:交通和通信:交通工具使用和维修:环比,中国:CPI:交通和通信:通信工具:环比,中国:CPI:交通和通信:通信服务:环比,中国:CPI:交通和通信:邮递服务:环比,中国:CPI:教育文化和娱乐:环比,中国:CPI:教育文化和娱乐:教育服务:环比,中国:CPI:教育文化和娱乐:旅游:环比,中国:CPI:医疗保健:环比,中国:CPI:医疗保健:中药:环比,中国:CPI:医疗保健:西药:环比,中国:CPI:医疗保健:医疗服务:环比,中国:CPI:其他用品和服务:环比,中国:CPI:交通和通信:交通工具使用和维修:环比,中国:CPI:食品:当月同比,中国:CPI:非食品:当月同比,中国:CPI:不包括食品和能源(核心CPI):当月同比,中国:CPI:消费品:当月同比,中国:CPI:服务:当月同比,中国:CPI:食品烟酒:当月同比,中国:CPI:食品烟酒:粮食:当月同比,中国:CPI:食品烟酒:食用油:当月同比,中国:CPI:食品烟酒:鲜菜:当月同比,中国:CPI:食品烟酒:畜肉类:当月同比,中国:CPI:食品烟酒:畜肉类:猪肉:当月同比,中国:CPI:食品烟酒:畜肉类:牛肉:当月同比,中国:CPI:食品烟酒:畜肉类:羊肉:当月同比,中国:CPI:食品烟酒:水产品:当月同比,中国:CPI:食品烟酒:蛋类:当月同比,中国:CPI:食品烟酒:奶类:当月同比,中国:CPI:食品烟酒:鲜果:当月同比,中国:CPI:食品烟酒:烟草:当月同比,中国:CPI:食品烟酒:酒类:当月同比,中国:CPI:衣着:当月同比,中国:CPI:衣着:服装:当月同比,中国:CPI:衣着:鞋类:当月同比,中国:CPI:居住:当月同比,中国:CPI:居住:租赁房房租:当月同比,中国:CPI:居住:水电燃料:当月同比,中国:CPI:生活用品及服务:当月同比,中国:CPI:生活用品及服务:家用器具:当月同比,中国:CPI:生活用品及服务:家庭服务:当月同比,中国:CPI:交通和通信:当月同比,中国:CPI:交通和通信:交通工具:当月同比,中国:CPI:交通和通信:交通工具用燃料:当月同比,中国:CPI:交通和通信:交通工具使用和维修:当月同比,中国:CPI:交通和通信:通信工具:当月同比,中国:CPI:交通和通信:通信服务:当月同比,中国:CPI:交通和通信:邮递服务:当月同比,中国:CPI:教育文化和娱乐:当月同比,中国:CPI:教育文化和娱乐:教育服务:当月同比,中国:CPI:教育文化和娱乐:旅游:当月同比,中国:CPI:医疗保健:当月同比,中国:CPI:医疗保健:中药:当月同比,中国:CPI:医疗保健:西药:当月同比,中国:CPI:医疗保健:医疗服务:当月同比,中国:CPI:其他用品和服务:当月同比
1994-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,,,,,,41.8,,,,,,,,,,,,,14.2,14.2,,29.0,,,12.7,,,11.4,,,,,,,12.5,,,12.2,,,,
1994-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,,,,,,39.6,,,,,,,,,,,,,15.1,15.1,,28.9,,,13.0,,,10.2,,,,,,,13.9,,,11.8,,,,
1994-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,39.3,,,,,,,,,,,,,15.7,15.7,,27.1,,,13.2,,,11.2,,,,,,,13.6,,,11.6,,,,
1994-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,,,,,,38.1,,,,,,,,,,,,,16.5,16.5,,25.0,,,13.0,,,9.9,,,,,,,13.7,,,12.2,,,,
1994-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,,,,,,38.6,,,,,,,,,,,,,17.1,17.1,,23.3,,,12.5,,,9.0,,,,,,,13.3,,,12.1,,,,
1994-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,,,,,,52.2,,,,,,,,,,,,,17.2,17.2,,21.4,,,11.9,,,8.0,,,,,,,12.7,,,11.9,,,,
1994-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,,,,,,57.3,,,,,,,,,,,,,17.5,17.5,,18.7,,,11.4,,,6.9,,,,,,,12.1,,,11.3,,,,
1994-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,,,,,,59.0,,,,,,,,,,,,,17.4,17.4,,17.6,,,11.3,,,6.3,,,,,,,11.9,,,11.5,,,,
1994-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2,,,,,,62.8,,,,,,,,,,,,,17.6,17.6,,17.2,,,11.5,,,5.6,,,,,,,11.4,,,11.2,,,,
1994-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,,,,,,64.3,,,,,,,,,,,,,18.2,18.2,,16.3,,,11.5,,,5.2,,,,,,,11.5,,,10.9,,,,
1994-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7,,,,,,61.9,,,,,,,,,,,,,18.6,18.6,,15.8,,,11.3,,,4.8,,,,,,,11.1,,,11.5,,,,
1994-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,,,,,53.5,,,,,,,,,,,,,19.0,19.0,,15.2,,,11.1,,,4.3,,,,,,,10.9,,,12.0,,,,
1995-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,,,,,,55.6,,29.8,52.6,,,,21.9,16.8,,,,,17.8,17.8,,11.3,,,8.2,,,1.1,,,,,,,6.0,,,9.9,,,,
1995-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,,,,,,57.4,,21.5,44.9,,,,13.5,13.6,,,,,17.7,17.7,,11.1,,,8.1,,,0.6,,,,,,,6.4,,,9.7,,,,
1995-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,,,,,,55.0,,19.2,42.7,,,,13.6,18.7,,,,,17.0,17.0,,10.1,,,7.5,,,-0.3,,,,,,,5.9,,,9.8,,,,
