指标名称,中国:PPI:煤炭开采和洗选业:当月同比,中国:PPI:石油和天然气开采业:当月同比,中国:PPI:黑色金属矿采选业:当月同比,中国:PPI:有色金属矿采选业:当月同比,中国:PPI:非金属矿采选业:当月同比,中国:PPI:农副食品加工业:当月同比,中国:PPI:食品制造业:当月同比,中国:PPI:酒、饮料和精制茶制造业:当月同比,中国:PPI:烟草制品业:当月同比,中国:PPI:纺织业:当月同比,中国:PPI:纺织服装、服饰业:当月同比,中国:PPI:皮革、毛皮、羽毛及其制品和制鞋业:当月同比,中国:PPI:木材加工及木、竹、藤、棕、草制品业:当月同比,中国:PPI:家具制造业:当月同比,中国:PPI:造纸及纸制品业:当月同比,中国:PPI:印刷业和记录媒介的复制:当月同比,中国:PPI:文教、工美、体育和娱乐用品制造业:当月同比,中国:PPI:石油、煤炭及其他燃料加工业:当月同比,中国:PPI:化学原料及化学制品制造业:当月同比,中国:PPI:医药制造业:当月同比,中国:PPI:化学纤维制造业:当月同比,中国:PPI:橡胶和塑料制品业:当月同比,中国:PPI:非金属矿物制品业:当月同比,中国:PPI:黑色金属冶炼及压延加工业:当月同比,中国:PPI:有色金属冶炼及压延加工业:当月同比,中国:PPI:金属制品业:当月同比,中国:PPI:通用设备制造业:当月同比,中国:PPI:专用设备制造业:当月同比,中国:PPI:汽车制造业:当月同比,中国:PPI:铁路、船舶、航空航天和其他运输设备制造业:当月同比,中国:PPI:电气机械及器材制造业:当月同比,中国:PPI:计算机、通信和其他电子设备制造业:当月同比,中国:PPI:仪器仪表制造业:当月同比,中国:PPI:其他制造业:当月同比,中国:PPI:废弃资源综合利用业:当月同比,中国:PPI:金属制品、机械和设备修理业:当月同比,中国:PPI:电力、热力的生产和供应业:当月同比,中国:PPI:燃气生产和供应业:当月同比,中国:PPI:水的生产和供应业:当月同比,中国:PPI:煤炭开采和洗选业:环比,中国:PPI:石油和天然气开采业:环比,中国:PPI:黑色金属矿采选业:环比,中国:PPI:有色金属矿采选业:环比,中国:PPI:非金属矿采选业:环比,中国:PPI:农副食品加工业:环比,中国:PPI:食品制造业:环比,中国:PPI:酒、饮料和精制茶制造业:环比,中国:PPI:烟草制品业:环比,中国:PPI:纺织业:环比,中国:PPI:纺织服装、服饰业:环比,中国:PPI:木材加工及木、竹、藤、棕、草制品业:环比,中国:PPI:造纸及纸制品业:环比,中国:PPI:印刷业和记录媒介的复制:环比,中国:PPI:石油、煤炭及其他燃料加工业:环比,中国:PPI:化学原料及化学制品制造业:环比,中国:PPI:医药制造业:环比,中国:PPI:化学纤维制造业:环比,中国:PPI:橡胶和塑料制品业:环比,中国:PPI:非金属矿物制品业:环比,中国:PPI:黑色金属冶炼及压延加工业:环比,中国:PPI:有色金属冶炼及压延加工业:环比,中国:PPI:金属制品业:环比,中国:PPI:通用设备制造业:环比,中国:PPI:专用设备制造业:环比,中国:PPI:汽车制造业:环比,中国:PPI:铁路、船舶、航空航天和其他运输设备制造业:环比,中国:PPI:电气机械及器材制造业:环比,中国:PPI:计算机、通信和其他电子设备制造业:环比,中国:PPI:电力、热力的生产和供应业:环比,中国:PPI:燃气生产和供应业:环比,中国:PPI:水的生产和供应业:环比
1996-10-31,14.2,14.11,1.23,-17.13,,,1.91,-6.7,11.03,-5.48,,11.04,-0.73,4.1,-1.89,,-2.8,,,-3.18,-23.35,,,-1.55,-15.06,-1.39,,,,0.67,0.91,-11.15,-1.73,,,,13.22,,30.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-11-30,13.68,14.34,-0.44,-8.12,,,2.06,-6.44,7.11,-6.45,,7.18,-3.3,3.89,-5.29,,-2.12,,,-2.86,-22.2,,,0.16,-16.05,-0.46,,,,-1.6,-1.57,-9.32,-1.06,,,,12.43,,34.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31,12.94,12.79,-7.88,-22.15,,,0.56,-3.66,7.15,-2.99,,2.41,-15.07,8.18,0.6,,-5.44,,,-4.53,-23.33,,,-0.02,-13.92,-2.1,,,,-0.22,-0.56,-12.27,0.8,,,,15.09,,30.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-31,9.41,13.24,0.12,-14.52,,,0.38,-5.59,7.68,-3.12,,5.17,-2.38,6.26,-3.78,,-1.92,,,-6.04,-21.99,,,-1.08,-11.66,-0.43,,,,1.55,-3.33,-8.97,2.59,,,,15.93,,27.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-02-28,11.93,13.03,0.64,-11.75,,,2.43,-1.56,5.1,-3.63,,-2.94,-4.76,2.66,-7.39,,2.95,,,-5.84,-22.06,,,-1.37,-9.98,-0.32,,,,2.9,-0.51,-7.52,0.38,,,,14.94,,24.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-31,10.88,12.28,-2.67,-13.11,,,0.9,-5.45,6.78,-0.87,,2.32,-0.4,4.92,-7.19,,0.02,,,-5.13,-23.3,,,-2.07,-7.85,2.99,,,,3.97,0.58,-8.43,1.02,,,,10.83,,27.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-30,14.02,3.71,6.42,-10.02,,,-0.13,-2.2,4.1,1.68,,2.74,-0.73,0.43,-5.32,,-1.25,,,-6.98,-21.14,,,-2.39,-5.46,-1.29,,,,0.37,-0.26,-6.41,1.58,,,,13.22,,33.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-31,11.42,5.18,3.96,-7.11,,,0.62,3.21,3.91,0.43,,-2.6,4.14,-0.68,-7.31,,6.81,,,-7.4,-14.05,,,-2.07,-4.59,-1.41,,,,-0.36,-1.5,-5.48,0.55,,,,14.04,,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-30,6.76,6.91,2.29,-2.77,,,-0.18,4.59,2.1,-0.59,,10.3,-8.03,1.57,-3.55,,8.47,,,-6.27,-14.76,,,-2.29,-5.07,-1.87,,,,1.16,-1.29,-9.61,-5.59,,,,16.19,,16.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-07-31,6.56,5.89,-0.62,2.49,,,-3.43,2.22,0.84,-0.96,,1.99,-4.91,-0.85,-1.5,,-1.84,,,-4.65,-9.92,,,-3.15,-5.36,-0.79,,,,-2.48,1.1,-11.46,1.33,,,,17.25,,18.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-31,6.9,4.72,1.33,-1.26,,,-3.44,1.66,1.64,0.72,,1.23,-1.71,-1.4,-4.63,,0.96,,,-5.13,-8.61,,,-2.89,-4.02,-1.43,,,,-0.66,-2.98,-10.86,1.66,,,,13.53,,15.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-30,5.83,4.04,1.15,1.1,,,-3.89,2.51,-3.13,-1.33,,0.49,-3.65,1.57,-10.58,,6.64,,,-9.29,0.83,,,-3.48,-2.61,-1.51,,,,-1.13,-1.59,-6.99,0.39,,,,13.19,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-10-31,4.03,4.42,-0.41,1.23,,,-4.08,0.87,-2.2,0.24,,1.83,-8.79,4.84,-8.4,,3.78,,,-7.09,-3.19,,,-2.99,-1.63,-0.98,,,,-1.33,-1.47,-7.2,1.02,,,,15.14,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-11-30,3.51,4.44,0.39,1.29,,,-4.71,1.16,-0.21,1.35,,0.4,-8.46,-3.35,-3.44,,0.07,,,-9.16,-9.8,,,-2.3,0.67,1.67,,,,-0.77,-1.44,-8.85,0.08,,,,12.68,,11.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,2.91,3.37,-0.73,5.23,,,-4.13,1.24,-2.44,-0.57,,-2.61,-7.28,-2.45,-8.1,,0.48,,,-5.09,-11.39,,,-1.86,-0.55,6.04,,,,-0.54,-0.54,-5.64,0.37,,,,14.51,,13.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-31,2.33,4.13,-2.64,-3.38,,,-3.37,-0.65,2.76,2.58,,-2.7,-11.58,-0.36,-4.96,,-1.53,,,-4.95,-10.03,,,-1.3,-2.76,-1.87,,,,-2.3,1.35,-9.69,1.84,,,,13.0,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-02-28,0.42,1.88,-1.21,-1.01,,,-3.75,-0.96,-1.85,-0.22,,-6.56,-6.86,-0.34,-8.61,,-1.92,,,-5.45,-9.46,,,-2.66,-6.13,-2.04,,,,-3.58,-1.31,-6.94,-0.35,,,,10.73,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-31,-0.94,0.4,-1.58,-5.42,,,-5.44,-0.3,-0.39,0.33,,-0.63,-1.28,3.08,-11.58,,-0.06,,,-5.44,-10.68,,,-2.84,-9.42,-3.9,,,,-2.36,-4.69,-10.65,-2.26,,,,11.37,,14.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-04-30,-0.75,8.45,-1.05,-7.72,,,-5.83,1.48,-0.33,-1.87,,-3.92,-6.78,2.33,-5.79,,-1.68,,,-4.78,-12.47,,,-4.69,-11.62,-1.96,,,,-2.02,-3.72,-7.1,2.47,,,,8.31,,17.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
