指标名称,中国:CPI:当月同比,中国:CPI:环比,中国:CPI:不包括食品和能源(核心CPI):当月同比,中国:CPI:不包括食品和能源(核心CPI):环比,万得一致预测:中国:CPI:当月同比,万得一致预测:中国:核心CPI:当月同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:环比,万得一致预测:中国:PPI:当月同比,中国:制造业PMI:生产,中国:制造业PMI:新订单,中国:制造业PMI:出厂价格,中国:制造业PMI:大型企业,中国:制造业PMI:中型企业,中国:制造业PMI:小型企业,中国:制造业PMI,中国:非制造业PMI:建筑业,中国:非制造业PMI:服务业,中国:非制造业PMI:商务活动,中国:M1:同比,中国:M2:同比,中国:社会融资规模存量:同比,中国:社会融资规模:当月值,中国:出口金额:当月同比,中国:规模以上工业增加值:当月同比,中国:社会消费品零售总额:当月同比,中国:金融机构:新增人民币贷款:居民户:中长期:当月值,中国:金融机构:新增人民币贷款:企(事)业单位:中长期:当月值,中国:金融机构:新增人民币贷款:当月值,中国:社会融资规模:新增人民币贷款:当月值,中国:城镇调查失业率,中国:31个大城市:城镇调查失业率
1986-12-31,,,,,,,,,,,,,,,,,,,,26.7,29.3,,,,,,,,,,,
1987-01-31,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-02-28,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-03-31,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-04-30,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-05-31,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-30,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-07-31,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-08-31,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-09-30,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-10-31,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-11-30,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31,8.9,,,,,,,,,,,,,,,,,,,16.9,24.0,,,,,,,,,,,
1988-01-31,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-02-29,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-03-31,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-04-30,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-05-31,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-06-30,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-07-31,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-08-31,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-09-30,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-10-31,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-11-30,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31,27.9,,,,,,,,,,,,,,,,,,,21.0,21.2,,,,,,,,,,,
1989-01-31,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-02-28,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-03-31,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-04-30,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-05-31,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-06-30,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-07-31,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-08-31,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-09-30,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-10-31,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-11-30,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-12-31,6.6,,,,,,,,,,,,,,,,,,,6.6,18.3,,,,,,,,,,,
1990-01-31,4.3,,,,,,,,,,,,,,,,,,,,,,,,-21.1,,,,,,,
1990-02-28,4.4,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
1990-03-31,3.4,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,
1990-04-30,3.2,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,
1990-05-31,2.7,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,
1990-06-30,1.1,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
1990-07-31,1.1,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,
1990-08-31,2.5,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,
1990-09-30,2.9,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,
1990-10-31,3.1,,,,,,,,,,,,,,,,,,,,,,,,10.9,,,,,,,
1990-11-30,3.7,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,,,
1990-12-31,4.3,,,,,,,,,,,,,,,,,,,19.2,28.0,,,,12.6,,,,,,,
1991-01-31,2.2,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,,,,,
1991-02-28,1.0,,,,,,,,,,,,,,,,,,,,,,,,9.2,,,,,,,
1991-03-31,1.6,,,,,,,,,,,,,,,,,,,,,,,,10.9,,,,,,,
1991-04-30,1.3,,,,,,,,,,,,,,,,,,,,,,,,10.9,,,,,,,
1991-05-31,3.6,,,,,,,,,,,,,,,,,,,,,,,,10.9,,,,,,,
1991-06-30,4.4,,,,,,,,,,,,,,,,,,,,,,,,9.2,,,,,,,
1991-07-31,4.7,,,,,,,,,,,,,,,,,,,,,,,,10.9,,,,,,,
1991-08-31,4.9,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,
1991-09-30,4.5,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,,,
1991-10-31,4.8,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,
1991-11-30,4.4,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,
1991-12-31,4.5,,,,,,,,,,,,,,,,,,,24.2,26.5,,,,5.0,,,,,,,
1992-01-31,5.5,,,,,,,,,,,,,,,,,,,,,,,,10.9,,,,,,,
1992-02-29,5.3,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,,,,
1992-03-31,5.3,,,,,,,,,,,,,,,,,,,,,,,,16.8,,,,,,,
1992-04-30,7.1,,,,,,,,,,,,,,,,,,,,,,,,15.1,,,,,,,
1992-05-31,4.7,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,,
1992-06-30,4.8,,,,,,,,,,,,,,,,,,,,,,,,16.8,,,,,,,
1992-07-31,5.2,,,,,,,,,,,,,,,,,,,,,,,,19.3,,,,,,,
1992-08-31,5.8,,,,,,,,,,,,,,,,,,,,,,,,17.6,,,,,,,
1992-09-30,7.5,,,,,,,,,,,,,,,,,,,,,,,,17.6,,,,,,,
1992-10-31,7.9,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,,,,
1992-11-30,8.2,,,,,,,,,,,,,,,,,,,,,,,,21.8,,,,,,,
1992-12-31,8.8,,,,,,,,,,,,,,,,,,,35.9,31.3,,,,26.9,,,,,,,
1993-01-31,10.3,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,
1993-02-28,10.5,,,,,,,,,,,,,,,,,,,,,,,,27.7,,,,,,,
1993-03-31,12.2,,,,,,,,,,,,,,,,,,,,,,,,21.8,,,,,,,
1993-04-30,12.6,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,
1993-05-31,14.0,,,,,,,,,,,,,,,,,,,,,,,,22.7,,,,,,,
1993-06-30,15.1,,,,,,,,,,,,,,,,,,,,,,,,25.2,,,,,,,
1993-07-31,16.2,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,
1993-08-31,16.0,,,,,,,,,,,,,,,,,,,,,,,,19.3,,,,,,,
1993-09-30,15.7,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,
1993-10-31,15.9,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,,,,
1993-11-30,16.7,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,
1993-12-31,18.8,,,,,,,,,,,,,,,,,,,38.8,37.3,,,,25.2,,,,,,,
1994-01-31,21.1,,,,,,,,,,,,,,,,,,,,,,,,27.7,,,,,,,
1994-02-28,23.2,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,
1994-03-31,22.4,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,
1994-04-30,21.7,,,,,,,,,,,,,,,,,,,,,,,,16.8,,,,,,,
1994-05-31,21.3,,,,,,,,,,,,,,,,,,,,,,,,17.6,,,,,,,
1994-06-30,22.6,,,,,,,,,,,,,,,,,,,,,,,,15.1,,,,,,,
1994-07-31,24.0,,,,,,,,,,,,,,,,,,,,,,,,15.1,,,,,,,
1994-08-31,25.8,,,,,,,,,,,,,,,,,,,,,,,,29.4,,,,,,,
1994-09-30,27.3,,,,,,,,,,,,,,,,,,,,,,,,21.8,,,,,,,
1994-10-31,27.7,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,,,
1994-11-30,27.5,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,,,,,
1994-12-31,25.5,,,,,,,,,,,,,,,,,,,26.2,34.5,,,,18.5,,,,,,,
1995-01-31,24.1,3.7,,,,,,,,,,,,,,,,,,,,,,88.3,11.4,34.3,,,,,,
1995-02-28,22.4,2.1,,,,,,,,,,,,,,,,,,,,,,55.3,15.5,28.3,,,,,,
1995-03-31,21.3,-0.1,,,,,,,,,,,,,,,,,,,,,,51.7,16.4,31.3,,,,,,
1995-04-30,20.7,0.8,,,,,,,,,,,,,,,,,,,,,,34.1,15.4,32.3,,,,,,
1995-05-31,20.3,0.1,,,,,,,,,,,,,,,,,,,,,,35.8,13.1,30.6,,,,,,
1995-06-30,18.2,-1.4,,,,,,,,,,,,,,,,,,,,,,28.7,13.9,28.0,,,,,,
1995-07-31,16.7,-0.7,,,,,,,,,,,,,,,,,,,,,,18.6,13.6,29.7,,,,,,
1995-08-31,14.5,1.7,,,,,,,,,,,,,,,,,,,,,,22.7,11.8,27.3,,,,,,
1995-09-30,13.2,2.5,,,,,,,,,,,,,,,,,,,,,,18.8,11.4,25.8,,,,,,
1995-10-31,12.1,0.0,,,,,,,,,,,,,,,,,,,,,,18.3,12.9,25.9,,,,,,
1995-11-30,11.2,0.2,,,,,,,,,,,,,,,,,,,,,,-3.8,12.1,24.5,,,,,,
1995-12-31,10.1,0.8,,,,,,,,,,,,,,,,,,16.8,29.5,,,-6.8,14.9,23.7,,,,,,
1996-01-31,9.0,2.1,,,,,,,,,,,,,,,,,,11.4,25.9,,,-0.1,16.9,19.1,,,,,,
1996-02-29,9.3,2.3,,,,,,,,,,,,,,,,,,16.6,27.2,,,-2.6,12.2,28.1,,,,,,
1996-03-31,9.8,0.6,,,,,,,,,,,,,,,,,,13.8,28.3,,,-19.2,12.2,21.3,,,,,,
1996-04-30,9.7,0.7,,,,,,,,,,,,,,,,,,13.7,28.5,,,-5.0,13.7,18.6,,,,,,
1996-05-31,8.9,-0.5,,,,,,,,,,,,,,,,,,14.5,28.4,,,-5.1,13.1,19.3,,,,,,
1996-06-30,8.6,-1.6,,,,,,,,,,,,,,,,,,15.0,28.2,,,-12.59,13.8,19.5,,,,,,
1996-07-31,8.3,-0.8,,,,,,,,,,,,,,,,,,15.2,27.0,,,1.2,12.2,16.1,,,,,,
1996-08-31,8.1,1.5,,,,,,,,,,,,,,,,,,15.1,27.5,,,12.75,10.6,16.7,,,,,,
1996-09-30,7.4,1.5,,,,,,,,,,,,,,,,,,17.3,27.8,,,7.96,13.7,18.3,,,,,,
1996-10-31,7.0,-0.2,,,,,0.34,,,,,,,,,,,,,17.1,26.4,,,23.3,13.3,18.0,,,,,,
1996-11-30,6.9,-0.1,,,,,0.04,,,,,,,,,,,,,17.1,25.1,,,11.8,13.4,17.6,,,,,,
1996-12-31,7.0,0.7,,,,,0.43,,,,,,,,,,,,,18.9,25.3,,,6.2,14.0,20.1,,,,,,
1997-01-31,5.9,1.1,,,,,0.12,,,,,,,,,,,,,22.2,24.8,,,27.6,10.3,19.8,,,,,,
1997-02-28,5.6,2.0,,,,,0.44,,,,,,,,,,,,,16.0,21.7,,,13.8,10.4,12.4,,,,,,
1997-03-31,4.0,-1.1,,,,,0.47,,,,,,,,,,,,,18.9,21.1,,,35.0,13.5,14.3,,,,,,
1997-04-30,3.2,-0.2,,,,,0.06,,,,,,,,,,,,,18.7,20.6,,,30.0,11.9,13.6,,,,,,
1997-05-31,2.8,-0.9,,,,,0.07,,,,,,,,,,,,,18.3,19.1,,,24.9,11.9,13.0,,,,,,
1997-06-30,2.8,-1.7,,,,,-0.37,,,,,,,,,,,,,20.6,19.1,,,25.3,12.1,13.0,,,,,,
1997-07-31,2.7,-1.2,,,,,-0.65,,,,,,,,,,,,,18.4,18.1,,,25.4,8.4,13.0,,,,,,
1997-08-31,1.9,0.6,,,,,-0.89,,,,,,,,,,,,,17.2,17.2,,,13.4,10.9,11.8,,,,,,
1997-09-30,1.8,1.7,,,,,-0.95,,,,,,,,,,,,,17.3,17.1,,,23.4,11.1,9.9,,,,,,
1997-10-31,1.5,-0.6,,,,,-0.92,,,,,,,,,,,,,15.8,16.4,,,17.1,11.8,11.6,,,,,,
1997-11-30,1.1,-0.3,,,,,-0.61,,,,,,,,,,,,,14.9,16.1,,,23.0,11.6,10.8,,,,,,
1997-12-31,0.4,0.1,,,,,-0.92,,,,,,,,,,,,,16.5,17.3,,,4.7,9.2,8.9,,,,,,
1998-01-31,0.3,0.7,,,,,-1.32,,,,,,,,,,,,,14.6,17.4,,,8.4,1.8,12.9,,,,,,
1998-02-28,-0.1,1.5,,,,,-2.65,,,,,,,,,,,,,12.4,16.7,,,23.5,9.5,6.0,,,,,,
1998-03-31,0.7,-0.5,,,,,-3.2,,,,,,,,,,,,,11.8,15.4,,,8.5,9.0,6.4,,,,,,
1998-04-30,-0.3,-0.8,,,,,-3.69,,,,,,,,,,,,,11.2,14.6,,,7.8,7.2,6.6,,,,,,
1998-05-31,-1.0,-1.4,,,,,-4.47,,,,,,,,,,,,,10.8,15.5,,,-1.8,8.0,6.8,,,,,,
1998-06-30,-1.3,-1.8,,,,,-4.88,,,,,,,,,,,,,8.7,14.6,,,1.6,7.9,6.8,,,,,,
1998-07-31,-1.4,-1.3,,,,,-4.96,,,,,,,,,,,,,10.5,15.5,,,3.5,7.6,8.1,,,,,,
1998-08-31,-1.4,0.8,,,,,-5.54,,,,,,,,,,,,,10.9,15.0,,,-2.9,7.9,9.3,,,,,,
1998-09-30,-1.5,1.6,,,,,-4.19,,,,,,,,,,,,,13.2,16.0,,,-6.7,10.2,7.0,,,,,,
1998-10-31,-1.1,-0.3,,,,,-5.38,,,,,,,,,,,,,13.5,16.3,,,-17.3,10.6,7.6,,,,,,
