指标名称,中国:贷款市场报价利率(LPR):1年,中期借贷便利(MLF):利率:1年,中国:中债国债到期收益率:1年,银行间质押式回购加权利率:7天,中国:中间价:美元兑人民币,美元指数
2013-01-02,,,,,,79.82000000000001
2013-01-03,,,,,,80.43
2013-01-04,,,2.9189,4.0393,6.289699999999999,80.5
2013-01-05,,,2.8768,3.6895,,
2013-01-06,,,2.8688,3.504,,
2013-01-07,,,2.8689,3.1695,6.2872,80.22
2013-01-08,,,2.8498,3.1081,6.2804,80.33999999999999
2013-01-09,,,2.8341,2.9946,6.2814,80.54
2013-01-10,,,2.8547,2.9216,6.279299999999999,79.75
2013-01-11,,,2.8648,2.7347,6.2712,79.55
2013-01-14,,,2.8361,2.7492,6.269500000000001,79.49
2013-01-15,,,2.7995,2.8124,6.269100000000001,79.73
2013-01-16,,,2.811,2.7833,6.2745,79.79
2013-01-17,,,2.8111,2.7545,6.276700000000001,79.67
2013-01-18,,,2.7811,2.8369,6.2752,80.05
2013-01-21,,,2.8002,2.9364,6.279,80.04
2013-01-22,,,2.7902,2.9803,6.2796,79.85
2013-01-23,,,2.8373,2.9777,6.2762,79.91
2013-01-24,,,2.8383,2.8355,6.278300000000001,79.97
2013-01-25,,,2.834,2.6993,6.280499999999999,79.75
2013-01-28,,,2.8495,2.9842,6.2818,79.79
2013-01-29,,,2.8226,3.1064,6.285100000000001,79.53
2013-01-30,,,2.8091,3.2243,6.2806,79.26
2013-01-31,,,2.8047,3.2525,6.2795000000000005,79.24
2013-02-01,,,2.8064,3.3321,6.2819,79.21
2013-02-04,,,2.7824,3.4695,6.286,79.57
2013-02-05,,,2.7709,3.3768,6.285,79.52
2013-02-06,,,2.7869,3.7255,6.288099999999999,79.76
2013-02-07,,,2.7883,4.094,6.2898,80.22
2013-02-08,,,2.7658,3.529,6.279299999999999,80.23
2013-02-11,,,,,,80.36
2013-02-12,,,,,,80.04
2013-02-13,,,,,,80.07000000000001
2013-02-14,,,,,,80.36999999999999
2013-02-15,,,,,,80.46000000000001
2013-02-16,,,2.7161,2.7386,,
2013-02-17,,,2.7117,2.916,,
2013-02-18,,,2.722,2.9139,6.2816,80.64999999999999
2013-02-19,,,2.7091,2.9148,6.282099999999999,80.47
2013-02-20,,,2.6929,2.9488,6.2804,81.04
2013-02-21,,,2.7059,2.9989,6.2846,81.36999999999999
2013-02-22,,,2.7107,3.0995,6.287100000000001,81.46
2013-02-25,,,2.7199,3.2916,6.2892,81.8
2013-02-26,,,2.7862,3.8247,6.2856,81.84
2013-02-27,,,2.7528,4.2684,6.2842,81.53999999999999
2013-02-28,,,2.7612,4.3009,6.277900000000001,81.96
2013-03-01,,,2.7727,4.4329,6.2798,82.27
2013-03-04,,,2.7727,4.2868,6.2822,82.17999999999999
2013-03-05,,,2.7656,3.1859,6.279699999999999,82.03
2013-03-06,,,2.7639,2.9859,6.2745,82.57
2013-03-07,,,2.7645,2.5326,6.278499999999999,82.08
2013-03-08,,,2.7675,2.4862,6.2719000000000005,82.74
2013-03-11,,,2.7719,2.9894,6.2769,82.57
2013-03-12,,,2.7669,3.041,6.2746,82.6
2013-03-13,,,2.7659,3.0203,6.2726,82.89999999999999
2013-03-14,,,2.7687,3.0939,6.2752,82.58
2013-03-15,,,2.7503,3.3629,6.2723,82.14
2013-03-18,,,2.7594,3.0319,6.2741,82.62
2013-03-19,,,2.7514,2.9633,6.2758,83.03
2013-03-20,,,2.7441,3.2896,6.2716,82.83
2013-03-21,,,2.7341,3.0616,6.2731,82.85
2013-03-22,,,2.7341,2.9376,6.271100000000001,82.36999999999999
2013-03-25,,,2.7221,2.9187,6.2692,82.92999999999999
2013-03-26,,,2.7121,3.0405,6.2715000000000005,82.89
2013-03-27,,,2.6879,2.8637,6.2727,83.21
2013-03-28,,,2.6855,3.1856,6.2742,83.0
2013-03-29,,,2.679,3.4419,6.2689,82.99000000000001
2013-04-01,,,2.6799,3.4117,6.2674,82.73
2013-04-02,,,2.6716,3.4195,6.2586,82.89
2013-04-03,,,2.6741,3.2388,6.2609,82.76
2013-04-04,,,,,,82.72
2013-04-05,,,,,,82.56
2013-04-07,,,2.6702,3.3188,,
2013-04-08,,,2.6432,3.2838,6.265,82.71000000000001
2013-04-09,,,2.6421,3.2704,6.2639000000000005,82.39
2013-04-10,,,2.6504,3.21,6.2548,82.49
2013-04-11,,,2.6575,3.0262,6.2578,82.25
2013-04-12,,,2.679,2.9473,6.2506,82.1
2013-04-15,,,2.6636,2.9725,6.2454,82.30000000000001
2013-04-16,,,2.6719,3.0264,6.2408,81.83
2013-04-17,,,2.7085,2.9981,6.2342,82.64999999999999
2013-04-18,,,2.7585,2.9036,6.2416,82.56
2013-04-19,,,2.8663,3.1076,6.2395000000000005,82.75
2013-04-22,,,2.8898,3.1583,6.2415,82.64999999999999
2013-04-23,,,2.8495,3.6412,6.236,83.0
2013-04-24,,,2.8243,4.7353,6.2384,82.95
2013-04-25,,,2.8311,4.9876,6.23,82.78
2013-04-26,,,2.8162,3.5547,6.2208,82.49
2013-04-27,,,2.7905,3.4926,,
2013-04-28,,,2.7842,2.985,,
2013-04-29,,,,,,82.14
2013-04-30,,,,,,81.72
2013-05-01,,,,,,81.61999999999999
2013-05-02,,,2.7768,2.9485,6.2082,82.23
2013-05-03,,,2.7759,3.225,6.2152,82.08
2013-05-06,,,2.8008,3.1982,6.2114,82.33
2013-05-07,,,2.8052,3.1784,6.2083,82.28
2013-05-08,,,2.8329,2.9861,6.198,81.9
2013-05-09,,,2.833,3.1096,6.192499999999999,82.68
2013-05-10,,,2.8305,2.971,6.2016,83.10000000000001
2013-05-13,,,2.8416,2.9022,6.2072,83.2
2013-05-14,,,2.8412,2.7954,6.203500000000001,83.61999999999999
2013-05-15,,,2.8298,2.7774,6.207,83.79
2013-05-16,,,2.8459,3.2116,6.2096,83.74000000000001
2013-05-17,,,2.8622,3.7006,6.199699999999999,84.21
2013-05-20,,,2.8653,4.3802,6.1998,83.82000000000001
2013-05-21,,,2.8812,4.4423,6.1911000000000005,83.84
2013-05-22,,,2.8714,4.0287,6.1904,84.28999999999999
2013-05-23,,,2.8649,4.2206,6.194700000000001,83.75
2013-05-24,,,2.8673,4.159,6.186700000000001,83.64999999999999
2013-05-27,,,2.8655,4.0926,6.181100000000001,83.64
2013-05-28,,,2.8609,3.5423,6.1818,84.25999999999999
2013-05-29,,,2.861,3.7087,6.1856,83.61999999999999
2013-05-30,,,2.8609,4.1836,6.182,83.0
2013-05-31,,,2.8682,4.8103,6.1796,83.27
2013-06-03,,,2.8714,4.6601,6.1806,82.67
2013-06-04,,,2.8812,4.7421,6.173500000000001,82.75
2013-06-05,,,2.9112,4.7987,6.175699999999999,82.56
2013-06-06,,,2.9362,5.3205,6.173699999999999,81.61999999999999
2013-06-07,,,3.0309,6.850899999999999,6.162,81.69
2013-06-08,,,3.1007,7.8439,,
2013-06-09,,,3.0844,5.969900000000001,,
2013-06-10,,,,,,81.69999999999999
2013-06-11,,,,,,81.07000000000001
2013-06-12,,,,,,80.92999999999999
