指标名称,中国:36大中城市日用工业消费品平均价格:空调机(1.5匹冷暖),中国:36大中城市日用工业消费品平均价格:冰箱(210-250立升),中国:36大中城市日用工业消费品平均价格:洗衣机(波轮式,中国:36大中城市日用工业消费品平均价格:彩电(液晶42寸),中国:36大中城市日用工业消费品平均价格:洗衣机(滚筒式,中国:36大中城市日用工业消费品平均价格:燃气灶具(嵌入式燃气灶)
2013/1/31,3563,3115,1417,4190,2671,1722
2013/2/28,3579,3108,1418,4215,2684,1736
2013/3/31,3583,3128,1426,4252,2728,1743
2013/6/30,3562,3213,1481,4171,2758,1730
2013/8/31,3545,3181,1503,4131,2716,1714
2013/10/31,3560,3192,1514,4125,2753,1721
2013/11/30,3555,3188,1513,4113,2736,1748
2013/12/31,3545,3182,1524,4053,2730,1751
2014/1/31,3497,3172,1498,4082,2755,1767
2014/2/28,3505,3179,1499,4108,2776,1772
2014/3/31,3583,3128,1426,4252,2728,1743
2014/4/30,3479,3162,1489,4080,2787,1796
2014/5/31,3469,3156,1496,4050,2755,1787
2014/6/30,3470,3165,1489,3979,2758,1798
2014/7/31,3426,3141,1481,3918,2741,1793
2014/8/31,3429,3134,1473,3933,2746,1789
2014/9/30,3427,3127,1469,3907,2781,1804
2014/10/31,3433,3114,1465,3876,2772,1828
2014/11/30,3450,3108,1457,3863,2785,1834
2014/12/31,3424,3109,1450,3828,2765,1832
2015/1/31,3374,3112,1436,3818,2759,1828
2015/2/28,3369,3133,1435,3832,2780,1822
2015/3/31,3440,3137,1436,3803,2798,1832
2015/4/30,3447,3110,1413,3764,2787,1837
2015/6/30,3477,3100,1423,3734,2789,1856
2015/7/31,3481,3079,1413,3722,2789,1879
2015/8/31,3481,3067,1398,3696,2776,1883
2015/9/30,3476,3056,1392,3694,2771,1877
2015/10/31,3445,3048,1391,3655,2770,1873
2015/11/30,3445,3049,1390,3631,2757,1882
2015/12/31,3430,3034,1382,3610,2753,1875
2016/1/31,3415,2969,1388,3549,2759,1879
2016/2/29,3415,2997,1390,3534,2760,1886
2016/3/31,3425,3011,1381,3526,2762,1896
2016/4/30,3419,3019,1379,3506,2764,1900
2016/5/31,3407,3018,1372,3494,2757,1903
2016/6/30,3409,3013,1367,3481,2752,1900
2016/7/31,3400,3001,1362,3467,2740,1911
2016/8/31,3414,2978,1363,3459,2727,1920
2016/9/30,3419,2980,1353,3458,2726,1923
2016/10/31,3420,2996,1350,3442,2737,1907
2016/11/30,3410,2973,1362,3429,2753,1901
2016/12/31,3409,2919,1395,3401,2800,1903
2017/1/31,3461,3013,1493,3464,2871,2040
2017/2/28,3510,3046,1508,3491,2860,2026
2017/3/31,3490,3020,1533,3395,2915,1948
2017/4/30,3488,3016,1532,3426,2920,1888
2017/5/31,3502,2986,1526,3429,2902,1891
2017/6/30,3511,2985,1527,3439,2907,1895
2017/7/31,3497,2959,1501,3443,2894,1898
2017/8/31,3469,2951,1493,3422,2872,1900
2017/9/30,3472,2945,1481,3402,2884,1887
2017/10/31,3470,2919,1484,3397,2884,1879
2017/11/30,3462,2913,1481,3396,2889,1885
2017/12/31,3472,2905,1478,3399,2893,1872
2018/1/31,3503,2925,1489,3422,2879,1891
2018/2/28,3523,2925,1492,3428,2881,1887
2018/3/31,3526,2935,1490,3389,2883,1890
2018/4/30,3540,2964,1501,3373,2844,1927
2018/5/31,3454,2965,1512,3393,2864,1942
2018/6/30,3455,2983,1512,3334,2860,1924
2018/7/31,3486,2990,1516,3342,2840,1940
2018/8/31,3473,3023,1515,3359,2815,1943
2018/9/30,3463,3013,1518,3317,2840,1923
2018/10/31,3432,2983,1517,3296,2808,1919
2018/11/30,3427,2979,1513,3277,2800,1918
2018/12/31,3418,2972,1518,3327,2802,1900
2019/1/31,3415,2963,1551,3290,2749,1892
2019/2/28,3404.97,2993.61,1564.26,3285.96,2742.89,1913.92
2019/3/31,3396.46,2989.72,1571.31,3319.74,2744.41,1922.66
2019/4/30,3403.39,2974.62,1571.28,3310.19,2721.77,1946.66
2019/5/31,3378.36,2976.31,1529.68,3267.68,2746.86,1936.49
2019/6/30,3380.12,2983.7,1516.82,3211.78,2714.32,1935.5
2019/7/31,3355.1,2965.21,1511.01,3231.89,2680.51,1949.6
2019/8/31,3370.09,2970.78,1510.05,3221.77,2687.32,1946.51
2019/9/30,3346.37,2961.87,1504.55,3172.61,2702.46,1930.94
2019/10/31,3283.53,2932.89,1516.92,3134.61,2738.51,1906.56
2019/11/30,3302.94,2932.75,1536.1,3173.81,2769.71,1900.98
2019/12/31,3293.14,2949.62,1547.55,3200.78,2778.26,1908.85
2020/1/31,3323.36,3002.47,1630.67,3112.51,2833.67,1944.55
2020/2/29,3304.39,2984.04,1654.12,3112.05,2870.97,1961.78
2020/3/31,3276.97,2994.42,1633.24,3058.43,2828.39,1945.04
2020/4/30,3244.56,2987.06,1637.26,3002.85,2822.15,1942.33
2020/5/31,3260.8,2963.25,1650.05,3003.64,2808.23,1932.08
2020/6/30,3237.63,2916.78,1642.28,2994.07,2812.42,1937.6
2020/7/31,3218.7,2940.9,1626.08,2973.43,2805.99,1950.9
2020/8/31,3222.11,2960.47,1612.76,2942.85,2834.19,1925.77
2020/9/30,3216.14,2954.74,1593.57,2931.69,2867,1917.5
2020/10/31,3223.86,2942.74,1587.39,2950.93,2852.97,1921.57
2020/11/30,3245.24,2963.54,1624.69,2938.91,2889.72,1924.08
2020/12/31,3217.34,2955.85,1642.4,2928.62,2887.17,1926.02
2021/1/31,3256.23,3010.71,1691.48,2970.68,2993.11,1952.25
2021/2/28,3257.49,3001.71,1673.79,2950.5,2986.6,1973.1
2021/3/31,3244.74,3018.48,1654.65,2935.98,2990.24,1971.22
2021/4/30,3253.51,3088.51,1682.32,2977.53,3055.09,1988.46
2021/5/31,3236,3162.59,1716.73,3003.48,3114.56,1966.52
2021/6/30,3232.14,3172.67,1720.45,3008.42,3107.71,1935.72
2021/7/31,3236.1,2981.92,1694.49,3065.98,3049.59,1953.36
2021/8/31,3230.35,3148.68,1705.04,3081.15,3158.71,1929.33
2021/9/30,3189.01,3149.72,1706.14,3092.77,3135.14,1936.12
2021/10/31,3185.28,3136.3,1699.64,3120.9,3097.32,1942.09
2021/11/30,3184.6,3136.14,1697.35,3124.15,3060.01,1932.33
2021/12/31,3185.33,3132.72,1707.6,3070.67,3065.64,1926.11
2022/1/31,3185.07,3124.98,1703.34,3068.63,3082.98,1925.06
2022/2/28,3188.82,3114.74,1682.07,3063.63,3098.56,1922.24
2022/3/31,3199.95,3113.76,1708.81,3057.85,3125.28,1929.31
2022/4/30,3202.57,3126.71,1733.1,3062.23,3168.14,1930.56
2022/5/31,3196.34,3105.6,1741.04,3039.86,3152.1,1933.25
2022/6/30,3191.34,3091.17,1744,3008.03,3145.63,1905.21
2022/7/31,3140.23,3082.92,1866.65,3022.15,3199.42,1894.94
2022/8/31,3129.69,3115.49,1849.77,2994.99,3166.87,1897.49
2022/9/30,3129.85,3116.81,1849.75,2992.97,3202.22,1901.7
2022/10/31,3130.39,3134.67,1846.17,2990.34,3209.47,1910.33
2022/11/30,3112.23,3116.26,1870.55,2991.37,3219.22,1903.45
2022/12/31,3103.1,3103.97,1867.41,2980.88,3181.96,1898.78
2023/1/31,3091.96,3128.79,1867.09,2963.97,3182.63,1920.15
2023/2/28,3082.91,3140.37,1878.2,2997.31,3163.91,1927.88
2023/3/31,3092.87,3152.77,1833.15,3051.08,3178.61,1912.85
2023/4/30,3089.06,3164.47,1885.06,3031.07,3193.77,1897.12
2023/5/31,3126.82,3213.43,1869.91,3020.82,3191.79,1892.69
2023/6/30,3121.46,3198.68,1876.2,2962.49,3194.46,1874.6
2023/7/31,3128.1,3197.74,1883.93,3006.61,3196.86,1866.75
2023/8/31,3126.95,3125.15,1901.73,3008.75,3196.58,1866.19
2023/9/30,3123.13,3109.61,1910.05,2971.36,3203.48,1858.27
2023/10/31,3115.11,3093.57,1898.83,2959.28,3210.5,1859.58
2023/11/30,3123.64,3101.7,1934.8,3018.8,3229.05,1864.55
2023/12/31,3143.78,3093.19,1940.37,3016.88,3243.71,1850.13
2024/1/31,3146.07,3050.69,1932.09,3068.1,3235.22,1858.19
2024/2/29,3160.89,3049.1,1947.57,3146.3,3176.04,1820.31
2024/3/31,3151.02,3039.91,1946.87,3081.87,3161.46,1816.84
