指标名称,中国:限额以上企业商品零售额:家用电器和音像器材类:当月同比,中国:产量:空调:当月值,中国:产量:空调:当月同比,中国:产量:家用电冰箱:当月值,中国:产量:家用电冰箱:当月同比,中国:产量:家用洗衣机:当月值,中国:产量:家用洗衣机:当月同比,中国:产量:彩电:当月值,中国:产量:彩电:当月同比
1989/2/28,,,,55.14,,74.92,,77.36,
1989/3/31,,,,80.44,,98.55,,98.12,
1989/4/30,,,,78.29,,98.36,,93.89,
1989/5/31,,,,71.86,,87.78,,90.74,
1989/6/30,,,,64.81,,90.13,,89.23,
1989/7/31,,,,62.15,,65.57,,79.01,
1989/8/31,,,,56.5,,56.43,,69.62,
1989/9/30,,,,38.36,,41.48,,55.35,
1989/10/31,,,,28.72,,36.34,,63.63,
1989/11/30,,,,31.63,,39.62,,63.5,
1989/12/31,,,,26.9,,48.31,,237.59,
1990/1/31,,7.05,,25.87,,46.49,,55.66,
1990/2/28,,0.59,,32.31,,47.62,,58.12,
1990/3/31,,1.52,,43.67,,60.15,,70.78,
1990/4/30,,1.87,,51.15,,64.94,,69.76,
1990/5/31,,2.48,,47.64,,62.78,,71.74,
1990/6/30,,3.05,,45.02,,57.51,,78.03,
1990/7/31,,3.04,,41.33,,45.14,,76.72,
1990/8/31,,2.46,,44.77,,48.55,,89.2,
1990/9/30,,1.66,,41.34,,52.11,,93.51,
1990/10/31,,0.87,,37.03,,53.51,,102.46,
1990/11/30,,0.97,,34.03,,57.37,,119.07,
1990/12/31,,1.52,,29.65,,53.85,,138.8,
1991/1/31,,1.96,,27.85,,67.96,,105.02,
1991/2/28,,2.13,,28.39,,56.25,,83.1,
1991/3/31,,3.13,,38.57,,67.71,,100.55,
1991/4/30,,4.5,,47.9,,64,,93.66,
1991/5/31,,6,,48.35,,61.24,,99.51,
1991/6/30,,7.18,,51.55,,55.33,,96.21,
1991/7/31,,7.8,,44.82,,47.54,,80.92,
1991/8/31,,8.04,,48.01,,47.77,,89.16,
1991/9/30,,4.75,,43.32,,52.21,,102.64,
1991/10/31,,3.82,,38.42,,49.98,,104.02,
1991/11/30,,3.48,,32.23,,52.68,,112.79,
1991/12/31,,1.55,,29.83,,56.17,,169.06,
1992/1/31,,8.39,,36.33,,69.28,,120.45,
1992/2/29,,7.5,,32.48,,58.61,,88.39,
1992/3/31,,9.89,,44.76,,69.12,,95.24,
1992/4/30,,14.57,,49.1,,70.58,,111.52,
1992/5/31,,16.71,,51.54,,64.14,,101.37,
1992/6/30,,20.17,,52.84,,59.59,,104.81,
1992/7/31,,20.73,,44.53,,50.48,,91.04,
1992/8/31,,15.06,,44.66,,45.5,,104.43,
1992/9/30,,9.17,,39.45,,51.27,,120.44,
1992/10/31,,8.2,,34.1,,59.67,,125.74,
1992/11/30,,8.43,,34.46,,59.32,,121.34,
1992/12/31,,10.78,,20.68,,56.62,,102.19,
1993/1/31,,14.12,,28.48,,55.39,,63.92,
1993/2/28,,17.77,,36.22,,66.03,,85.15,
1993/3/31,,25.99,,48.55,,72.66,,118.99,
1993/4/30,,35.06,,59.81,,74.91,,119.09,
1993/5/31,,40.58,,67.3,,74.36,,112.75,
1993/6/30,,42.51,,71.64,,79.91,,113.03,
1993/7/31,,39.56,,72.18,,78.1,,100.24,
1993/8/31,,25.42,,68.84,,73.04,,108.3,
1993/9/30,,14.86,,53.82,,71.11,,111.36,
1993/10/31,,10.19,,41,,67.01,,118.37,
1993/11/30,,11.88,,46.1,,77.42,,137.4,
1993/12/31,,17.92,,34.75,,85.14,,194.07,
1994/1/31,,22.65,,60.76,,90.35,,149.24,
1994/2/28,,33.09,,48.13,,77.5,,96.87,
1994/3/31,,50.84,,71.26,,97.93,,134.92,
1994/4/30,,38.58,,71.09,,98.2,,133.58,
1994/5/31,,55.65,,76.02,,97.21,,124.53,
1994/6/30,,48.27,,76.03,,98.03,,120.16,
1994/7/31,,48.46,,70.69,,84.54,,99.02,
1994/8/31,,22.47,,70.97,,85.19,,122.12,
1994/9/30,,12.64,,67.13,,91.53,,141.32,
1994/10/31,,11.06,,60.67,,93.67,,148.06,
1994/11/30,,16.81,,50.95,,93.67,,164.59,
1994/12/31,,20.73,,38.38,,86.9,,202.23,
1995/1/31,,25.51,,55.02,,91.46,,138.09,
1995/2/28,,41.86,,62.36,,79.17,,117.55,
1995/3/31,,52.97,,79.24,,96.19,,161.99,
1995/4/30,,68.24,,95.55,,94.9,,155.12,
1995/5/31,,67.84,,89.85,,77.21,,152.48,
1995/6/30,,70.34,,97.13,,78.16,,152.71,
1995/7/31,,69.86,,90.52,,57.97,,131.14,
1995/8/31,,27.3,,91.23,,62.98,,150.54,
1995/9/30,,13.58,,80.96,,69.53,,185.07,
1995/10/31,,14.81,,59.95,,81.61,,192.33,
1995/11/30,,30,,60.11,,75.35,,190.46,
1995/12/31,,37.51,,58.19,,81.91,,205.99,
1996/1/31,,52.66,,59.98,,92.4,,193.56,
1996/2/29,,37.91,,57.3,,89.36,,128.49,
1996/3/31,,65.04,,86.14,,102.92,,164.96,
1996/4/30,,71.87,,95.89,,94.62,,182.16,
1996/5/31,,83.66,,87.55,,90.86,,164.01,
1996/6/30,,90.01,,97.69,,81.8,,142.35,
1996/7/31,,62.91,,90.93,,66.58,,127.84,
1996/8/31,,21.62,,86.37,,64.87,,123.61,
1996/9/30,,19.41,,80.18,,78.16,,149.33,
1996/10/31,,26.94,,64.13,,91.86,,171.41,
1996/11/30,,44.57,,68.98,,104.5,,233.07,
1996/12/31,,46.01,,55.23,,108.01,,313.19,
1997/1/31,,57.03,17.13,67.76,13.07,120.34,30.52,225.41,17.2
1997/2/28,,58.96,8.5,61.17,18.89,100.39,13.1,138.38,2.6
1997/3/31,,91.3,25.48,110.37,35.86,121.23,18.25,206.01,19.1
1997/4/30,,99.59,19.57,110.41,15.76,114.35,20.65,219.4,24.8
1997/5/31,,110.42,38.35,92.49,5.56,99.3,6.25,224.45,19.4
1997/6/30,,122.07,31.95,113.39,17.62,88.15,8.68,209.13,25.7
1997/7/31,,74.73,8.75,77.78,-15.66,72.44,8.23,136.76,-3.2
1997/8/31,,52.43,118.91,80.55,-5.84,79.67,23.44,193.05,-2.3
1997/9/30,,34.64,97.15,78.71,-1.44,101.05,29.02,203.1,-2.4
1997/10/31,,27.86,-15.81,76.81,21.21,113.69,25.82,240.49,14.6
1997/11/30,,47.62,-5.4,65.7,-5.48,105.14,-0.43,325.39,52.3
1997/12/31,,55.18,11.14,60.09,-29,138.25,28.77,331.5,16.8
1998/1/31,,43.96,-11.78,60.06,-9.69,96.14,-3.9,226.18,-0.3
1998/2/28,,74.29,17.47,82.64,-2.75,136.61,22.9,226.85,20.7
1998/3/31,,89.76,11.62,93.15,-8.09,118.91,-2.13,242.58,21.7
1998/4/30,,122.06,-1.43,93.88,-8.71,95.83,-15.16,235.53,19.4
1998/5/31,,160.03,49.62,112.81,10.97,78.79,-22.37,246.7,22.7
1998/6/30,,156.38,25.96,98.71,-13.48,68.84,-24.15,234.57,16.3
1998/7/31,,144.34,95.27,93.67,18.09,61.77,-11.21,231.76,30.5
1998/8/31,,66.33,20.32,86.87,5.49,66.74,-16.81,221.87,0.2
1998/9/30,,53.85,74.01,86.91,2.03,92.26,-8.96,287.4,32.6
1998/10/31,,59.94,68.79,82.1,16.22,106.75,-3.07,340.27,41.1
1998/11/30,,72.23,85.87,75.68,55.09,137.6,36.04,407.41,45.6
1998/12/31,,81.24,35.07,60.49,-5.3,145.96,11.33,468.41,66.2
1999/1/31,,85.65,69.9,84.27,37.12,126.1,9.3,397.17,76.6
1999/2/28,,74.75,113.27,69.08,-8.84,123.51,11.47,294,19.6
1999/3/31,,129.86,48.82,117.21,24.43,118.35,-1.48,393.37,54.1
1999/4/30,,161.33,59.66,113.21,19.56,92.61,-9.48,303.26,21.9
1999/5/31,,193.15,38.61,110.29,-1.58,77.56,-4.31,260.82,-0.8
1999/6/30,,176.43,28.63,113.34,20.2,75.83,7.31,203.83,-14.3
1999/7/31,,163.17,21.25,113.43,21.76,63.5,-6.68,231.84,-2.6
1999/8/31,,71.52,42.71,117.13,25.02,67.04,-0.01,292.6,30
1999/9/30,,52.26,-33.97,101.91,16.32,116.09,23.68,371.23,7.9
1999/10/31,,69.18,27.81,89.58,6.97,144.93,36.08,484.1,46.4
1999/11/30,,82.41,6.18,69.58,-7.77,166.66,19.1,564.78,35.7
1999/12/31,,84.47,3.2,91.32,38.01,173.37,19.21,585.37,22.7
2000/1/31,,109.11,22.8,88.21,19.78,149.23,17.09,373.9,-3.2
2000/2/29,,94.77,35.83,80.28,14.31,113.89,-9.46,282.89,-8.9
2000/3/31,,156.57,23.01,128.74,9.8,146.12,20.96,364.59,4.6
2000/4/30,,191.23,14,138.51,14.16,105.78,13.24,362.74,36.3
2000/5/31,,205.08,29.37,138.72,36.92,81.58,5.08,297.05,35.3
2000/6/30,,216.48,10.02,157.7,40.28,79.01,0.43,202.04,-2
2000/7/31,,233.82,73.6,143.52,23.1,64.28,1.56,231.08,4.8
2000/8/31,,134.14,50.4,122.35,5.35,84.1,21.69,309.64,9.1
2000/9/30,,83.08,59.66,94.65,-5.3,130.72,8.59,363.33,3.7
2000/10/31,,103.57,41.61,68.65,-17.16,150.45,3.74,423.94,-9.5
2000/11/30,,110.91,38.1,54.86,-22.63,153.78,-8.4,438.03,-11.1
2000/12/31,,142.12,71.1,56.19,-53.36,176.98,-2.84,551.43,-1
