指标名称,二手房成交总面积
2008/4/28,16266.15
2008/4/29,23698.37
2008/5/1,1175.19
2008/5/4,13526.49
2008/5/5,18123.47
2008/5/6,20482.82
2008/5/7,15658.01
2008/5/8,19803.37
2008/5/9,2794
2008/5/10,4200.15
2008/5/11,4629
2008/5/12,21423.59
2008/5/13,18088.28
2008/5/14,110034.4
2008/5/15,21900.91
2008/5/16,27153.4
2008/5/17,3875
2008/5/18,3758
2008/5/19,20477.18
2008/5/20,30670.46
2008/5/21,23364.67
2008/5/22,25917.92
2008/5/23,27184.12
2008/5/24,3805
2008/5/25,4955
2008/5/26,5118
2008/5/27,24222.14
2008/5/28,25946.94
2008/5/29,23064.86
2008/5/30,51801.95
2008/5/31,5472.17
2008/6/1,3454
2008/6/2,23271.73
2008/6/3,39138.31
2008/6/4,23415.35
2008/6/5,14920.26
2008/6/6,3312
2008/6/7,2588.83
2008/6/8,1274
2008/6/9,3050
2008/6/10,24542.81
2008/6/11,32965.49
2008/6/12,24465.65
2008/6/13,21326.3
2008/6/14,2273
2008/6/15,3618
2008/6/16,26734.64
2008/6/17,22546.68
2008/6/18,30232.72
2008/6/19,22895.91
2008/6/20,26543.41
2008/6/21,1524.72
2008/6/23,19579.01
2008/6/24,24111
2008/6/25,15694.03
2008/6/26,25321
2008/6/27,20523.56
2008/6/28,2051.49
2008/6/29,1970
2008/6/30,19474.04
2008/7/1,18200.49
2008/7/2,12714.14
2008/7/3,48720.28
2008/7/4,28281.66
2008/7/5,1722
2008/7/6,2275
2008/7/7,28244.67
2008/7/8,17720.61
2008/7/9,21544.37
2008/7/10,20177.36
2008/7/11,22319.66
2008/7/12,812.57
2008/7/13,2193
2008/7/14,15683.2
2008/7/15,24412.96
2008/7/16,26188.96
2008/7/17,26107.24
2008/7/18,18725.54
2008/7/19,905
2008/7/20,2021
2008/7/21,25655.85
2008/7/22,18135.63
2008/7/23,43061.66
2008/7/24,55259.13
2008/7/25,20391.63
2008/7/26,1455
2008/7/27,2345
2008/7/28,23576.51
2008/7/29,17685.4
2008/7/30,16640.71
2008/7/31,16854.04
2008/8/1,16265.82
2008/8/2,1100
2008/8/3,1830
2008/8/4,17722.67
2008/8/5,21070.57
2008/8/6,28133.22
2008/8/7,15105.92
2008/8/8,45678.85
2008/8/9,1524.72
2008/8/10,1970
2008/8/11,31375.3
2008/8/12,21100.04
2008/8/13,19569.79
2008/8/14,17529.14
2008/8/15,25776.06
2008/8/16,1438
2008/8/17,1520
2008/8/18,25189.29
2008/8/19,15670.64
2008/8/20,16325.55
2008/8/21,6781.91
2008/8/22,14227.41
2008/8/23,1052
2008/8/24,1536
2008/8/25,16883.62
2008/8/26,16139.86
2008/8/27,20962.27
2008/8/28,21412.36
2008/8/29,20066.54
2008/8/30,1825.99
2008/8/31,1511
2008/9/1,20159.74
2008/9/2,27799.09
2008/9/3,14078.57
2008/9/4,12472.61
2008/9/5,21753.04
2008/9/6,1045.56
2008/9/7,1329
2008/9/8,13905.85
2008/9/9,17406.7
2008/9/10,13131.15
2008/9/11,16113.27
2008/9/12,21706.16
2008/9/13,563
2008/9/14,805
2008/9/15,875
2008/9/16,14401.45
2008/9/17,17487.06
2008/9/18,30114.58
2008/9/19,32354.07
2008/9/20,593
2008/9/21,1391
2008/9/22,21026.95
2008/9/23,31065.99
2008/9/24,17289.52
2008/9/25,15083.92
2008/9/26,20243.05
2008/9/27,14468.3
2008/9/28,22226.22
2008/9/29,733
2008/9/30,310
2008/10/1,119
2008/10/2,262
2008/10/3,84
2008/10/4,565
2008/10/5,944
2008/10/6,11802.37
2008/10/7,18455.24
2008/10/8,15496.18
2008/10/9,14394.78
2008/10/10,17688.19
2008/10/11,1363
2008/10/12,1039
2008/10/13,12682.76
2008/10/14,21263.85
2008/10/15,15637.51
2008/10/16,23654.1
2008/10/17,26823.06
2008/10/18,1479.6
2008/10/19,3023
2008/10/20,36961.56
2008/10/21,16673.63
2008/10/22,16572.61
2008/10/23,21474.63
2008/10/24,14113.75
2008/10/25,2304
2008/10/26,2158
2008/10/27,13492.41
2008/10/28,19084.3
2008/10/29,12326.36
2008/10/30,10400
2008/10/31,20330.6
2008/11/1,2089
2008/11/2,2646
2008/11/3,31638.29
2008/11/4,26133.55
2008/11/5,19203.74
2008/11/6,16452.15
2008/11/7,39876.28
2008/11/8,2132.87
2008/11/9,2646
2008/11/10,18104.37
2008/11/11,16703.73
2008/11/12,15495.48
2008/11/13,20647.94
2008/11/14,27573.34
2008/11/15,2170
2008/11/16,2407
2008/11/17,20667.52
2008/11/18,18642.23
2008/11/19,33792.3
2008/11/20,27151.76
2008/11/21,25443.04
2008/11/22,1967
2008/11/23,3530
2008/11/24,38010.92
2008/11/25,24904.93
2008/11/26,23049.81
2008/11/27,29164.12
2008/11/28,28611.93
2008/11/29,2440
2008/12/1,73223.32
2008/12/2,49114.82
2008/12/3,24865.02
2008/12/4,22607.43
2008/12/5,24480.63
2008/12/6,2340
2008/12/7,3017
2008/12/8,32485.03
2008/12/9,25982.44
2008/12/10,22668.31
2008/12/11,26479.58
2008/12/12,26184.88
2008/12/13,3060
2008/12/14,3503
2008/12/15,24822.05
2008/12/16,26675.13
2008/12/17,22101.92
2008/12/18,22329.56
2008/12/19,22819.83
2008/12/20,2279
2008/12/21,3891
2008/12/22,18745.49
2008/12/23,37763.73
2008/12/24,21923.72
2008/12/25,16565.04
2008/12/26,21621.07
2008/12/27,1972
2008/12/28,4650
2008/12/29,20093.87
2008/12/30,26210.63
2008/12/31,19077.39
2009/1/1,1317
2009/1/2,2332
2009/1/3,2255
2009/1/4,19789.22
2009/1/5,25463.4
2009/1/6,34367.39
2009/1/7,43328.65
2009/1/8,38973.29
2009/1/9,42789.3
2009/1/10,4287
2009/1/11,3648
2009/1/12,31293.78
2009/1/13,31277.28
2009/1/14,25736.7
2009/1/15,29324.11
2009/1/16,44368.38
2009/1/17,3115
2009/1/18,2747
2009/1/19,30768.46
2009/1/20,28155.21
2009/1/21,29768.68
2009/1/22,24343.74
2009/1/23,14019.68
2009/1/24,3948.01
2009/1/31,116
2009/2/1,2359.64
2009/2/2,13275
2009/2/3,13418.49
2009/2/4,16474.09
2009/2/5,16203.35
2009/2/6,26301.94
2009/2/7,2216
2009/2/8,3772
2009/2/9,24044.79
2009/2/10,26232.88
2009/2/11,26898.04
2009/2/12,29073.09
2009/2/13,29882.68
2009/2/14,4819
2009/2/15,7015
2009/2/16,30057.87
2009/2/17,36446.97
2009/2/18,33413.24
2009/2/19,37072.85
2009/2/20,39057.35
2009/2/21,6135
2009/2/22,8512
2009/2/23,32974.78
2009/2/24,34444.24
2009/2/25,44305.61
2009/2/26,39933.01
2009/2/27,48684.6
2009/2/28,7970
2009/3/1,6822
2009/3/2,36770.29
2009/3/3,39089.18
2009/3/4,40200.05
2009/3/5,60859.75
2009/3/6,47670.56
2009/3/7,7173
2009/3/8,9490
2009/3/9,44065.27
2009/3/10,43529.12
2009/3/11,68052.99
2009/3/12,53171.34
2009/3/13,65276.19
2009/3/14,6893
2009/3/15,10436
2009/3/16,55330.72
2009/3/17,49903.14
2009/3/18,64837.72
2009/3/19,63205.96
2009/3/20,62016.2
2009/3/21,7820
2009/3/22,11735
2009/3/23,65908.92
2009/3/24,63189.61
2009/3/25,61566.83
2009/3/26,60475.68
2009/3/27,61519.43
2009/3/28,7895
2009/3/29,11575
2009/3/30,59719.2
2009/3/31,59542.39
2009/4/1,48042.17
2009/4/2,59512.79
2009/4/3,74754.91
2009/4/4,3316.03
2009/4/5,5376.74
2009/4/6,8599.67
2009/4/7,56674.92
2009/4/8,74713.48
2009/4/9,75538.12
2009/4/10,83307.69
2009/4/11,8281.46
2009/4/12,9018.27
2009/4/13,62373.32
2009/4/14,67406.1
2009/4/15,85844.28
2009/4/16,84124.49
2009/4/17,74420.13
2009/4/18,8834.07
2009/4/19,10832.11
2009/4/20,67375.16
2009/4/21,65545.27
2009/4/22,72424.51
