指标名称,中国:国房景气指数,中国:房地产开发投资完成额:累计同比,中国:商品房销售面积:累计值,中国:商品房销售额:累计值,中国:商品房销售面积:累计同比,中国:商品房销售面积:住宅:累计值,中国:房屋新开工面积:累计同比,中国:商品房销售额:累计同比,中国:房屋竣工面积:累计同比,中国:房屋施工面积:累计同比,中国:房屋销售价格指数:新建商品住宅:70个大中城市:当月同比,中国:房屋销售价格指数:二手住宅:70个大中城市:当月同比,中国:个人住房公积金贷款利率:5年以下(含5年),中国:金融机构:新增人民币贷款:居民户:中长期:当月值
2010/1/31,,,,,,,,,,,,8,3.33,3433
2010/2/28,105.47,31.1,7155.18,4115.74,38.2,6432.65,37.5,70.2,8.2,29.3,,8.5,3.33,1530
2010/3/31,105.89,35.1,15360.92,7976.8,35.8,13861.89,60.8,57.7,12,35.5,,9.5,3.33,1498
2010/4/30,105.66,36.2,23412.16,12425.24,32.8,21110.54,64.1,55.4,13.5,31.7,,10.5,3.33,2303
2010/5/31,105.07,38.2,30189.43,15760.19,22.5,27223.13,72.4,38.4,18.1,30.5,,9.2,3.33,1919
2010/6/30,105.06,38.1,39352.53,19819.85,15.4,35496.62,67.9,25.4,18.2,28.7,,7.7,3.33,1417
2010/7/31,104.72,37.2,45818.61,22885.69,9.7,41223.02,67.7,16.8,12.6,29.4,,6.7,3.33,1260
2010/8/31,104.11,36.7,52704.47,26418.24,6.7,47352.96,66.1,12.6,10.7,29.1,,6.2,3.33,1114
2010/9/30,103.52,36.4,63150.23,31916.58,8.2,56759.35,63.1,15.9,10.4,28.1,,6.2,3.33,1526
2010/10/31,103.57,36.5,72428.5543,36992.2765,9.1,65095.5895,61.9,17.3,11.4,28.3,,5.9,3.5,1189
2010/11/30,103.2,36.5,82541.2735,42277.8889,9.8,74056.5238,48.7,17.5,9.6,28.6,,5.6,3.5,1371
2010/12/31,101.79,33.2,104349.1091,52478.7238,10.1,93051.564,40.7,18.3,4.5,26.6,,5,3.75,1040
2011/1/31,,,,,,,,,,,6.8,4.6,3.75,1943
2011/2/28,102.9,35.2,8142.948,5241.6078,13.8,7281.8283,27.9,27.4,13.9,39,6.2,4.4,4,1052
2011/3/31,102.98,34.1,17642.7883,10151.9079,14.9,15849.459,23.4,27.3,15.4,35.2,5.6,3.7,4,1729
2011/4/30,103.19,34.3,24897.9173,14077.7255,6.3,22344.9509,24.4,13.3,14,33.2,4.7,3.1,4.2,1421
2011/5/31,103.2,34.6,32931.6419,18620.0954,9.1,29542.04,23.8,18.1,12.9,32.4,4.4,3.2,4.2,1263
2011/6/30,101.75,32.9,44419.3314,24589.4152,12.9,39804.5833,23.6,24.1,12.8,31.6,4.4,3.4,4.2,1180
2011/7/31,101.5,33.6,52037.1158,28852.1055,13.6,46558.8391,24.9,26.1,13.4,30.8,4.5,3.4,4.45,1221
2011/8/31,101.12,33.2,59854.1832,33264.3966,13.6,53540.2675,25.8,25.9,14.7,30.5,4.4,3.1,4.45,1010
2011/9/30,100.41,32,71288.7465,39311.5383,12.9,63603.554,23.7,23.2,17.8,29.7,3.8,2.4,4.45,881
2011/10/31,100.27,31.1,79653.1233,43826.2376,10,70970.988,21.7,18.5,18.5,28.4,3.1,1.8,4.45,976
2011/11/30,99.87,29.9,89593.8752,49046.8607,8.5,79639.1499,20.5,16,22.3,27.9,2.4,1,4.45,1136
2011/12/31,98.89,27.9,109945.5591,59119.087,4.9,97030.2649,16.2,12.1,13.3,25.3,1.6,0.1,4.45,788
2012/1/31,,,,,,,,,,,0.7,-0.9,4.45,1160
2012/2/29,97.89,27.8,7004.1538,4144.582,-14,6118.2884,5.1,-20.9,45.2,35.5,0.1,-1.4,4.45,325
2012/3/31,96.92,23.5,15239.1518,8672.0256,-13.6,13386.8276,0.3,-14.6,39.3,25,-0.5,-1.6,4.45,929
2012/4/30,95.62,18.7,21561.6639,12421.0883,-13.4,19012.0426,-4.2,-11.8,30.2,21.2,-1,-1.9,4.45,628
2012/5/31,94.9,18.5,28852.454,16932.1587,-12.4,25557.7841,-4.3,-9.1,26.3,19.6,-1.3,-2,4.45,999
2012/6/30,94.71,16.6,39964.3772,23314.0371,-10,35346.9672,-7.1,-5.2,20.7,17.2,-1.4,-2,4.2,1193
2012/7/31,94.57,15.4,48593.231,28699.4748,-6.6,43077.8802,-9.8,-0.5,19,15.3,-1.3,-1.9,4,1180
2012/8/31,94.64,15.6,57414.8215,34011.1069,-4.1,50984.8513,-6.8,2.2,20.2,15.6,-1.3,-1.8,4,1657
2012/9/30,94.39,15.4,68441.4094,40353.6679,-4,60884.5053,-8.6,2.7,16.4,14,-1.3,-1.7,4,1591
2012/10/31,94.56,15.4,78742.9388,46300.7588,-1.1,70092.061,-8.5,5.6,17.3,13.3,-1.1,-1.5,4,1151
2012/11/30,95.71,16.7,91704.9864,53525.9342,2.4,81499.5051,-7.2,9.1,14.1,13.3,-0.6,-1,4,1515
2012/12/31,95.59,16.2,111303.6464,64455.7856,1.8,98467.5134,-7.3,10,7.3,13.2,-0.1,-0.4,4,972
2013/1/31,,,,,,,,,,,0.7,0.2,4,2683
2013/2/28,97.92,22.8,10471.1444,7361.3331,49.5,9493.673,14.7,77.6,34,15.3,1.9,1,4,1383
2013/3/31,97.56,20.2,20897.9819,13991.6282,37.1,18901.0642,-2.7,61.3,8.9,17,3.3,1.8,4,1718
2013/4/30,97.35,21.1,29760.5245,19847.1857,38,26834.2008,1.9,59.8,6.6,17.2,4.5,2.5,4,2311
2013/5/31,97.26,20.6,39118.1284,25863.9777,35.6,35165.9442,1,52.8,5.3,16,5.7,3,4,2292
2013/6/30,97.29,20.3,51433.3314,33376.4064,28.7,46089.6639,3.8,43.2,6.3,15.5,6.5,3.3,4,1913
2013/7/31,97.39,20.5,61133.2821,39548.8426,25.8,54747.9766,8.4,37.8,7.9,16.2,7.1,3.6,4,1951
