指标名称,北京:二手房成交均价,天津:二手房成交均价,广州:二手房成交均价
2006-12-31,,,6242.0
2007-01-31,10328.4,,6254.0
2007-02-28,10450.3,,6271.0
2007-03-31,10993.6,,6330.0
2007-04-30,11163.1,,6376.0
2007-05-31,11583.2,,6417.0
2007-06-30,11655.3,,6617.0
2007-07-31,11904.7,,6834.0
2007-08-31,12406.16,,6986.0
2007-09-30,12044.2,,7334.0
2007-10-31,12502.7,,8569.0
2007-11-30,12937.9,7563.0,8618.0
2007-12-31,13246.5,7711.0,8388.0
2008-01-31,13408.3,7752.0,8264.0
2008-02-29,13496.76,7787.0,8258.0
2008-03-31,13693.0,7974.0,8270.0
2008-04-30,13844.0,8112.0,8260.0
2008-05-31,13964.0,8194.0,8306.0
2008-06-30,14031.0,8219.0,8299.0
2008-07-31,13952.0,8187.0,8250.0
2008-08-31,13901.5,8108.0,8243.0
2008-09-30,13869.0,8049.0,8138.0
2008-10-31,13792.0,7996.0,8041.0
2008-11-30,13682.0,7906.0,7991.0
2008-12-31,13531.0,7827.0,7960.0
2009-01-31,13181.55,7761.0,7927.0
2009-02-28,13163.59,7744.0,7913.0
2009-03-31,14579.0,7755.0,7972.0
2009-04-30,15249.0,7860.0,8863.0
2009-05-31,15760.0,8024.0,9442.0
2009-06-30,16332.0,8139.0,9932.0
2009-07-31,17225.0,8817.0,10205.0
2009-08-31,18753.0,9283.0,10527.0
2009-09-30,19016.0,9629.0,10730.0
2009-10-31,19771.0,9941.0,10910.0
2009-11-30,20578.0,10397.0,11162.0
2009-12-31,21747.0,10666.0,11522.0
2010-01-31,23445.0,10776.0,11678.0
2010-02-28,23829.0,10885.0,11594.0
2010-03-31,25595.0,11164.0,11872.0
2010-04-30,27152.0,11584.0,12333.0
2010-05-31,27344.0,11721.0,12145.0
2010-06-30,26628.0,11835.0,12028.0
2010-07-31,26494.0,12014.0,12121.0
2010-08-31,27386.0,12198.0,12314.0
2010-09-30,28196.0,12491.0,12711.0
2010-10-31,28864.0,12707.0,13009.0
2010-11-30,29078.0,12908.0,13335.0
2010-12-31,29967.0,13265.0,13731.0
2011-01-31,31518.0,13702.0,14270.0
2011-02-28,31311.0,14073.0,14657.0
2011-03-31,31380.0,14342.0,14949.0
2011-04-30,31392.0,14489.0,15094.0
2011-05-31,31093.0,14618.0,15190.0
2011-06-30,31115.0,14710.0,15334.0
2011-07-31,30901.0,14734.0,15407.0
2011-08-31,30162.0,14799.0,15631.0
2011-09-30,30169.0,14871.0,15839.0
2011-10-31,29303.0,14903.0,16010.0
2011-11-30,28833.0,14716.0,16170.0
2011-12-31,28102.0,14591.0,15927.0
2012-01-31,29098.0,14351.0,15861.0
2012-02-29,29574.0,14146.0,15710.0
2012-03-31,30248.0,14242.0,16288.0
2012-04-30,30549.0,14328.0,16477.0
2012-05-31,30866.0,13515.0,16765.0
2012-06-30,31255.0,13564.0,16985.0
2012-07-31,31996.0,13659.0,17208.0
2012-08-31,32580.0,13781.0,17332.0
2012-09-30,32864.0,13831.0,17639.0
2012-10-31,32990.0,13890.0,17987.0
2012-11-30,33854.0,14084.0,18262.0
2012-12-31,34748.0,14170.0,18449.0
2013-01-31,30807.0,14263.0,18801.0
2013-02-28,46522.05,14433.0,19176.0
2013-03-31,45877.55,14615.0,19711.0
2013-04-30,45850.27,14751.0,19979.0
2013-05-31,46526.45,14659.0,20283.0
2013-06-30,47801.46,14694.0,20810.0
2013-07-31,48932.66,14805.0,21283.0
2013-08-31,49444.08,15054.0,21700.0
2013-09-30,50062.18,15262.0,22321.0
2013-10-31,50901.04,15355.0,22730.0
2013-11-30,50730.74,15579.0,22990.0
2013-12-31,50729.9,15748.0,23020.0
2014-01-31,50255.41,15856.0,23074.0
2014-02-28,51163.96,16093.0,23259.0
2014-03-31,50348.69,,23547.0
2014-04-30,50287.47,,23615.0
2014-05-31,48969.8,,23483.0
2014-06-30,48638.03,16246.0,23132.0
2014-07-31,48226.9,16457.0,23045.0
2014-08-31,48356.6,16525.0,23753.0
2014-09-30,47778.73,16200.0,23202.0
2014-10-31,47940.9,16170.0,22751.0
2014-11-30,48653.93,16199.0,22475.0
2014-12-31,48259.35,16286.0,22606.0
2015-01-31,50658.65,16298.0,22762.0
2015-02-28,51832.0,16298.0,22406.0
2015-03-31,51837.0,16277.0,22102.0
2015-04-30,51357.0,16689.0,22451.0
2015-05-31,52256.0,16671.0,22685.0
2015-06-30,52872.0,16775.0,22694.0
2015-07-31,54322.0,16969.0,22812.0
2015-08-31,54478.0,17125.0,23248.0
2015-09-30,56809.0,17112.0,23601.0
2015-10-31,56681.0,17264.0,23643.0
2015-11-30,57320.0,17410.0,23949.0
2015-12-31,58105.0,17563.0,24165.0
2016-01-31,60226.0,17896.0,24333.0
2016-02-29,60257.0,17896.0,24367.0
2016-03-31,61944.0,19587.0,25083.0
2016-04-30,63580.0,20646.0,25584.0
2016-05-31,65018.0,20880.0,25971.0
2016-06-30,65985.0,20819.0,26605.0
2016-07-31,67766.0,21607.0,27279.0
2016-08-31,69881.0,23046.0,27893.0
2016-09-30,75334.0,25032.0,29174.0
2016-10-31,76755.0,26959.0,30129.0
2016-11-30,78083.0,26959.0,30378.0
2016-12-31,79273.0,28250.0,31118.0
2017-01-31,80629.0,28838.0,31993.0
2017-02-28,82367.0,29715.0,32928.0
2017-03-31,86998.0,30471.0,35172.0
2017-04-30,87450.0,30728.0,36046.0
2017-05-31,87748.0,30710.0,36656.0
2017-06-30,86526.0,30285.0,37265.0
2017-07-31,91137.0,29519.0,37849.0
2017-08-31,90495.0,29172.0,38932.0
2017-09-30,89813.0,28431.0,39471.0
2017-10-31,89668.0,28328.0,39773.0
2017-11-30,89461.0,27424.0,40289.0
2017-12-31,86628.0,26904.0,40932.0
2018-01-31,84291.0,27003.0,40670.0
2018-02-28,84083.0,27123.0,40645.0
2018-03-31,80450.0,27387.0,41055.0
2018-04-30,,27387.0,41747.0
2018-05-31,,27387.0,42637.0
2018-06-30,84676.8603,27638.0,42640.0
2018-07-31,85505.0,27867.0,41010.0
2018-08-31,85937.0,27867.0,40917.0
2018-09-30,89896.0,27019.0,40275.0
2018-10-31,88968.0,26650.0,39598.0
2018-11-30,87736.0,26355.0,39238.0
2018-12-31,87436.0,26023.0,38755.0
2019-01-31,88053.0,26060.0,38307.0
2019-02-28,86865.0,26041.0,38675.0
2019-03-31,88030.0,26268.0,39021.0
2019-04-30,88197.0,26198.0,39342.0
2019-05-31,88059.0,26188.0,39667.0
2019-06-30,87298.0,26076.0,39869.0
2019-07-31,86886.0,25729.0,40096.0
2019-08-31,86382.0,25672.0,40134.0
2019-09-30,86057.0,25478.0,40170.0
2019-10-31,85712.0,,40072.0
2019-11-30,84391.0,24716.0,39702.0
2019-12-31,83714.0,24335.0,39771.0
2020-01-31,83714.0,24100.0,39573.0
2020-02-29,83434.0,23965.0,39680.0
2020-03-31,84217.0,23787.0,40340.0
2020-04-30,84447.0,23912.0,40879.0
2020-05-31,84466.0,24077.0,40532.0
2020-06-30,89582.0,24108.0,40337.0
2020-07-31,88913.0,23889.0,40603.0
2020-08-31,88719.0,23986.0,41105.0
2020-09-30,89819.0,23774.0,44599.0
2020-10-31,90442.0,23409.0,44886.0
2020-11-30,91224.0,22973.0,44966.0
2020-12-31,92025.0,22823.0,45424.0
2021-01-31,92897.0,22823.0,46171.0
2021-02-28,94155.0,24280.0,46805.0
2021-03-31,96589.0,24137.0,47682.0
2021-04-30,99105.0,24183.0,48558.0
2021-05-31,101226.0,24212.0,49574.0
2021-06-30,104136.0,24193.0,50708.0
2021-07-31,107192.0,23955.0,51692.0
