指标名称,北京:二手房成交(签约)面积,深圳:二手房成交面积,杭州:二手房成交面积,大连:二手房成交面积,青岛:二手房成交面积,成都:二手房成交面积,厦门:二手房成交面积
2008/4/28,,16266.15,,,,,
2008/4/29,,23698.37,,,,,
2008/5/1,,1175.19,,,,,
2008/5/4,,7614.49,5912,,,,
2008/5/5,,13419.47,4704,,,,
2008/5/6,,14109.82,6373,,,,
2008/5/7,,13255.01,2403,,,,
2008/5/8,,13642.37,6161,,,,
2008/5/9,,,2794,,,,
2008/5/10,,280.15,3920,,,,
2008/5/11,,,4629,,,,
2008/5/12,,17001.59,4422,,,,
2008/5/13,,12092.28,5996,,,,
2008/5/14,,104865.4,5169,,,,
2008/5/15,,16486.91,5414,,,,
2008/5/16,,22156.4,4997,,,,
2008/5/17,,,3875,,,,
2008/5/18,,,3758,,,,
2008/5/19,,15186.18,5291,,,,
2008/5/20,,25665.46,5005,,,,
2008/5/21,,17522.67,5842,,,,
2008/5/22,,19887.92,6030,,,,
2008/5/23,,22634.12,4550,,,,
2008/5/24,,,3805,,,,
2008/5/25,,,4955,,,,
2008/5/26,,,5118,,,,
2008/5/27,,17482.14,6740,,,,
2008/5/28,,20561.94,5385,,,,
2008/5/29,,18986.86,4078,,,,
2008/5/30,,46786.95,5015,,,,
2008/5/31,,51.17,5421,,,,
2008/6/1,,,3454,,,,
2008/6/2,,18035.73,5236,,,,
2008/6/3,,35086.31,4052,,,,
2008/6/4,,18710.35,4705,,,,
2008/6/5,,9750.26,5170,,,,
2008/6/6,,,3312,,,,
2008/6/7,,88.83,2500,,,,
2008/6/8,,,1274,,,,
2008/6/9,,,3050,,,,
2008/6/10,,20508.81,4034,,,,
2008/6/11,,29056.49,3909,,,,
2008/6/12,,20601.65,3864,,,,
2008/6/13,,16364.3,4962,,,,
2008/6/14,,,2273,,,,
2008/6/15,,,3618,,,,
2008/6/16,,20426.64,6308,,,,
2008/6/17,,19602.68,2944,,,,
2008/6/18,,26862.72,3370,,,,
2008/6/19,,19266.91,3629,,,,
2008/6/20,,23381.41,3162,,,,
2008/6/21,,192.72,1332,,,,
2008/6/23,,15613.01,3966,,,,
2008/6/24,,21132,2979,,,,
2008/6/25,,11821.03,3873,,,,
2008/6/26,,24498,823,,,,
2008/6/27,,19056.56,1467,,,,
2008/6/28,,103.49,1948,,,,
2008/6/29,,,1970,,,,
2008/6/30,,15767.04,3707,,,,
2008/7/1,,15903.49,2297,,,,
2008/7/2,,10595.14,2119,,,,
2008/7/3,,45869.28,2851,,,,
2008/7/4,,26276.66,2005,,,,
2008/7/5,,,1722,,,,
2008/7/6,,,2275,,,,
2008/7/7,,25869.67,2375,,,,
2008/7/8,,15111.61,2609,,,,
2008/7/9,,18495.37,3049,,,,
2008/7/10,,17694.36,2483,,,,
2008/7/11,,19218.66,3101,,,,
2008/7/12,,44.57,768,,,,
2008/7/13,,,2193,,,,
2008/7/14,,12878.2,2805,,,,
2008/7/15,,17400.96,7012,,,,
2008/7/16,,23956.96,2232,,,,
2008/7/17,,23705.24,2402,,,,
2008/7/18,,15198.54,3527,,,,
2008/7/19,,,905,,,,
2008/7/20,,,2021,,,,
2008/7/21,,22783.85,2872,,,,
2008/7/22,,15341.63,2794,,,,
2008/7/23,,39757.66,3304,,,,
2008/7/24,,52667.13,2592,,,,
2008/7/25,,18677.63,1714,,,,
2008/7/26,,,1455,,,,
2008/7/27,,,2345,,,,
2008/7/28,,20508.51,3068,,,,
2008/7/29,,15157.4,2528,,,,
2008/7/30,,14356.71,2284,,,,
2008/7/31,,14188.04,2666,,,,
2008/8/1,,14328.82,1937,,,,
2008/8/2,,,1100,,,,
2008/8/3,,,1830,,,,
2008/8/4,,14087.67,3635,,,,
2008/8/5,,18972.57,2098,,,,
2008/8/6,,25106.22,3027,,,,
2008/8/7,,13204.92,1901,,,,
2008/8/8,,43645.85,2033,,,,
2008/8/9,,95.72,1429,,,,
2008/8/10,,,1970,,,,
2008/8/11,,29626.3,1749,,,,
2008/8/12,,19397.04,1703,,,,
2008/8/13,,18186.79,1383,,,,
2008/8/14,,13379.14,4150,,,,
2008/8/15,,23437.06,2339,,,,
2008/8/16,,,1438,,,,
2008/8/17,,,1520,,,,
2008/8/18,,22043.29,3146,,,,
2008/8/19,,12812.64,2858,,,,
2008/8/20,,14276.55,2049,,,,
2008/8/21,,5119.91,1662,,,,
2008/8/22,,12518.41,1709,,,,
2008/8/23,,,1052,,,,
2008/8/24,,,1536,,,,
2008/8/25,,14089.62,2794,,,,
2008/8/26,,14127.86,2012,,,,
2008/8/27,,18730.27,2232,,,,
2008/8/28,,18861.36,2551,,,,
2008/8/29,,17676.54,2390,,,,
2008/8/30,,108.99,1717,,,,
2008/8/31,,,1511,,,,
2008/9/1,,17498.74,2661,,,,
2008/9/2,,25164.09,2635,,,,
2008/9/3,,10380.57,3698,,,,
2008/9/4,,11446.61,1026,,,,
2008/9/5,,20071.04,1682,,,,
2008/9/6,,183.56,862,,,,
2008/9/7,,,1329,,,,
2008/9/8,,11582.85,2323,,,,
2008/9/9,,15599.7,1807,,,,
2008/9/10,,11038.15,2093,,,,
2008/9/11,,14803.27,1310,,,,
2008/9/12,,18185.16,3521,,,,
2008/9/13,,,563,,,,
2008/9/14,,,805,,,,
2008/9/15,,,875,,,,
2008/9/16,,11679.45,2722,,,,
2008/9/17,,14189.06,3298,,,,
2008/9/18,,28030.58,2084,,,,
2008/9/19,,29617.07,2737,,,,
2008/9/20,,,593,,,,
2008/9/21,,,1391,,,,
2008/9/22,,19524.95,1502,,,,
2008/9/23,,27723.99,3342,,,,
2008/9/24,,15336.52,1953,,,,
2008/9/25,,12626.92,2457,,,,
2008/9/26,,17612.05,2631,,,,
2008/9/27,,12531.3,1937,,,,
2008/9/28,,20542.22,1684,,,,
2008/9/29,,,733,,,,
2008/9/30,,,310,,,,
2008/10/1,,,119,,,,
2008/10/2,,,262,,,,
2008/10/3,,,84,,,,
2008/10/4,,,565,,,,
2008/10/5,,,944,,,,
2008/10/6,,9165.37,2637,,,,
2008/10/7,,15580.24,2875,,,,
2008/10/8,,13398.18,2098,,,,
2008/10/9,,12439.78,1955,,,,
2008/10/10,,15641.19,2047,,,,
2008/10/11,,,1363,,,,
2008/10/12,,,1039,,,,
2008/10/13,,10295.76,2387,,,,
2008/10/14,,16635.85,4628,,,,
2008/10/15,,12816.51,2821,,,,
2008/10/16,,20701.1,2953,,,,
2008/10/17,,23335.06,3488,,,,
2008/10/18,,87.6,1392,,,,
2008/10/19,,,3023,,,,
2008/10/20,,32939.56,4022,,,,
2008/10/21,,14119.63,2554,,,,
2008/10/22,,12669.61,3903,,,,
2008/10/23,,18207.63,3267,,,,
2008/10/24,,11758.75,2355,,,,
2008/10/25,,,2304,,,,
2008/10/26,,,2158,,,,
2008/10/27,,10456.41,3036,,,,
2008/10/28,,16802.3,2282,,,,
2008/10/29,,9894.36,2432,,,,
2008/10/30,,6423,3977,,,,
2008/10/31,,17162.6,3168,,,,
2008/11/1,,,2089,,,,
2008/11/2,,,2646,,,,
2008/11/3,,26885.29,4753,,,,
2008/11/4,,22201.55,3932,,,,
2008/11/5,,15235.74,3968,,,,
2008/11/6,,13161.15,3291,,,,
2008/11/7,,36482.28,3394,,,,
2008/11/8,,124.87,2008,,,,
2008/11/9,,,2646,,,,
2008/11/10,,13774.37,4330,,,,
2008/11/11,,12572.73,4131,,,,
2008/11/12,,11332.48,4163,,,,
2008/11/13,,16194.94,4453,,,,
2008/11/14,,24263.34,3310,,,,
2008/11/15,,,2170,,,,
2008/11/16,,,2407,,,,
2008/11/17,,16361.52,4306,,,,
2008/11/18,,15266.23,3376,,,,
2008/11/19,,29879.3,3913,,,,
2008/11/20,,22936.76,4215,,,,
2008/11/21,,21008.04,4435,,,,
2008/11/22,,,1967,,,,
2008/11/23,,,3530,,,,
2008/11/24,,31501.92,6509,,,,
2008/11/25,,20710.93,4194,,,,
