指标名称,中国:二手房出售挂牌价指数,中国:二手房出售挂牌量指数
2015-01-05,100.95,70.21
2015-01-12,100.72,67.78
2015-01-19,100.61,64.93
2015-01-26,100.86,61.87
2015-02-02,100.97,56.3
2015-02-09,101.33,43.29
2015-02-16,102.51,14.17
2015-02-23,100.59,48.65
2015-03-02,100.66,64.13
2015-03-09,101.03,66.26
2015-03-16,101.82,76.22
2015-03-23,101.93,74.06
2015-03-30,102.22,82.22
2015-04-06,103.3,87.53
2015-04-13,104.8,116.48
2015-04-20,103.36,95.74
2015-04-27,105.38,123.08
2015-05-04,103.76,96.24
2015-05-11,103.62,90.89
2015-05-18,103.43,94.16
2015-05-25,103.58,87.37
2015-06-01,105.43,122.29
2015-06-08,104.49,106.97
2015-06-15,104.23,96.81
2015-06-22,104.59,94.15
2015-06-29,106.16,122.38
2015-07-06,106.27,121.6
2015-07-13,106.09,118.95
2015-07-20,106.06,118.88
2015-07-27,108.26,158.97
2015-08-03,108.03,148.79
2015-08-10,107.47,127.72
2015-08-17,107.59,115.43
2015-08-24,108.65,145.61
2015-08-31,108.41,146.74
2015-09-07,108.05,147.96
2015-09-14,108.98,171.38
2015-09-21,108.78,162.43
2015-09-28,108.21,144.2
2015-10-05,109.3,145.05
2015-10-12,108.99,167.36
2015-10-19,109.04,156.84
2015-10-26,108.4,158.11
2015-11-02,109.44,178.42
2015-11-09,109.32,153.06
2015-11-16,108.83,159.55
2015-11-23,109.79,172.98
2015-11-30,110.57,182.92
2015-12-07,110.72,167.14
2015-12-14,110.86,173.02
2015-12-21,111.01,168.86
2015-12-28,110.78,197.74
2016-01-04,111.09,170.53
2016-01-11,111.72,169.29
2016-01-18,112.06,159.32
2016-01-25,111.56,143.63
2016-02-01,112.31,137.88
2016-02-08,112.07,106.18
2016-02-15,112.33,174.37
2016-02-22,113.05,186.52
2016-02-29,114.79,239.34
2016-03-07,116.4,265.03
2016-03-14,115.41,195.48
2016-03-21,116.29,222.87
2016-03-28,117.17,223.5
2016-04-04,117.21,276.37
2016-04-11,117.66,246.2
2016-04-18,117.34,216.03
2016-04-25,118.03,193.96
2016-05-02,118.49,197.59
2016-05-09,119.06,247.98
2016-05-16,118.54,250.98
2016-05-23,120.09,192.86
2016-05-30,121.93,167.29
2016-06-06,122.26,149.54
2016-06-13,122.51,149.27
2016-06-20,122.9,148.11
2016-06-27,122.65,158.63
2016-07-04,122.39,169.89
2016-07-11,122.59,176.53
2016-07-18,123.06,151.47
2016-07-25,122.48,140.98
2016-08-01,123.14,109.61
2016-08-08,123.36,149.49
2016-08-15,123.41,156.35
2016-08-22,124.21,152.52
2016-08-29,125.5,168.99
2016-09-05,125.17,160.39
2016-09-12,126.83,129.3
2016-09-19,127.38,156.72
2016-09-26,129.04,153.05
2016-10-03,129.55,156.95
2016-10-10,129.62,171.23
2016-10-17,131.14,146.16
2016-10-24,131.78,130.06
2016-10-31,133.17,147.45
2016-11-07,133.35,170.31
2016-11-14,133.68,170.13
2016-11-21,133.63,142.21
2016-11-28,134.65,165.86
2016-12-05,134.76,160.17
2016-12-12,134.78,164.4
2016-12-19,135.72,135.96
2016-12-26,136.64,127.83
2017-01-02,136.93,127.63
2017-01-09,136.89,116.07
2017-01-16,136.07,144.02
2017-01-23,135.47,41.86
2017-01-30,137.52,73.62
2017-02-06,138.39,170.89
2017-02-13,140.6,169.94
2017-02-20,141.27,198.7
2017-02-27,142.8,215.54
2017-03-06,143.48,217.47
2017-03-13,143.83,226.65
2017-03-20,144.27,223.9
2017-03-27,145.04,210.42
2017-04-03,145.81,221.76
2017-04-10,147.17,172.38
2017-04-17,151.07,135.36
2017-04-24,149.28,158.58
2017-05-01,151.51,162.32
2017-05-08,152.26,184.81
2017-05-15,152.81,157.37
2017-05-22,154.72,172.5
2017-05-29,155.71,200.83
2017-06-05,156.66,185.59
2017-06-12,155.96,168.47
2017-06-19,157.88,183.02
2017-06-26,157.64,173.13
2017-07-03,158.73,176.06
2017-07-10,156.99,177.58
2017-07-17,156.89,195.11
2017-07-24,158.22,172.95
2017-07-31,159.33,202.18
2017-08-07,159.72,183.61
2017-08-14,157.96,220.33
2017-08-21,158.27,211.15
2017-08-28,158.35,253.19
2017-09-04,159.48,248.65
2017-09-11,160.02,227.31
2017-09-18,159.15,246.15
2017-09-25,160.5,203.42
2017-10-02,161.82,123.29
2017-10-09,160.82,234.11
2017-10-16,160.61,267.74
2017-10-23,161.19,234.42
2017-10-30,162.48,240.72
2017-11-06,162.71,223.27
2017-11-13,163.05,227.88
2017-11-20,162.2,232.36
2017-11-27,163.65,246.33
2017-12-04,163.82,252.23
2017-12-11,163.84,223.84
2017-12-18,164.55,204.23
2017-12-25,165.26,166.68
2018-01-01,165.27,221.5
2018-01-08,164.89,172.84
2018-01-15,164.75,165.81
2018-01-22,165.78,142.9
2018-01-29,165.69,151.15
2018-02-05,165.28,113.37
2018-02-12,164.87,86.68
2018-02-19,165.47,106.06
2018-02-26,167.56,158.51
2018-03-05,168.27,163.87
2018-03-12,168.35,147.03
2018-03-19,169.63,144.52
2018-03-26,171.73,210.17
2018-04-02,171.47,234.01
2018-04-09,171.31,262.91
2018-04-16,172.42,209.71
2018-04-23,174.41,223.81
2018-04-30,174.77,288.07
2018-05-07,175.34,268.51
2018-05-14,176.84,239.43
2018-05-21,176.47,208.52
2018-05-28,177.24,255.09
2018-06-04,177.42,235.35
2018-06-11,179.23,168.27
2018-06-18,178.8,157.71
2018-06-25,181.27,181.78
2018-07-02,181.71,241.07
2018-07-09,182.13,214.06
2018-07-16,182.69,165.74
2018-07-23,181.99,211.38
