指标名称,二手房成交总面积
2013-01-01,4588.64
2013-01-02,5882.84
2013-01-03,9632.53
2013-01-04,147106.1
2013-01-05,171821.52
2013-01-06,170566.97
2013-01-07,185190.22
2013-01-08,228206.35
2013-01-09,114221.61
2013-01-10,206182.11
2013-01-11,236374.76
2013-01-12,30426.16
2013-01-13,21398.73
2013-01-14,217975.033
2013-01-15,275234.68
2013-01-16,224004.9
2013-01-17,232334.78
2013-01-18,230880.24
2013-01-19,34583.77
2013-01-20,36753.67
2013-01-21,220850.07
2013-01-22,217988.96
2013-01-23,264033.48
2013-01-24,268307.48
2013-01-25,227710.77
2013-01-26,33124.84
2013-01-27,26291.97
2013-01-28,223583.7
2013-01-29,235941.57
2013-01-30,214420.13
2013-01-31,254744.53
2013-02-01,217248.54
2013-02-02,43187.52
2013-02-03,27102.73
2013-02-04,200384.28
2013-02-05,179014.51
2013-02-06,138816.28
2013-02-07,103552.56
2013-02-08,33809.5
2013-02-09,0.0
2013-02-10,0.0
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-15,0.0
2013-02-16,107400.28
2013-02-17,110719.6
2013-02-18,112042.71
2013-02-19,99888.45
2013-02-20,124669.73
2013-02-21,137034.27
2013-02-22,148067.59
2013-02-23,33278.01
2013-02-24,15931.16
2013-02-25,139273.02
2013-02-26,148587.25
2013-02-27,183027.34
2013-02-28,207871.93
2013-03-01,247539.68
2013-03-02,116017.52
2013-03-03,55311.55
2013-03-04,250186.67
2013-03-05,249925.24
2013-03-06,271313.15
2013-03-07,389027.85
2013-03-08,483752.37
2013-03-09,93133.89
2013-03-10,57251.89
2013-03-11,386932.66
2013-03-12,405651.96
2013-03-13,416224.55
2013-03-14,443866.93
2013-03-15,607757.0
2013-03-16,145892.56
2013-03-17,67678.92
2013-03-18,414304.73
2013-03-19,445502.32
2013-03-20,410143.35
2013-03-21,437918.84
2013-03-22,541517.45
2013-03-23,140695.84
2013-03-24,93664.24
2013-03-25,429261.87
2013-03-26,486280.09
2013-03-27,501426.73
2013-03-28,505355.3
2013-03-29,616536.96
2013-03-30,218431.07
2013-03-31,61786.45
2013-04-01,120357.31
2013-04-02,131311.95
2013-04-03,126211.37
2013-04-04,3014.36
2013-04-05,772.34
2013-04-06,900.11
2013-04-07,113286.87
2013-04-08,183329.24
2013-04-09,155612.2
2013-04-10,138731.9
2013-04-11,158550.01
2013-04-12,152108.87
2013-04-13,18256.8
2013-04-14,10456.65
2013-04-15,209539.59
2013-04-16,129412.05
2013-04-17,132674.54
2013-04-18,150818.85
2013-04-19,153065.7
2013-04-20,19916.97
2013-04-21,10088.73
2013-04-22,149618.31
2013-04-23,145189.69
2013-04-24,158466.13
2013-04-25,166291.37
2013-04-26,171579.23
2013-04-27,154085.22
2013-04-28,169982.31
2013-04-29,12337.62
2013-04-30,8985.71
2013-05-01,1233.05
2013-05-02,84505.34
2013-05-03,96093.51
2013-05-04,13199.34
2013-05-05,5014.69
2013-05-06,103862.93
2013-05-07,101166.7
2013-05-08,123725.39
2013-05-09,126287.14
2013-05-10,115024.2
2013-05-11,14432.94
2013-05-12,6750.46
2013-05-13,98598.95
2013-05-14,154451.45
2013-05-15,133782.65
2013-05-16,126185.73
2013-05-17,165631.67
2013-05-18,21380.3
2013-05-19,16976.04
2013-05-20,134935.76
2013-05-21,134068.63
2013-05-22,130028.34
2013-05-23,122437.32
2013-05-24,160665.63
2013-05-25,14379.21
2013-05-26,12247.66
2013-05-27,128566.64
2013-05-28,126253.67
2013-05-29,155223.12
2013-05-30,92993.43
2013-05-31,160936.68
2013-06-01,15524.61
2013-06-02,8499.58
2013-06-03,112742.39
2013-06-04,124689.31
2013-06-05,120931.4
2013-06-06,148439.3
2013-06-07,140555.68
2013-06-08,142266.6
2013-06-09,134889.04
2013-06-10,7412.03
2013-06-11,4966.26
2013-06-12,7099.22
2013-06-13,132683.43
2013-06-14,130157.62
2013-06-15,15669.18
2013-06-16,7766.2
2013-06-17,173257.24
2013-06-18,150475.47
2013-06-19,142838.57
2013-06-20,143330.71
2013-06-21,141702.94
2013-06-22,19488.88
2013-06-23,12550.41
2013-06-24,137867.24
2013-06-25,150490.59
2013-06-26,148334.05
2013-06-27,160046.26
2013-06-28,194134.09
2013-06-29,40318.22
2013-06-30,55083.55
2013-07-01,109319.5
2013-07-02,116416.87
2013-07-03,124708.64
2013-07-04,122546.28
2013-07-05,133214.98
2013-07-06,21705.98
2013-07-07,10686.49
2013-07-08,132215.92
2013-07-09,132644.45
2013-07-10,179050.49
2013-07-11,131313.45
2013-07-12,136229.62
2013-07-13,18967.04
2013-07-14,9430.59
2013-07-15,137693.82
2013-07-16,123781.6
2013-07-17,184845.31
2013-07-18,158388.74
2013-07-19,148298.58
2013-07-20,17771.16
2013-07-21,12645.2
2013-07-22,136241.32
2013-07-23,154552.07
2013-07-24,140571.62
2013-07-25,136408.35
2013-07-26,176182.93
2013-07-27,24510.73
2013-07-28,14171.5
2013-07-29,134267.15
2013-07-30,148283.04
2013-07-31,146699.19
2013-08-01,114379.68
2013-08-02,124737.71
2013-08-03,18478.68
2013-08-04,8968.96
2013-08-05,132703.38
2013-08-06,142753.05
2013-08-07,129468.73
2013-08-08,132910.28
2013-08-09,148814.72
2013-08-10,17821.39
2013-08-11,13066.62
2013-08-12,145443.84
2013-08-13,125995.6
2013-08-14,133509.95
2013-08-15,128075.84
2013-08-16,176863.68
2013-08-17,18085.83
2013-08-18,12961.72
2013-08-19,143570.42
2013-08-20,160466.0
2013-08-21,140254.13
2013-08-22,124303.9
2013-08-23,162233.12
2013-08-24,22854.04
2013-08-25,15431.68
2013-08-26,147441.17
2013-08-27,137118.84
2013-08-28,134357.41
2013-08-29,150053.82
2013-08-30,166505.49
2013-08-31,38334.6
2013-09-01,14022.8
2013-09-02,135523.04
2013-09-03,122746.09
2013-09-04,145004.67
2013-09-05,138131.88
2013-09-06,147910.83
2013-09-07,19792.03
2013-09-08,13452.47
2013-09-09,163311.51
2013-09-10,178780.75
2013-09-11,175237.19
2013-09-12,145975.59
2013-09-13,168047.59
2013-09-14,21312.69
2013-09-15,13310.12
2013-09-16,164226.63
2013-09-17,166548.39
2013-09-18,169851.05
2013-09-19,8391.6
2013-09-20,4511.29
2013-09-21,11843.72
2013-09-22,146064.22
2013-09-23,202452.82
2013-09-24,173630.44
2013-09-25,218406.95
2013-09-26,196263.15
2013-09-27,184900.53
2013-09-28,32500.37
2013-09-29,262340.43
2013-09-30,189922.28
2013-10-01,3176.86
2013-10-02,2240.24
2013-10-03,1877.63
2013-10-04,2073.31
2013-10-05,1670.82
2013-10-06,1382.53
2013-10-07,5314.65
2013-10-08,88166.92
2013-10-09,136851.62
2013-10-10,173638.06
2013-10-11,157828.77
2013-10-12,108647.5
2013-10-13,18860.26
