,中国:二手房出售挂牌价指数,中国:二手房出售挂牌量指数,新房销售:全部样本城市:销售价格:当周值,新房销售:全部样本城市:销售面积:当周值
2014-01-05,,,10038.67,12.59
2014-01-12,,,9526.56,12.67
2014-01-19,,,9307.68,11.97
2014-01-26,,,9544.24,12.98
2014-02-02,,,10211.47,3.83
2014-02-09,,,9666.12,2.99
2014-02-16,,,10576.66,8.87
2014-02-23,,,10184.9,12.75
2014-03-02,,,10639.82,12.79
2014-03-09,,,10858.33,10.91
2014-03-16,,,10979.56,11.0
2014-03-23,,,10186.1,11.64
2014-03-30,,,10360.15,13.06
2014-04-06,,,10203.29,11.2
2014-04-13,,,10806.68,10.41
2014-04-20,,,10344.16,11.62
2014-04-27,,,9987.55,13.13
2014-05-04,,,10019.03,10.53
2014-05-11,,,9717.29,11.55
2014-05-18,,,10301.84,11.32
2014-05-25,,,10299.93,10.79
2014-06-01,,,9616.05,12.08
2014-06-08,,,9578.52,8.57
2014-06-15,,,10045.66,10.87
2014-06-22,,,9887.78,10.3
2014-06-29,,,10136.6,12.47
2014-07-06,,,9719.07,11.32
2014-07-13,,,9491.65,10.95
2014-07-20,,,9553.35,11.04
2014-07-27,,,9550.5,11.35
2014-08-03,,,9790.34,11.98
2014-08-10,,,9681.78,10.62
2014-08-17,,,9485.46,11.4
2014-08-24,,,10012.37,11.56
2014-08-31,,,9669.27,13.93
2014-09-07,,,9387.88,10.24
2014-09-14,,,9364.26,10.21
2014-09-21,,,9913.85,12.19
2014-09-28,,,9772.02,14.43
2014-10-05,,,10309.78,9.04
2014-10-12,,,9408.04,12.88
2014-10-19,,,9525.83,15.81
2014-10-26,,,9652.97,17.25
2014-11-02,,,10066.88,18.19
2014-11-09,,,9300.47,13.64
2014-11-16,,,9453.47,16.12
2014-11-23,,,9587.38,15.79
2014-11-30,,,10000.15,17.77
2014-12-07,,,10087.87,15.04
2014-12-14,,,9953.23,16.86
2014-12-21,,,10174.1,17.65
2014-12-28,,,10223.68,18.33
2015-01-04,,,10392.77,13.87
2015-01-05,100.95,70.21,,
2015-01-11,,,9002.78,12.35
2015-01-12,100.72,67.78,,
2015-01-18,,,9232.93,12.08
2015-01-19,100.61,64.93,,
2015-01-25,,,9309.18,12.56
2015-01-26,100.86,61.87,,
2015-02-01,,,12004.59,13.43
2015-02-02,100.97,56.3,,
2015-02-08,,,9464.98,10.3
2015-02-09,101.33,43.29,,
2015-02-15,,,9814.97,11.01
2015-02-16,102.51,14.17,,
2015-02-22,,,10761.0,1.93
2015-02-23,100.59,48.65,,
2015-03-01,,,9789.37,6.1
2015-03-02,100.66,64.13,,
2015-03-08,,,9554.3,9.46
2015-03-09,101.03,66.26,,
2015-03-15,,,9658.14,11.15
2015-03-16,101.82,76.22,,
2015-03-22,,,9490.37,11.41
2015-03-23,101.93,74.06,,
2015-03-29,,,9542.93,12.52
2015-03-30,102.22,82.22,,
2015-04-05,,,9981.92,12.11
2015-04-06,103.3,87.53,,
2015-04-12,,,9837.1,11.11
2015-04-13,104.8,116.48,,
2015-04-19,,,9812.53,14.48
2015-04-20,103.36,95.74,,
2015-04-26,,,9844.08,14.09
2015-04-27,105.38,123.08,,
2015-05-03,,,10560.33,14.11
2015-05-04,103.76,96.24,,
2015-05-10,,,10144.91,14.78
2015-05-11,103.62,90.89,,
2015-05-17,,,10920.46,15.37
2015-05-18,103.43,94.16,,
2015-05-24,,,10769.78,14.83
2015-05-25,103.58,87.37,,
2015-05-31,,,10817.47,16.65
2015-06-01,105.43,122.29,,
2015-06-07,,,10443.59,13.6
2015-06-08,104.49,106.97,,
2015-06-14,,,10645.64,14.98
2015-06-15,104.23,96.81,,
2015-06-21,,,10409.46,14.76
2015-06-22,104.59,94.15,,
2015-06-28,,,11244.0,17.34
2015-06-29,106.16,122.38,,
2015-07-05,,,11220.35,17.6
2015-07-06,106.27,121.6,,
2015-07-12,,,10430.27,14.03
2015-07-13,106.09,118.95,,
2015-07-19,,,10890.2,14.22
2015-07-20,106.06,118.88,,
2015-07-26,,,10586.35,13.71
2015-07-27,108.26,158.97,,
2015-08-02,,,10747.94,16.37
2015-08-03,108.03,148.79,,
2015-08-09,,,9902.64,13.45
2015-08-10,107.47,127.72,,
2015-08-16,,,10016.46,12.81
2015-08-17,107.59,115.43,,
2015-08-23,,,10187.66,14.28
2015-08-24,108.65,145.61,,
2015-08-30,,,10200.71,16.06
2015-08-31,108.41,146.74,,
2015-09-06,,,10287.03,12.41
2015-09-07,108.05,147.96,,
2015-09-13,,,10288.93,13.21
2015-09-14,108.98,171.38,,
2015-09-20,,,10517.53,14.51
2015-09-21,108.78,162.43,,
2015-09-27,,,10576.11,15.43
2015-09-28,108.21,144.2,,
2015-10-04,,,10784.27,13.37
2015-10-05,109.3,145.05,,
2015-10-11,,,10088.86,12.58
2015-10-12,108.99,167.36,,
2015-10-18,,,10209.68,18.59
2015-10-19,109.04,156.84,,
2015-10-25,,,10272.08,17.14
2015-10-26,108.4,158.11,,
2015-11-01,,,10649.28,18.89
2015-11-02,109.44,178.42,,
2015-11-08,,,10465.93,15.11
2015-11-09,109.32,153.06,,
2015-11-15,,,10184.6,16.75
2015-11-16,108.83,159.55,,
2015-11-22,,,10551.1,17.55
2015-11-23,109.79,172.98,,
2015-11-29,,,11139.49,18.02
2015-11-30,110.57,182.92,,
2015-12-06,,,10755.86,17.16
2015-12-07,110.72,167.14,,
2015-12-13,,,10415.39,16.96
2015-12-14,110.86,173.02,,
2015-12-20,,,10793.75,19.91
2015-12-21,111.01,168.86,,
2015-12-27,,,10596.98,19.22
2015-12-28,110.78,197.74,,
2016-01-03,,,11172.95,17.05
2016-01-04,111.09,170.53,,
2016-01-10,,,10583.98,14.14
2016-01-11,111.72,169.29,,
2016-01-17,,,10908.32,13.94
2016-01-18,112.06,159.32,,
2016-01-24,,,10311.31,14.16
2016-01-25,111.56,143.63,,
2016-01-31,,,10528.4,14.72
2016-02-01,112.31,137.88,,
2016-02-07,,,11371.07,8.06
2016-02-08,112.07,106.18,,
2016-02-14,,,10650.37,1.17
2016-02-15,112.33,174.37,,
2016-02-21,,,10203.3,10.15
2016-02-22,113.05,186.52,,
2016-02-28,,,10583.92,16.1
2016-02-29,114.79,239.34,,
2016-03-06,,,10659.29,18.19
2016-03-07,116.4,265.03,,
2016-03-13,,,10895.98,19.72
2016-03-14,115.41,195.48,,
2016-03-20,,,11145.04,19.42
2016-03-21,116.29,222.87,,
2016-03-27,,,11448.76,22.27
2016-03-28,117.17,223.5,,
2016-04-03,,,11201.39,20.71
2016-04-04,117.21,276.37,,
2016-04-10,,,10775.28,16.23
2016-04-11,117.66,246.2,,
2016-04-17,,,10429.53,18.94
2016-04-18,117.34,216.03,,
2016-04-24,,,10372.41,21.85
2016-04-25,118.03,193.96,,
2016-05-01,,,10890.92,21.83
2016-05-02,118.49,197.59,,
2016-05-08,,,11495.85,15.75
2016-05-09,119.06,247.98,,
2016-05-15,,,10736.49,17.42
2016-05-16,118.54,250.98,,
2016-05-22,,,11390.09,17.14
2016-05-23,120.09,192.86,,
2016-05-29,,,11162.77,18.38
2016-05-30,121.93,167.29,,
2016-06-05,,,11099.63,17.55
2016-06-06,122.26,149.54,,
2016-06-12,,,11288.62,13.86
2016-06-13,122.51,149.27,,
2016-06-19,,,10916.5,17.47
2016-06-20,122.9,148.11,,
2016-06-26,,,11635.59,21.0
2016-06-27,122.65,158.63,,
2016-07-03,,,11737.86,20.13
2016-07-04,122.39,169.89,,
2016-07-10,,,11114.08,14.69
2016-07-11,122.59,176.53,,
2016-07-17,,,11191.76,15.63
2016-07-18,123.06,151.47,,
2016-07-24,,,11182.18,17.1
2016-07-25,122.48,140.98,,
2016-07-31,,,11625.43,18.46
2016-08-01,123.14,109.61,,
2016-08-07,,,11364.21,15.19
2016-08-08,123.36,149.49,,
2016-08-14,,,10917.95,16.42
2016-08-15,123.41,156.35,,
2016-08-21,,,11715.61,14.84
2016-08-22,124.21,152.52,,
2016-08-28,,,12412.35,18.2
2016-08-29,125.5,168.99,,
2016-09-04,,,12750.41,19.32
2016-09-05,125.17,160.39,,
2016-09-11,,,11534.97,18.65
2016-09-12,126.83,129.3,,
2016-09-18,,,12142.21,15.95
2016-09-19,127.38,156.72,,
2016-09-25,,,12623.51,24.24
2016-09-26,129.04,153.05,,
2016-10-02,,,13423.98,28.47
2016-10-03,129.55,156.95,,
2016-10-09,,,12587.04,17.35
2016-10-10,129.62,171.23,,
2016-10-16,,,12901.48,22.99
2016-10-17,131.14,146.16,,
2016-10-23,,,12268.15,18.56
2016-10-24,131.78,130.06,,
2016-10-30,,,12210.14,19.83
2016-10-31,133.17,147.45,,
2016-11-06,,,11553.82,17.39
2016-11-07,133.35,170.31,,
2016-11-13,,,11860.11,16.38
2016-11-14,133.68,170.13,,
2016-11-20,,,12868.64,16.55
