,PB.LME_open,PB.LME_high,PB.LME_low,PB.LME_close,PB.LME_volume
2012-01-04,2085.0,2091.5,2057.0,2060.0,4165.0
2012-01-05,2063.0,2070.0,1988.0,2005.5,3785.0
2012-01-06,2015.0,2022.75,1955.0,1969.5,4648.0
2012-01-09,1969.5,1983.0,1950.0,1962.25,3126.0
2012-01-10,1970.0,2033.0,1965.0,1997.75,4495.0
2012-01-11,1989.75,2023.5,1973.0,2000.0,3963.0
2012-01-12,1997.0,2049.5,1990.0,2028.25,4349.0
2012-01-13,2025.0,2048.5,2002.0,2020.0,2853.0
2012-01-16,2015.0,2036.0,2002.0,2028.0,1836.0
2012-01-17,2020.0,2110.0,2020.0,2104.0,5228.0
2012-01-18,2092.0,2144.25,2088.0,2138.0,5821.0
2012-01-19,2138.0,2187.0,2135.5,2180.0,5085.0
2012-01-20,2180.0,2193.5,2153.25,2176.5,3939.0
2012-01-30,2285.0,2285.25,2237.0,2264.25,3758.0
2012-01-31,2266.25,2305.0,2200.0,2205.0,5931.0
2012-02-01,2209.0,2249.25,2192.25,2230.0,6308.0
2012-02-02,2230.0,2243.5,2142.5,2158.0,5641.0
2012-02-03,2165.0,2244.0,2158.0,2226.25,5971.0
2012-02-06,2224.5,2237.0,2177.0,2188.25,4374.0
2012-02-07,2190.0,2196.75,2150.25,2189.0,5595.0
2012-02-08,2162.0,2235.0,2162.0,2185.0,4569.0
2012-02-09,2181.0,2239.75,2174.0,2220.0,4897.0
2012-02-10,2214.0,2223.0,2133.0,2142.0,5089.0
2012-02-13,2146.0,2170.0,2102.0,2124.0,5076.0
2012-02-14,2125.0,2130.0,2068.0,2085.0,5945.0
2012-02-15,2074.0,2110.0,2050.0,2073.0,5765.0
2012-02-16,2055.0,2063.75,2002.0,2031.0,6102.0
2012-02-17,2035.0,2071.5,2018.0,2035.0,6721.0
2012-02-20,2066.0,2079.0,2045.5,2074.0,1829.0
2012-02-21,2070.0,2118.25,2066.25,2112.25,4364.0
2012-02-22,2119.0,2150.75,2087.0,2142.0,4625.0
2012-02-23,2139.5,2167.0,2126.0,2162.75,4967.0
2012-02-24,2164.0,2212.75,2146.0,2206.0,5706.0
2012-02-27,2200.0,2250.0,2187.75,2244.0,5249.0
2012-02-28,2244.0,2275.0,2231.25,2249.0,5260.0
2012-02-29,2245.0,2285.0,2161.75,2191.75,6829.0
2012-03-01,2180.0,2200.75,2160.5,2168.0,5834.0
2012-03-02,2174.0,2190.5,2156.0,2190.0,4319.0
2012-03-05,2185.0,2191.75,2128.0,2155.5,4176.0
2012-03-06,2158.0,2158.0,2058.25,2065.0,7159.0
2012-03-07,2065.0,2090.75,2048.5,2090.0,5336.0
2012-03-08,2100.0,2141.0,2100.0,2127.75,3647.0
2012-03-09,2121.0,2170.0,2116.0,2140.0,4144.0
2012-03-12,2135.0,2200.0,2114.0,2141.75,2767.0
2012-03-13,2138.25,2174.5,2138.25,2163.0,2624.0
2012-03-14,2165.0,2165.0,2100.0,2104.75,4944.0
2012-03-15,2098.0,2136.0,2095.0,2127.75,3928.0
2012-03-16,2125.25,2141.75,2090.0,2111.0,4376.0
2012-03-19,2109.5,2129.0,2097.5,2105.0,3763.0
2012-03-20,2099.0,2107.0,2011.0,2027.5,8273.0
2012-03-21,2029.0,2047.0,2008.0,2036.5,9275.0
2012-03-22,2043.5,2043.5,1979.25,1995.75,5976.0
2012-03-23,2008.0,2015.0,1975.0,2006.0,4642.0
2012-03-26,2008.0,2015.0,1975.0,2006.0,4642.0
2012-03-27,2008.0,2018.5,1976.25,1992.0,4530.0
2012-03-28,1987.0,1993.0,1964.0,1975.0,4704.0
2012-03-29,1989.0,2011.0,1960.0,1987.25,5218.0
2012-03-30,1990.0,2043.0,1985.0,2036.5,5560.0
2012-04-05,2000.0,2064.0,1980.25,2057.0,5626.0
2012-04-06,,,,2057.0,
2012-04-09,,,,2057.0,
2012-04-10,2044.0,2060.0,1976.25,2006.25,5904.0
2012-04-11,2010.0,2055.0,1993.5,2048.0,4544.0
2012-04-12,2054.5,2105.0,2043.25,2087.75,7066.0
2012-04-13,2085.0,2085.0,2051.0,2065.0,5723.0
2012-04-16,2057.0,2085.75,2028.25,2085.75,4468.0
2012-04-17,2074.0,2096.0,2061.5,2071.75,4435.0
2012-04-18,2074.0,2094.0,2028.25,2042.0,4726.0
2012-04-19,2041.0,2083.75,2037.0,2076.0,5412.0
2012-04-20,2082.0,2129.5,2074.5,2118.75,7737.0
2012-04-23,2111.75,2123.0,2062.0,2072.0,6555.0
2012-04-24,2070.25,2097.75,2068.0,2076.0,4681.0
2012-04-25,2073.0,2095.0,2068.0,2087.5,4325.0
2012-04-26,2085.0,2127.0,2080.25,2120.25,3165.0
2012-04-27,2114.0,2152.0,2107.0,2128.25,4450.0
2012-05-02,2167.0,2172.0,2129.75,2130.0,5201.0
2012-05-03,2131.0,2135.0,2081.75,2092.0,4401.0
2012-05-04,2090.0,2108.0,2065.0,2105.0,4525.0
2012-05-07,,,,2105.0,
2012-05-08,2093.0,2115.0,2062.0,2086.0,4458.0
2012-05-09,2083.25,2090.0,2044.0,2079.0,4245.0
2012-05-10,2072.0,2099.75,2060.5,2092.5,3261.0
2012-05-11,2085.0,2095.0,2055.0,2068.0,3357.0
2012-05-14,2085.0,2090.0,2026.25,2034.75,3807.0
2012-05-15,2035.0,2046.75,2005.0,2009.25,5439.0
2012-05-16,2007.75,2014.0,1960.0,1960.0,7999.0
2012-05-17,1970.0,1983.0,1925.0,1938.75,8377.0
2012-05-18,1937.0,1985.25,1928.0,1962.0,6068.0
2012-05-21,1960.0,1984.0,1931.5,1951.5,5194.0
2012-05-22,1965.0,1965.0,1930.0,1952.25,4082.0
2012-05-23,1945.0,1950.0,1906.0,1933.0,5087.0
2012-05-24,1930.0,1960.0,1923.25,1949.75,3955.0
2012-05-25,1948.25,1964.5,1943.25,1949.0,3188.0
2012-05-28,1955.75,1963.0,1940.0,1942.0,1871.0
2012-05-29,1944.0,1958.0,1938.75,1945.75,3582.0
2012-05-30,1943.0,1943.0,1909.0,1925.5,4036.0
2012-05-31,1922.0,1944.0,1901.0,1925.0,5254.0
2012-06-01,1917.0,1928.0,1883.0,1903.0,5205.0
2012-06-04,,,,1903.0,
2012-06-05,,,,1903.0,
2012-06-06,1893.0,1933.0,1885.0,1922.75,3626.0
2012-06-07,1924.0,1953.0,1907.0,1925.0,3831.0
2012-06-08,1921.0,1921.0,1889.5,1893.0,3228.0
2012-06-11,1910.0,1921.5,1901.75,1908.0,2027.0
2012-06-12,1900.0,1913.0,1894.0,1897.0,2084.0
2012-06-13,1903.0,1910.0,1890.0,1898.0,2694.0
2012-06-14,1898.5,1925.0,1892.75,1918.5,3360.0
2012-06-15,1935.0,1938.25,1919.5,1924.0,3044.0
2012-06-18,1935.0,1940.25,1896.0,1896.0,3061.0
2012-06-19,1901.0,1917.0,1889.0,1913.0,3292.0
2012-06-20,1907.0,1918.0,1867.0,1876.75,4264.0
2012-06-21,1882.25,1882.25,1824.75,1826.0,5895.0
2012-06-25,1820.0,1842.25,1788.75,1800.5,5993.0
2012-06-26,1799.0,1808.0,1760.0,1769.75,5855.0
2012-06-27,1768.0,1777.0,1742.0,1762.0,6061.0
2012-06-28,1768.0,1789.0,1755.75,1768.0,6044.0
2012-06-29,1770.0,1875.0,1770.0,1875.0,8326.0
2012-07-02,1860.75,1888.75,1841.0,1874.75,5462.0
2012-07-03,1875.25,1941.5,1875.0,1926.75,6258.0
2012-07-04,1919.0,1921.25,1890.0,1904.25,2723.0
2012-07-05,1914.0,1919.25,1873.25,1884.25,4309.0
2012-07-06,1888.0,1888.0,1840.0,1852.5,3439.0
2012-07-09,1850.0,1882.0,1848.0,1881.0,2729.0
2012-07-10,1878.0,1887.5,1860.25,1866.25,3066.0
2012-07-11,1870.0,1878.0,1860.0,1870.5,2189.0
2012-07-12,1879.0,1879.0,1843.0,1858.0,2500.0
2012-07-13,1860.0,1893.0,1854.0,1880.5,3052.0
2012-07-16,1888.0,1898.75,1862.5,1898.75,3040.0
2012-07-17,1898.0,1907.0,1878.0,1894.0,3313.0
2012-07-18,1893.0,1907.5,1878.0,1900.0,2529.0
2012-07-19,1901.5,1929.75,1896.0,1926.0,3965.0
2012-07-20,1922.0,1924.0,1884.0,1890.0,4746.0
2012-07-23,1887.0,1892.75,1851.0,1865.5,4046.0
2012-07-24,1862.0,1875.0,1850.25,1854.5,3169.0
2012-07-25,1855.5,1874.0,1836.0,1862.5,4029.0
2012-07-26,1855.0,1892.0,1848.0,1876.75,3424.0
2012-07-27,1880.0,1930.5,1876.0,1930.5,6999.0
