,ZS.LME_open,ZS.LME_high,ZS.LME_low,ZS.LME_close,ZS.LME_volume
2012-01-04,1878.5,1881.25,1853.0,1866.5,8286.0
2012-01-05,1869.25,1878.25,1824.0,1840.0,6452.0
2012-01-06,1845.0,1861.25,1826.0,1857.0,8354.0
2012-01-09,1853.5,1880.0,1841.0,1869.25,6959.0
2012-01-10,1879.0,1932.0,1864.25,1920.0,9925.0
2012-01-11,1919.0,1946.0,1903.0,1931.25,10212.0
2012-01-12,1927.0,1984.75,1910.25,1967.75,12381.0
2012-01-13,1959.0,1967.0,1935.75,1958.25,10707.0
2012-01-16,1951.0,1969.75,1930.0,1955.0,5175.0
2012-01-17,1955.0,2015.5,1951.25,1990.25,10777.0
2012-01-18,1992.0,2025.0,1982.0,2009.0,11344.0
2012-01-19,2010.0,2035.0,2001.0,2033.0,8857.0
2012-01-20,2026.0,2042.75,2010.0,2016.0,7926.0
2012-01-30,2141.0,2141.0,2086.5,2111.25,14200.0
2012-01-31,2125.0,2155.0,2088.0,2105.0,11634.0
2012-02-01,2108.0,2138.0,2070.0,2117.5,11530.0
2012-02-02,2112.0,2132.0,2076.5,2086.75,10277.0
2012-02-03,2092.5,2154.0,2080.0,2137.0,8184.0
2012-02-06,2150.0,2166.5,2118.5,2134.0,7335.0
2012-02-07,2132.0,2140.0,2095.0,2120.75,5486.0
2012-02-08,2121.0,2150.0,2107.0,2120.0,5964.0
2012-02-09,2118.0,2162.25,2110.0,2153.0,7282.0
2012-02-10,2149.0,2153.25,2076.0,2089.75,9291.0
2012-02-13,2095.0,2107.0,2048.75,2068.5,8124.0
2012-02-14,2075.0,2080.0,2029.0,2040.0,9420.0
2012-02-15,2047.0,2070.0,2002.0,2023.0,14182.0
2012-02-16,2024.0,2025.0,1955.5,1986.5,15455.0
2012-02-17,1995.0,2011.0,1950.0,1960.0,14181.0
2012-02-20,1980.0,2007.75,1965.25,1991.0,8869.0
2012-02-21,1991.0,2044.5,1989.75,2041.5,10162.0
2012-02-22,2035.0,2072.0,2018.0,2062.0,8591.0
2012-02-23,2055.0,2078.5,2043.0,2054.75,8631.0
2012-02-24,2055.0,2086.5,2040.0,2077.5,7654.0
2012-02-27,2069.0,2108.5,2060.0,2092.5,8676.0
2012-02-28,2089.0,2137.5,2085.0,2118.0,9599.0
2012-02-29,2116.0,2165.0,2085.0,2111.0,15966.0
2012-03-01,2107.0,2122.0,2081.0,2110.0,10948.0
2012-03-02,2106.0,2129.0,2091.75,2118.0,8895.0
2012-03-05,2123.5,2127.0,2068.0,2090.0,6643.0
2012-03-06,2095.0,2096.0,2009.75,2013.25,13218.0
2012-03-07,2018.0,2030.25,1981.5,2009.75,15962.0
2012-03-08,2018.0,2053.75,2018.0,2050.0,9379.0
2012-03-09,2045.0,2102.0,2043.0,2080.0,8509.0
2012-03-12,2078.0,2090.0,2046.0,2077.0,6125.0
2012-03-13,2076.0,2121.0,2075.0,2108.75,6454.0
2012-03-14,2115.0,2116.0,2065.25,2068.25,9391.0
2012-03-15,2075.0,2098.0,2062.0,2095.75,7814.0
2012-03-16,2095.0,2105.0,2070.5,2075.0,7690.0
2012-03-19,2081.0,2089.0,2058.25,2084.0,4288.0
2012-03-20,2082.0,2082.5,2031.0,2044.25,7943.0
2012-03-21,2044.0,2064.0,2016.5,2031.75,10807.0
2012-03-22,2035.0,2042.0,1978.0,1994.5,12798.0
2012-03-23,2008.0,2029.0,1988.0,2027.0,8571.0
2012-03-26,2008.0,2029.0,1988.0,2027.0,8571.0
2012-03-27,2030.0,2045.0,2003.25,2042.0,7839.0
2012-03-28,2038.0,2038.0,1999.0,2003.75,8248.0
2012-03-29,2007.0,2015.0,1985.0,2003.75,8341.0
2012-03-30,2009.0,2016.0,2000.0,2005.0,7964.0
2012-04-05,1980.25,2004.0,1967.0,2002.75,8002.0
2012-04-06,,,,2002.75,
2012-04-09,,,,2002.75,
2012-04-10,1990.0,2024.0,1964.0,1984.0,11124.0
2012-04-11,1985.0,2010.0,1977.25,1998.5,7262.0
2012-04-12,2000.0,2048.0,1995.0,2036.25,9480.0
2012-04-13,2031.0,2034.75,1987.0,1992.75,7463.0
2012-04-16,1987.0,2011.0,1975.25,2010.0,5812.0
2012-04-17,2001.25,2006.75,1988.75,2000.0,5580.0
2012-04-18,1995.0,2010.0,1978.75,1987.5,6553.0
2012-04-19,1988.25,2008.0,1986.25,2000.5,6331.0
2012-04-20,2002.0,2032.0,1992.0,2023.5,7009.0
2012-04-23,2017.0,2022.75,1984.0,1990.5,6733.0
2012-04-24,1994.0,2008.0,1991.5,1999.25,5993.0
2012-04-25,1997.0,2012.0,1995.0,2010.5,4262.0
2012-04-26,2007.0,2042.5,2002.25,2037.5,7859.0
