,SN.LME_open,SN.LME_high,SN.LME_low,SN.LME_close,SN.LME_volume
2012-01-04,19973.0,19973.0,18900.0,19650.0,151.0
2012-01-05,19650.0,19980.0,19480.0,19800.0,264.0
2012-01-06,19800.0,20000.0,19600.0,19825.0,193.0
2012-01-09,19723.0,20150.0,19650.0,19900.0,326.0
2012-01-10,19875.0,20350.0,19850.0,20155.0,344.0
2012-01-11,20275.0,20500.0,20150.0,20425.0,321.0
2012-01-12,20400.0,21100.0,20300.0,21100.0,390.0
2012-01-13,20990.0,21250.0,20500.0,21075.0,289.0
2012-01-16,21000.0,21100.0,20800.0,21010.0,135.0
2012-01-17,20975.0,21740.0,20975.0,21650.0,534.0
2012-01-18,21600.0,21900.0,21401.0,21800.0,210.0
2012-01-19,21850.0,22135.0,21700.0,21900.0,309.0
2012-01-20,21900.0,21960.0,21450.0,21950.0,210.0
2012-01-30,24300.0,24300.0,23950.0,24075.0,439.0
2012-01-31,24150.0,24400.0,23751.0,24200.0,429.0
2012-02-01,24205.0,24350.0,23800.0,24300.0,387.0
2012-02-02,24300.0,24400.0,23950.0,24000.0,299.0
2012-02-03,24000.0,24500.0,23900.0,24246.0,321.0
2012-02-06,24300.0,24500.0,23935.0,24499.0,227.0
2012-02-07,24499.0,25480.0,24150.0,25210.0,576.0
2012-02-08,25260.0,25880.0,25005.0,25280.0,501.0
2012-02-09,25400.0,25780.0,24045.0,25600.0,418.0
2012-02-10,25250.0,25544.0,24800.0,25050.0,413.0
2012-02-13,25000.0,25415.0,24900.0,24959.0,178.0
2012-02-14,25000.0,25100.0,24300.0,24500.0,411.0
2012-02-15,24695.0,24850.0,24250.0,24600.0,345.0
2012-02-16,24500.0,24789.0,23900.0,24197.0,478.0
2012-02-17,24350.0,24400.0,23200.0,23503.0,489.0
2012-02-20,23600.0,24349.0,23450.0,23800.0,250.0
2012-02-21,23800.0,24350.0,23600.0,24241.0,385.0
2012-02-22,24300.0,24360.0,24000.0,24075.0,169.0
2012-02-23,24198.0,24225.0,23825.0,24150.0,159.0
2012-02-24,24150.0,24195.0,23830.0,23850.0,253.0
2012-02-27,24000.0,24185.0,23510.0,24150.0,269.0
2012-02-28,24050.0,24199.0,23900.0,24125.0,346.0
2012-02-29,24001.0,24330.0,23600.0,23950.0,420.0
2012-03-01,23801.0,24100.0,23700.0,24000.0,118.0
2012-03-02,24000.0,24000.0,23625.0,23919.0,172.0
2012-03-05,23800.0,23800.0,22850.0,23100.0,498.0
2012-03-06,23240.0,23245.0,22305.0,22450.0,365.0
2012-03-07,22250.0,22600.0,22060.0,22072.0,350.0
2012-03-08,22245.0,22990.0,22125.0,22765.0,342.0
2012-03-09,22973.0,23290.0,22600.0,23285.0,245.0
2012-03-12,22950.0,23450.0,22805.0,23276.0,131.0
2012-03-13,23401.0,24300.0,23400.0,24300.0,494.0
2012-03-14,24150.0,24258.0,23801.0,23801.0,158.0
2012-03-15,24045.0,24050.0,23650.0,23800.0,245.0
2012-03-16,23800.0,23900.0,23375.0,23375.0,227.0
2012-03-19,23450.0,23600.0,23200.0,23600.0,149.0
2012-03-20,23600.0,23600.0,23200.0,23400.0,186.0
2012-03-21,23451.0,23550.0,22950.0,22950.0,191.0
2012-03-22,23000.0,23050.0,22150.0,22200.0,333.0
2012-03-23,22225.0,22640.0,22141.0,22640.0,177.0
2012-03-26,22225.0,22640.0,22141.0,22640.0,177.0
2012-03-27,22700.0,22800.0,22400.0,22495.0,123.0
2012-03-28,22450.0,22550.0,22325.0,22420.0,176.0
2012-03-29,22500.0,22700.0,22225.0,22630.0,176.0
2012-03-30,22650.0,23645.0,22650.0,22850.0,299.0
2012-04-05,22501.0,23175.0,22300.0,22801.0,219.0
2012-04-06,,,,22801.0,
2012-04-09,,,,22801.0,
2012-04-10,22750.0,23100.0,22510.0,22625.0,254.0
2012-04-11,22600.0,22850.0,22420.0,22500.0,182.0
2012-04-12,22400.0,22850.0,22400.0,22682.0,155.0
2012-04-13,22650.0,22650.0,22200.0,22350.0,137.0
2012-04-16,22200.0,22200.0,21300.0,21351.0,546.0
2012-04-17,21400.0,21620.0,20950.0,21620.0,492.0
2012-04-18,21500.0,21600.0,20826.0,21001.0,483.0
2012-04-19,21050.0,21344.0,21000.0,21275.0,295.0
