,NI.LME_open,NI.LME_high,NI.LME_low,NI.LME_close,NI.LME_volume
2012-01-04,18950.0,18950.0,18475.0,18775.0,2175.0
2012-01-05,18800.0,18800.0,18450.0,18600.0,1500.0
2012-01-06,18700.0,18924.0,18490.0,18755.0,1681.0
2012-01-09,18601.0,19118.0,18500.0,19070.0,3013.0
2012-01-10,19001.0,19540.0,18900.0,19480.0,3165.0
2012-01-11,19400.0,19679.0,19150.0,19440.0,2792.0
2012-01-12,19380.0,19950.0,19350.0,19700.0,5019.0
2012-01-13,19550.0,19900.0,19251.0,19475.0,3168.0
2012-01-16,19475.0,19590.0,19176.0,19325.0,1410.0
2012-01-17,19450.0,19665.0,19420.0,19475.0,1772.0
2012-01-18,19475.0,19630.0,19255.0,19560.0,2019.0
2012-01-19,19620.0,20251.0,19551.0,20220.0,2791.0
2012-01-20,20250.0,20635.0,20145.0,20481.0,2847.0
2012-01-30,21653.0,21653.0,21250.0,21275.0,2625.0
2012-01-31,21320.0,21499.0,20630.0,20737.0,3611.0
2012-02-01,20710.0,21150.0,20549.0,21039.0,4093.0
2012-02-02,21085.0,21320.0,20611.0,20900.0,3320.0
2012-02-03,20850.0,21455.0,20781.0,21306.0,2352.0
2012-02-06,21287.0,21672.0,21025.0,21600.0,2178.0
2012-02-07,21550.0,21775.0,21266.0,21715.0,2920.0
2012-02-08,21715.0,22150.0,21507.0,21547.0,3214.0
2012-02-09,21550.0,22050.0,21215.0,21700.0,3574.0
2012-02-10,21700.0,21700.0,20640.0,20800.0,3380.0
2012-02-13,20800.0,21097.0,20500.0,20633.0,3065.0
2012-02-14,20660.0,20780.0,20056.0,20109.0,3585.0
2012-02-15,20200.0,20450.0,20000.0,20201.0,3411.0
2012-02-16,20100.0,20100.0,19764.0,19990.0,3091.0
2012-02-17,20000.0,20300.0,19410.0,19580.0,3658.0
2012-02-20,19879.0,20050.0,19525.0,19990.0,1774.0
2012-02-21,19920.0,20475.0,19800.0,20400.0,2997.0
2012-02-22,20400.0,20519.0,20060.0,20204.0,2371.0
2012-02-23,20130.0,20290.0,19900.0,20023.0,1964.0
2012-02-24,20100.0,20260.0,19761.0,20150.0,2335.0
2012-02-27,20175.0,20300.0,19880.0,20132.0,1829.0
2012-02-28,20150.0,20360.0,19720.0,19850.0,2786.0
2012-02-29,19925.0,20244.0,19150.0,19466.0,4461.0
2012-03-01,19362.0,19935.0,19362.0,19690.0,3307.0
2012-03-02,19695.0,19815.0,19242.0,19598.0,2497.0
