,CU.SHF_open,CU.SHF_high,CU.SHF_low,CU.SHF_close,CU.SHF_volume
2012-01-04,56450.0,56680.0,55740.0,55790.0,397922.0
2012-01-05,55420.0,56180.0,55300.0,56060.0,432220.0
2012-01-06,55780.0,56270.0,55510.0,55900.0,432610.0
2012-01-09,55670.0,55860.0,54800.0,55490.0,553652.0
2012-01-10,55680.0,56130.0,55110.0,55870.0,514762.0
2012-01-11,56220.0,56950.0,55970.0,56860.0,460928.0
2012-01-12,56980.0,57460.0,56730.0,57400.0,346802.0
2012-01-13,57880.0,58220.0,57480.0,58000.0,312838.0
2012-01-16,57570.0,58300.0,57290.0,58030.0,163382.0
2012-01-17,58580.0,60090.0,58440.0,59930.0,566634.0
2012-01-18,59800.0,60070.0,59330.0,59450.0,434670.0
2012-01-19,59970.0,60620.0,59910.0,60560.0,470592.0
2012-01-20,60850.0,61150.0,60400.0,60720.0,368388.0
2012-01-30,60800.0,61530.0,60280.0,60320.0,413974.0
2012-01-31,60560.0,60750.0,60130.0,60620.0,371994.0
2012-02-01,60100.0,60180.0,59420.0,59500.0,363820.0
2012-02-02,60000.0,60150.0,59520.0,59880.0,395988.0
2012-02-03,59500.0,60060.0,59380.0,59820.0,305342.0
2012-02-06,60850.0,60960.0,60350.0,60530.0,322730.0
2012-02-07,60490.0,60760.0,59850.0,60030.0,302344.0
2012-02-08,60300.0,61470.0,60230.0,61390.0,282014.0
2012-02-09,60980.0,61880.0,60920.0,61070.0,205158.0
2012-02-10,61950.0,62080.0,61460.0,61560.0,492224.0
2012-02-13,61010.0,61150.0,60450.0,60770.0,448406.0
2012-02-14,60390.0,60480.0,60040.0,60080.0,387544.0
2012-02-15,60260.0,60980.0,60110.0,60430.0,429454.0
2012-02-16,60000.0,60050.0,58780.0,59210.0,496806.0
2012-02-17,59810.0,60200.0,59680.0,59750.0,414736.0
2012-02-20,59910.0,60350.0,59270.0,59340.0,479702.0
2012-02-21,59250.0,60120.0,59230.0,60050.0,623008.0
2012-02-22,60690.0,60810.0,60300.0,60490.0,372924.0
2012-02-23,60390.0,60460.0,59960.0,60420.0,398634.0
2012-02-24,60370.0,60580.0,59600.0,59620.0,502114.0
2012-02-27,60300.0,60730.0,60120.0,60400.0,444082.0
2012-02-28,60420.0,61070.0,60370.0,61060.0,343538.0
2012-02-29,60880.0,61150.0,60600.0,61070.0,373892.0
2012-03-01,60500.0,60780.0,60180.0,60290.0,372480.0
2012-03-02,60910.0,61390.0,60780.0,61330.0,309492.0
2012-03-05,61160.0,61450.0,60880.0,61010.0,181530.0
2012-03-06,61000.0,61050.0,60270.0,60390.0,306496.0
2012-03-07,59180.0,59650.0,59030.0,59470.0,320936.0
2012-03-08,59670.0,59800.0,59430.0,59500.0,295874.0
2012-03-09,59690.0,60560.0,59640.0,60520.0,376514.0
2012-03-12,60700.0,60850.0,60350.0,60620.0,322306.0
2012-03-13,60680.0,61120.0,60580.0,61040.0,297888.0
2012-03-14,61330.0,61460.0,60460.0,60530.0,394474.0
2012-03-15,60300.0,60580.0,60030.0,60420.0,388758.0
2012-03-16,60860.0,61050.0,60580.0,60780.0,387510.0
2012-03-19,60600.0,60660.0,60120.0,60300.0,316268.0
2012-03-20,60660.0,60790.0,60120.0,60350.0,395528.0
2012-03-21,59980.0,60500.0,59950.0,60400.0,350756.0
2012-03-22,60300.0,60410.0,59620.0,59750.0,425620.0
2012-03-23,59840.0,60050.0,59560.0,60030.0,259862.0
2012-03-26,60190.0,60370.0,60060.0,60180.0,208516.0
2012-03-27,60900.0,60950.0,60570.0,60710.0,199316.0
2012-03-28,60370.0,60500.0,60080.0,60110.0,146570.0
2012-03-29,59820.0,59950.0,59510.0,59740.0,140870.0
2012-03-30,59970.0,60110.0,59850.0,60010.0,83726.0
2012-04-05,59560.0,60080.0,59140.0,59970.0,315344.0
