,AL.SHF_open,AL.SHF_high,AL.SHF_low,AL.SHF_close,AL.SHF_volume
2012-01-04,15990.0,16030.0,15890.0,15915.0,15778.0
2012-01-05,15915.0,15970.0,15915.0,15960.0,8492.0
2012-01-06,15915.0,15950.0,15900.0,15935.0,6754.0
2012-01-09,15925.0,15980.0,15860.0,15945.0,6560.0
2012-01-10,16050.0,16100.0,16010.0,16070.0,15916.0
2012-01-11,16150.0,16245.0,16150.0,16245.0,15888.0
2012-01-12,16240.0,16240.0,16170.0,16215.0,9348.0
2012-01-13,16210.0,16225.0,16135.0,16210.0,10282.0
2012-01-16,16165.0,16215.0,16125.0,16215.0,11904.0
2012-01-17,16235.0,16380.0,16230.0,16370.0,20862.0
2012-01-18,16420.0,16455.0,16320.0,16370.0,15750.0
2012-01-19,16360.0,16410.0,16330.0,16365.0,6978.0
2012-01-20,16355.0,16450.0,16355.0,16395.0,8124.0
2012-01-30,16450.0,16460.0,16265.0,16275.0,12282.0
2012-01-31,16325.0,16350.0,16275.0,16305.0,9406.0
2012-02-01,16245.0,16290.0,16210.0,16215.0,9116.0
2012-02-02,16260.0,16290.0,16210.0,16270.0,8988.0
2012-02-03,16195.0,16230.0,16190.0,16190.0,9674.0
2012-02-06,16255.0,16275.0,16210.0,16215.0,11262.0
2012-02-07,16200.0,16210.0,16140.0,16145.0,9300.0
2012-02-08,16230.0,16260.0,16180.0,16260.0,11848.0
2012-02-09,16225.0,16240.0,16165.0,16180.0,7822.0
2012-02-10,16325.0,16355.0,16300.0,16325.0,13360.0
2012-02-13,16305.0,16325.0,16260.0,16290.0,10386.0
2012-02-14,16225.0,16270.0,16210.0,16215.0,9326.0
2012-02-15,16240.0,16270.0,16200.0,16220.0,10068.0
2012-02-16,16210.0,16210.0,16120.0,16125.0,12530.0
2012-02-17,16185.0,16215.0,16155.0,16175.0,9596.0
2012-02-20,16210.0,16225.0,16130.0,16135.0,7968.0
2012-02-21,16105.0,16185.0,16105.0,16180.0,7862.0
2012-02-22,16245.0,16260.0,16205.0,16250.0,14460.0
2012-02-23,16270.0,16270.0,16200.0,16225.0,7508.0
2012-02-24,16220.0,16240.0,16160.0,16160.0,6696.0
2012-02-27,16250.0,16280.0,16230.0,16255.0,13364.0
2012-02-28,16255.0,16285.0,16235.0,16270.0,11392.0
2012-02-29,16260.0,16275.0,16235.0,16250.0,7934.0
2012-03-01,16200.0,16235.0,16190.0,16195.0,9200.0
2012-03-02,16250.0,16280.0,16235.0,16270.0,9638.0
2012-03-05,16245.0,16265.0,16210.0,16235.0,5896.0
2012-03-06,16185.0,16225.0,16165.0,16175.0,7420.0
2012-03-07,16100.0,16165.0,16100.0,16165.0,7972.0
2012-03-08,16190.0,16190.0,16140.0,16140.0,3098.0
2012-03-09,16155.0,16230.0,16155.0,16195.0,5804.0
2012-03-12,16195.0,16235.0,16160.0,16175.0,5148.0
2012-03-13,16190.0,16205.0,16170.0,16200.0,6788.0
2012-03-14,16230.0,16230.0,16150.0,16165.0,8794.0
2012-03-15,16170.0,16175.0,16140.0,16170.0,3186.0
2012-03-16,16190.0,16190.0,16150.0,16150.0,2702.0
2012-03-19,16145.0,16175.0,16145.0,16165.0,4394.0
2012-03-20,16180.0,16185.0,16145.0,16160.0,4836.0
2012-03-21,16135.0,16175.0,16110.0,16160.0,3908.0
2012-03-22,16160.0,16160.0,16100.0,16105.0,2572.0
2012-03-23,16105.0,16115.0,16080.0,16115.0,2322.0
2012-03-26,16210.0,16265.0,16200.0,16235.0,8494.0
2012-03-27,16260.0,16265.0,16220.0,16250.0,4472.0
2012-03-28,16230.0,16240.0,16180.0,16180.0,6558.0
2012-03-29,16185.0,16195.0,16150.0,16170.0,9632.0
2012-03-30,16175.0,16190.0,16145.0,16165.0,5522.0
2012-04-05,16090.0,16115.0,16030.0,16070.0,8998.0
2012-04-06,16115.0,16195.0,16090.0,16190.0,6646.0
2012-04-09,16200.0,16200.0,16150.0,16170.0,3646.0
2012-04-10,16150.0,16185.0,16135.0,16135.0,5250.0
2012-04-11,16050.0,16065.0,16005.0,16040.0,7264.0
2012-04-12,16120.0,16190.0,16120.0,16175.0,9158.0
2012-04-13,16200.0,16215.0,16145.0,16160.0,9652.0
2012-04-16,16080.0,16095.0,16040.0,16050.0,20548.0
2012-04-17,16075.0,16090.0,16045.0,16050.0,8076.0
2012-04-18,16085.0,16125.0,16060.0,16110.0,12238.0
2012-04-19,16060.0,16095.0,16030.0,16075.0,10136.0
2012-04-20,16090.0,16110.0,16060.0,16080.0,5692.0
