指标名称,中国:价格指数:稀土
2014-05-27,164.8
2014-05-28,164.8
2014-05-29,164.8
2014-05-30,164.8
2014-06-03,164.8
2014-06-04,164.8
2014-06-05,164.8
2014-06-06,164.8
2014-06-09,163.2
2014-06-10,163.2
2014-06-11,162.7
2014-06-12,162.7
2014-06-13,162.7
2014-06-16,162.7
2014-06-17,162.7
2014-06-19,162.7
2014-06-23,162.7
2014-06-24,162.7
2014-06-25,162.7
2014-06-26,162.7
2014-06-27,162.7
2014-06-30,162.7
2014-07-01,162.7
2014-07-02,162.7
2014-07-03,157.7
2014-07-04,157.7
2014-07-07,152.2
2014-07-08,152.2
2014-07-09,152.2
2014-07-10,152.2
2014-07-11,152.2
2014-07-14,152.2
2014-07-15,152.2
2014-07-16,151.2
2014-07-17,151.2
2014-07-18,151.2
2014-07-21,151.2
2014-07-22,151.2
2014-07-23,151.2
2014-07-24,151.2
2014-07-25,151.2
2014-07-28,151.2
2014-07-29,151.2
2014-07-30,148.3
2014-07-31,148.3
2014-08-01,148.3
2014-08-04,148.2
2014-08-05,148.2
2014-08-06,148.2
2014-08-07,147.8
2014-08-08,148.2
2014-08-11,148.2
2014-08-12,148.2
2014-08-13,148.2
2014-08-14,148.2
2014-08-15,148.2
2014-08-18,147.5
2014-08-19,147.5
2014-08-20,147.5
2014-08-21,147.5
2014-08-22,147.5
2014-08-25,147.4
2014-08-26,147.4
2014-08-27,147.4
2014-08-28,147.4
2014-08-29,147.4
2014-09-01,147.4
2014-09-02,147.4
2014-09-03,147.4
2014-09-04,144.3
2014-09-05,144.3
2014-09-09,144.3
2014-09-10,144.3
2014-09-11,144.3
2014-09-12,144.3
2014-09-15,144.3
2014-09-16,142.8
2014-09-17,142.8
2014-09-18,142.8
2014-09-23,142.3
2014-09-24,142.3
2014-09-25,142.3
2014-09-26,142.3
2014-09-28,142.3
2014-09-29,142.3
2014-09-30,142.3
2014-10-08,142.3
2014-10-09,142.3
2014-10-10,142.3
2014-10-11,142.3
2014-10-13,142.3
2014-10-14,142.3
2014-10-15,142.3
2014-10-16,142.3
2014-10-17,142.3
2014-10-20,141.8
2014-10-21,141.8
2014-10-22,141.8
2014-10-23,141.8
2014-10-24,141.8
2014-10-27,141.8
2014-10-28,141.8
2014-10-29,141.8
2014-10-30,141.8
2014-10-31,141.8
2014-11-03,136.4
2014-11-04,136.4
2014-11-05,136.4
2014-11-06,136.4
2014-11-13,136.4
2014-11-14,136.4
2014-11-17,136.4
2014-11-18,137.4
2014-11-19,137.4
2014-11-20,137.4
2014-11-21,137.4
2014-11-24,137.4
2014-11-25,137.4
2014-11-26,137.4
2014-11-27,137.4
2014-11-28,137.4
2014-12-01,137.4
2014-12-02,136.5
2014-12-03,136.5
2014-12-04,136.5
2014-12-08,138.6
2014-12-10,138.6
2014-12-11,138.6
2014-12-12,138.6
2014-12-15,138.3
2014-12-16,138.3
2014-12-17,138.3
2014-12-18,138.3
2014-12-22,138.3
2014-12-23,138.3
2014-12-24,132.8
2014-12-25,132.8
2014-12-26,132.8
2014-12-30,133.7
2015-01-05,133.7
2015-01-06,133.7
2015-01-07,133.7
2015-01-08,133.7
2015-01-09,133.7
2015-01-12,134.3
2015-01-13,133.4
2015-01-14,133.4
2015-01-15,133.4
2015-01-16,133.6
2015-01-19,133.6
2015-01-20,133.6
2015-01-21,133.6
2015-01-22,133.7
2015-01-23,133.7
2015-01-26,133.7
2015-01-27,133.7
2015-01-28,136.9
2015-01-29,136.9
2015-01-30,136.9
2015-02-02,139.7
2015-02-03,140.4
2015-02-04,140.5
2015-02-05,140.5
2015-02-06,142.9
2015-02-09,142.9
2015-02-10,144.0
2015-02-11,144.0
2015-02-12,144.0
2015-02-13,144.0
2015-02-25,145.7
2015-02-26,145.7
2015-03-02,147.7
2015-03-03,147.7
2015-03-04,147.7
2015-03-05,148.6
2015-03-06,148.6
2015-03-09,148.6
2015-03-10,148.6
2015-03-11,150.9
2015-03-12,150.9
2015-03-13,150.9
2015-03-16,150.9
2015-03-17,150.9
2015-03-18,150.9
2015-03-19,151.1
2015-03-20,151.1
2015-03-23,151.4
2015-03-24,147.9
2015-03-25,147.9
2015-03-26,147.9
2015-03-27,147.9
2015-03-31,146.3
2015-04-01,146.3
2015-04-02,143.0
2015-04-03,143.0
2015-04-13,142.6
2015-04-14,142.6
2015-04-15,142.6
2015-04-16,141.5
2015-04-17,141.5
2015-04-20,141.5
2015-04-21,141.5
2015-04-22,141.5
2015-04-23,141.2
2015-04-24,141.1
2015-04-27,141.1
2015-04-28,140.4
2015-04-29,140.4
2015-05-04,140.4
2015-05-05,140.4
2015-05-06,140.4
2015-05-07,140.4
2015-05-08,139.0
2015-05-11,139.0
2015-05-12,139.0
2015-05-13,138.7
2015-05-14,138.5
2015-05-15,138.5
2015-05-18,138.5
2015-05-19,138.5
2015-05-20,136.0
2015-05-21,136.0
2015-05-22,136.0
2015-05-25,136.0
2015-05-26,136.0
2015-05-27,136.0
2015-05-28,135.9
2015-05-29,135.9
2015-06-01,135.9
2015-06-02,133.9
2015-06-03,133.7
2015-06-04,133.0
2015-06-05,133.0
2015-06-08,133.0
2015-06-09,131.3
2015-06-10,131.3
2015-06-11,131.1
2015-06-12,131.1
2015-06-15,131.1
2015-06-16,130.5
2015-06-17,130.5
2015-06-18,130.4
2015-06-23,129.1
2015-06-24,128.9
2015-06-25,128.0
2015-06-26,128.0
2015-06-29,127.8
2015-06-30,127.8
2015-07-01,127.3
2015-07-02,126.6
2015-07-03,126.6
2015-07-07,125.5
2015-07-08,122.9
2015-07-09,122.9
2015-07-13,122.9
2015-07-14,121.6
2015-07-15,120.0
2015-07-16,119.0
2015-07-17,119.0
2015-07-20,119.0
2015-07-21,119.0
2015-07-22,118.8
2015-07-23,118.8
2015-07-24,118.8
2015-07-27,118.8
2015-07-28,115.7
2015-07-29,115.7
2015-07-30,115.2
2015-07-31,115.2
2015-08-03,115.2
2015-08-04,114.6
2015-08-05,114.6
2015-08-06,114.6
2015-08-07,114.6
2015-08-10,114.6
2015-08-11,113.4
2015-08-12,113.4
2015-08-13,113.2
2015-08-14,113.2
2015-08-17,113.2
2015-08-18,112.7
2015-08-19,112.7
2015-08-20,108.9
2015-08-21,108.9
2015-08-24,108.9
2015-08-25,108.9
2015-08-26,108.9
2015-08-27,108.9
2015-08-28,108.9
2015-08-31,108.8
2015-09-01,108.8
2015-09-06,109.2
2015-09-07,109.2
2015-09-08,108.9
2015-09-09,108.9
2015-09-11,108.9
2015-09-14,108.9
2015-09-15,108.9
2015-09-16,108.9
2015-09-17,108.9
2015-09-18,109.9
2015-09-21,109.9
2015-09-22,109.8
2015-09-23,109.8
2015-09-24,110.6
2015-10-08,111.8
2015-10-09,111.8
2015-10-12,113.1
2015-10-13,114.8
2015-10-14,116.7
2015-10-15,117.3
2015-10-16,117.3
2015-10-20,119.2
2015-10-21,120.0
2015-10-22,120.3
2015-10-26,120.3
2015-10-27,120.4
2015-10-28,120.1
2015-10-29,120.1
2015-10-30,120.1
2015-11-02,120.1
2015-11-05,120.1
2015-11-06,119.2
2015-11-09,119.2
2015-11-10,119.2
2015-11-11,119.2
2015-11-12,119.2
2015-11-13,119.2
2015-11-17,119.2
2015-11-18,119.4
2015-11-19,119.5
2015-11-20,119.9
2015-11-23,119.9
2015-11-24,119.9
2015-11-25,120.5
2015-11-26,120.9
2015-11-27,121.1
2015-11-30,121.1
2015-12-01,121.1
2015-12-02,121.1
2015-12-04,121.1
2015-12-07,121.1
2015-12-08,121.1
2015-12-09,120.9
2015-12-10,120.9
2015-12-11,120.9
2015-12-14,120.9
2015-12-15,120.9
2015-12-16,120.6
2015-12-17,120.6
2015-12-18,120.6
2015-12-21,120.6
2015-12-22,119.9
2015-12-23,119.9
2015-12-24,119.9
2015-12-25,119.1
2015-12-28,119.5
2015-12-29,119.5
2015-12-30,119.5
2016-01-04,119.5
2016-01-05,119.5
2016-01-06,119.4
2016-01-07,119.2
2016-01-11,118.7
2016-01-12,118.7
2016-01-13,118.7
2016-01-14,118.7
2016-01-18,118.7
2016-01-19,118.7
