Ö¸±êÃû³Æ,¿ªÅÌ×Ü¿â´æ:LMEÍ­,COMEX:¿â´æÁ¿:Í­,ÉýÌùË®:LMEÍ­(0-3)
1980-01-04,125450.0,,
1980-01-11,123025.0,,
1980-01-18,120125.0,,
1980-01-25,118725.0,,
1980-02-01,116400.0,,
1980-02-08,114450.0,,
1980-02-15,114375.0,,
1980-02-22,115625.0,,
1980-02-29,117175.0,,
1980-03-06,115925.0,,
1980-03-13,114825.0,,
1980-03-20,117350.0,,
1980-03-27,117925.0,,
1980-04-03,121650.0,,
1980-04-10,122650.0,,
1980-04-17,120850.0,,
1980-04-24,118925.0,,
1980-05-01,117350.0,,
1980-05-08,117425.0,,
1980-05-15,118100.0,,
1980-05-22,115650.0,,
1980-05-29,116150.0,,
1980-06-05,115675.0,,
1980-06-12,114275.0,,
1980-06-19,113450.0,,
1980-06-26,110000.0,,
1980-07-03,109600.0,,
1980-07-10,108725.0,,
1980-07-17,108450.0,,
1980-07-24,110625.0,,
1980-07-31,111275.0,,
1980-08-07,115125.0,,
1980-08-14,114575.0,,
1980-08-21,118625.0,,
1980-08-28,119625.0,,
1980-09-04,119975.0,,
1980-09-11,119900.0,,
1980-09-18,122775.0,,
1980-09-25,125250.0,,
1980-10-02,127700.0,,
1980-10-09,125925.0,,
1980-10-16,125500.0,,
1980-10-23,124500.0,,
1980-10-30,124975.0,,
1980-11-06,125825.0,,
1980-11-13,124650.0,,
1980-11-20,124200.0,,
1980-11-27,122875.0,,
1980-12-04,122725.0,,
1980-12-11,122400.0,,
1980-12-18,122675.0,,
1980-12-25,122600.0,,
1981-01-02,122225.0,,
1981-01-09,121100.0,,
1981-01-16,122650.0,,
1981-01-23,123050.0,,
1981-01-30,123550.0,,
1981-02-06,121800.0,,
1981-02-13,120325.0,,
1981-02-20,121600.0,,
1981-02-27,119300.0,,
1981-03-06,118600.0,,
1981-03-13,119975.0,,
1981-03-20,118475.0,,
1981-03-27,117025.0,,
1981-04-03,116150.0,,
1981-04-10,120075.0,,
1981-04-17,120075.0,,
1981-04-24,120400.0,,
1981-05-01,119400.0,,
