指标名称,开盘总库存:LME铝,中国:现货库存:电解铝
1980-01-04,19025.0,
1980-01-11,21900.0,
1980-01-18,25700.0,
1980-01-25,30075.0,
1980-02-01,29025.0,
1980-02-08,30550.0,
1980-02-15,33275.0,
1980-02-22,33925.0,
1980-02-29,34175.0,
1980-03-06,35325.0,
1980-03-13,36350.0,
1980-03-20,37525.0,
1980-03-27,39975.0,
1980-04-03,43650.0,
1980-04-10,35700.0,
1980-04-17,34825.0,
1980-04-24,30425.0,
1980-05-01,29475.0,
1980-05-08,28500.0,
1980-05-15,27000.0,
1980-05-22,27050.0,
1980-05-29,24775.0,
1980-06-05,24300.0,
1980-06-12,22950.0,
1980-06-19,17225.0,
1980-06-26,17850.0,
1980-07-03,16325.0,
1980-07-10,17300.0,
1980-07-17,17675.0,
1980-07-24,13525.0,
1980-07-31,10425.0,
1980-08-07,11525.0,
1980-08-14,11150.0,
1980-08-21,12825.0,
1980-08-28,16125.0,
1980-09-04,23650.0,
1980-09-11,33500.0,
1980-09-18,37550.0,
1980-09-25,39175.0,
1980-10-02,38075.0,
1980-10-09,41625.0,
1980-10-16,43300.0,
1980-10-23,42125.0,
1980-10-30,44700.0,
1980-11-06,51550.0,
1980-11-13,50725.0,
1980-11-20,64050.0,
1980-11-27,65675.0,
1980-12-04,66500.0,
1980-12-11,70575.0,
1980-12-18,68925.0,
1980-12-25,67950.0,
1981-01-02,63700.0,
1981-01-09,61400.0,
1981-01-16,59000.0,
1981-01-23,57050.0,
1981-01-30,55100.0,
1981-02-06,50425.0,
1981-02-13,47925.0,
1981-02-20,47950.0,
1981-02-27,46925.0,
1981-03-06,46050.0,
1981-03-13,45475.0,
1981-03-20,45350.0,
1981-03-27,46925.0,
1981-04-03,42500.0,
1981-04-10,51650.0,
1981-04-17,51025.0,
1981-04-24,52525.0,
1981-05-01,47125.0,
1981-05-08,50325.0,
1981-05-15,52025.0,
1981-05-22,50550.0,
1981-05-29,56700.0,
1981-06-05,58525.0,
1981-06-12,60800.0,
1981-06-19,65675.0,
1981-06-26,69000.0,
1981-07-03,69875.0,
1981-07-10,71550.0,
1981-07-17,75775.0,
1981-07-24,73500.0,
1981-07-31,74175.0,
1981-08-07,78525.0,
1981-08-14,83175.0,
1981-08-21,84925.0,
1981-08-28,86075.0,
1981-09-04,88800.0,
1981-09-11,90775.0,
1981-09-18,95150.0,
1981-09-25,100525.0,
1981-10-02,100850.0,
1981-10-09,101475.0,
1981-10-16,104375.0,
1981-10-23,112575.0,
1981-10-30,119500.0,
1981-11-06,123225.0,
1981-11-13,124450.0,
1981-11-20,134800.0,
1981-11-27,139100.0,
1981-12-04,150475.0,
1981-12-11,150400.0,
1981-12-18,154475.0,
1981-12-25,154450.0,
1982-01-01,155675.0,
1982-01-08,159975.0,
1982-01-15,164400.0,
1982-01-22,167475.0,
1982-01-29,167825.0,
1982-02-05,170500.0,
1982-02-12,174000.0,
1982-02-19,176200.0,
1982-02-26,180375.0,
1982-03-05,182575.0,
1982-03-12,188075.0,
1982-03-19,191375.0,
1982-03-26,199700.0,
1982-04-02,200525.0,
1982-04-09,199725.0,
1982-04-16,208075.0,
1982-04-23,220325.0,
1982-04-30,220475.0,
1982-05-07,224075.0,
1982-05-14,222700.0,
1982-05-21,221825.0,
1982-05-28,217925.0,
1982-06-04,218875.0,
1982-06-11,223525.0,
1982-06-18,221875.0,
1982-06-25,221000.0,
1982-07-02,216500.0,
1982-07-09,216725.0,
1982-07-16,217325.0,
1982-07-23,215825.0,
1982-07-30,213125.0,
1982-08-06,213150.0,
1982-08-13,214050.0,
1982-08-20,216075.0,
1982-08-27,219450.0,
1982-09-03,215025.0,
1982-09-10,216450.0,
1982-09-17,215000.0,
1982-09-24,219175.0,
1982-10-01,217850.0,
1982-10-08,221925.0,
1982-10-15,221250.0,
1982-10-22,223675.0,
1982-10-29,218100.0,
1982-11-05,217550.0,
1982-11-12,221600.0,
1982-11-19,219200.0,
1982-11-26,227850.0,
1982-12-03,231000.0,
1982-12-10,225850.0,
1982-12-17,235175.0,
1982-12-24,236775.0,
1982-12-31,248600.0,
1983-01-07,258725.0,
1983-01-14,258750.0,
1983-01-21,263100.0,
1983-01-28,262375.0,
1983-02-04,262500.0,
1983-02-11,265225.0,
1983-02-18,262100.0,
1983-02-25,262500.0,
1983-03-04,262250.0,
1983-03-11,264925.0,
1983-03-18,263200.0,
1983-03-25,260525.0,
1983-04-01,263325.0,
1983-04-08,267650.0,
1983-04-15,264750.0,
1983-04-22,263375.0,
1983-04-29,263925.0,
1983-05-06,266775.0,
1983-05-13,271725.0,
1983-05-20,274300.0,
1983-05-27,275825.0,
