,S.CBT_open,S.CBT_high,S.CBT_low,S.CBT_close,S.CBT_volume
2012-01-04,1227.5,1235.75,1220.5,1230.0,92071.0
2012-01-05,1230.0,1233.75,1206.0,1209.0,88973.0
2012-01-06,1207.25,1219.75,1193.5,1196.5,79425.0
2012-01-09,1195.0,1235.0,1194.5,1233.0,111715.0
2012-01-10,1230.75,1237.0,1220.5,1232.0,94553.0
2012-01-11,1228.0,1232.0,1200.5,1203.0,103990.0
2012-01-12,1202.5,1213.5,1150.0,1182.5,143179.0
2012-01-13,1182.0,1194.5,1157.5,1158.25,127505.0
2012-01-16,,,,1158.25,
2012-01-17,1163.0,1187.0,1162.75,1183.5,102904.0
2012-01-18,1182.5,1187.25,1172.25,1183.5,108813.0
2012-01-19,1184.0,1198.0,1181.5,1197.0,101302.0
2012-01-20,1197.5,1204.0,1183.0,1187.0,87860.0
2012-01-30,1214.25,1218.5,1184.5,1185.25,110514.0
2012-01-31,1186.75,1204.0,1184.25,1199.0,109498.0
2012-02-01,1202.0,1219.0,1202.0,1215.25,103352.0
2012-02-02,1213.5,1225.0,1206.25,1217.0,96532.0
2012-02-03,1217.0,1236.5,1214.0,1232.5,101505.0
2012-02-06,1230.75,1244.0,1230.75,1233.0,106641.0
2012-02-07,1232.0,1239.5,1227.0,1232.0,97375.0
2012-02-08,1230.25,1244.75,1222.75,1231.5,103893.0
2012-02-09,1229.5,1247.5,1222.75,1227.5,133129.0
2012-02-10,1229.25,1230.75,1215.0,1229.0,95447.0
2012-02-13,1238.0,1255.0,1232.0,1252.0,143518.0
2012-02-14,1252.0,1261.75,1245.5,1255.0,121808.0
2012-02-15,1254.75,1269.0,1249.0,1261.0,121999.0
2012-02-16,1260.5,1264.5,1246.25,1258.25,108157.0
2012-02-17,1258.0,1273.25,1256.25,1267.5,88310.0
2012-02-20,,,,1267.5,
2012-02-21,1271.0,1276.0,1260.0,1271.0,98178.0
2012-02-22,1267.75,1272.5,1261.5,1272.25,94449.0
2012-02-23,1271.0,1280.0,1266.5,1276.75,108306.0
2012-02-24,1276.5,1284.75,1272.0,1279.0,106390.0
2012-02-27,1278.0,1295.0,1276.5,1293.75,73387.0
2012-02-28,1300.0,1314.75,1300.0,1312.5,114800.0
2012-02-29,1311.0,1324.25,1308.0,1320.0,116965.0
2012-03-01,1315.5,1323.75,1306.25,1322.5,105942.0
2012-03-02,1321.5,1333.0,1316.25,1333.0,106708.0
2012-03-05,1330.0,1336.5,1323.0,1325.0,92869.0
2012-03-06,1324.0,1336.25,1315.25,1335.25,131513.0
2012-03-07,1334.0,1339.0,1324.0,1326.75,96798.0
2012-03-08,1327.0,1339.0,1324.0,1338.5,101588.0
2012-03-09,1337.0,1355.5,1330.25,1337.75,157259.0
2012-03-12,1338.0,1341.75,1332.0,1334.5,85710.0
2012-03-13,1333.0,1354.75,1331.25,1348.75,104890.0
2012-03-14,1349.0,1360.75,1346.5,1350.25,99569.0
2012-03-15,1352.25,1370.0,1352.0,1369.0,99612.0
2012-03-16,1368.5,1377.5,1363.5,1374.0,96440.0
2012-03-19,1374.25,1378.0,1362.5,1366.5,76048.0
2012-03-20,1367.0,1368.0,1341.75,1345.0,117640.0
2012-03-21,1345.0,1358.0,1344.75,1355.0,89731.0
2012-03-22,1355.0,1360.0,1338.5,1349.5,97000.0
2012-03-23,1350.25,1369.5,1349.5,1365.75,93950.0
2012-03-26,1365.75,1388.5,1364.0,1379.5,109894.0
2012-03-27,1379.75,1387.25,1368.75,1369.75,122644.0
2012-03-28,1370.75,1379.0,1364.0,1367.5,91500.0
2012-03-29,1369.0,1376.5,1351.0,1355.5,126649.0
2012-03-30,1355.5,1416.0,1353.5,1403.0,157501.0
2012-04-05,1420.0,1434.25,1414.75,1434.0,99258.0
2012-04-06,,,,1434.0,
2012-04-09,1431.0,1446.75,1423.5,1431.0,89287.0
2012-04-10,1431.0,1452.25,1421.75,1426.0,163221.0
2012-04-11,1428.0,1431.25,1415.0,1422.0,102354.0
2012-04-12,1423.25,1444.5,1420.0,1441.0,106415.0
2012-04-13,1442.5,1447.75,1431.25,1436.75,109436.0
2012-04-16,1434.5,1435.75,1415.5,1420.0,84110.0
2012-04-17,1420.25,1434.5,1418.25,1425.75,89852.0
2012-04-18,1425.0,1434.0,1403.75,1407.75,68118.0
2012-04-19,1414.75,1435.75,1412.25,1420.25,96605.0
2012-04-20,1420.5,1458.75,1418.0,1458.75,140799.0
2012-04-23,1450.25,1457.25,1439.75,1440.25,110238.0
2012-04-24,1440.5,1471.25,1437.75,1467.75,129459.0
2012-04-25,,,,1476.0,163495.0
2012-04-26,1474.75,1483.0,1463.5,1479.75,132754.0
2012-04-27,1482.75,1506.75,1481.5,1494.25,121732.0
2012-05-02,1501.0,1512.5,1481.0,1481.5,130409.0
2012-05-03,1482.5,1488.75,1465.5,1473.5,100474.0
2012-05-04,1472.0,1481.25,1458.0,1478.0,110558.0
2012-05-07,1470.25,1478.75,1460.25,1467.5,82962.0
2012-05-08,1467.25,1471.25,1434.25,1436.0,133806.0
2012-05-09,1438.25,1441.75,1413.25,1430.25,113621.0
2012-05-10,1430.0,1458.75,1429.5,1457.5,103392.0
2012-05-11,1457.0,1461.75,1402.5,1403.75,125083.0
2012-05-14,1406.0,1406.75,1376.0,1385.0,141133.0
2012-05-15,1385.5,1415.75,1380.0,1413.25,125036.0
2012-05-16,1413.5,1423.0,1386.25,1421.0,119358.0
2012-05-17,1423.75,1449.75,1420.25,1437.0,100306.0
2012-05-18,1435.0,1438.75,1405.0,1408.25,82989.0
2012-05-21,1413.75,1423.0,1408.5,1412.5,66867.0
2012-05-22,1410.75,1417.75,1375.0,1381.5,108760.0
2012-05-23,1382.5,1383.25,1351.0,1365.0,113814.0
2012-05-24,1367.5,1387.75,1367.5,1378.5,74803.0
2012-05-25,1380.0,1386.5,1371.5,1382.0,53137.0
2012-05-28,,,,1382.0,
2012-05-29,1383.0,1402.0,1379.25,1385.75,71153.0
2012-05-30,1388.0,1394.5,1364.25,1377.75,75315.0
2012-05-31,1377.25,1377.5,1339.5,1342.0,101905.0
2012-06-01,1340.75,1358.0,1317.5,1344.25,113277.0
2012-06-04,1350.0,1355.75,1331.5,1340.0,65481.0
2012-06-05,1340.5,1360.25,1340.5,1349.5,71177.0
2012-06-06,1353.5,1392.0,1352.75,1386.25,92242.0
2012-06-07,1386.0,1430.0,1383.25,1426.25,99239.0
2012-06-08,1425.25,1439.0,1408.25,1427.5,101533.0
2012-06-11,1426.0,1445.5,1418.0,1425.5,71770.0
2012-06-12,1425.5,1449.25,1416.25,1436.25,99416.0
2012-06-13,1433.5,1437.5,1404.75,1408.25,81709.0
2012-06-14,1408.25,1415.75,1384.0,1386.5,77645.0
2012-06-15,1389.75,1401.5,1370.75,1376.0,81685.0
2012-06-18,1383.0,1396.25,1375.25,1387.5,76188.0
2012-06-19,1345.0,1395.0,1343.0,1385.5,144403.0
