,C.CBT_open,C.CBT_high,C.CBT_low,C.CBT_close,C.CBT_volume
2012-01-04,658.0,661.6,653.4,659.0,122760.0
2012-01-05,658.0,659.6,639.4,646.0,163423.0
2012-01-06,642.0,649.4,640.2,643.4,124175.0
2012-01-09,643.0,663.0,642.6,654.2,157860.0
2012-01-10,651.4,657.4,648.0,652.6,129397.0
2012-01-11,651.4,655.4,646.0,653.4,165254.0
2012-01-12,651.0,659.4,611.4,611.4,135447.0
2012-01-13,608.4,614.6,598.4,599.4,175522.0
2012-01-16,,,,599.4,
2012-01-17,601.2,611.6,601.2,606.0,141780.0
2012-01-18,605.2,606.4,592.4,593.0,173695.0
2012-01-19,594.0,607.0,593.6,606.6,171900.0
2012-01-20,606.0,613.6,601.2,613.4,133356.0
2012-01-30,639.5,642.75,627.5,632.0,126940.0
2012-01-31,632.2,642.0,631.0,640.0,187270.0
2012-02-01,639.0,650.0,638.0,642.0,145982.0
2012-02-02,641.6,647.0,634.2,643.2,150218.0
2012-02-03,642.4,646.4,638.0,643.4,114171.0
2012-02-06,641.0,648.4,639.2,644.0,107685.0
2012-02-07,643.0,645.0,639.2,642.4,146853.0
2012-02-08,642.0,648.6,632.0,643.2,202480.0
2012-02-09,641.6,652.0,632.6,636.0,229111.0
2012-02-10,636.4,638.6,628.2,630.2,141422.0
2012-02-13,637.6,646.4,636.4,643.0,114501.0
2012-02-14,642.6,644.2,635.6,636.2,101882.0
2012-02-15,637.4,642.0,629.0,630.6,84840.0
2012-02-16,631.0,640.4,626.0,639.6,94072.0
2012-02-17,639.0,650.0,638.6,644.6,85494.0
2012-02-20,,,,644.6,
2012-02-21,646.0,648.0,628.6,633.4,111421.0
2012-02-22,633.6,642.6,630.0,642.2,88159.0
2012-02-23,641.4,646.4,635.2,642.4,125487.0
2012-02-24,641.0,644.4,637.0,643.4,110954.0
2012-02-27,641.2,649.0,636.4,648.6,182698.0
2012-02-28,646.2,657.6,646.0,657.0,178056.0
2012-02-29,656.0,661.4,653.2,657.6,153569.0
2012-03-01,656.0,658.0,650.4,653.2,125008.0
2012-03-02,653.2,655.4,647.0,653.6,121306.0
2012-03-05,654.0,665.2,652.2,661.0,142059.0
2012-03-06,659.0,659.6,649.4,652.0,131870.0
2012-03-07,653.4,656.0,637.4,637.6,170076.0
2012-03-08,638.0,644.6,631.6,634.0,132154.0
2012-03-09,635.0,652.0,631.6,644.2,177089.0
2012-03-12,644.25,661.5,641.75,659.5,154334.0
2012-03-13,657.75,666.75,656.0,662.0,140626.0
2012-03-14,660.75,665.0,654.25,658.75,151942.0
2012-03-15,658.75,673.0,658.0,669.0,160363.0
2012-03-16,668.0,673.75,665.75,673.0,114697.0
2012-03-19,673.0,675.75,662.0,663.5,106446.0
2012-03-20,,,,647.4,
2012-03-21,,,,642.0,
2012-03-22,,,,644.4,
2012-03-23,645.5,652.0,642.25,646.5,90807.0
2012-03-26,646.25,656.0,637.25,637.75,166210.0
2012-03-27,,,,630.6,134788.0
2012-03-28,630.5,634.75,619.0,620.25,168937.0
2012-03-29,620.2,623.4,603.0,603.4,184927.0
2012-03-30,605.0,644.0,604.0,644.0,206696.0
2012-04-05,657.0,663.2,654.6,657.6,115901.0
2012-04-06,,,,657.6,
2012-04-09,656.0,664.2,648.4,649.6,123825.0
2012-04-10,649.4,653.6,634.4,637.0,205031.0
2012-04-11,627.6,630.2,622.6,627.2,123381.0
2012-04-12,627.6,635.0,627.0,630.2,123601.0
2012-04-13,631.2,633.0,616.0,619.2,103730.0
2012-04-16,618.4,618.6,611.0,611.2,86429.0
2012-04-17,613.2,618.0,606.4,606.4,104897.0
2012-04-18,608.0,609.2,591.6,593.4,209103.0
2012-04-19,595.4,614.4,595.2,611.4,160409.0
2012-04-20,612.0,619.0,599.4,601.0,158481.0
2012-04-23,603.2,612.4,600.0,610.0,117193.0
2012-04-24,612.4,621.6,605.0,607.0,162285.0
2012-04-25,607.0,617.0,600.6,603.4,171009.0
2012-04-26,603.6,608.2,599.0,607.4,168597.0
2012-04-27,608.4,629.4,606.2,626.4,219448.0
2012-05-02,627.6,629.0,610.0,610.4,149794.0
2012-05-03,611.75,616.75,607.5,614.5,98491.0
2012-05-04,614.0,626.0,604.0,619.4,160523.0
2012-05-07,615.6,621.2,612.2,620.2,95594.0
2012-05-08,620.4,632.0,618.4,621.2,152357.0
2012-05-09,622.5,623.0,605.5,607.25,129103.0
2012-05-10,609.0,612.2,585.4,588.2,191841.0
2012-05-11,589.4,592.4,572.2,581.6,161965.0
2012-05-14,582.0,586.75,576.25,582.2,94852.0
2012-05-15,582.4,597.6,581.4,597.4,100047.0
2012-05-16,597.0,620.6,590.6,619.2,144159.0
2012-05-17,619.0,626.4,616.2,623.6,120189.0
2012-05-18,622.6,638.4,619.4,633.2,152635.0
2012-05-21,638.2,644.4,628.6,632.6,113299.0
2012-05-22,629.0,634.6,595.0,598.2,176273.0
2012-05-23,601.2,611.0,588.4,602.4,153670.0
2012-05-24,605.2,609.0,576.6,579.0,168045.0
2012-05-25,583.0,589.4,573.2,579.6,131718.0
2012-05-28,,,,579.6,
2012-05-29,580.0,583.6,557.0,561.0,158844.0
2012-05-30,563.6,568.2,553.4,560.0,126861.0
2012-05-31,560.0,564.0,553.6,557.0,129357.0
2012-06-01,557.75,579.5,551.0,551.5,157007.0
2012-06-04,560.2,569.2,557.6,568.0,78535.0
2012-06-05,569.2,572.6,569.0,571.0,137002.0
2012-06-06,569.25,586.5,569.0,586.25,109840.0
2012-06-07,585.6,601.4,584.4,594.6,129331.0
2012-06-08,593.0,605.4,585.2,598.6,129662.0
2012-06-11,598.4,603.6,588.6,592.6,110489.0
2012-06-12,535.6,536.6,516.6,521.2,104697.0
2012-06-13,520.0,524.5,509.25,510.5,102026.0
2012-06-14,510.6,521.2,509.2,516.0,85705.0
2012-06-15,516.0,522.0,506.0,506.0,83527.0
2012-06-18,511.0,539.2,510.0,535.4,133624.0
2012-06-19,538.0,564.0,536.25,563.5,169800.0
2012-06-20,560.0,567.4,548.6,567.0,117915.0
2012-06-21,563.6,568.0,548.4,549.6,138422.0
2012-06-25,570.2,594.0,570.2,594.0,139037.0
2012-06-26,599.6,623.6,596.2,614.6,245923.0
2012-06-27,622.75,656.75,617.25,633.0,259005.0
2012-06-28,632.2,648.6,625.4,631.4,188531.0
2012-06-29,632.0,655.0,622.0,634.75,210374.0
2012-07-02,649.6,664.0,644.6,656.2,167771.0
2012-07-03,669.2,676.0,660.6,673.6,145348.0
2012-07-04,,,,673.6,
2012-07-05,689.0,704.0,685.4,703.4,221295.0
2012-07-06,707.4,707.6,687.6,694.2,136208.0
2012-07-09,708.4,733.0,707.2,730.2,179242.0
2012-07-10,728.6,732.0,712.4,719.4,161784.0
2012-07-11,716.4,748.0,686.0,687.0,324271.0
2012-07-12,708.6,739.0,705.0,733.4,184441.0
2012-07-13,731.2,749.0,727.2,736.2,179010.0
2012-07-16,750.0,778.0,749.2,777.2,195665.0
