,CF.CZC_open,CF.CZC_high,CF.CZC_low,CF.CZC_close,CF.CZC_volume
2012-01-04,20855.0,20960.0,20685.0,20790.0,71882.0
2012-01-05,20780.0,20880.0,20755.0,20825.0,70494.0
2012-01-06,20775.0,20895.0,20775.0,20870.0,44828.0
2012-01-09,20900.0,21035.0,20870.0,20985.0,81270.0
2012-01-10,21020.0,21100.0,20980.0,21090.0,58572.0
2012-01-11,21100.0,21215.0,21050.0,21190.0,70186.0
2012-01-12,21170.0,21450.0,21160.0,21310.0,106574.0
2012-01-13,21245.0,21305.0,21110.0,21140.0,68190.0
2012-01-16,21120.0,21195.0,21085.0,21140.0,33020.0
2012-01-17,21175.0,21295.0,21155.0,21280.0,49562.0
2012-01-18,21320.0,21425.0,21280.0,21325.0,38782.0
2012-01-19,21300.0,21380.0,21260.0,21300.0,27330.0
2012-01-20,21350.0,21390.0,21290.0,21385.0,30666.0
2012-01-30,21350.0,21560.0,21320.0,21495.0,55182.0
2012-01-31,21450.0,21590.0,21435.0,21560.0,60036.0
2012-02-01,21530.0,21585.0,21490.0,21505.0,42786.0
2012-02-02,21520.0,21545.0,21430.0,21465.0,31018.0
2012-02-03,21485.0,21530.0,21425.0,21520.0,36646.0
2012-02-06,21600.0,21800.0,21600.0,21795.0,65158.0
2012-02-07,21770.0,21945.0,21625.0,21720.0,82020.0
2012-02-08,22460.0,22570.0,22345.0,22545.0,151224.0
2012-02-09,22460.0,22540.0,22285.0,22315.0,126340.0
2012-02-10,22160.0,22290.0,22080.0,22185.0,136002.0
2012-02-13,22215.0,22315.0,22160.0,22205.0,73682.0
2012-02-14,22225.0,22235.0,22060.0,22110.0,76008.0
2012-02-15,22145.0,22210.0,22090.0,22090.0,70990.0
2012-02-16,22080.0,22100.0,21580.0,21635.0,167088.0
2012-02-17,21735.0,21745.0,21650.0,21705.0,78220.0
2012-02-20,21735.0,21795.0,21600.0,21635.0,83980.0
2012-02-21,21620.0,21740.0,21470.0,21715.0,133734.0
2012-02-22,21750.0,21840.0,21705.0,21770.0,125832.0
2012-02-23,21650.0,21715.0,21605.0,21625.0,92156.0
2012-02-24,21565.0,21650.0,21480.0,21520.0,94972.0
2012-02-27,21590.0,21700.0,21570.0,21625.0,105856.0
2012-02-28,21650.0,21830.0,21630.0,21815.0,125388.0
2012-02-29,21845.0,21915.0,21750.0,21910.0,126854.0
2012-03-01,21820.0,21965.0,21760.0,21785.0,169110.0
2012-03-02,21810.0,21830.0,21665.0,21760.0,115430.0
2012-03-05,21670.0,22110.0,21610.0,22040.0,353494.0
2012-03-06,22120.0,22160.0,21885.0,21980.0,328210.0
2012-03-07,21820.0,21830.0,21615.0,21625.0,215812.0
2012-03-08,21650.0,21720.0,21635.0,21655.0,107216.0
2012-03-09,21660.0,21820.0,21645.0,21755.0,152334.0
2012-03-12,21670.0,21705.0,21505.0,21560.0,199694.0
2012-03-13,21550.0,21635.0,21530.0,21590.0,101178.0
2012-03-14,21615.0,21695.0,21340.0,21385.0,241292.0
2012-03-15,21320.0,21395.0,21280.0,21290.0,119308.0
2012-03-16,21280.0,21375.0,21200.0,21260.0,125926.0
2012-03-19,21300.0,21430.0,21275.0,21385.0,182126.0
2012-03-20,21430.0,21455.0,21310.0,21355.0,135638.0
2012-03-21,21300.0,21395.0,21285.0,21355.0,89044.0
2012-03-22,21340.0,21385.0,21310.0,21330.0,60460.0
2012-03-23,21380.0,21410.0,21340.0,21360.0,76180.0
2012-03-26,21370.0,21385.0,21260.0,21295.0,108424.0
2012-03-27,21345.0,21360.0,21235.0,21275.0,101182.0
2012-03-28,21300.0,21355.0,21210.0,21215.0,120432.0
2012-03-29,21235.0,21385.0,21180.0,21265.0,211990.0
2012-03-30,21250.0,21330.0,21230.0,21240.0,79716.0
2012-04-05,21060.0,21185.0,21040.0,21155.0,92880.0
2012-04-06,21135.0,21240.0,21095.0,21190.0,94742.0
2012-04-09,21170.0,21310.0,21150.0,21240.0,101894.0
2012-04-10,21260.0,21465.0,21255.0,21430.0,181656.0
2012-04-11,21350.0,21440.0,21320.0,21350.0,144740.0
2012-04-12,21390.0,21430.0,21360.0,21400.0,97202.0
2012-04-13,21455.0,21490.0,21375.0,21380.0,112308.0
2012-04-16,21300.0,21405.0,21290.0,21380.0,85336.0
2012-04-17,21305.0,21340.0,21110.0,21180.0,158858.0
2012-04-18,21230.0,21255.0,21160.0,21225.0,83328.0
2012-04-19,21255.0,21450.0,21250.0,21445.0,282888.0
2012-04-20,21425.0,21455.0,21365.0,21390.0,118316.0
2012-04-23,21400.0,21415.0,21235.0,21235.0,130692.0
2012-04-24,21300.0,21305.0,21115.0,21180.0,178954.0
2012-04-25,21160.0,21220.0,21135.0,21170.0,59388.0
2012-04-26,21170.0,21200.0,21140.0,21165.0,49144.0
2012-04-27,21200.0,21200.0,21070.0,21100.0,99944.0
2012-05-02,21010.0,21070.0,20920.0,21015.0,77304.0
2012-05-03,21005.0,21075.0,20955.0,20980.0,82552.0
2012-05-04,20965.0,21055.0,20955.0,21045.0,75362.0
2012-05-07,20980.0,20995.0,20830.0,20840.0,107048.0
2012-05-08,20780.0,20850.0,20705.0,20785.0,157356.0
2012-05-09,20740.0,20775.0,20575.0,20575.0,120026.0
2012-05-10,20550.0,20610.0,20430.0,20490.0,158092.0
2012-05-11,20260.0,20270.0,19685.0,19685.0,452228.0
2012-05-14,19695.0,19700.0,19150.0,19320.0,528952.0
2012-05-15,19370.0,19370.0,19070.0,19235.0,351824.0
2012-05-16,19185.0,19295.0,19055.0,19055.0,267106.0
2012-05-17,18995.0,19045.0,18685.0,18880.0,483902.0
2012-05-18,18850.0,19095.0,18810.0,19055.0,381754.0
2012-05-21,19160.0,19310.0,19155.0,19260.0,173748.0
2012-05-22,19200.0,19215.0,19045.0,19065.0,155888.0
2012-05-23,18640.0,18730.0,18385.0,18715.0,266300.0
2012-05-24,18690.0,18905.0,18610.0,18855.0,224246.0
2012-05-25,18875.0,18920.0,18650.0,18765.0,138082.0
2012-05-28,18790.0,18795.0,18620.0,18675.0,110882.0
2012-05-29,18670.0,18865.0,18625.0,18820.0,114312.0
2012-05-30,18730.0,18790.0,18705.0,18730.0,61234.0
2012-05-31,18615.0,18715.0,18615.0,18695.0,45560.0
2012-06-01,18705.0,18765.0,18520.0,18565.0,79082.0
2012-06-04,19130.0,19200.0,18640.0,18640.0,330358.0
2012-06-05,18770.0,18875.0,18700.0,18805.0,234462.0
2012-06-06,18725.0,18875.0,18635.0,18750.0,244730.0
2012-06-07,19085.0,19090.0,18920.0,18995.0,338986.0
2012-06-08,19160.0,19195.0,18875.0,18980.0,349018.0
2012-06-11,19065.0,19190.0,18890.0,19025.0,310070.0
2012-06-12,18950.0,19025.0,18835.0,18940.0,281760.0
2012-06-13,18940.0,18950.0,18810.0,18875.0,161552.0
2012-06-14,18870.0,19295.0,18860.0,19065.0,502606.0
2012-06-15,19200.0,19400.0,19155.0,19280.0,475728.0
2012-06-18,19325.0,19460.0,19295.0,19395.0,264316.0
2012-06-19,19460.0,19485.0,19340.0,19370.0,261156.0
2012-06-20,19535.0,19595.0,19410.0,19450.0,236838.0
2012-06-21,19260.0,19265.0,19085.0,19090.0,240516.0
2012-06-25,19000.0,19265.0,18980.0,19210.0,194044.0
2012-06-26,19230.0,19285.0,19085.0,19140.0,157074.0
2012-06-27,19095.0,19145.0,19060.0,19095.0,106566.0
2012-06-28,19120.0,19200.0,19105.0,19155.0,97888.0
2012-06-29,19175.0,19225.0,19115.0,19205.0,104676.0
2012-07-02,19330.0,19445.0,19235.0,19440.0,175868.0
2012-07-03,19430.0,19620.0,19375.0,19515.0,369272.0
2012-07-04,19565.0,19575.0,19360.0,19415.0,258748.0
2012-07-05,19420.0,19550.0,19380.0,19540.0,225838.0
2012-07-06,19460.0,19515.0,19400.0,19475.0,155836.0
2012-07-09,19500.0,19540.0,19340.0,19490.0,169018.0
2012-07-10,19440.0,19610.0,19425.0,19500.0,218548.0
2012-07-11,19500.0,19635.0,19400.0,19435.0,283760.0
2012-07-12,19465.0,19545.0,19430.0,19495.0,131394.0
2012-07-13,19420.0,19500.0,19405.0,19490.0,103130.0
2012-07-16,19605.0,19685.0,19550.0,19570.0,227198.0
2012-07-17,19615.0,19620.0,19350.0,19360.0,214776.0
2012-07-18,19300.0,19420.0,19105.0,19405.0,350130.0
2012-07-19,19435.0,19540.0,19420.0,19535.0,142376.0
2012-07-20,19500.0,19625.0,19400.0,19460.0,185654.0
2012-07-23,19500.0,19500.0,19320.0,19375.0,139540.0
2012-07-24,19320.0,19580.0,19235.0,19390.0,161128.0
2012-07-25,19340.0,19400.0,19200.0,19210.0,197820.0
2012-07-26,19165.0,19260.0,19050.0,19155.0,249072.0
2012-07-27,19190.0,19200.0,19060.0,19165.0,147182.0
2012-07-30,19160.0,19255.0,18540.0,18865.0,419184.0
2012-07-31,18830.0,19040.0,18760.0,19000.0,239828.0
2012-08-01,18960.0,19080.0,18835.0,19020.0,172990.0
2012-08-02,18950.0,19030.0,18900.0,18990.0,122358.0
2012-08-03,18990.0,18990.0,18880.0,18900.0,95664.0
2012-08-06,19100.0,19190.0,19030.0,19175.0,152916.0
2012-08-07,19250.0,19390.0,19210.0,19390.0,210298.0
2012-08-08,19355.0,19465.0,19205.0,19265.0,189078.0
2012-08-09,19330.0,19400.0,19305.0,19380.0,94050.0
2012-08-10,19360.0,19435.0,19330.0,19395.0,118618.0
2012-08-13,19280.0,19320.0,19250.0,19275.0,107364.0
2012-08-14,19265.0,19360.0,19215.0,19320.0,163326.0
2012-08-15,19300.0,19550.0,19300.0,19455.0,272970.0
2012-08-16,19470.0,19510.0,19400.0,19460.0,144806.0
2012-08-17,19465.0,19495.0,19410.0,19435.0,74956.0
2012-08-20,19480.0,19590.0,19450.0,19510.0,164708.0
2012-08-21,19550.0,19610.0,19545.0,19600.0,106892.0
