,SR.CZC_open,SR.CZC_high,SR.CZC_low,SR.CZC_close,SR.CZC_volume
2012-01-04,6020.0,6066.0,5990.0,6036.0,854644.0
2012-01-05,6080.0,6319.0,6079.0,6271.0,1556444.0
2012-01-06,6200.0,6233.0,6178.0,6225.0,768872.0
2012-01-09,6208.0,6290.0,6206.0,6242.0,561064.0
2012-01-10,6250.0,6407.0,6241.0,6393.0,1070192.0
2012-01-11,6393.0,6399.0,6361.0,6384.0,505412.0
2012-01-12,6415.0,6450.0,6366.0,6437.0,833096.0
2012-01-13,6418.0,6430.0,6366.0,6421.0,563718.0
2012-01-16,6410.0,6445.0,6379.0,6435.0,592918.0
2012-01-17,6439.0,6488.0,6380.0,6453.0,916870.0
2012-01-18,6430.0,6482.0,6425.0,6460.0,526226.0
2012-01-19,6470.0,6480.0,6458.0,6474.0,295598.0
2012-01-20,6501.0,6591.0,6475.0,6586.0,611178.0
2012-01-30,6509.0,6539.0,6489.0,6520.0,386790.0
2012-01-31,6496.0,6558.0,6475.0,6534.0,658626.0
2012-02-01,6521.0,6533.0,6495.0,6507.0,474448.0
2012-02-02,6518.0,6554.0,6501.0,6524.0,596588.0
2012-02-03,6517.0,6538.0,6501.0,6529.0,424500.0
2012-02-06,6542.0,6578.0,6536.0,6567.0,557238.0
2012-02-07,6588.0,6600.0,6550.0,6569.0,579408.0
2012-02-08,6571.0,6615.0,6550.0,6614.0,553158.0
2012-02-09,6623.0,6675.0,6612.0,6631.0,815768.0
2012-02-10,6620.0,6649.0,6615.0,6636.0,343202.0
2012-02-13,6647.0,6666.0,6636.0,6649.0,351334.0
2012-02-14,6633.0,6660.0,6607.0,6616.0,433716.0
2012-02-15,6608.0,6626.0,6598.0,6619.0,326202.0
2012-02-16,6624.0,6635.0,6556.0,6571.0,632044.0
2012-02-17,6600.0,6606.0,6574.0,6600.0,424214.0
2012-02-20,6639.0,6647.0,6620.0,6626.0,311506.0
2012-02-21,6631.0,6643.0,6592.0,6639.0,469806.0
2012-02-22,6680.0,6680.0,6641.0,6643.0,343588.0
2012-02-23,6655.0,6662.0,6619.0,6636.0,354572.0
2012-02-24,6631.0,6660.0,6627.0,6641.0,238638.0
2012-02-27,6653.0,6705.0,6648.0,6684.0,437584.0
2012-02-28,6702.0,6710.0,6676.0,6686.0,290052.0
2012-02-29,6675.0,6680.0,6652.0,6675.0,280922.0
2012-03-01,6651.0,6657.0,6633.0,6644.0,286650.0
2012-03-02,6650.0,6659.0,6642.0,6654.0,151060.0
2012-03-05,6653.0,6654.0,6606.0,6621.0,364330.0
2012-03-06,6611.0,6622.0,6592.0,6614.0,272414.0
2012-03-07,6580.0,6598.0,6576.0,6594.0,227500.0
2012-03-08,6593.0,6620.0,6583.0,6590.0,291722.0
2012-03-09,6600.0,6632.0,6594.0,6630.0,294014.0
2012-03-12,6610.0,6620.0,6608.0,6616.0,152444.0
2012-03-13,6620.0,6664.0,6620.0,6650.0,255158.0
2012-03-14,6660.0,6666.0,6611.0,6624.0,230288.0
2012-03-15,6626.0,6675.0,6626.0,6658.0,311022.0
2012-03-16,6706.0,6719.0,6666.0,6670.0,242040.0
2012-03-19,6675.0,6680.0,6656.0,6657.0,130896.0
2012-03-20,6669.0,6685.0,6651.0,6666.0,198248.0
2012-03-21,6654.0,6657.0,6605.0,6609.0,408262.0
2012-03-22,6611.0,6620.0,6595.0,6614.0,246538.0
2012-03-23,6631.0,6641.0,6620.0,6637.0,172808.0
2012-03-26,6625.0,6659.0,6625.0,6635.0,174060.0
2012-03-27,6620.0,6630.0,6596.0,6626.0,251356.0
2012-03-28,6626.0,6648.0,6612.0,6644.0,190216.0
2012-03-29,6640.0,6655.0,6621.0,6652.0,261130.0
2012-03-30,6660.0,6660.0,6636.0,6648.0,123220.0
2012-04-05,6632.0,6697.0,6632.0,6686.0,244796.0
2012-04-06,6690.0,6700.0,6666.0,6699.0,203606.0
2012-04-09,6710.0,6843.0,6705.0,6816.0,855050.0
2012-04-10,6799.0,6820.0,6788.0,6818.0,572504.0
2012-04-11,6776.0,6802.0,6750.0,6792.0,503226.0
2012-04-12,6804.0,6862.0,6778.0,6786.0,722822.0
2012-04-13,6805.0,6818.0,6780.0,6782.0,371356.0
2012-04-16,6740.0,6756.0,6721.0,6738.0,365968.0
2012-04-17,6720.0,6720.0,6681.0,6697.0,361368.0
2012-04-18,6720.0,6720.0,6666.0,6699.0,350446.0
2012-04-19,6659.0,6668.0,6635.0,6651.0,328128.0
2012-04-20,6637.0,6655.0,6616.0,6652.0,367732.0
2012-04-23,6640.0,6655.0,6596.0,6616.0,338896.0
2012-04-24,6624.0,6628.0,6579.0,6592.0,300058.0
2012-04-25,6600.0,6625.0,6592.0,6624.0,214672.0
2012-04-26,6627.0,6638.0,6607.0,6608.0,152110.0
2012-04-27,6585.0,6587.0,6554.0,6555.0,198896.0
2012-05-02,6550.0,6569.0,6523.0,6539.0,231468.0
2012-05-03,6500.0,6533.0,6500.0,6531.0,155620.0
2012-05-04,6540.0,6550.0,6527.0,6546.0,102962.0
2012-05-07,6539.0,6554.0,6522.0,6541.0,80704.0
2012-05-08,6553.0,6560.0,6503.0,6512.0,140110.0
2012-05-09,6480.0,6486.0,6445.0,6445.0,119470.0
2012-05-10,6465.0,6475.0,6436.0,6440.0,87030.0
2012-05-11,6429.0,6437.0,6329.0,6332.0,206002.0
2012-05-14,6335.0,6364.0,6259.0,6265.0,199932.0
2012-05-15,6280.0,6328.0,6273.0,6325.0,125904.0
2012-05-16,6310.0,6320.0,6196.0,6201.0,141480.0
2012-05-17,6260.0,6314.0,6250.0,6299.0,131324.0
2012-05-18,6280.0,6315.0,6231.0,6280.0,163054.0
2012-05-21,6288.0,6337.0,6250.0,6318.0,146698.0
2012-05-22,6298.0,6312.0,6277.0,6288.0,86988.0
2012-05-23,6000.0,6014.0,5915.0,5960.0,1200526.0
2012-05-24,5964.0,6022.0,5953.0,6016.0,806084.0
2012-05-25,6015.0,6015.0,5952.0,5993.0,931780.0
2012-05-28,6000.0,6008.0,5960.0,5969.0,821100.0
2012-05-29,5951.0,6025.0,5925.0,6015.0,1026510.0
2012-05-30,5976.0,6056.0,5967.0,6008.0,1232714.0
