指标名称,中国:产量:精炼铜(铜):当月值,中国:产量:铜材:当月值,中国:产量:铜材:当月同比,中国:产量:铜材:累计同比,ICSG:全球精炼铜消费量:当月值,中国:消费量:精炼铜:当月值
1989-01-31,3.7,,,,,
1989-02-28,3.8,2.44,,,,
1989-03-31,3.9,3.73,,,,
1989-04-30,4.2,3.41,,,,
1989-05-31,4.2,3.13,,,,
1989-06-30,3.4,3.48,,,,
1989-07-31,4.1,3.22,,,,
1989-08-31,4.8,3.13,,,,
1989-09-30,4.7,3.08,,,,
1989-10-31,4.7,3.03,,,,
1989-11-30,5.1,2.54,,,,
1989-12-31,5.2,2.16,,,,
1990-01-31,4.4,2.68,,-39.8,,
1990-02-28,4.2,2.85,,7.4,,
1990-03-31,4.8,3.43,,4.8,,
1990-04-30,5.0,4.3,,8.5,,
1990-05-31,4.6,3.71,,7.7,,
1990-06-30,4.5,3.96,,8.8,,
1990-07-31,4.3,3.38,,8.0,,
1990-08-31,4.6,3.75,,9.6,,
1990-09-30,4.8,3.5,,10.2,,
1990-10-31,5.1,3.48,,10.2,,
1990-11-30,5.1,3.55,,11.9,,
1990-12-31,4.4,3.08,,12.3,,
1991-01-31,4.2,3.46,,29.1,,
1991-02-28,4.1,3.15,,17.8,,
1991-03-31,4.6,4.37,,16.9,,
1991-04-30,4.7,4.23,,12.3,,
1991-05-31,5.1,4.11,,15.6,,
1991-06-30,5.0,4.3,,11.1,,
1991-07-31,4.1,3.98,,12.1,,
1991-08-31,4.4,4.22,,12.4,,
1991-09-30,5.0,4.23,,13.2,,
1991-10-31,5.6,4.5,,14.8,,
1991-11-30,5.2,3.96,,14.6,,
1991-12-31,3.9,3.53,,14.61,,
1992-01-31,4.4,3.42,,-1.2,,
1992-02-29,5.1,3.6,,7.7,,
1992-03-31,5.3,4.82,,9.8,,
1992-04-30,5.5,4.85,,8.4,,
1992-05-31,5.3,5.46,,17.4,,
1992-06-30,5.6,5.37,,21.9,,
1992-07-31,5.2,4.9,,22.5,,
1992-08-31,5.5,4.36,,19.2,,
1992-09-30,5.5,4.61,,18.1,,
1992-10-31,6.3,5.27,,18.0,,
1992-11-30,5.7,5.12,,18.7,,
1992-12-31,5.2,4.21,,19.1,,
1993-01-31,5.3,3.78,,10.5,,
1993-02-28,5.4,5.32,,28.3,,
1993-03-31,6.2,5.64,,20.1,,
1993-04-30,6.2,5.9,,24.7,,
1993-05-31,5.9,5.89,,16.4,,
1993-06-30,5.9,6.23,,16.6,,
1993-07-31,6.3,5.22,,14.9,,
1993-08-31,6.1,5.3,,16.2,,
1993-09-30,6.0,5.37,,16.2,,
1993-10-31,5.5,4.8,,13.7,,
1993-11-30,4.9,4.93,,12.1,,
1993-12-31,5.3,4.39,,11.6,,
1994-01-31,,3.88,,2.6,,
1994-02-28,,3.68,,-19.0,,
1994-03-31,,5.52,,-11.26,,
1994-04-30,,5.72,,-9.43,,
1994-05-31,,5.93,,-7.22,,
1994-06-30,,5.57,,-7.88,,
1994-07-31,,5.61,,-5.84,,
1994-08-31,,5.01,,-5.75,,
1994-09-30,,5.0,,-5.91,,
1994-10-31,,5.36,,-4.04,,
1994-11-30,,5.66,,-2.39,,
1994-12-31,,5.13,,-1.19,,
1995-01-31,6.2,4.05,,4.38,,
1995-02-28,6.2,4.23,,7.82,,
1995-03-31,6.6,5.65,,5.46,,
1995-04-30,7.1,6.0,,5.85,,
1995-05-31,7.6,6.28,,5.91,,
1995-06-30,7.3,7.0,,9.22,,
1995-07-31,6.9,6.46,,10.17,,
1995-08-31,6.9,6.3,,9.55,,
1995-09-30,7.3,6.12,,10.97,,
1995-10-31,6.9,5.21,,8.52,,
1995-11-30,7.1,6.74,,9.71,,
1995-12-31,9.1,6.92,,11.82,,
1996-01-31,,4.68,,15.56,,
1996-02-29,,3.57,,3.12,,
1996-03-31,,6.17,,5.62,,
1996-04-30,,6.72,,7.4,,
1996-05-31,,6.09,,5.0,,
1996-06-30,,6.53,,2.52,,
1996-07-31,,5.22,,-2.66,,
1996-08-31,,4.99,,-3.84,,
1996-09-30,,5.04,,-5.45,,
1996-10-31,,5.52,,-4.08,,
1996-11-30,,5.68,,-5.1,,
1996-12-31,,7.48,,-3.72,,
1997-01-31,7.0,5.57,6.7,6.7,,
1997-02-28,7.7,8.6,1.3,3.0,,
1997-03-31,7.6,7.83,14.47,13.39,,
1997-04-30,8.8,8.58,10.57,11.89,,
1997-05-31,9.4,8.46,30.35,14.94,,
1997-06-30,10.0,8.84,25.93,22.7,,
1997-07-31,9.3,7.22,18.36,20.82,,
1997-08-31,8.7,8.24,41.82,22.79,,
1997-09-30,8.4,7.5,26.48,22.53,,
1997-10-31,11.0,6.69,4.86,21.87,,
1997-11-30,8.9,6.69,5.35,20.33,,
1997-12-31,8.5,8.44,14.99,20.07,,
1998-01-31,6.1,4.98,-15.39,-15.39,,
1998-02-28,8.0,6.18,6.62,-6.76,,
1998-03-31,8.8,8.78,19.57,3.59,,
1998-04-30,8.5,8.16,-9.96,1.3,,
1998-05-31,9.6,9.86,0.07,1.39,,
1998-06-30,9.3,9.97,5.41,2.0,,
1998-07-31,,9.08,-3.09,3.03,,
1998-08-31,,10.96,3.23,2.79,,
1998-09-30,,10.75,0.78,2.31,,
1998-10-31,,8.39,1.18,3.06,,
1998-11-30,,10.01,27.63,4.54,,
1998-12-31,,10.89,-0.46,4.59,,
1999-01-31,7.9,8.75,47.41,47.41,,
1999-02-28,7.5,6.83,6.67,26.45,,
1999-03-31,8.0,10.66,14.62,20.67,,
1999-04-30,7.2,11.47,20.33,19.11,,
1999-05-31,7.9,11.03,9.23,16.05,,
1999-06-30,8.7,12.46,15.17,16.27,,
1999-07-31,8.9,10.5,15.19,15.57,,
1999-08-31,9.6,9.71,-12.94,11.43,,
1999-09-30,9.0,10.5,-5.69,8.74,,
1999-10-31,8.7,10.07,8.64,9.11,,
1999-11-30,9.4,11.26,19.87,9.12,,
1999-12-31,9.5,12.15,16.66,8.47,,
2000-01-31,,9.8,11.62,11.62,,
2000-02-29,,9.07,18.8,14.64,,
2000-03-31,,13.12,17.77,18.5,,
2000-04-30,11.2,13.56,9.73,12.02,,
2000-05-31,10.3,14.03,22.29,15.25,,
2000-06-30,10.5,14.15,19.12,15.66,,
2000-07-31,11.0,14.41,20.14,14.84,,
2000-08-31,11.0,13.41,15.33,14.92,,
2000-09-30,12.1,13.33,20.91,15.55,,
2000-10-31,11.7,14.72,28.69,17.04,,
2000-11-30,14.6,13.1,17.81,17.07,,
2000-12-31,11.6,13.56,19.58,19.98,,
2001-01-31,10.3,10.31,2.0,2.0,,
2001-02-28,10.8,13.3,47.8,22.6,,
2001-03-31,12.6,15.74,19.3,21.9,,
2001-04-30,12.5,16.37,25.2,23.8,,
2001-05-31,12.5,16.18,6.3,19.8,,
2001-06-30,11.8,17.05,19.6,20.8,,
2001-07-31,12.6,16.27,14.2,19.9,,
2001-08-31,11.9,15.53,13.5,18.5,,
2001-09-30,11.5,16.27,14.6,18.0,,
2001-10-31,11.7,15.73,4.3,15.9,,
2001-11-30,13.3,15.43,11.8,15.6,,
2001-12-31,12.5,17.3,25.2,16.7,,
2002-01-31,12.3,13.92,36.2,36.2,,
2002-02-28,12.8,12.56,5.5,21.0,,
2002-03-31,12.7,18.92,15.5,18.5,,
2002-04-30,13.3,20.29,25.6,20.2,,
2002-05-31,13.2,20.77,33.4,23.2,,
2002-06-30,13.4,23.69,28.7,25.5,,
2002-07-31,13.4,19.78,16.7,23.8,,
2002-08-31,13.3,19.97,31.3,24.5,,
2002-09-30,14.1,21.63,35.1,25.7,,
2002-10-31,13.3,22.98,38.8,27.1,,
2002-11-30,12.4,23.92,38.4,28.2,,
2002-12-31,12.2,24.48,33.0,28.6,,
2003-01-31,13.2,17.74,24.1,24.1,,
2003-02-28,13.3,20.88,44.5,33.9,,
2003-03-31,13.9,23.9,25.5,31.2,,
2003-04-30,13.8,27.45,27.5,30.6,,
2003-05-31,14.8,25.85,21.3,26.9,,
2003-06-30,14.5,28.1,26.3,26.6,,
2003-07-31,14.4,25.79,22.6,26.4,,
2003-08-31,14.8,27.15,30.3,26.9,,
2003-09-30,16.6,27.16,16.7,25.5,,
2003-10-31,15.8,29.19,27.6,25.6,,
2003-11-30,17.0,31.41,25.5,25.7,,
2003-12-31,16.3,37.8,17.5,25.1,,
