指标名称,中国:产量:原铝(电解铝):当月值,中国:产量:原铝(电解铝):当月同比,中国:产量:原铝(电解铝):累计同比,中国:产量:氧化铝:当月值,中国:产量:氧化铝:当月同比,中国:产量:氧化铝:累计同比,中国:产量:铝材:当月值,中国:产量:铝材:当月同比,中国:产量:铝材:累计同比,全球:产量:氧化铝:当月值
1974-01-31,,,,,,,,,,1901.0
1974-02-28,,,,,,,,,,1901.0
1974-03-31,,,,,,,,,,1901.0
1974-04-30,,,,,,,,,,2035.0
1974-05-31,,,,,,,,,,2035.0
1974-06-30,,,,,,,,,,2035.0
1974-07-31,,,,,,,,,,2063.0
1974-08-31,,,,,,,,,,2063.0
1974-09-30,,,,,,,,,,2063.0
1974-10-31,,,,,,,,,,2114.0
1974-11-30,,,,,,,,,,2114.0
1974-12-31,,,,,,,,,,2114.0
1975-01-31,,,,,,,,,,1944.0
1975-02-28,,,,,,,,,,1944.0
1975-03-31,,,,,,,,,,1944.0
1975-04-30,,,,,,,,,,1792.0
1975-05-31,,,,,,,,,,1792.0
1975-06-30,,,,,,,,,,1792.0
1975-07-31,,,,,,,,,,1818.0
1975-08-31,,,,,,,,,,1818.0
1975-09-30,,,,,,,,,,1818.0
1975-10-31,,,,,,,,,,1809.0
1975-11-30,,,,,,,,,,1809.0
1975-12-31,,,,,,,,,,1809.0
1976-01-31,,,,,,,,,,1788.0
1976-02-29,,,,,,,,,,1788.0
1976-03-31,,,,,,,,,,1788.0
1976-04-30,,,,,,,,,,1817.0
1976-05-31,,,,,,,,,,1817.0
1976-06-30,,,,,,,,,,1817.0
1976-07-31,,,,,,,,,,1910.0
1976-08-31,,,,,,,,,,1910.0
1976-09-30,,,,,,,,,,1910.0
1976-10-31,,,,,,,,,,2040.0
1976-11-30,,,,,,,,,,2040.0
1976-12-31,,,,,,,,,,2040.0
1977-01-31,,,,,,,,,,2040.0
1977-02-28,,,,,,,,,,2040.0
1977-03-31,,,,,,,,,,2040.0
1977-04-30,,,,,,,,,,2080.0
1977-05-31,,,,,,,,,,2080.0
1977-06-30,,,,,,,,,,2080.0
1977-07-31,,,,,,,,,,2142.0
1977-08-31,,,,,,,,,,2142.0
1977-09-30,,,,,,,,,,2142.0
1977-10-31,,,,,,,,,,2132.0
1977-11-30,,,,,,,,,,2132.0
1977-12-31,,,,,,,,,,2132.0
1978-01-31,,,,,,,,,,2039.0
1978-02-28,,,,,,,,,,2039.0
1978-03-31,,,,,,,,,,2039.0
1978-04-30,,,,,,,,,,2058.0
1978-05-31,,,,,,,,,,2058.0
1978-06-30,,,,,,,,,,2058.0
1978-07-31,,,,,,,,,,2104.0
1978-08-31,,,,,,,,,,2104.0
1978-09-30,,,,,,,,,,2104.0
1978-10-31,,,,,,,,,,2181.0
1978-11-30,,,,,,,,,,2181.0
1978-12-31,,,,,,,,,,2181.0
1979-01-31,,,,,,,,,,2090.0
1979-02-28,,,,,,,,,,2090.0
1979-03-31,,,,,,,,,,2090.0
1979-04-30,,,,,,,,,,2122.0
1979-05-31,,,,,,,,,,2122.0
1979-06-30,,,,,,,,,,2122.0
1979-07-31,,,,,,,,,,2164.0
1979-08-31,,,,,,,,,,2164.0
1979-09-30,,,,,,,,,,2164.0
1979-10-31,,,,,,,,,,2302.0
1979-11-30,,,,,,,,,,2302.0
1979-12-31,,,,,,,,,,2302.0
1980-01-31,,,,,,,,,,2320.0
1980-02-29,,,,,,,,,,2320.0
1980-03-31,,,,,,,,,,2320.0
1980-04-30,,,,,,,,,,2330.0
1980-05-31,,,,,,,,,,2330.0
1980-06-30,,,,,,,,,,2330.0
1980-07-31,,,,,,,,,,2296.0
1980-08-31,,,,,,,,,,2296.0
1980-09-30,,,,,,,,,,2296.0
1980-10-31,,,,,,,,,,2425.0
1980-11-30,,,,,,,,,,2425.0
1980-12-31,,,,,,,,,,2425.0
1981-01-31,,,,,,,,,,2335.0
1981-02-28,,,,,,,,,,2335.0
1981-03-31,,,,,,,,,,2335.0
1981-04-30,,,,,,,,,,2296.0
1981-05-31,,,,,,,,,,2296.0
1981-06-30,,,,,,,,,,2296.0
1981-07-31,,,,,,,,,,2194.0
1981-08-31,,,,,,,,,,2194.0
1981-09-30,,,,,,,,,,2194.0
1981-10-31,,,,,,,,,,2058.0
1981-11-30,,,,,,,,,,2058.0
1981-12-31,,,,,,,,,,2058.0
1982-01-31,,,,,,,,,,1869.0
1982-02-28,,,,,,,,,,1869.0
1982-03-31,,,,,,,,,,1869.0
1982-04-30,,,,,,,,,,1913.0
1982-05-31,,,,,,,,,,1913.0
1982-06-30,,,,,,,,,,1913.0
1982-07-31,,,,,,,,,,1844.0
1982-08-31,,,,,,,,,,1844.0
1982-09-30,,,,,,,,,,1844.0
1982-10-31,,,,,,,,,,1782.0
1982-11-30,,,,,,,,,,1782.0
1982-12-31,,,,,,,,,,1782.0
1983-01-31,,,,,,,,,,1745.0
1983-02-28,,,,,,,,,,1745.0
1983-03-31,,,,,,,,,,1745.0
1983-04-30,,,,,,,,,,1866.0
1983-05-31,,,,,,,,,,1866.0
1983-06-30,,,,,,,,,,1866.0
1983-07-31,,,,,,,,,,2052.0
1983-08-31,,,,,,,,,,2052.0
1983-09-30,,,,,,,,,,2052.0
1983-10-31,,,,,,,,,,2117.0
1983-11-30,,,,,,,,,,2117.0
1983-12-31,,,,,,,,,,2117.0
1984-01-31,,,,,,,,,,2113.0
1984-02-29,,,,,,,,,,2113.0
1984-03-31,,,,,,,,,,2113.0
1984-04-30,,,,,,,,,,2219.0
1984-05-31,,,,,,,,,,2219.0
1984-06-30,,,,,,,,,,2219.0
1984-07-31,,,,,,,,,,2347.0
1984-08-31,,,,,,,,,,2347.0
1984-09-30,,,,,,,,,,2347.0
1984-10-31,,,,,,,,,,2339.0
1984-11-30,,,,,,,,,,2339.0
1984-12-31,,,,,,,,,,2339.0
1985-01-31,,,,,,,,,,2779.0
1985-02-28,,,,,,,,,,2779.0
1985-03-31,,,,,,,,,,2779.0
1985-04-30,,,,,,,,,,2690.0
1985-05-31,,,,,,,,,,2690.0
1985-06-30,,,,,,,,,,2690.0
1985-07-31,,,,,,,,,,2754.0
1985-08-31,,,,,,,,,,2754.0
1985-09-30,,,,,,,,,,2754.0
1985-10-31,,,,,,,,,,2731.0
1985-11-30,,,,,,,,,,2731.0
1985-12-31,,,,,,,,,,2731.0
1986-01-31,,,,,,,,,,2642.0
1986-02-28,,,,,,,,,,2642.0
1986-03-31,,,,,,,,,,2642.0
1986-04-30,,,,,,,,,,2743.0
1986-05-31,,,,,,,,,,2743.0
1986-06-30,,,,,,,,,,2743.0
1986-07-31,,,,,,,,,,2865.0
1986-08-31,,,,,,,,,,2865.0
1986-09-30,,,,,,,,,,2865.0
1986-10-31,,,,,,,,,,2884.0
1986-11-30,,,,,,,,,,2884.0
1986-12-31,,,,,,,,,,2884.0
1987-01-31,,,,,,,,,,2872.0
1987-02-28,,,,,,,,,,2872.0
1987-03-31,,,,,,,,,,2872.0
1987-04-30,,,,,,,,,,2982.0
1987-05-31,,,,,,,,,,2982.0
1987-06-30,,,,,,,,,,2982.0
1987-07-31,,,,,,,,,,2968.0
1987-08-31,,,,,,,,,,2968.0
1987-09-30,,,,,,,,,,2968.0
1987-10-31,,,,,,,,,,3012.0
1987-11-30,,,,,,,,,,3012.0
1987-12-31,,,,,,,,,,3012.0
1988-01-31,,,,,,,,,,3024.0
1988-02-29,,,,,,,,,,3024.0
1988-03-31,,,,,,,,,,3024.0
1988-04-30,,,,,,,,,,3075.0
1988-05-31,,,,,,,,,,3075.0
1988-06-30,,,,,,,,,,3075.0
1988-07-31,,,,,,,,,,3082.0
1988-08-31,,,,,,,,,,3082.0
1988-09-30,,,,,,,,,,3082.0
1988-10-31,,,,,,,,,,3148.0
1988-11-30,,,,,,,,,,3148.0
1988-12-31,,,,,,,,,,3148.0
1989-01-31,,,,,,,,,,3255.0
1989-02-28,,,,8.05,,-13.5,2.13,,,3255.0
1989-03-31,,,,10.4,,-9.2,3.06,,,3255.0
1989-04-30,,,,11.25,,-5.0,3.27,,,3384.0
1989-05-31,,,,10.49,,-4.9,3.13,,,3384.0
1989-06-30,,,,9.84,,-5.0,2.88,,,3384.0
1989-07-31,,,,11.37,,-1.3,2.74,,,3438.0
1989-08-31,,,,11.84,,0.5,2.77,,,3438.0
1989-09-30,,,,12.52,,2.1,2.75,,,3438.0
1989-10-31,,,,12.66,,2.9,2.4,,,3460.0
1989-11-30,,,,12.16,,3.4,2.25,,,3460.0
1989-12-31,,,,11.86,,4.1,1.86,,,3460.0
1990-01-31,,,,10.09,,5.3,1.93,,-16.5,3414.0
1990-02-28,,,,9.55,,11.3,1.97,,-10.4,3414.0
1990-03-31,,,,12.38,,14.2,2.83,,-10.3,3414.0
1990-04-30,,,,12.47,,13.2,3.03,,-10.2,3411.0
1990-05-31,,,,12.85,,15.2,3.2,,-7.0,3411.0
1990-06-30,,,,12.41,,17.0,2.92,,-5.2,3411.0
1990-07-31,,,,12.7,,16.1,2.98,,-3.1,3450.0
1990-08-31,,,,12.39,,14.5,2.98,,-2.2,3450.0
1990-09-30,,,,12.97,,13.0,3.34,,0.1,3450.0
1990-10-31,,,,13.12,,11.9,3.2,,3.3,3524.0
1990-11-30,,,,12.46,,11.0,3.38,,6.4,3524.0
1990-12-31,,,,13.15,,11.0,3.92,,24.2,3524.0
1991-01-31,,,,12.36,,22.5,3.16,,63.7,3372.0
1991-02-28,,,,10.67,,17.3,2.58,,44.8,3372.0
1991-03-31,,,,11.72,,8.49,3.66,,37.98,3372.0
1991-04-30,,,,12.15,,5.4,3.75,,33.7,3441.0
1991-05-31,,,,13.22,,4.5,3.97,,30.5,3441.0
1991-06-30,,,,11.84,,3.2,4.07,,31.5,3441.0
1991-07-31,,,,12.42,,3.0,4.13,,32.4,3560.0
1991-08-31,,,,13.46,,3.8,3.88,,32.1,3560.0
1991-09-30,,,,13.81,,4.1,4.2,,31.4,3560.0
1991-10-31,,,,14.58,,4.9,4.03,,30.5,3485.0
1991-11-30,,,,11.63,,3.8,4.09,,29.3,3485.0
1991-12-31,,,,13.65,,3.78,5.07,,16.14,3485.0
1992-01-31,,,,10.55,,-14.6,3.39,,7.3,3400.0
1992-02-29,,,,10.47,,-8.6,3.29,,19.0,3400.0
1992-03-31,,,,14.05,,9.4,4.48,,21.6,3400.0
1992-04-30,,,,12.97,,8.0,4.81,,24.0,3473.0
1992-05-31,,,,14.48,,8.7,4.68,,21.8,3473.0
1992-06-30,,,,14.24,,10.3,4.99,,21.8,3473.0
1992-07-31,,,,13.2,,9.0,4.47,,23.3,3465.0
1992-08-31,,,,11.78,,6.0,4.51,,19.2,3465.0
1992-09-30,,,,12.55,,4.1,4.47,,17.7,3465.0
1992-10-31,,,,14.92,,3.9,4.66,,17.5,3540.0
1992-11-30,,,,12.77,,4.4,5.07,,18.1,3540.0
1992-12-31,,,,13.67,,4.0,4.34,,19.5,3540.0
1993-01-31,,,,12.31,,16.7,3.83,,13.0,3437.0
1993-02-28,,,,14.1,,25.4,4.23,,16.8,3437.0
1993-03-31,,,,9.54,,-29.8,5.6,,19.0,3437.0
1993-04-30,,,,14.7,,12.3,6.07,,21.5,3482.0
1993-05-31,,,,14.56,,11.2,5.72,,22.8,3482.0
1993-06-30,,,,13.96,,8.8,5.87,,22.2,3482.0
1993-07-31,,,,14.87,,10.5,5.27,,17.5,3615.0
1993-08-31,,,,13.86,,12.3,5.46,,21.1,3615.0
1993-09-30,,,,11.88,,10.4,4.87,,19.8,3615.0
1993-10-31,,,,16.57,,14.2,4.64,,17.9,3527.0
1993-11-30,,,,16.03,,15.2,4.46,,14.9,3527.0
1993-12-31,,,,15.8,,19.7,5.08,,15.0,3527.0
1994-01-31,,,,13.66,,11.0,4.78,,24.8,3491.0
1994-02-28,,,,14.49,,10.19,3.42,,2.63,3491.0
1994-03-31,,,,15.66,,67.83,5.67,,2.44,3491.0
1994-04-30,,,,15.06,,5.13,5.32,,-3.18,3408.0
1994-05-31,,,,15.55,,5.34,4.91,,-5.16,3408.0
1994-06-30,,,,16.13,,7.0,5.4,,-5.69,3408.0
1994-07-31,,,,14.55,,4.61,4.33,,-7.83,3459.0
1994-08-31,,,,14.58,,3.8,5.43,,-6.8,3459.0
1994-09-30,,,,16.24,,6.83,5.58,,-4.83,3459.0
1994-10-31,,,,18.21,,3.61,6.01,,-1.84,3568.0
1994-11-30,,,,14.35,,2.26,5.16,,-0.09,3568.0
1994-12-31,,,,14.68,,-2.3,5.7,,0.92,3568.0
1995-01-31,,,,13.46,,-1.46,4.2,,-12.13,3552.0
1995-02-28,,,,14.9,,-5.36,5.17,,13.41,3552.0
1995-03-31,,,,19.56,,7.46,6.28,,14.12,3552.0
1995-04-30,,,,17.3,,9.33,6.15,,9.01,3652.0
1995-05-31,,,,19.04,,10.64,5.82,,10.47,3652.0
1995-06-30,,,,17.54,,10.29,6.43,,11.79,3652.0
1995-07-31,,,,20.65,,14.59,6.11,,16.35,3781.0
1995-08-31,,,,18.72,,16.24,6.76,,17.5,3781.0
1995-09-30,,,,18.42,,15.75,6.26,,16.85,3781.0
1995-10-31,,,,20.58,,15.63,6.23,,17.0,3697.0
1995-11-30,,,,20.8,,18.09,6.14,,15.45,3697.0
1995-12-31,,,,20.94,,20.03,6.4,,16.35,3697.0
1996-01-31,,,,17.72,,31.65,5.51,,31.19,3854.0
1996-02-29,,,,15.66,,21.21,4.97,,12.9,3854.0
1996-03-31,,,,20.13,,11.27,7.86,,16.6,3854.0
1996-04-30,,,,21.08,,15.96,7.12,,22.26,3774.0
1996-05-31,,,,20.99,,23.11,7.12,,21.82,3774.0
1996-06-30,,,,18.86,,20.43,8.01,,22.91,3774.0
1996-07-31,,,,20.58,,16.82,5.88,,18.78,3729.0
1996-08-31,,,,20.86,,16.53,6.36,,15.45,3729.0
1996-09-30,,,,24.46,,18.56,7.18,,15.49,3729.0
