指标名称,英国:黄金储备:当月值,中国:官方储备资产:黄金(以盎司计算的纯金数量),美国:黄金储备:当月值,中国:限额以上企业商品零售额:金银珠宝类:当月值,中国:限额以上企业商品零售额:金银珠宝类:当月同比
1978-12-31,,1280.0,,,
1979-12-31,,1280.0,,,
1980-12-31,,1280.0,,,
1981-12-31,,1267.0,,,
1982-12-31,,1267.0,,,
1983-12-31,,1267.0,,,
1984-12-31,,1267.0,,,
1985-12-31,,1267.0,,,
1986-12-31,,1267.0,,,
1987-12-31,,1267.0,,,
1988-12-31,,1267.0,,,
1989-12-31,,1267.0,,,
1990-12-31,,1267.0,,,
1991-12-31,,1267.0,,,
1992-12-31,,1267.0,,,
1993-12-31,,1267.0,,,
1994-12-31,,1267.0,,,
1995-12-31,,1267.0,,,
1996-12-31,,1267.0,,,
1997-01-31,,1267.0,,11.7,
1997-02-28,,1267.0,,13.7,
1997-03-31,,1267.0,,14.1,
1997-04-30,,1267.0,,11.9,
1997-05-31,,1267.0,,12.6,
1997-06-30,,1267.0,,12.4,
1997-07-31,,1267.0,,11.4,
1997-08-31,,1267.0,,11.2,
1997-09-30,,1267.0,,11.0,
1997-10-31,,1267.0,,11.1,
1997-11-30,,1267.0,,10.1,
1997-12-31,,1267.0,,10.7,
1998-01-31,,1267.0,,14.9,
1998-02-28,,1267.0,,14.5,
1998-03-31,,1267.0,,12.2,
1998-04-30,,1267.0,,10.8,
1998-05-31,,1267.0,,11.7,
1998-06-30,,1267.0,,10.9,
1998-07-31,,1267.0,,9.4,
1998-08-31,,1267.0,,9.9,
1998-09-30,,1267.0,,10.5,
1998-10-31,,1267.0,,11.1,
1998-11-30,,1267.0,,10.4,
1998-12-31,,1267.0,,10.9,
1999-01-31,,1267.0,,14.0,
1999-02-28,,1267.0,,13.4,
1999-03-31,,1267.0,,14.3,
1999-04-30,,1267.0,,10.9,
1999-05-31,,1267.0,,10.9,
1999-06-30,,1267.0,,11.4,
1999-07-31,,1267.0,,11.3,
1999-08-31,,1267.0,,11.3,
1999-09-30,,1267.0,,12.1,
1999-10-31,,1267.0,,11.8,
1999-11-30,,1267.0,,11.8,
1999-12-31,,1267.0,,13.5,
2000-01-31,,1267.0,,14.1,
2000-02-29,,1267.0,,16.5,
2000-03-31,,1267.0,,12.5,
2000-04-30,,1267.0,,11.9,
2000-05-31,,1267.0,,13.1,
2000-06-30,,1267.0,,11.1,
2000-07-31,,1267.0,,10.1,
2000-08-31,,1267.0,,10.8,
2000-09-30,,1267.0,,11.3,
2000-10-31,,1267.0,,12.2,
2000-11-30,,1267.0,,11.0,
2000-12-31,,1267.0,,12.5,
2001-01-31,,1267.0,,16.4,13.1
2001-02-28,,1267.0,,15.8,6.0
2001-03-31,,1267.0,,11.3,-10.3
2001-04-30,,1267.0,,11.2,-5.9
2001-05-31,,1267.0,,12.8,-2.3
2001-06-30,,1267.0,,10.9,-1.8
2001-07-31,,1267.0,,10.4,3.0
2001-08-31,,1267.0,,10.6,-1.9
2001-09-30,,1267.0,,11.3,0.0
2001-10-31,,1267.0,,12.3,0.8
2001-11-30,,1267.0,,10.5,-4.5
2001-12-31,,1608.0,,11.0,-9.1
2002-01-31,334.78,1608.0,8149.05,13.7,-16.5
2002-02-28,334.78,1608.0,8149.05,16.9,7.0
2002-03-31,314.48,1608.0,8149.05,12.4,9.7
2002-04-30,314.09,1608.0,8149.05,11.6,3.6
2002-05-31,314.09,1608.0,8149.05,13.3,3.9
2002-06-30,314.09,1608.0,8149.05,11.6,6.4
2002-07-31,313.96,1608.0,8149.05,10.8,3.8
2002-08-31,313.96,1608.0,8149.05,10.4,-1.9
2002-09-30,313.96,1608.0,8149.05,11.0,-2.7
2002-10-31,313.87,1608.0,8149.05,11.4,-7.3
2002-11-30,313.87,1608.0,8149.05,10.6,1.0
2002-12-31,313.87,1929.0,8149.05,11.6,5.5
2003-01-31,313.65,1929.0,8134.67,17.3,26.3
2003-02-28,313.65,1929.0,8134.67,17.6,4.1
2003-03-31,313.65,1929.0,8134.67,12.5,0.8
2003-04-30,313.24,1929.0,8135.32,11.5,-0.9
2003-05-31,313.24,1929.0,8135.32,11.2,-15.8
2003-06-30,313.24,1929.0,8135.32,12.1,4.3
2003-07-31,313.24,1929.0,8135.25,12.0,11.1
2003-08-31,313.24,1929.0,8135.25,12.3,18.3
2003-09-30,313.24,1929.0,8135.25,13.8,25.5
2003-10-31,313.22,1929.0,8134.94,13.8,21.1
2003-11-30,313.22,1929.0,8134.94,12.5,17.9
2003-12-31,313.22,1929.0,8134.94,15.3,31.9
2004-01-31,312.92,1929.0,8136.26,21.4,23.7
2004-02-29,312.92,1929.0,8136.26,18.8,6.8
2004-03-31,312.92,1929.0,8136.26,15.7,23.6
2004-04-30,312.5,1929.0,8136.0,16.3,39.3
