指标名称,COMEX:1号铜:非商业空头持仓:持仓数量,COMEX:1号铜:非商业多头持仓:持仓数量
1989-07-31,0.0,0.0
1989-08-15,0.0,0.0
1989-08-31,0.0,0.0
1989-09-15,0.0,0.0
1989-09-29,0.0,0.0
1989-10-13,200.0,0.0
1989-10-31,352.0,110.0
1989-11-15,249.0,141.0
1989-11-30,6776.0,799.0
1989-12-15,7678.0,1224.0
1989-12-29,6989.0,623.0
1990-01-15,5804.0,1992.0
1990-01-31,9028.0,980.0
1990-02-15,5307.0,1740.0
1990-02-28,5683.0,3665.0
1990-03-15,5940.0,9687.0
1990-03-30,2811.0,9014.0
1990-04-12,4479.0,7752.0
1990-04-30,4705.0,3661.0
1990-05-15,1762.0,5982.0
1990-05-31,4167.0,4752.0
1990-06-15,4066.0,2917.0
1990-06-29,3709.0,8651.0
1990-07-13,1203.0,9321.0
1990-07-31,1657.0,7754.0
1990-08-15,2587.0,7507.0
1990-08-31,1683.0,7407.0
1990-09-14,2088.0,7032.0
1990-09-28,4372.0,2908.0
1990-10-15,5407.0,2423.0
1990-10-31,4194.0,1862.0
1990-11-15,3544.0,2275.0
1990-11-30,6800.0,1621.0
1990-12-14,10333.0,1457.0
1990-12-31,5349.0,1887.0
1991-01-15,3542.0,6456.0
1991-01-31,7704.0,673.0
1991-02-15,6598.0,972.0
1991-02-28,5449.0,2228.0
1991-03-15,5841.0,1914.0
1991-03-28,6848.0,1820.0
1991-04-15,5727.0,2135.0
1991-04-30,9329.0,3100.0
1991-05-15,14257.0,1192.0
1991-05-31,13648.0,766.0
1991-06-14,8431.0,583.0
1991-06-28,5968.0,2002.0
1991-07-15,6664.0,942.0
1991-07-31,6672.0,2041.0
1991-08-15,4823.0,2424.0
1991-08-30,2511.0,5956.0
1991-09-16,2933.0,11435.0
1991-09-30,4348.0,11931.0
1991-10-15,5585.0,10106.0
1991-10-31,6012.0,12711.0
1991-11-15,5743.0,9164.0
1991-11-29,5282.0,6335.0
1991-12-13,16421.0,2748.0
1991-12-31,14487.0,1233.0
1992-01-15,16046.0,1042.0
1992-01-31,10073.0,1933.0
1992-02-14,5964.0,5109.0
1992-02-28,3543.0,11686.0
1992-03-13,2223.0,8039.0
1992-03-31,1827.0,8441.0
1992-04-15,2008.0,4087.0
1992-04-30,2471.0,4002.0
1992-05-15,1515.0,5912.0
1992-05-29,1218.0,6421.0
