指标名称,COMEX:黄金:非商业多头持仓:持仓数量,COMEX:黄金:非商业空头持仓:持仓数量,COMEX:黄金:非商业空头持仓:持仓数量占比,COMEX:黄金:非商业多头持仓:持仓数量占比
1986-01-15,18589.0,7706.0,5.2,12.5
1986-01-31,15364.0,9303.0,6.5,10.7
1986-02-14,5457.0,12229.0,8.7,3.9
1986-02-28,7991.0,12222.0,8.5,5.6
1986-03-14,12637.0,11015.0,7.7,8.8
1986-03-31,9817.0,11406.0,8.4,7.2
1986-04-15,6805.0,20416.0,14.7,4.9
1986-04-30,8159.0,10519.0,8.0,6.2
1986-05-15,4649.0,10375.0,7.9,3.5
1986-05-30,4982.0,13683.0,11.9,4.3
1986-06-13,11657.0,10839.0,9.3,10.1
1986-06-30,5361.0,13631.0,11.3,4.4
1986-07-15,6735.0,11983.0,9.8,5.5
1986-07-31,18617.0,9540.0,7.6,14.8
1986-08-15,23234.0,10589.0,7.8,17.2
1986-08-29,23229.0,10291.0,7.5,17.0
1986-09-15,24807.0,10423.0,7.0,16.6
1986-09-30,22421.0,7840.0,5.7,16.4
1986-10-15,21274.0,10239.0,6.9,14.4
1986-10-31,12673.0,9373.0,6.4,8.6
1986-11-14,15816.0,11905.0,7.9,10.5
1986-11-28,10148.0,8849.0,6.7,7.7
1986-12-15,13089.0,11027.0,8.2,9.8
1986-12-31,9405.0,8347.0,5.9,6.7
1987-01-15,14063.0,8147.0,5.8,10.1
1987-01-30,13453.0,9022.0,6.9,10.3
1987-02-13,7705.0,14024.0,10.2,5.6
1987-02-27,7349.0,12273.0,8.8,5.2
1987-03-13,10654.0,10265.0,7.1,7.3
1987-03-31,18464.0,10076.0,6.4,11.8
1987-04-15,27260.0,9006.0,5.3,15.9
1987-04-30,24684.0,12933.0,7.4,14.1
1987-05-15,32997.0,6294.0,3.7,19.3
1987-05-29,24267.0,8705.0,5.8,16.1
1987-06-15,20380.0,11899.0,8.0,13.7
1987-06-30,15476.0,11621.0,7.9,10.5
1987-07-15,16101.0,7483.0,5.1,11.0
1987-07-31,23945.0,6857.0,4.6,15.9
1987-08-14,18612.0,10402.0,6.9,12.4
1987-08-31,16503.0,15979.0,10.7,11.1
1987-09-15,16196.0,12249.0,8.3,11.0
1987-09-30,17083.0,9981.0,7.0,12.0
1987-10-15,19848.0,7101.0,4.9,13.8
1987-10-30,15243.0,9416.0,7.1,11.4
1987-11-13,10867.0,9427.0,7.1,8.2
1987-11-30,24270.0,8453.0,5.6,15.9
1987-12-15,20912.0,9291.0,5.8,13.2
1987-12-31,14523.0,9354.0,6.2,9.7
1988-01-15,13275.0,9794.0,6.7,9.1
1988-01-29,9803.0,19037.0,13.0,6.7
1988-02-12,3759.0,26630.0,17.7,2.5
1988-02-29,4067.0,29807.0,18.8,2.6
1988-03-15,6054.0,23501.0,14.5,3.7
1988-03-31,5401.0,24023.0,16.2,3.6
1988-04-15,5491.0,24441.0,15.6,3.5
1988-04-29,2580.0,19679.0,12.8,1.7
1988-05-13,4835.0,13402.0,8.7,3.1
