,中国:产量:精炼铜(铜):当月值,中国:产量:铜材:当月值,中国:产量:铜材:当月同比,中国:产量:铜材:累计同比,ICSG:全球精炼铜消费量:当月值,中国:消费量:精炼铜:当月值,中国:产量:原铝(电解铝):当月值,中国:产量:原铝(电解铝):当月同比,中国:产量:原铝(电解铝):累计同比,中国:产量:氧化铝:当月值,中国:产量:氧化铝:当月同比,中国:产量:氧化铝:累计同比,中国:产量:铝材:当月值,中国:产量:铝材:当月同比,中国:产量:铝材:累计同比,全球:产量:氧化铝:当月值,英国:黄金储备:当月值,中国:官方储备资产:黄金(以盎司计算的纯金数量),美国:黄金储备:当月值,中国:限额以上企业商品零售额:金银珠宝类:当月值,中国:限额以上企业商品零售额:金银珠宝类:当月同比,碳酸锂:中国:产量:当月值
2013-01-31,49.2,100.5,49.6,49.6,1702.0,738.7,178.0,19.1739,19.1739,352.2,13.6,13.6,239.5,25.4,25.4,8837.0,310.25,3389.0,8133.46,,,
2013-02-28,48.3,83.7,-8.9,15.8,1569.0,646.8,173.0,11.0,15.0,328.6,16.5,15.0,225.9,7.8,16.2,8074.0,310.25,3389.0,8133.46,,14.3,
2013-03-31,56.0481,125.2,16.9,18.3,1709.0,672.6,173.3773,6.4685,9.617,350.0,9.6,13.8,323.6,30.1,23.2,8864.0,310.25,3389.0,8133.46,229.9,26.3,
2013-04-30,55.7281,116.7,17.3,18.2,1722.0,737.7,170.6985,6.5577,10.2443,349.4,8.4,12.4,325.7,27.4,24.3,8678.0,310.25,3389.0,8133.46,302.6,72.2,
2013-05-31,56.7892,122.3302,19.9471,21.2336,1777.0,816.8,176.5766,2.2572,8.2539,371.7328,5.5915,10.868,328.5515,23.5993,23.5043,9075.0,310.25,3389.0,8133.46,268.5,38.4,
2013-06-30,56.8239,136.8718,23.2471,21.7675,1852.0,818.4,184.3088,6.1125,7.9391,382.5563,6.172,9.9861,355.8341,23.9679,24.5829,9027.0,310.25,3389.0,8133.46,237.7,30.2,
2013-07-31,53.456,122.9885,22.7878,21.6281,1901.0,847.8,183.9023,7.9968,8.5481,383.3152,10.6228,10.0739,331.3709,24.7003,25.8411,9182.0,310.25,3389.0,8133.46,227.1,41.7,
2013-08-31,56.0515,125.2391,23.6266,22.4411,1747.0,826.1,186.3433,5.2421,8.2432,384.4955,16.6447,10.3916,340.053,20.5844,25.0479,9248.0,310.25,3389.0,8133.46,229.2,21.8,
2013-09-30,62.0086,130.4756,23.8494,22.678,1909.0,948.4,185.7845,9.8451,8.7387,395.2167,30.2214,13.025,363.6233,24.3167,25.0975,9216.0,310.25,3389.0,8133.46,218.0,18.2,
2013-10-31,63.7958,134.056,28.0388,22.3065,1856.0,868.8,195.1134,11.8737,9.1984,373.6631,21.6525,13.8424,361.8888,18.4704,24.5083,9264.0,310.25,3389.0,8133.46,220.8,14.0,
2013-11-30,65.4803,145.261,35.2196,23.7392,1967.0,954.7,195.3587,15.503,9.6001,380.0701,22.3717,14.6331,379.1515,23.4131,24.7337,9253.0,310.25,3389.0,8133.46,219.6,14.8,
2013-12-31,61.6038,146.1715,28.3533,25.1998,1829.0,896.5,193.1843,10.5367,9.6491,367.9384,14.0129,14.6002,367.8998,16.158,24.043,9341.0,310.25,3389.0,8133.46,267.7,16.6,
2014-01-31,,,,,1931.0,911.7,,,,,,,,,,9772.0,310.25,3389.0,8133.46,,,
2014-02-28,,,,5.8569,1686.0,708.3,,,7.2031,,,8.101,,,17.587,8952.0,310.25,3389.0,8133.46,,9.3117,
2014-03-31,59.4075,147.5,13.7,13.2,1959.0,909.0,198.4409,12.8561,9.9315,387.2,10.8,8.5,382.8,16.8,14.8,9887.0,310.25,3389.0,8133.46,222.7,-6.1,
2014-04-30,58.4277,144.3614,21.4839,20.4855,2065.0,971.7,189.4604,8.9184,8.5498,370.1982,6.0599,7.8696,406.4675,22.6408,18.4444,9375.0,310.25,3389.0,8133.46,208.4,-30.0,
2014-05-31,61.5308,149.5432,13.559,17.8093,1992.0,907.7,189.8104,5.7845,7.9871,394.1236,6.0624,7.4875,409.3835,20.0552,19.3702,9617.0,310.25,3389.0,8133.46,235.8,-12.1,
2014-06-30,62.3428,158.867,9.4548,17.0771,1920.0,861.0,195.3943,4.77,7.42,389.0271,1.717,6.495,438.1143,18.6195,19.586,9425.0,310.25,3389.0,8133.46,241.8,-0.2,
2014-07-31,63.3519,143.7391,9.4817,16.2303,1902.0,828.8,197.6974,7.1672,7.4553,393.271,2.5813,5.8808,409.6262,18.9553,19.4365,9549.0,310.25,3389.0,8133.46,203.5,-11.7,
2014-08-31,68.0128,141.9252,6.1326,15.6111,1886.0,924.0,202.7459,8.8001,7.6448,389.671,1.8622,5.3493,420.7124,19.8573,19.3193,9501.0,310.25,3389.0,8133.46,246.0,7.3,
2014-09-30,71.3527,149.4218,6.0326,14.151,1910.0,988.0,204.103,9.5667,7.8278,387.3445,-2.005,4.7743,427.3578,14.7846,18.7439,9328.0,310.25,3389.0,8133.46,241.4,11.4,
2014-10-31,73.2746,150.8032,3.7953,13.4626,1998.0,1006.6,208.388,6.4014,7.6947,417.0,12.1,6.6,432.8878,15.9909,18.582,9798.0,310.25,3389.0,8133.46,247.7,11.7,
2014-11-30,75.5492,151.6067,-2.0715,11.5957,1967.0,1068.0,212.8096,8.0115,7.1318,418.0,9.4,6.9,434.5615,11.6988,18.9095,9690.0,310.25,3389.0,8133.46,231.6,11.5,
2014-12-31,83.2618,168.2,10.7,13.3,1855.0,973.5,218.1042,12.2202,7.6938,429.4,15.1,7.1,432.9,14.7,18.6,10206.0,310.25,3389.0,8133.46,283.8,7.3,
2015-01-31,,,,,1858.0,869.1,,,,,,,,,,9932.0,310.25,3389.0,8133.46,,,
2015-02-28,58.4,97.4,-9.4,2.0,1620.0,710.3,227.9,3.7,4.8546,412.3,10.8,13.4,311.7,12.1,20.5,9175.0,310.25,3389.0,8133.46,,-2.3621,
2015-03-31,63.6351,152.3271,-1.2675,2.0952,1876.0,886.2,256.3019,8.0462,7.4554,480.0,15.4,15.3,415.8736,8.7742,15.9872,9901.0,310.25,3389.0,8133.46,258.3583,19.3,
2015-04-30,60.3498,163.9281,10.6634,4.3301,1945.0,944.2,258.6934,12.096,8.815,478.0,16.9,15.2,428.3092,4.8085,12.2883,9626.0,310.29,3389.0,8133.46,224.6747,10.3,
